Vârdformu skaits:	483
Vârdlietojumu skaits:	975


48	un
27	irr
21	to
15	ka`
15	no
15	ta
14	ka
13	kas
12	tas
11	eekúch
11	Kri§tus
11	tee
9	bija
9	ko
9	teem
8	Deewa
8	ne
8	tahs
8	tew
7	Deews
7	tam
7	tohp
7	wiòòa
6	Kunga
6	muhúu
6	pee
6	pehz
6	wiòúch
5	arri
5	bij
5	úawu
5	úcho
5	tai
5	weens
4	ar
4	bet
4	Grahmatas
4	jeb
4	No
4	nu
4	Úeewas
4	§tarp
4	tahm
4	Tas
4	tik
4	tohs
4	wiòòam
4	wiòòu
3	aprak§tihts
3	Apu§tuïu
3	Behrni
3	buhs
3	Grahmata
3	jo
3	Ka`
3	Mahzibas
3	par
3	Paúaulei
3	Paúaules
3	preeziga
3	preezigu
3	Schehla§tibu
3	úchihs
3	ta`
3	tapehz
3	tomehr
3	Un
3	us
3	Wahrdi
3	Wahrds
3	wairak
3	Weh§ti
3	Weh§ts
3	wiúúeem
3	wiúúu
3	zaur
3	Zilwekeem
3	Zilweki
2	appakúch
2	apúohlita
2	atkaï
2	Apúohliúchanas
2	Apúohliúchanu
2	Bauúlibas
2	Bet
2	Darbu
2	daud§
2	Debbeúi^s
2	Deewam
2	dewis
2	doht
2	Eeúahkuma
2	EWANÌELJUMS
2	Galwu
2	Gars
2	Grahmatu
2	greeíi§íis
2	Grehko^s
2	Grehku
2	itt
2	jauns
2	JE§us
2	kad
2	Kad
2	Kri§tu
2	Kungu
2	kuººeem
2	Latweeti
2	Ïaudis
2	Mahziba
2	Mahzibu
2	muh§chigu
2	mums
2	Nahwes
2	pahr
2	Papehdi^
2	paúchi
2	paúchu
2	Peed§imúchanas
2	úawas
2	úchi
2	ÚEHKLA
2	Úirds
2	úluddinaja
2	Úwehts
2	Ta
2	Taiúnibas
2	tapt
2	Te§tamenta
2	Te§taments
2	tu
2	Wahrdu
2	warr
2	Warru
2	weena
2	weenu
2	wiò§ch
2	wirs
2	wiús
2	zee§t
2	zeetis
2	Zilweks
1	aiskaweht
1	allotees
1	apgaiúmo
1	apkahrt
1	aprakts
1	arrid§an
1	atgahjis
1	atkahpuúi
1	atpirktu
1	atra§tiòas
1	at§ih§t
1	augúcham
