Vârdformu skaits:	2185
Vârdlietojumu skaits:	9296


370	irr
288	to
213	ne
213	un
198	ka
182	kas
177	ta
174	tahs
130	no
127	tas
122	Jo
102	zaur
101	bet
101	es
97	eekúch
96	teem
92	tee
91	Deewa
87	mehs
72	arrid§an
63	tad
61	Bet
57	juhs
56	ar
52	Kri§tus
52	nu
50	Un
49	par
45	tu
45	uhs
44	pee
43	Bauúlibas
42	jums
42	ko
41	ja
41	tam
40	pahr
40	wiòúch
39	pehz
36	Deews
35	weens
35	wiòòa
34	jo
33	eúúam
31	tohs
30	mums
30	Tad
29	buhs
28	jeb
28	tohp
27	tai
26	ka`
26	lai
26	Tizzibas
24	Meeúas
24	preekúch
23	ittin
23	ween
23	wiòòo
22	Bauúlibu
22	JE§us
22	muhúo
22	Taiúnibu
21	Deewam
21	weenu
20	eúúat
20	Grehki
20	kad
20	úakka
20	taps
20	wiúúeem
19	daud§
19	eúmu
19	Kas
19	rak§tihts
19	Tizzibu
19	weena
18	neds
18	úew
18	ta`
18	tew
17	bes
17	dehï
17	kam
17	Kunga
17	úawu
16	darra
16	Leetas
16	man
16	Tapehz
15	Garra
15	juhúo
15	Kri§tu
15	lihd§
15	Pahwils
15	§tarp
15	us
14	Apúweizinajeet
14	Grehkeem
14	labbu
14	ohtru
14	wairak
14	wiòòu
13	appakúch
13	bija
13	Darbeem
13	Deewu
13	JE§u
13	mannu
13	papreekúch
12	buht
12	ehd
12	Ja
12	Ka
12	Ko
12	Pagaòeem
12	paúchu
12	pats
12	Schehla§tiba
12	Taiúnibas
12	1
11	Bauúliba
11	Brahïi
11	Es
11	gribbu
11	Kungu
11	Nahwe
11	newa
11	nomirris
11	pretti
11	úcho
10	eúúi
10	Garru
10	Grehko
10	Pagaòi
10	peederr
10	úakku
10	tizz
10	wairs
10	wehl
9	Behrni
9	darru
9	Jttin
9	Kungam
9	mann
9	mannim
9	Miººoòeem
9	nahk
9	úakkam
9	úawas
9	Schehla§tibas
9	wiúúas
9	wiúúi
8	atkal
8	Apgrai§iúchanas
8	buhtu
8	gann
8	ir
8	Kungs
8	manni
8	muh§chigi
8	Ne
8	paúcham
8	patt
8	Prahts
8	prohti
8	tappuúchi
8	tur
8	warr
8	wiòòam
8	Zilwekeem
8	Zilweks
7	Amen
7	dabbujúchi
7	d§ihwo
7	Garrs
7	Gohdu
7	kur
7	Ïaudis
7	mahza
7	Meeúa^
7	Meeúu
7	muhs
7	Pagaòo
7	Prahtu
7	úawa^
7	Schehla§tibu
7	§innam
7	Spehku
7	§tarpa^
7	úwehta
7	taggad
7	tapehz
7	taptu
7	tik
7	Wahrds
7	Wahrdu
7	zeek
7	zittu
6	arri
6	Bauúlibai
6	bij
6	Gohds
6	Kalpoúchanas
6	kurúch
6	Labbums
6	ïaunu
6	miht
6	muhúu
6	nahkt
6	Nahwi
6	nomirruúchi
6	Paúaules
6	§innu
6	Taiúniba
6	Tas
6	teeúcham
6	Tizziba
6	wiús
6	wiúúu
6	zeeni
6	Zilweka
6	zitti
5	Apúohliúchanas
5	darri
5	darriht
5	dohd
5	D§ihwiba
5	D§ihwoúchanu
5	E§aijas
