Vârdformu skaits:	2086
Vârdlietojumu skaits:	9296


373	irr
288	to
265	un
223	ne
210	ka
202	kas
183	ta
174	tahs
163	bet
159	jo
134	no
133	tas
114	es
106	zaur
98	eekúch
97	teem
96	tad
93	tee
91	deewa
87	mehs
72	arrid§an
57	ar
57	juhs
56	ko
53	ja
52	kri§tus
52	nu
50	par
47	tu
46	uhs
44	pee
43	bauúlibas
42	jums
42	tam
41	pahr
40	wiòúch
39	pehz
36	deews
36	weens
35	jeb
35	wiòòa
33	eúúam
32	ittin
31	tohs
30	lai
30	mums
29	buhs
28	ka`
28	tai
28	tohp
26	tizzibas
26	wiòòo
25	tapehz
24	meeúas
24	preekúch
23	je§us
23	ween
22	bauúlibu
22	kad
22	muhúo
22	neds
22	taiúnibu
21	deewam
21	ta`
21	weenu
21	wiúúeem
20	eúúat
20	grehki
20	úakka
20	taps
19	daud§
19	eúmu
19	rak§tihts
19	tizzibu
19	weena
18	úew
18	tew
17	bes
17	dehï
17	kam
17	kunga
17	man
17	úawu
16	darra
16	leetas
16	pahwils
16	us
15	apúweizinajeet
15	garra
15	juhúo
15	kri§tu
15	labbu
15	lihd§
15	§tarp
14	grehkeem
14	ohtru
14	wairak
14	wiòòu
13	appakúch
13	bija
13	darbeem
13	deewu
13	je§u
13	mannu
13	papreekúch
13	tur
12	buht
12	ehd
12	pagaòeem
12	paúchu
12	pats
12	schehla§tiba
12	úcho
12	taiúnibas
12	1
11	bauúliba
11	brahïi
11	gribbu
11	kungu
11	nahwe
11	newa
11	nomirris
11	pretti
10	eúúi
10	garru
10	grehko
10	ïaunu
10	pagaòi
10	peederr
10	úakku
10	tizz
10	wairs
10	wehl
10	wiúúi
9	behrni
9	darru
9	gann
9	ir
9	kungam
9	kurúch
9	mann
9	mannim
9	miººoòeem
9	nahk
9	úakkam
9	úawas
9	schehla§tibas
9	tomehr
9	wiúúas
8	apgrai§iúchanas
8	atkal
8	buhtu
8	kungs
8	manni
8	muh§chigi
8	paúcham
8	patt
8	prahts
8	prohti
8	tappuúchi
8	warr
8	wiòòam
8	zilwekeem
8	zilweks
7	amen
7	dabbujúchi
7	d§ihwo
7	garrs
7	gohdu
7	kur
7	ïaudis
7	mahza
7	meeúa^
7	meeúu
7	muhs
7	pagaòo
7	prahtu
7	úawa^
7	schehla§tibu
7	§innam
7	spehku
7	§tarpa^
7	úwehta
7	taggad
7	taptu
7	tik
7	wahrds
7	wahrdu
7	wiús
7	zeek
7	zittu
6	arri
6	bauúlibai
6	bij
6	gohds
6	itt
6	kalpoúchanas
6	labbums
6	miht
6	muhúu
6	nahkt
6	nahwi
6	nomirruúchi
6	paúaules
6	§innu
6	taiúniba
6	teeúcham
6	tizziba
6	wiúúu
6	zeeni
6	zilweka
6	zitti
5	apúohliúchanas
5	arrig
5	darri
5	darriht
5	dohd
5	d§ihwiba
5	d§ihwoúchanu
5	e§aijas
5	grehkojuúchi
5	grehkus
5	jaw
5	kahds
5	kahdu
5	laika^
5	leezibu
5	lohzekïus
5	manna
5	mans
5	meers
5	mihligu
5	nahwes
5	netaiúnibas
5	notikkuúi
5	paklauúiúchanu
5	paleek
