Vârdformu skaits:	490
Vârdlietojumu skaits:	937


39	un
30	irr
24	ka
22	kas
20	tahs
19	ne
14	Deewa
14	to
13	teem
10	no
10	ta
10	tee
9	buhs
8	Un
7	eekúch
7	muhúo
7	pehz
7	tew
6	Pe§titaja
6	buht
6	tas
6	zaur
5	Darbeem
5	ar
5	bet
5	es
5	mehs
5	tahm
5	wiúúeem
4	Jo
4	Kri§tus
4	Zilwekeem
4	ko
4	muhs
4	mums
4	pamahzi
4	pee
4	runna
4	tohs
4	warr
3	Bet
3	JE§us
3	Ka
3	Kas
3	Mahzibu
3	Ne
3	Pahwils
3	Schehla§tiba
3	Tizzibas
3	Zerribas
3	arrid§an
3	dehï
3	eúmu
3	eúúus
3	ka`
3	labbeem
3	labbu
3	lai
3	neeka
3	pa§tahwigi
3	tur
3	weens
3	weenu
3	wiòúch
3	wiúúu
3	úew
2	2
2	4
2	5
2	7
2	D§ihwoúchanas
2	Labbumu
2	Laipnibu
2	Leetas
2	Mahzibas
2	Mahzitajo
2	Pateeúibas
2	Pelniúchanas
2	Tadehï
2	Tizziba^
2	Tohs
2	Wahrds
2	Wahrdu
2	Wihrus
2	apúweizina
2	at§pihdejuúi
2	darbojahs
2	daud§
2	d§ihwoht
2	gaddigeem
2	ikweenam
2	itt
2	jo
2	jums
2	mahza
2	mahziht
2	man
2	mihle
2	mihleht
2	muh§chigas
2	negohdigas
2	ohtru
2	pahr
2	pamettis
2	par
2	patt
2	paúchu
2	peeklahjahs
2	peenahkahs
2	prett
2	pretti
2	runnaht
2	ta`
2	taiúnam
2	tik
2	tizzigi
2	tohp
2	tohpam
2	uhs
2	us
2	weenam
2	weúúeligu
2	wiúúa^s
2	Úeewas
2	úaweem
2	úawu
2	úawus
2	úchíih§tam
1	1
1	11
1	12
1	3
1	6
1	8
1	9
1	ATgahdini
1	Amata
1	Amen
1	Ammats
1	Apgahniteem
1	Apgrai§iúchanas
1	Apollu
1	Apu§tuls
1	Ap§chehloúchana
1	Ap§chehloúchanu
1	Artemu
1	Atd§imúchanas
1	Atjaunaúchanas
1	At§ihúchanas
1	At§pihdeúchanu
1	BEt
1	Bahrúchanahm
1	Bauúleem
1	Bauúlibas
1	Bauúlibas=Mahzitaju
1	Behrneem
1	Behrni
1	Behrnus
1	Besdeewibu
1	Blehdiba^
1	Buhúchanas
1	Dahwanas
1	Darba
1	Darbo^s
1	Darbu
1	Deewa=Behrno
1	Deewabijatigam
1	Deews
1	Deewu
1	Dehlam
1	D§innejam
1	Eekahroúchanahm
1	Eekahroúchanas
1	Eekúch
1	Gaddigahm
1	Gaididami
1	Garra
1	Gohdibas
1	Gohdu
1	Grehko^s
1	JE§u
1	JO
1	Ja
1	Jautaúchanahm
1	Jsred§eto
1	Jtt
1	Juddiúkahm
1	Kad
1	Kahribahm
1	Kahweji
1	Kalpo
1	Kalpoúchanas
1	Kalps
1	Kalpus
1	Kam
1	Kauna^
1	Ko
1	Kreeta^
1	Kreetas
1	Kreeteºi
1	Kri§tibu
1	Kri§tu
1	Kunga
1	Kungeem
1	Kïau§itajeem
1	Laika^
1	Laikeem
1	Laipniba
1	Lazzekïehm
1	Leeta^s
1	Leeziba
1	Mahza
1	Mahzibai
1	Malla^s
1	Mantneeki
1	Ma§gaúchanu
1	Meers
1	Melkuïi
