Vârdformu skaits:	5489
Vârdlietojumu skaits:	22503


1331	und
530	ka
418	tu
403	to
314	töw
294	es
266	ar
256	man
248	mums
228	gir
228	no
221	tawu
220	par
215	eek§chan
211	e§úi
184	nhe
173	Kungs
170	Deews
155	mehs
142	uß
139	py
120	ta
120	zaur
109	arrid§an
109	mannu
108	tahs
103	tas
98	mann
92	muhs
91	úöw
87	katters
84	muh§úo
79	mannim
79	pehtz
79	tohs
77	Ock
77	tad
76	Amen
74	teem
73	bett
69	JE§u
66	äßmu
66	leetz
64	touwu
60	Tähws
60	Weena
59	Luhk§chana
59	úwähtu
57	Dweh§úel
57	kad
57	Úirrds
57	weenu
56	dohd
55	tawa
54	mannas
54	mans
53	ai§to
53	tee
52	kattru
52	manna
52	pretti
52	úawu
51	wi§úeem
48	ä§úam
48	ja
47	tawas
44	aran
44	Ghräkeem
44	muh§úas
44	§cho
44	tha
43	Úirrdi
43	tick
42	ock
42	OCk
41	buhs
41	kattri
40	preek§ch
39	Tu
39	wi§úas
38	tam
37	Chri§ti
36	pallied§i
35	Wahrdu
34	mu§chige
33	Gharru
33	lieds
33	wi§úu
32	jeb
32	§chinny
32	Semme
32	Semmes
31	buht
31	muh§úus
31	taggad
31	wi§úus
30	Chri§te
30	Dweh§úeles
30	Ghräkus
30	ween
29	kattra
29	Meeru
29	preek§chan
29	Schäla§tibas
29	Schäla§tibu
28	jo
28	warr
28	wiß
27	Bett
27	Deewu
27	kas
27	labbu
27	mu§chigu
27	úackama
26	Es
25	Chri§tum
25	Dählu
25	ko
25	Kungha
24	atkal
24	beß
24	Dähla
24	manneem
24	nu
24	úwähts
24	tock
24	tohp
24	winja
23	Kunghu
23	mannus
23	Mee§úu
23	mu§cham
23	neds
23	Prahtu
23	Úirrdes
22	Deewa
22	ick
22	luhd§u
22	muh§úeem
22	muh§úu
22	taweem
21	Ack
21	Deenas
21	Gharrs
21	Mee§úas
21	§chälige
21	úwähta
21	tur
20	dehï
20	Laiku
20	miïais
20	Nahwe
20	Pe§titais
19	alla§chien
19	dauds
19	JESU
19	labb
19	Nahwes
19	Tapehtz
19	touwas
19	weens
19	wehl
18	Dohd
18	ghrib
18	JE§um
18	Mehs
18	muh§úa
18	úaweem
18	tawo
18	taws
18	wir§úon
17	Debbeß
17	kahdu
17	leelu
17	luhd§am
17	§tahw
17	Titzibas
17	wairahk
17	warru
16	kattreem
16	manna`
16	§chäliegs
16	Spähku
16	tapt
16	tawus
16	u~d
15	A§úin
15	Dähls
15	Ghräko
15	kattras
15	manno
15	O
15	§chas
15	Ta
15	Tähwu
15	warram
15	wi§úo
14	Ai§to
14	kattra`
14	KUngs
14	leela
14	Nhe
14	noh§t
14	pa§úarghi
14	Pa§úaules
14	Patteitziba
14	patz
14	§cheitan
14	touwa
13	atkall
13	dewwiß
13	doht
13	D§iwo§chan
13	ghan
13	ghribbi
13	Luhck§chana
13	nabbaggu
13	nheneeka
13	pa§chu
13	patteitzu
13	preek§cha
13	úawas
13	Swehtibu
13	tawa`
13	teickt
13	Waighu
13	war
12	apkahrt
12	d§iwo
12	d§iwoht
12	E§úi
12	ghribbätu
12	laid
12	leelas
12	litzis
12	Luhk§
12	Nhelaime
12	Pa§úarghi
12	Rohkahs
12	§chodeen
12	tickai
12	Titzibu
12	weena
12	Zeïïu
12	Zillwähx
11	Atzis
11	darri
11	Debbe§úies
11	D§iewibu
11	Eepreezena§chan
11	Gharra
11	jaw
11	L
11	labbad
11	manni
11	Mu§chibas
11	nahk
11	Nu
11	Pa§úaul
11	patteitzam
11	Prahts
11	Radditais
11	Rohkas
11	úlaweht
11	tawahs
11	töwim
11	Triadiba
11	Zillwähkeem
10	appack§chan
10	A
10	biyis
10	darriyis
10	Deena
10	D§iewibas
10	d§iewo
10	eet
10	Ghohdu
10	Ghräki
10	ghribbu
10	ih§tännu
10	it
10	jounu
10	kahtz
10	kamähr
10	kur
10	labpraht
10	Laika`
10	pa
10	Pallied§i
10	Pe§titaju
10	Úahpes
10	úawa
10	Schäliegs
10	§chäligu
10	tahdu
10	tai
10	tappiß
10	titzu
10	Wahrdeem
10	waldi
10	wings
9	Atzeem
9	darrieht
9	Debbe§úu
9	Deewam
9	d§iewoht
9	D§iwiba
9	Ghaddu
9	ghallam
9	ih§täns
9	itt
9	Je§u
9	joprojam
9	kattrus
9	ïohte
9	mannahs
9	mannai
9	Meers
9	mu§chigas
9	nahkt
9	o^
9	Pallied§ibu
9	Preeku
9	Úwähtibu
9	úwähtus
9	Töw
9	turplikam
9	Und
9	Zaur
8	A§úini
8	Bährnus
8	by
8	Darrbeem
8	Darrbu
8	eß
8	gribbi
8	i§pe§tiyis
8	jem
8	kahda
8	kattram
8	leeku
8	Mai§e
8	mehß
8	mieïa
8	Mu§chiegs
8	Otra
8	patteickt
8	Patteitzibu
8	pawwehïu
8	pehdigu
8	pillu
8	Rohkahm
8	Rohku
8	Úappra§chan
8	úawa`
8	§cheit
8	Slawu
8	Úlawu
8	Úohdibu
8	úouwu
8	Spähx
8	§tarpa
8	§tippru
8	úwähti
8	tawi
8	thos
8	tomähr
8	touws
8	winya
8	wi§úahm
8	wi§úahs
8	Zee§chan
8	Zee§chanas
7	ap§tipprini
7	at§ie§tam
7	at§ie§tu
7	at§tahw
7	Bähdahm
7	Bähdahs
7	Chri§tus
7	Dußmibu
7	eepreezini
7	Engheïeem
7	Ghallu
7	Ghallwu
7	ghribbam
7	Ja
7	jaunu
7	Kad
7	Könings
7	Kru§tu
7	Labbumu
7	Laid
7	Laipniegs
7	Leetas
7	Leetz
7	lickt
7	Luhk§ch
7	Luhk§chan
7	mannis
7	Mantu
7	mieïais
7	Mirr§chan
7	Mohkahm
7	muh§úi
7	Nahwu
7	Noh§egummus
