Vârdformu skaits:	5189
Vârdlietojumu skaits:	22503


1340	und
535	ka
457	tu
403	to
326	es
323	töw
271	ar
258	man
251	mums
230	gir
229	no
225	par
223	e§úi
221	tawu
217	eek§chan
198	nhe
187	kungs
175	mehs
170	deews
161	ock
148	uß
141	py
135	ta
129	zaur
110	tas
109	arrid§an
109	mannu
109	tahs
100	bett
98	mann
92	muhs
91	úöw
88	muh§úo
87	katters
82	tad
80	pehtz
79	mannim
79	tohs
78	je§u
76	amen
74	dohd
74	teem
73	leetz
72	weena
67	ai§to
66	äßmu
65	touwu
64	kad
61	luhk§chana
61	úwähtu
60	tähws
57	dweh§úel
57	úirrds
57	tawa
57	weenu
55	ja
55	mans
54	mannas
54	tee
53	manna
52	kattru
52	pretti
52	úawu
52	wi§úeem
50	muh§úas
48	ä§úam
47	tawas
46	pallied§i
46	tha
44	aran
44	ghräkeem
44	§cho
43	úirrdi
43	tick
41	buhs
41	kattri
41	preek§ch
39	tam
39	wi§úas
37	chri§ti
37	wahrdu
36	jeb
36	nu
35	taggad
34	mu§chige
34	wi§úu
33	gharru
33	lieds
32	muh§úus
32	§chinny
32	semme
32	semmes
31	buht
31	ghräkus
31	wi§úus
30	chri§te
30	dweh§úeles
30	meeru
30	ween
30	wiß
29	jo
29	kattra
29	preek§chan
29	schäla§tibas
29	schäla§tibu
29	warr
28	kas
28	labbu
28	mu§chigu
27	deewu
27	úackama
27	winja
26	pa§úarghi
25	chri§tum
25	dähla
25	dählu
25	deenas
25	ko
25	kungha
25	prahtu
25	tapehtz
24	ack
24	atkal
24	beß
24	manneem
24	úwähta
24	úwähts
24	tock
24	tohp
24	warru
23	kunghu
23	mannus
23	mee§úu
23	mu§cham
23	neds
23	úirrdes
22	deewa
22	ick
22	luhd§u
22	muh§úeem
22	muh§úu
22	taweem
22	tur
21	dehï
21	gharrs
21	je§um
21	mee§úas
21	miïais
21	§chälige
20	labb
20	laiku
20	nahwe
20	pe§titais
20	wehl
19	alla§chien
19	dauds
19	jesu
19	laid
19	muh§úa
19	nahwes
19	touwas
19	weens
18	ghrib
18	luhd§am
18	úaweem
18	tawo
18	taws
18	wir§úon
17	debbeß
17	kahdu
17	leelu
17	§tahw
17	titzibas
17	wairahk
16	a§úin
16	kattreem
16	manna`
16	§chäliegs
16	spähku
16	tapt
16	tawus
16	u~d
15	dähls
15	ghräko
15	kattras
15	manno
15	o
15	§chas
15	tähwu
15	warram
15	wi§úo
14	kattra`
14	laika`
14	leela
14	leelas
14	mu§chiegs
14	nabbaggu
14	noh§t
14	pa§úaules
14	patteitziba
14	patz
14	§cheitan
14	touwa
14	waldi
13	atkall
13	darri
13	dewwiß
13	doht
13	d§iwo§chan
13	ghan
13	ghribbi
13	luhck§chana
13	manni
13	nhelaime
13	nheneeka
13	pa§chu
13	patteitzu
13	preek§cha
13	úawas
13	swehtibu
13	tawa`
13	teickt
13	waighu
13	war
13	zillwähx
12	apkahrt
12	atzis
12	d§iewo
12	d§iwo
12	d§iwoht
12	ghribbätu
12	ih§tännu
12	litzis
12	luhk§
12	packlau§úi
12	prahts
12	rohkahs
12	rohkas
12	§chodeen
12	tickai
12	titzibu
12	wings
12	zeïïu
11	darrbu
11	debbe§úies
11	d§iewibas
11	d§iewibu
11	eepreezena§chan
11	ghallam
11	gharra
11	jaw
11	jem
11	l
11	labbad
11	mu§chibas
11	nahk
11	pa§úaul
11	patteitzam
11	peetitziegs
11	preeku
11	radditais
11	úlaweht
11	úwehti
11	tawahs
11	töwim
11	triadiba
11	wahrdeem
11	wiß=§pehziegs
11	zillwähkeem
10	a
10	appack§chan
10	atzeem
10	biyis
10	darriyis
10	deena
10	eepreezini
10	eet
10	ghohdu
10	ghräki
10	ghribbu
10	it
10	jounu
10	kahtz
10	kamähr
10	kur
10	labpraht
10	laipniegs
10	pa
10	pe§titaju
10	úahpes
10	úawa
10	schäliegs
10	§chäligu
10	úirrdige
10	tahdu
10	tai
10	tappiß
10	titzu
9	darrieht
9	debbe§úu
9	deewam
9	d§iewoht
9	d§iwiba
9	ghaddu
9	ih§täns
9	itt
9	joprojam
9	kattrus
9	labbumu
9	leetas
9	ïohte
9	mannahs
9	mannai
9	meers
9	mu§chigas
9	nabbaggeem
9	nahkt
9	o^
9	pallied§ibu
9	pillu
9	úwähti
9	úwähtibu
9	úwähtus
9	touws
9	turplikam
9	zee§chan
8	ap§tipprini
8	a§úini
8	bährnus
8	by
8	darrbeem
8	debbe§úigu
8	eß
8	ghallu
8	gribbi
8	i§pe§tiyis
8	kahda
8	kattram
8	kru§tu
8	leeku
8	mai§e
8	mantu
8	mehß
8	mieïa
8	mieïais
8	otra
8	paddarri
8	patteickt
8	patteitzibu
8	pawwehïu
8	peedohd
8	pehdigu
8	red§i
8	rohkahm
8	rohku
8	úappra§chan
8	úawa`
8	§cheit
8	slawu
8	úlawu
8	úohdibu
8	úouwu
8	spähx
8	§tarpa
8	§tippru
8	tawi
8	thos
8	tomähr
8	wahrda`
8	winya
8	wi§úahm
8	wi§úahs
8	wi§úi
8	zee§chanas
7	at§ie§tam
7	at§ie§tu
7	at§tahw
7	bähdahm
7	bähdahs
7	chri§tus
7	deenu
7	dußmibu
7	engheïeem
7	ghada
7	ghallwu
7	ghribbam
7	jaunu
7	kalpo
7	kalpu
7	könings
7	laix
7	lickt
7	luhk§ch
7	luhk§chan
7	mahzi
7	mannis
7	mirr§chan
7	mohkahm
7	muh§úi
7	nahwu
7	noh§egummus
7	pallied§eht
7	palliegs
7	parei§e
7	pattee§úu
7	pillß
7	preezige
7	preezigu
7	rahms
7	úawus
7	schähliegs
7	§chinnies
7	§chis
7	§öw
7	stundu
7	§wähtu
7	tadu
7	tähwi§chku
7	taißnibu
7	tawai
7	tawam
