Vârdformu skaits:	1094
Vârdlietojumu skaits:	2829


237	un
52	to
47	mums
45	ar
38	Deews
38	ka
37	tawu
33	tu
26	par
24	kas
23	mehs
22	Kungs
22	pahr
21	no
20	eekúch
20	ta
19	muhs
18	wiòòa
17	pehz
16	pee
16	tohs
15	ak
15	arrid§an
15	ne
15	tahs
15	tawa
15	wiúúus
14	eúúi
14	mihïajs
14	muhúu
14	wiúúu
13	Deewa
12	Íehniòòa
12	wiúúeem
12	zaur
11	teem
10	gribbetu
10	ir
10	ko
10	Schehla§tibu
10	us
10	Wahrdu
10	warr
10	wiòòu
9	Chri§ti
9	Dohd
9	Grehkeem
9	Kungu
9	tawas
9	tew
8	eúúam
8	irr
8	Meeru
8	Par
8	úaweem
8	Spehku
8	tas
8	tewi
7	Amen
7	bet
7	doht
7	Draud§ibu
7	D§ihwoúchanas
7	Grehkus
7	jeb
7	JE§u
7	muhúo
7	Paklauúi
7	úwehtu
7	Wahrda
6	ap§chehlojees
6	Ap§chehlojees
6	buht
6	Dehla
6	Gohdu
6	muhúa
6	Paúargi
6	Paúaules
6	Preeku
6	pretti
6	tee
6	Tu
6	Un
6	warram
6	wiúúas
5	Ak
5	Chri§te
5	Garra
5	Garru
5	labbi
5	No
5	preekúch
5	prett
5	Schehla§tibas
5	§chehligu
5	Úirds
5	Úwehtu
5	Tehws
5	weenu
5	Weúúelibu
5	Wiúúus
4	alla§chiò
4	aug§tus
4	bes
4	breeúmigu
4	Chri§titu
4	Dwehúeles
4	Eenaidneeku
4	eúmu
4	Kunga
4	kur
4	labbu
4	Ïaudis
4	lihd§
4	Meeúas
4	Padohmu
4	peedoht
4	úawas
4	§chehligs
4	Semmes
4	Úirdi
4	§tarp
4	Úwehta
4	úwehti
4	Úwehti
4	Úwehtibas
4	tawam
4	taweem
4	wairo
4	walda
4	war
4	ween
4	weens
4	zeenigu
3	atgree§chahs
3	aug§tu=warrenu
3	Atraitni
3	dahrgas
3	dahrgu
3	Deewam
3	dehï
3	dohd
3	Draud§ibas
3	d§ihwo
3	Eenaidneekeem
3	ee§tipprini
3	es
3	Eúúi
3	gan
3	Grehzineekeem
3	gribbi
3	Jehrs
3	JESU
3	jo
3	jo=prohjam
3	Kaººa=Spehku
3	Íehniòòu
3	Íehniúchku
3	leelu
3	lihds
3	luhd§am
3	mann
3	Mihle§tibu
3	muh§chigu
3	muhúus
3	nabbageem
3	Nahwes
3	neús
3	Nogree§
3	notikt
3	pa
3	paúargaht
3	paúchu
3	pateeúas
3	úawa^
3	úchahs
3	§chehligajs
3	úcheitan
3	úchim
3	úcho
3	úlaweht
3	Spehka
3	§tarpa^
3	Úwehtibu
3	ta´
3	tad
3	taggadiò
3	taiúnu
3	tam
3	tapt
3	Tizzibas
3	usturreht
3	waddiht
3	Wahrdam
3	Waidneekeem
3	waldi
3	Waldineekus
3	wehl
3	wiòòam
3	wiò§ch
3	wiúúahm
3	Wiúúeem
3	Zaur
2	ap§chehlotees
2	atgree§t
2	atkal
2	aug§t=warrenai
2	AK
2	AMEN
2	Aúúins=Jsleeúchanu
2	Behda^s
2	Behdahm
2	Behdas
2	brihniúchíu
2	Chri§tum
2	dahrga
2	Darbo^s
2	darriht
2	daud§
2	Debbeúo
2	Deenas
2	Dehls
2	Dehlu
2	dewis
2	D§ihwoúchanu
2	d§ihws
2	Duúmibu
2	Eerohtúchus
2	ee§pehzini
2	eezehlis
2	Gaiúu
2	Galwu
2	gann
2	garrigu
2	Garrs
2	Gohdibas
2	grehzigs
2	Guberneur
2	Guddribu
2	guddrigi
2	ih§tenas
2	ih§tenu
2	ilgas
2	isìehrbj
2	itt
2	jauna
2	JE§um
2	joprohjam
2	ka´
2	kad
2	kahds
2	Kaººu
2	Kaººus
2	katru
2	Íehniòa
2	Íehniòòam
2	Íehniúchkas
