Vârdformu skaits:	1037
Vârdlietojumu skaits:	2829


243	un
53	to
48	mums
45	ar
39	tu
38	deews
38	ka
38	tawu
34	par
26	mehs
26	no
24	kas
24	kungs
22	ak
22	pahr
21	eekúch
21	ta
20	wiúúus
19	muhs
18	tohs
18	wiòòa
17	eúúi
17	pehz
16	muhúu
16	pee
16	wiúúu
15	arrid§an
15	ne
15	tahs
15	tawa
15	wiúúeem
15	zaur
14	mihïajs
13	deewa
12	ap§chehlojees
12	dohd
12	íehniòòa
12	úwehtu
11	teem
11	tew
11	us
10	gribbetu
10	ir
10	ko
10	schehla§tibu
10	wahrdu
10	warr
10	wiòòu
9	amen
9	chri§ti
9	grehkeem
9	kungu
9	paklauúi
9	tas
9	tawas
9	tewi
8	eúúam
8	irr
8	meeru
8	paúargi
8	úaweem
8	spehku
8	úwehti
7	bet
7	doht
7	draud§ibu
7	d§ihwoúchanas
7	grehkus
7	jeb
7	je§u
7	muhúa
7	muhúo
7	wahrda
7	wiúúas
6	buht
6	dehla
6	gohdu
6	paúaules
6	preeku
6	prett
6	pretti
6	úwehta
6	tee
6	warram
5	chri§te
5	garra
5	garru
5	labbi
5	labbu
5	preekúch
5	schehla§tibas
5	§chehligu
5	úirds
5	tehws
5	wairo
5	weenu
5	weúúelibu
4	alla§chiò
4	aug§tus
4	bes
4	breeúmigu
4	chri§titu
4	dwehúeles
4	eenaidneeku
4	ee§tipprini
4	es
4	eúmu
4	kunga
4	kur
4	ïaudis
4	lihd§
4	meeúas
4	muhúus
4	pa
4	padohmu
4	peedoht
4	úawas
4	§chehligs
4	semmes
4	úirdi
4	§tarp
4	úwehtibas
4	tawam
4	taweem
4	walda
4	war
4	ween
4	weens
4	wiúúahm
4	zeenigu
3	atgree§chahs
3	atraitni
3	aug§tu=warrenu
3	dahrgas
3	dahrgu
3	deewam
3	dehï
3	draud§ibas
3	d§ihwo
3	eenaidneekeem
3	gan
3	grehzineekeem
3	gribbi
3	jehrs
3	jesu
3	je§um
3	jo
3	jo=prohjam
3	kad
3	kaººa=spehku
3	íehniòòu
3	íehniúchku
3	leelu
3	lihds
3	luhd§am
3	mann
3	mihle§tibu
3	muh§chigu
3	muhúeem
3	nabbageem
3	nahwes
3	neús
3	nogree§
3	notikt
3	palihd§i
3	paúargaht
3	paúchu
3	pateeúas
3	úawa^
3	úchahs
3	§chehligajs
3	úcheitan
3	úchim
3	úcho
3	úlaweht
3	spehka
3	§tarpa^
3	úwehtibu
3	ta´
3	tad
3	taggadiò
3	taiúnu
3	tam
3	tapt
3	tizzibas
3	usturreht
3	waddiht
3	wahrdam
3	waidneekeem
3	waldi
3	waldineekus
3	wehl
3	wiòòam
3	wiò§ch
2	apgaiúmo
2	ap§chehlotees
2	ap§tipprini
2	aúúins=isleeúchanu
2	atgree§t
2	atkal
2	aug§t=warrenai
2	behda^s
2	behdahm
2	behdas
2	brihniúchíu
2	chri§tum
2	dahrga
2	darbo^s
2	darriht
2	daud§
2	debbeúo
2	deenas
2	dehls
2	dehlu
2	dewis
2	d§ihwoúchanu
2	d§ihws
2	duúmibu
2	eerohtúchus
2	ee§pehzini
2	eezehlis
2	gaiúu
2	galwu
2	gann
2	garrigu
2	garrs
2	gohda
2	gohdibas
2	grehzigs
2	guberneur
2	guddribu
2	guddrigi
2	ih§tenas
2	ih§tenu
2	ilgas
2	isìehrbj
2	itt
2	jauna
2	joprohjam
2	ka´
2	kahds
2	kaººu
2	kaººus
2	katru
2	íehniòa
2	íehniòòam
2	íehniúchkas
2	kungam
2	labbada
2	labbumu
2	labbus
2	lai
2	laid
2	laimigi
2	laizigas
2	laizigu
2	ïaudim
2	lauka^
2	ïaunu
2	leetu
2	leez
2	mahzitajus
2	meeriga
2	mihïa
2	mihïiga
2	muhúahm
2	muhúam
2	muhúas
2	muh§cham
