Vârdformu skaits:	2025
Vârdlietojumu skaits:	7971


478	vnd
242	to
186	gir
155	ka
137	tas
106	nhe
94	no
86	eek§chan
82	buhß
76	Deewa
72	Ta
72	teems
70	tu
68	ar
65	par
60	es
58	Deews
58	mums
56	ta
55	py
54	mann
46	Adbillde§chana
45	Jauta§chana
43	arrid§an
40	töw
39	úawu
36	bett
36	Kas
36	tawu
35	Tas
32	tam
31	Deewu
31	tha
30	jums
30	Kunx
30	tahs
29	Wahrdu
27	katters
27	kattri
25	§wähtu
24	Ghräko
24	Tähws
22	Adbilld
22	Chri§tus
22	czaur
22	tohp
22	Töw
22	Vnd
21	Amen
21	Es
21	JE§u
21	Ka
21	tahß
21	wings
20	Adbilldi
20	kas
20	Ko
20	mannu
20	pehtz
19	äßmu
19	Kungu
19	labb
19	tee
19	vs
19	winja
19	wi§úu
18	A§úini
18	Bett
18	Chri§ti
18	Ja
18	úöw
18	tad
18	weenu
18	wi§úeems
17	Chri§tum
17	darriet
17	jeb
17	mehs
17	pa§§chu
17	weens
16	Ghräkeems
16	muh§úu
16	tohß
15	dohd
15	Ghräkus
15	kattra
15	peedo§chanu
15	preek§chan
15	tohs
14	ai§to
14	e§úi
14	Gharru
14	kad
14	ko
14	mehß
14	mieïoht
14	úacka
14	§cho
14	§wähtz
14	titzu
13	Ai§to
13	juhß
13	Mee§úu
13	úatziya
13	§wähta
12	Baußlis
12	dehï
12	eet
12	JE§um
12	luhd§am
12	muh§úa
12	neds
12	§chäla§tibu
12	Semmes
12	Wahrdeems
11	buhs
11	Chri§to
11	darraita
11	JE§us
11	Kunga
11	Luhk§chana
11	Mais
11	Mee§úa
11	Mee§úas
11	Mums
11	Nahwu
11	úaweems
11	Wings
10	bietees
10	buht
10	d§iewo
10	lieds
10	mannus
10	No
10	peedärr
10	§tahw
10	Tähwu
10	wi§úus
10	zaur
9	Dähla
9	Dähls
9	Gharrs
9	Kungam
9	noteek
9	nu
9	prettie
9	Tähwa
9	tawa
9	tee§cham
9	Titzi
9	Wahrtz
9	ween
8	Baußleems
8	doht
8	dohta
8	e§úeeta
8	jehme
8	Jemmeeta
8	Juhß
8	Kad
8	labbu
8	manna
8	muh§úo
8	N
8	prett
8	Úeewas
8	Úeewu
8	Tad
8	Teems
8	tick
8	titz
8	titzeht
8	Titzibu
8	turr
8	warr
8	weena
8	weenam
7	äh§t
7	Czillwähx
7	Czillwäkam
7	Czillwäkeems
7	Debbe§úies
7	Draud§ibu
7	Gharra
7	ghribbätu
7	ihten
7	Luhk§chana`
7	muh§chigu
7	muh§úam
7	packlau§úigi
7	peedoht
7	tahdu
7	tai
7	taws
7	tho
7	Vhdens
7	Wahrdi
7	winya
7	wiß
6	Bährni
6	beß
6	Chri§titu
6	dabbu
6	Dählu
6	dahrgu
6	Debbe§úu
6	Deewa=ghalldu
6	dehwe
6	d§erreeta
6	d§iewo§chanu
6	etc
6	ghann
6	Ghräki
6	ißleetz
6	labpraht
6	ïaun
6	leelu
6	Maht
6	mahzais
6	mieïais
6	muh§chige
6	Muh§úo
6	ohtra
6	patteitze
6	pattiek
6	peeminnädami
6	Úacki
6	§chähl
6	Tapehtz
6	taps
6	tawas
6	Tee
6	tur
6	Tuwaku
6	warru
6	winjam
6	winju
6	wi§úenahdu
5	ähdeeta
5	appack§chan
5	auk§cham
5	Bährneems
5	Ba§nizas
5	Baußlus
5	biyis
5	Chri§tiba
5	Chri§tibas
5	Czillwäku
5	darra
5	dauds
5	Debbe§úo
5	Deewam
5	d§iewoht
5	ES
5	ghalldu
5	ghribbi
5	Gir
5	jembt
5	juh§úeems
5	kam
5	Kapehtz
5	kattreems
5	kattru
5	Kungha
5	mahziet
5	mannis
5	manns
5	mieïu
5	nei
5	O
5	Par
5	pawehleyis
5	Prahtu
5	Prahtz
5	pu§úes
5	Rohkas
5	úawas
