Vârdformu skaits:	3318
Vârdlietojumu skaits:	13488
	
	
499	vnd
457	gir
389	to
338	nhe
268	taß
246	bett
246	kaß
208	ka
122	úawu
121	tha
118	vs
110	no
110	ta
108	tam
107	tee
100	ar
97	tohp
91	teems
88	tu
86	kad
86	winya
81	tad
79	py
73	töw
72	ai§to
67	tahß
66	vnnd
59	darra
57	tohß
55	tawu
55	weens
53	wings
52	zeïïu
48	par
47	úirrtz
45	labb
43	tho
41	a
41	pehtz
40	buhß
39	eß
35	ghuddris
35	mann
34	kattri
34	zaur
33	úöw
32	16
31	2
31	3
31	4
31	5
31	6
31	7
31	8
31	9
31	10
31	11
31	12
31	13
31	14
31	17
31	18
31	dauds
30	15
30	19
30	20
30	21
30	22
30	kunghu
29	23
29	winyas
28	24
28	tawas
27	25
27	kahtz
27	mutt
27	nahk
26	26
26	27
26	beßdeewigho
26	eet
26	úawas
25	kurr
25	mutte
25	tawa
25	wiers
24	b
24	dohd
24	kunx
24	taps
23	kattra
23	mannu
23	parei§e
22	ja
22	prahtiex
22	turr
20	28
20	ghuddribu
20	jegkis
20	ïaun
20	zillwähx
19	darriet
19	eek§chan
19	ko
19	manns
19	palleek
18	beßdeewiex
18	e§úi
18	manntu
18	paddomu
18	tai§§nis
18	und
18	winyo
17	29
17	bährns
17	kahda
17	kam
17	pattiek
17	úawa
17	úirrdi
17	weenu
17	zell§ch
16	dähls
16	ghribb
16	leetz
16	prett
16	weena
15	30
15	atzis
15	eenied
15	jegka
15	kungha
15	kungham
15	laid
15	prahtu
15	runna
15	úawa`
15	vn~
15	warr
14	äßmu
14	buht
14	ghann
14	jegkam
14	jegki
14	leetu
14	mieïo
14	nammu
14	preek§chan
14	rohkas
14	währa
13	31
13	beß
13	es
13	ïaudis
13	muttes
13	tai§§no
13	tomähr
13	wi§úi
12	32
12	arried§an
12	attrohd
12	c
12	d§iewibas
12	ey
12	irr
12	labbu
12	leetas
12	mannta
12	nabbax
12	nhelaim
12	nhepatteeß
12	semmes
12	te
12	wairahk
12	wehl
12	zillwäka
11	beßdeewigha
11	beßdeewighi
11	d§iewo
11	deewa
11	dehï
11	koninya
11	mahzibu
11	nabbaghu
11	nahwes
11	pa§úarrgha
11	pills
11	úacka
11	úeewa
11	tai§§na
11	tuwaku
11	wahrdi
11	wi§úu
10	33
10	bähda
10	d§iewiba
10	d§iewibu
10	dohma
10	ghuddriba
10	kahdu
10	labbahk
10	labpraht
10	leekahß
10	nheghanntiba
10	preek§ch
10	rohku
10	úirrds
10	úirrdy
10	tai
10	wahrdus
10	winyam
9	§tarrpan
9	bähdas
9	baußlu
9	beßdeewighu
9	darrbu
9	ghuddri
9	juhß
9	klau§úa
9	kur
9	labbe
9	luhpas
9	manna
9	mannas
9	mehle
9	namma`
9	pirrms
9	preezayahß
9	tähwa
9	tai§§ni
9	wiera
9	zillwäkam
8	attkall
8	atzeems
8	dweh§úel
8	ghribbu
8	ihten
8	jemm
8	konings
8	labbs
8	ney
8	pallix
8	sinna§channu
8	tee§cham
8	wienu
8	wiß
7	§trahda
7	alla§ch
7	alla§chien
7	arrid§an
7	auk§cham
7	baggahtz
7	bie§tahß
7	by
7	dabbu
7	ghribbam
7	ghuddra
7	jums
7	kaßlabb
7	labbahx
7	ïaunu
7	leezineex
7	ïohte
7	mahziba
7	mais
7	manni
7	mehß
7	namms
7	peetitziex
7	prahtighu
7	prahtz
7	rahmo
7	runnaht
7	úawus
7	tai§§niba
7	tick
7	tohpi
7	wallda
7	wallodu
7	ween
7	winyu
7	zerriba
7	zittu
6	§inna
6	§taigha
6	a§úini
6	bahränu
6	bährni
6	ghodu
6	ghräku
6	ih§tänu
6	kallps
6	kauns
6	klu§úina
6	koninyeems
6	labba
6	laika`
6	ïaudeems
6	leela
6	mahza
6	mannus
6	mieligha
6	nhelaime
6	nheneeka
6	nitzina
6	noh§t
6	ohtru
6	pa§§chu
6	pahrmazi§channu
6	pallieds
6	pilli
6	úamaita
6	úamaitahß
6	úeewas
6	sinna§channa
6	slingkis
6	tähwu
6	tai§§nibu
6	tai§§nu
6	tawai
6	tee§úu
6	teitz
6	tierumu
6	wahrtz
6	zeïïi
5	34
5	§kattahß
5	§tahw
5	§teid§ahß
5	§tippra
5	ä§úohtz
5	ähd
5	att§tah
5	augïeems
5	auxte
5	baggatibu
5	bahr§channu
5	biyu
5	d
5	d§ännahß
5	d§irrd
5	darrbs
5	deenas
5	drehbes
5	dweh§úele
5	eepreezina
5	eeúahk
5	eh§t
5	ehd
5	ghallwo
5	ghohtz
5	ghräki
5	ghribbi
5	illghe
5	jegko
5	katters
5	kattru
5	klau§úaita
5	klayahß
5	labbaka
5	leek
5	lieds
5	liexmoyahß
5	magkeniet
5	maht
5	mahzibas
5	mai§es
5	mans
5	meckleh
5	meeru
5	mitteyahß
5	nabbagheems
5	nheghantiba
5	nhelaimeh
5	nhelaimiba
5	nicknis
5	ock
5	paddomiba
5	paddoms
5	peetruhx
5	peewiïï
5	pirrmahk
5	preex
5	rahmus
5	red§i
5	runnas
5	úacki
5	sälltz
5	úawam
5	semme
5	úohda
5	úuddrabu
5	tahms
5	tapt
5	tee§úa
5	tickai
5	trackumu
5	turrahß
5	wahrdeems
5	wahrdu
5	wirß
5	zätzen
4	35
4	§chkeetahß
4	§tippris
4	ab§chäloyahß
4	abbi
4	aggre
4	ahwohtz
4	ara
4	attmaxahtz
4	au§úi
4	au§úis
4	baggatiba
4	barribu
4	blehdiba
4	d§iewohß
4	da§§ch
4	dahwanas
4	diwi
4	doht
4	draughi
4	draughu
4	dries
4	droh§ch
4	dußmibu
4	dweh§úelei
4	elle
4	elles
4	ghaida
4	ghoda`
4	ghräkeems
4	ghuddreems
4	ghuddribas
4	ghull
4	jämm
4	jeb
4	jegkiba
4	kaulus
4	klau§úi
4	kohx
4	krahßnis
4	krohnis
4	labbumu
4	lahd
4	ïau§cho
4	leelu
4	leeta
4	lohki
4	mäddu
4	mahtes
4	mällkulis
4	mälus
4	meckle
4	mehditayu
4	mehles
4	mieliex
4	mitteyeeß
4	muh§cham
4	muh§chige
4	nabbad§iba
4	nabbagham
4	nahtz
4	näß
4	neds
4	nickna
4	noteek
4	notiex
4	pa
4	pa§§cha
4	païauyahß
4	patturr
4	pawehle§channu
4	pehrles
4	prahtigha
4	preek§cha
4	pui§úi
4	puttnis
4	rahma
4	rahmi
4	rahms
4	ree§channu
4	úawahms
4	úaweems
4	úeewu
4	semm
4	úirrdes
4	úittäni
4	slinngkis
4	swetze
4	tahïe
4	tähwam
4	tai§§nam
4	tas
4	tauta
4	taweems
4	tawi
4	taws
4	tawus
4	teitan
4	thaß
4	tudeïï
4	turreteeß
4	vsjämm
4	wädd
4	waighu
4	wainas
4	wairs
4	warri
4	weentee§úighi
4	weetu
4	wi§úus
4	wieru
4	wiïï
4	zillwäkeems
3	§chäla§tiba
3	§kubbina
3	§lawa
3	§tarrp
3	§tippru
3	arr
3	atz
3	aughïi
3	augïus
3	auxta
3	awohtz
3	bähg
3	bahr§úiba
3	bährneems
3	barrx
3	baußlus
3	beddre
3	beßkaunighe
3	biya§channa
3	brahlis
3	bu§channu
3	buhtu
3	buß
3	d§iews
3	d§iïïa
3	dabbuiß
3	dählu
3	darri
3	darriyis
3	deenu
3	deewa=biya§channa
3	dohdahß
3	draux
3	drie§t
3	durº
3	durrwis
3	dußmo
3	dußmohß
3	dweh§§el
3	ee=krittieß
3	eeleems
3	ghaidi§channa
3	ghallwu
3	ghlabbo
3	ghotz
3	ghrähx
3	ghräko
3	ghräkus
3	ghribbädams
3	ghuddrighe
3	ghuddro
3	ghulleht
3	ick=kattra
3	ickdeenas
3	ißdoh§úeeß
3	ißdohdahß
3	ißniext
3	ja=zee§ch
3	jaw
3	jeb§che
3	jegkeems
3	jegkiex
3	jembt
3	jemmeeta
3	jep§che
3	jumbtu
3	kacklu
3	kahyas
3	kahyu
3	kappa
3	kattras
3	kattrus
3	kauna`
3	kaunu
3	klahyahß
3	kohpa
3	koninyu
3	krähßlis
3	kriet
3	krittieß
3	labbas
3	läppna
3	läppnis
3	lawis
3	leeku
3	leetus
3	lixtu
3	mäddus
3	mahte
3	mahziteeß
3	mai§e
3	mäli
3	man
3	manntohß
3	mauka
3	mazibu
3	meeghu
3	meers
3	mehditais
3	mehl
3	meitas
3	mielä§tibas
3	miïo
3	mugguru
3	mums
3	nabbagho
3	namma
3	negg
3	nhe§inna
3	nhebehdneex
3	nhelabbu
3	nhelaimiba`
3	nheneek
3	pa§úargha
3	paghlabbo
3	pahrghro§ita
3	pahrmahza
3	pahrmazi§channa
3	pamazi§channu
3	patt
3	patturri
3	pe§ti
3	peedärr
3	peepeh§ch
3	peezeetiex
3	pirrmayu
3	pïauyama=laika`
3	pleh§úiex
3	prahtighi
3	pu§§chkainis
3	rahda
3	rahmeems
3	red§igha
3	riext
3	úahpes
3	sältz
3	úawai
3	úayemm
3	semmeh
3	úitt
3	sohbins
3	úohda`
3	úohïi
3	stieghu
3	úuddrabs
3	swarrß
3	tadehï
3	tahtz
3	tähws
3	tap§i
3	tapehtz
3	tappis
3	tawa`
3	tawahms
3	tawam
3	teicktz
3	trackaina
3	trackumbs
3	tuwaka
3	tuwakam
3	udenns
3	ugguns
3	upperis
3	wäddahß
3	wahrteems
3	wahrtieß
3	weentee§úiex
3	wehr§úis
3	wi§úeems
3	widdu
3	wiïïahß
3	wirrwes
3	zeïï
3	zeïïahß
3	zillwäki
3	zillwäku
2	§aïïohß
2	§chäla§tibu
2	§chodeen
2	§churr
2	§iemo
2	§innahß
2	§innu
2	§keet
2	§kie§ts
2	§kreen
2	§läppäne
2	§needs
2	§perr
2	§pied
2	§taighadams
2	§tarpan
2	§tippre
2	§tipprenaya
2	§wähtz
2	§warß
2	§wehti
2	§wehtiba
2	ä§úam
2	abbo
2	ackmini
2	adbillde§channa
2	ap§tipprenahtz
2	apghro§ietz
2	apkahrt
2	aprunnataya
2	apry
2	att§ie§t
2	att§needs
2	att§tahß
2	att=darri
2	attlehzis
2	attmaxahß
2	attnäß
2	attneß
2	attpackaïï
2	attpe§ti
2	attra§t
2	attraß
2	atza=wahkeems
2	auka
2	auß
2	auxtas
2	auxteems
2	auxtu
2	awoti
2	baddu
2	baggatam
2	baggati
2	baggatibas
2	baggatu
2	baggatz
2	bähdahß
2	bahr§channa
2	bailighu
2	ballxni
2	beddreh
2	beedris
2	behkt
2	beßdeewigham
2	beßdeewigheems
2	bie§úeeß
2	bieteeß
2	biya§channas
2	biya§channu
2	blehdibas
2	blehdibu
2	blehtz
2	brähtz
2	d§änn
2	d§ehren
2	d§enn
2	d§err
2	d§erº
2	d§errt
2	d§ieß
2	d§iewo§channa
2	d§iewo§channu
2	d§iewoh§úi
2	d§iewoht
2	d§iïïumi
2	d§irrdeteeß
2	da§cham
2	dabbuit
2	dägg
2	dähla
2	dahwana
2	dargha
2	darrba`
2	darrieß
2	darriya
2	debbe§úes
2	debbeß
2	deewam
2	deewu
2	dohbe
2	dohbeh
2	dohmu
2	dohß
2	drieß
2	durrwieß
2	duß
2	dußmiba
2	dußmiex
2	dweh§úelehms
2	dweh§úeles
2	ee=eet
2	ee=nied
2	eeck§chan
2	eelas
2	eeúakums
2	ehdenn
2	ghaddi
2	ghaddus
2	ghai§úa
2	ghalla
2	ghalldu
2	ghallwai
2	ghalwo
2	gharrda
2	ghau§úenahtz
2	ghaya
2	ghayis
2	ghluhna
2	ghoda
2	ghrehzeneekeems
2	ghribbätu
2	ghribbeeß
2	ghruh§ch
2	ghruht
2	ghuddru
2	ghulli
2	ick=deenas
2	ick=kattram
2	ih§täna`
2	iß=§pee§ch
2	iß=§prux
2	iß=tahïe
2	ißbehkt
2	ißd§ee§t
2	ißd§i§úieß
2	ißkai§úa
2	ißniex
2	ißpoh§ta
2	ißpoh§ti
2	ißthere
2	itt
2	ja=zerre
2	jackteyu
2	jämmahß
2	jauka
2	jauke
2	jaunehkli
2	jaunibas
2	jauns
2	jaux
2	jegkibas
2	jegkibu
2	juhres
2	kackta`
2	kahdas
2	kahds
