Vârdformu skaits:	5717
Vârdlietojumu skaits:	9517


93	darriet
62	buht
60	no
56	tapt
54	ar
33	nhe
29	ka
28	kohpa
27	vs
25	prettie
23	ïohte
22	doht
22	zaure
21	eet
21	preek§cha
21	py
19	par
18	ta
18	to
18	turreht
17	úatziet
17	tick
16	attkall
16	itt
14	kaß
14	me§t
13	dabbuit
13	gir
13	ja
13	jembt
13	pills
13	tetzeht
12	apkahrt
12	beß
12	§tahweht
12	§tarrpa
12	taß
11	attkal
11	ghribbeht
11	ne§t
11	noh§t
11	nomanniet
11	pa
10	attpackaï
10	ghulleht
10	jaux
10	labbe
10	lickt
10	papreek§che
10	pehtz
10	puh§t
10	reis
10	vnd
10	wehleht
9	jauns
9	läppnis
9	leekt
9	man
9	Semme
9	úi§t
9	wä§úäls
8	apdohmaht
8	barrgs
8	ghribbe§chana
8	ihten
8	klaht
8	leeta
8	Linnus
8	neewaht
8	nitzinaht
8	pallickt
8	puß
8	úajembt
8	§iòòu
8	Tee§úa
8	t§chacklis
8	wätz
8	ween
8	zaur
8	zeek
8	Zell§ch
8	zellt
7	attkiels
7	Ammatz
7	dabba
7	dauds
7	d§errt
7	d§iet
7	ghuddris
7	jeb
7	kahrt
7	kur
7	leels
7	lied§e
7	lohziet
7	mahziet
7	mi§t
7	Nhelaime
7	notickt
7	nozirr§t
7	parei§e
7	pawehleht
7	rahms
7	úalickt
7	§chki§t
7	§churrp
7	Úirrds
7	§kreet
7	§pee§t
7	§piedeht
7	§poh§ch
7	weens
7	weeta
7	zee§t
6	A§úinis
6	behkt
6	beikt
6	dahrgs
6	darrbs
6	dohd
6	dohdt
6	dries
6	droh§ch
6	eh§t
6	ghaidiet
6	ghaiß
6	gharr§ch
6	illghe
6	ißklau§úiet
6	ißtetzeht
6	kad
6	karr§ts
6	klu§úe
6	ko
6	lehkt
6	lieds
6	Mahte
6	nhejaux
6	nicknis
6	no§kummis
6	pakuhdenaht
6	pe§tiet
6	prahtiegs
6	pretzeht
6	projam
6	rei§as
6	Rohka
6	§cho
6	§kaidris
6	§lapp§ch
6	úohliet
6	§taighat
6	§tippre
6	§trahdaht
6	tad
6	taggad
6	tudeïï
6	Waigs
6	weena`
6	wehl
6	we§t
5	apghree§t
5	aptraipiet
5	attjembt
5	attwehleht
5	bähdas
5	baººoht
5	bett
5	bieteeß
5	Bunghas
5	dalliets
5	deet
5	draud§e
5	d§iewoht
5	eß
5	Ghohds
5	ghree§t
5	ißbehkt
5	ißdoht
5	ißniekt
5	kam
5	klahte
5	kuhtris
5	labba
5	labbs
5	labbu
5	lähte
5	laikohß
5	lai§t
5	liexmis
5	mättahß
5	meckleht
5	Naggs
5	nahkt
5	nhe§chkie§ts
5	No
5	noghree§t
5	nojembt
5	no§chkirrt
5	patt=ghallwis
5	peewillt
5	plieteht
5	plix
5	pluck§chkeht
5	prahtu
5	Prahtz
5	prett
5	Pretzeneex
5	Pullx
5	úahpes
5	úallt
5	Úeewa
5	Semmes
5	§kahbs
5	§kanneht
5	§läppäne
5	§tah§tiet
5	úuckaht
5	tahß
5	tapehtz
5	tee§cham
5	tehr§eht
5	tiet
5	trax
5	tuck§ch
5	turp
5	turrp
5	tuwe
5	vszellt
5	Wahrds
5	wahrdu
5	waizaht
5	warru
5	Willtiba
5	wiß
4	aggre
4	aisjembt
4	alla§ch
4	alla§chien
4	aprackt
4	apraud§iet
4	apúehdeht
4	attlickt
4	augt
4	auxts
4	Ahda
4	Bahr§chana
4	bahrteeß
4	ballts
4	Barriba
4	baudiet
4	Beedris
4	Behres
4	beßprahtiegs
4	Bruòòas
4	darrboht
4	Darrbs
4	da§che
4	deena
4	dirr§t
4	diwi
4	d§iews
4	ee=nahzis
4	eek§cha
4	Eek§chas
4	eeúahkt
4	ey
4	ghabbalohß
4	ghai§ch
4	Ghallwa
4	ghattaws
4	ghau§che
4	ghlabboht
4	ghruh§t
4	iß=§teept
4	ißd§eh§t
4	ißpoh§tiet
4	ißrunnaht
4	jauke
4	kahweht
4	kauna`
4	kaut
4	kauteeß
4	klahjahß
4	kleekt
4	Krähßlis
4	krahßne
4	labbums
4	labpraht
4	laika`
4	laiku
4	Ïaudis
4	lau§iet
4	leetas
4	Lohps
4	luhkt
4	lukoht
4	mas
4	ma§ahk
4	maxaht
4	Meets
4	Mehle
4	Mehnes
4	Mehneß
4	mehrzeht
4	Meita
4	mie§t
4	miexte
4	miexts
4	Nauda
4	Naudu
4	Nhelaimiba
4	nhewä§úäls
4	nokaut
4	nopellniet
