Vârdformu skaits:	5510
Vârdlietojumu skaits:	9517
	
	
93	darriet
65	no
62	buht
56	ar
56	tapt
33	nhe
29	ka
28	kohpa
27	vs
25	prettie
23	ïohte
22	doht
22	py
22	zaure
21	eet
21	preek§cha
19	par
18	ta
18	to
18	turreht
17	úatziet
17	tick
16	attkall
16	itt
15	pills
14	ja
14	kaß
14	me§t
13	dabbuit
13	gir
13	jembt
13	tetzeht
12	§tahweht
12	§tarrpa
12	apkahrt
12	beß
12	taß
11	attkal
11	ghribbeht
11	ne§t
11	noh§t
11	nomanniet
11	pa
10	attpackaï
10	darrbs
10	ghulleht
10	jaux
10	labbe
10	lickt
10	papreek§che
10	pehtz
10	puh§t
10	reis
10	úirrds
10	vnd
10	wehleht
9	jauns
9	läppnis
9	leekt
9	man
9	pullx
9	semme
9	úi§t
9	wä§úäls
8	§iòòu
8	apdohmaht
8	barrgs
8	ghaiß
8	ghribbe§chana
8	ihten
8	klaht
8	leeta
8	linnus
8	neewaht
8	nitzinaht
8	pallickt
8	prahtiegs
8	puß
8	úajembt
8	t§chacklis
8	tee§úa
8	wahrdu
8	waigs
8	wätz
8	ween
8	willtiba
8	zaur
8	zeek
8	zell§ch
8	zellt
7	§chki§t
7	§churrp
7	§kreet
7	§pee§t
7	§piedeht
7	§poh§ch
7	a§úinis
7	ammatz
7	attkiels
7	d§errt
7	d§iet
7	dabba
7	dauds
7	eh§t
7	ghuddris
7	jeb
7	kahrt
7	kuhtris
7	kur
7	leels
7	lied§e
7	lohziet
7	mahziet
7	mi§t
7	nhelaime
7	notickt
7	nozirr§t
7	parei§e
7	pawehleht
7	prahtu
7	rahms
7	úalickt
7	weens
7	weeta
7	zee§t
6	§cho
6	§kaidris
6	§lapp§ch
6	§taighat
6	§tippre
6	§trahdaht
6	bähdas
6	behkt
6	beikt
6	dahrgs
6	dohd
6	dohdt
6	dries
6	droh§ch
6	eek§chas
6	ghaidiet
6	gharr§ch
6	ghohds
6	illghe
6	ißklau§úiet
6	ißtetzeht
6	kad
6	karr§ts
6	klu§úe
6	ko
6	lehkt
6	leppniba
6	lieds
6	mahte
6	nabbags
6	nhejaux
6	nicknis
6	no§kummis
6	noghree§t
6	pakuhdenaht
6	pe§tiet
6	pretzeht
6	projam
6	rei§as
6	rohka
6	úahpes
6	úohliet
6	tad
6	taggad
6	tudeïï
6	wahrds
6	warru
6	we§t
6	weena`
6	wehl
6	wiß
5	§kahbs
5	§kanneht
5	§läppäne
5	§tah§tiet
5	apghree§t
5	aptraipiet
5	attjembt
5	attwehleht
5	baººoht
5	beßdibbens
5	bett
5	bieteeß
5	bunghas
5	d§iewoht
5	dalliets
5	deena
5	deet
5	draud§e
5	dumpis
5	eß
5	ghree§t
5	ißbehkt
5	ißdoht
5	ißniekt
5	kam
5	klahte
5	labba
5	labbs
5	labbu
5	lähte
5	lai§t
5	laikohß
5	liexmis
5	lohps
5	mättahß
5	meckleht
5	naggs
5	nahkt
5	nhe§chkie§ts
5	nhewä§úäls
5	no§chkirrt
5	nojembt
5	patt=ghallwis
5	peewillt
5	pïaut
5	plieteht
5	plix
5	pluck§chkeht
5	poh§titais
5	prahts
5	prahtz
5	prett
5	pretzeneex
5	úalied§ena§chana
5	úallt
5	úeewa
5	semmes
5	úuckaht
5	tahß
5	tapehtz
5	tee§cham
5	tehr§eht
5	tiet
5	trax
5	tuck§ch
5	turp
5	turrp
5	tuwe
5	vszellt
5	waizaht
5	waïïa
4	§chau§chalas
4	§chaut
4	§chkie§tiet
4	§chkirrt
4	§churr
4	§ieme
4	§peht
4	§pehziegs
4	§tah§ti§chana
4	§tippris
4	§wehreht
4	aggre
4	ahda
4	aisjembt
4	alla§ch
4	alla§chien
4	aprackt
4	apraud§iet
4	apúehdeht
4	att§chkirrt
4	attlickt
4	augt
4	auxts
4	bahr§chana
4	bahr§úiba
4	bahrteeß
4	ballts
4	barriba
4	baudiet
4	beedris
4	behres
4	beßprahtiegs
4	bruòòas
4	d§iews
4	da§che
4	darrboht
4	deenu
4	dirr§t
4	diwi
4	dohbe
4	dwa§§cha
4	ee=nahzis
4	eek§cha
4	eeúahkt
4	ey
4	ghabbalohß
4	ghai§ch
4	ghallwa
4	ghallwu
4	ghattaws
4	ghau§che
4	ghlabbo§chana
4	ghlabboht
4	ghruh§t
4	iß=§teept
4	ißd§eh§t
4	ißpoh§tiet
4	ißrunnaht
4	jauke
4	kahweht
4	kauna`
4	kauns
4	kaunums
4	kaut
4	kauteeß
4	klahjahß
4	kleekt
4	krähßlis
