Vârdformu skaits:	4578
Vârdlietojumu skaits:	8687


125	nhe
101	gir
99	to
85	taß
81	ta
76	ka
72	no
68	tu
60	ar
56	eß
50	töw
40	wings
33	vnd
31	tick
30	tahß
28	ghallwu
28	py
27	ghann
27	jaw
25	man
25	tam
25	vs
24	kad
24	mann
23	es
22	eet
22	kaß
22	ko
21	deews
21	e§úi
21	ghallwa
21	siwis
21	tee
21	tohß
21	winjam
20	itt
20	labbe
19	dauds
19	deena
19	diwi
19	weens
17	atzis
17	buhß
17	par
17	semme
16	bährns
15	darriet
15	dohd
15	ïohte
15	warr
15	wätz
14	sohbi
14	wehl
13	deewa
13	leels
13	leetz
13	mee§úas
13	mutte
13	tad
12	leela
12	úahp
12	§churr
11	ackminis
11	äßmu
11	jauns
11	mais
11	mee§úas{}
11	mehneß
11	úmirrd
11	warru
11	wi§ta
10	drehbes
10	ghaiß
10	laix
10	matti
10	matti{}
10	nu
10	pehtz
10	úahrms
10	§tippre
10	ugguni
9	ar{}
9	ballta
9	jeb
9	mai§e
9	sirrgham
9	tickai
9	tohp
8	ahda{}
8	aß
8	mahki
8	me§t
8	mutt
8	nahtz
8	nauda
8	runna
8	runnaht
8	sahles
8	tahß{}
8	tai
8	teems
8	udens
8	wahrdu
8	wari{}
8	wätza
8	weenu
8	wi§úu
8	zeek
7	bahrda{}
7	bährnam
7	beß
7	di§chane
7	drehbes{}
7	d§ija{}
7	jo
7	kattlis
7	kläppus
7	labbs
7	laid
7	leelas
7	leelu
7	linni
7	mälla
7	mallka
7	mallku
7	maß
7	mehle
7	ney
7	úahlß
7	úarrkans
7	sieme
7	úirrds
7	sirrghu
7	úunnß
7	uhdeni
7	wahriet{}
7	warri
7	wehr§úis
7	zeppetz
6	ahda
6	allus
6	a§úinis
6	attkal
6	barribu
6	brautz
6	dägguns
6	darri
6	dries
6	ghaïïa
6	ghohß
6	ghull
6	jauna
6	kattlu
6	kohka
6	koh§ch
6	krähßlis
6	kur
6	linnus
6	ma§a
6	ma§i
6	meita
6	mums
6	mutza
6	pill
6	puß
6	puttnis
6	úeenu
6	úeewa
6	semmes
6	sirrghus
6	úirrms
6	sirrx
6	§tippris
6	ugguns
6	wärrd
5	ackmins
5	alla§ch
5	ap
5	arrieg
5	attneß
5	au§t
5	awis
5	bährni
5	ba§nizas
5	bengkis
5	briedi
5	by
5	dähls
5	drahnas
5	d§eed
5	d§eedaht
5	d§irrnawas
5	ehd
5	eh§t
5	gharrs
5	ghribb
5	ghulleht
5	jehle
5	kanna
5	kri§t
5	kubblis
5	kungha
5	labb
5	labba
5	magkeniet
5	maiß
5	mälli
5	mälls
5	mannu
5	mattus
5	muh§cham
5	naggs
5	parei§e
5	peens
5	peere
5	pilla
5	pills
5	pillu
5	sahle
5	úahrmu
5	úalltz
5	úaule
5	úawu
5	schaggus
5	§cho
5	§illas
5	sirrx{}
5	úi§t
5	spallwas
5	stiepa
5	§weioht
5	tauki
5	trieß
5	wackars
5	willa
5	wi§úi
5	zaure
5	zeppeti
5	zeppli
4	ada
4	addata
4	ahbols
4	allwa
4	arried§an
4	atzis{}
4	auklis
4	bährnu
4	ballti
4	ba§niza
4	berr§t
4	bïohda
4	dägguns{}
4	deenu
4	deewam
4	deewu
4	doht
4	d§äll§a
4	d§ijas
4	engelis
4	ey
4	ghabbals
4	ghaiïohß
4	ghalldu
4	ghalltz
4	ghallwas
4	ghree§t
4	ghribbi
4	ghribbu
4	ghrute
4	ih§úa
4	kahja
4	kam
4	kapo§ti
4	kattri
4	kïuh§t
4	kruhtis
4	kru§úa
4	laiku
4	leelo
4	leetas
4	leetus
4	lied§e
4	mahte
4	mahziet
4	manna
4	mans
4	ma§gha
4	mättahß
4	meegs
4	meitai
4	millti
4	millti{}
4	milltus
4	ohgle
4	ohtra
4	peenu
4	pelle
4	pohtz
4	pui§úis
4	pu§§chu
4	red§eht
4	red§i
4	sagkus
4	úahli
4	úarrkanas
4	úarrkani
4	§chaurs
4	§chkie§t
4	§chkie§te
4	sirrgs
4	úmadd§enes
4	úmallx
4	sohß
4	sohß{}
4	soh§úi
4	spahrni
4	spallwahms
4	spannis
4	úuckaht
4	úwee§ts
4	úwee§tu
4	täck
4	tahrps
4	turr
4	udeni
4	vnnd
4	wahriet
4	waix
4	weena
4	wehrp
4	weh§ch
4	wiers
4	wiß
4	wi§úas
4	zell§ch
4	zepplis
4	zihrwulis
4	zirrwis
4	zittu
4	zuhka
3	abbra
3	aggre
3	ah§is
3	aisdarri
3	allu
3	appack§ch
3	appiòi
3	a§úi
3	a§te
3	attpuh§teeß
3	auns
3	au§o
3	auxte
3	balltz
3	ballxne
3	barriba
3	bett
3	bïohda{}
3	brahlis
3	buhdams
3	deeghi
3	deßmity
3	drud§is
3	d§eedaht{}
3	d§ija
3	durrwis
3	dweelis
3	eek§chan
3	eena§chi
3	eeßmis
3	eima
3	elles
3	ghadds
3	ghailis
3	ghaïïu
3	gharr§ch
3	gharru
3	ghräd§ens{}
3	ghräkeems
3	ghramata
3	jahtneex
3	jaunas
3	kahdu
3	kahjas
3	kah§úis
3	kait
3	kajas
3	ka§a
3	ka§läns
3	kauls
3	kauß
3	kräcklu
3	krampis
3	kubblu
3	kuhtz
3	kurr
3	labbi
3	labbibu
3	lahpiet
3	laix{}
3	ïauns
3	leeli
3	leeß
3	lickt
3	linni{}
3	lohpi
3	lohps
3	luhpas{}
3	mäddus
3	mahk
3	mahrki
3	mahrki{}
3	mah§úa
3	mahtz
3	maiß{}
3	mai§e{}
3	mai§úu
3	manni
3	ma§ghaht
3	mätt
3	maxtis
3	meddiet
3	mee§cho
3	mehß
3	mirroni
3	mi§úa
3	mui§cha
3	mutzu
3	nackti
3	naggi
3	nahk
3	na§is
3	naudu
3	nei
3	nhe=wä§úäls
3	no=eet
3	ohdas
3	oh§chnaht
3	pa
3	padarri
3	paggale
3	pährkons
3	pallaghus
3	pama§am
3	parrads
3	parradu
3	pa§§cha`
3	patarus
3	paweddens
3	peepeh§che
3	peetz
3	pirrmahk
3	pirrtz
3	platz
3	puh§ch
3	puppi
3	rahmietz
3	ratti
3	raud
3	rau§ta
3	rei§u
3	rohka
3	rud§o
3	rupja
3	rupji
3	úackas
3	sahle{}
3	úahlitas
3	úaimneex
3	úajemm
3	úallmi
3	úarrghi
3	úaººi
3	úau§úa
3	úawi§ke
3	§chahweht
3	§che
3	§cheitan
3	schkirr§ts
3	§chodeen
3	schoghlis
3	úeenß
3	seepes
3	seerß
3	úe§§chi
3	úex§te
3	úille
3	§inni
3	úirrma
3	§kaitiet
3	skallu
3	skreemelis
3	§kreen
3	§lappja
3	úleekas
3	úluh§chas
3	úmallki
3	úmeckeht
3	úmittes
3	sohbus
3	§tahw
3	úuhdi{}
3	úulla
3	úullu
3	úunni
3	swährs
3	swaig§ne
3	tähws
3	tee§úa
3	tha
3	thäws
3	tieklu
3	t§chettri
3	t§chuhßka
3	turreht
3	turrnis
3	ugguny
3	uhdens
3	uppe
3	uttis
3	vs=eet
3	vsleetz
3	wahd§emmes
3	wai
3	wairahk
3	wä§úälas
3	wätzas
3	wehrpt
3	wellwe
3	wiens
3	willane
3	willnas
3	winja
3	zaurums
3	zehrt
3	zillwähx
2	acka
2	ackmina
2	ackmini
2	acknis
2	addata=atz
2	ahbola=kohx
2	ahboli
2	ähd
2	ahdiòa
2	ahki
2	ahkus
2	ahnkens
2	ah§cha
2	ah§i
2	ammata=wahrdi
2	ammatu
2	apkahrt
2	appau§chi{}
2	apwillckt
2	ara
2	arr
2	a§aidu
2	ä§úam
2	a§úinim
2	a§tita
2	a§toòas
2	a§tota`=deßmity
2	attkall
2	attminnehteeß
2	att§lägha
2	attwära
2	atz
2	atza=mircklis
