Vârdformu skaits:	1423
Vârdlietojumu skaits:	3517
	
	
85	S
73	nhe
64	gir
63	A
46	eß
43	E
43	G
43	to
42	ka
34	töw
30	M
30	Nhe
29	D
29	tu
26	buhß
25	ar
25	B
25	J
25	L
24	tad
22	nu
21	vnd
21	vs
20	man
20	tee
19	dohd
19	Ko
19	par
19	Úeenu
17	taß
16	ghann
15	by
15	Ghann
14	no
14	Nu
14	R
13	Ka
13	Kaß
13	Kungs
12	bett
12	dauds
12	Deews
12	ta
12	Taß
12	turr
12	weenu
12	wings
11	§cho
11	Eß
11	kaß
11	Úaimneex
11	Sirrghi
11	T
10	buhtu
10	doh§chu
10	jaw
10	No
10	Sirrgheem
10	Sirrghus
10	vnnd
10	wehl
9	Au§as
9	Dohd
9	Gir
9	I
9	ko
9	labb
9	W
8	ghribbu
8	itt
8	O
8	puß
8	Ratti
8	Sche
8	Úeens
8	tam
8	warr
8	zitts
7	§churr
7	Bett
7	ghan~
7	Kur
7	labbs
7	Mann
7	Naudu
7	pra§úi
7	py
7	Red§i
7	tahß
7	tick
7	tohß
7	trieß
7	warru
6	dabbu
6	darriet
6	Es
6	es
6	Jaw
6	Jurring
6	maxaht
6	Ta
6	Tu
6	Zeïïu
5	§inna
5	dabbuit
5	darri
5	diwi
5	eet
5	jo
5	Kad
5	kad
5	Kunghi
5	labbu
5	Leetz
5	luhd§ohß
5	pa§§cham
5	Palldeeß
5	runna
5	úacka
5	Sirrgham
5	Tad
5	To
5	warrätu
5	wätzus
4	§cheitan
4	arrid§an
4	äßmu
4	Barribu
4	doh§úi
4	E§úi
4	ghajam
4	ghribb
4	Ja
4	ja
4	Jemm
4	kahds
4	kait
4	kaut
4	kur
4	kurr
4	labbi
4	laid
4	leetz
4	Maja=weetu
4	mann
4	mas
4	nahk
4	Naudas
4	patz
4	preek§cha
4	Rattus
4	red§i
4	Sirrghu
4	tadai
4	Tee
4	the
4	wa§cho
4	wackar
4	Wai
4	wajagha
4	warrehß
4	weens
4	zell
3	§che
3	§innaht
3	§teid§eeß
3	aggre
3	Ais
3	Arrieg
3	Au§ahm
3	Buhß
3	C
3	dabbui§chohß
3	dabbui§úi
3	Dahlderus
3	do§chu
3	dohma
3	Ey
3	Ghaddu
3	ghallu
3	Ghro§§chus
3	illghe
3	Jo
3	Kohku
3	Labb
3	labbe
3	labbus
3	labpraht
3	Laid
3	Laix
3	leetas
3	lieds
3	ïohte
3	magkeniet
3	Mahrku
3	majahß
3	mälls
3	mehß
3	mums
3	Nackti
3	ney
3	Nhewaid
3	noh§t
3	packaïï
3	peedärr
3	pillu
3	Pirrmahk
3	pirrmahk
3	pußlieds
3	Rieku
3	Riete
3	Úähku
3	Úähta`
3	Saimneex
3	úawu
3	úawus
3	Úche
3	Semme
3	Semmes
3	Sirrgs
3	Stabbu
3	Stalli
3	taggadien
3	The
3	truhx
3	tudeïï
3	tur
3	turrehß
3	Vs
3	wai
3	Wallodu
3	warri
3	Weens
3	Wiers
3	Zeema`
3	zeïïu
2	§chim
2	§chkie§te
2	§innu
2	§lapp§ch
2	ä§úam
2	ähd
2	ähdu§chi
2	Ahu
2	Allu
2	An§úis
2	Ar
2	Arcklu
2	arried§an
2	atteeß
2	attne§úeeß
2	aughu§úi
2	beß
2	bijis
2	brautz
2	brie§cham
2	d§iewoht
2	da§§ch
2	Dabbu
2	darries
2	darrieß
2	Debbe§úieß
2	Deewa
2	Deewam
2	Deewu
2	dehï
2	diweem
2	Doh§úi
2	dohmu
2	Drahnas
2	Drehbes
2	ee§úi
2	eek§chan
2	eeß
2	Eh§t
2	Etze
2	etzeht
2	Ghai§úu
2	Ghaiß
2	ghattawi
2	Ghribbi
2	ghribbi
2	irr
2	ißkrittieß
2	ja=eet
2	jeb
2	Jem~
2	Juhds
2	juhß
2	jums
2	Kahdi
2	kahdi
2	Kahdu
2	Kajas
2	Kaju
2	kam
2	Kapehts
2	karrajahß
2	kaweteeß
2	Klehti
2	Klughu
2	Kund§ing
2	Kurr
2	labbas
2	Labbs
2	Lahd
2	Lattwi§ku
2	leekt
2	leels
2	Lemme§chus
2	luh§is
2	Luhko
2	Mai§e
2	Majaweetu
2	Man
2	man~
2	mecklejeeß
2	muh§úo
2	neeka
2	Negg
2	negg
2	Nei
2	Ney
2	nheneeka
2	nokrittu§úi
2	Ock
2	Ohrmanni
2	Ohrmans
2	ohtris
2	ohtru
2	Otte
2	Pa§§cham
2	pa§§chi
2	Packawa
2	pahri
2	Pajumbtu
2	Pälawas
2	Pall=deeß
2	palleek
2	pallied§i
2	pallieds
2	parei§e
2	pattz
2	Pauti
2	pehtz
2	pïaut
2	Pra§úi
2	projam
2	Py
2	Ratteem
2	rei§as
2	reis
2	riete
2	Riex
2	Úacka
2	úacki
2	úacku
2	úahzeeta
2	Úaimneekam
2	úatziju
2	úau§úu
2	úche
2	Schkehr§t
2	Úeeka`
2	Úeenalaix
2	Úeewai
2	Sirrgheems
2	Skallu
2	Skrittelis
2	úöwis
2	Spähku
2	Spillwänu
2	Steid§eeß
2	Strenges
2	Úuhdus
2	Úwahrkus
2	t§chettrus
2	tahïe
2	Tährbatas
2	Tappas
2	Tappu
2	tawa
2	teem
2	teitan
2	Tick
2	tickai
2	Titzi
2	tuck§ch
2	Tuppeles
2	Vgguni
2	Vh§as
2	Wahza
2	wairahk
2	wätz
2	weddieß
2	Weena
2	Wehlieg
