Vârdformu skaits:	2050
Vârdlietojumu skaits:	7953


395	vnd
241	to
186	gir
153	ka
128	tas
106	nhe
95	no
88	eek§chan
82	buhß
76	Deewa
72	Ta
70	teem
70	tu
70	vnnd
66	par
63	ar
61	es
60	ta
58	mums
57	Deews
54	py
53	mann
45	Adbillde§chana
45	Jauta§chana
44	arrid§an
43	úawu
39	töw
37	Kas
36	tawu
35	Tas
35	bett
33	tahs
32	zaur
31	Deewu
31	Kungs
31	tam
30	Wahrdu
30	jums
28	katters
27	tha
26	kattri
24	Adbilld
24	Ghräko
23	Ka
23	Töw
21	JE§u
21	tohp
21	vn~
21	vs
21	wings
20	Es
20	Ko
20	Kungu
20	Tähws
20	mannu
20	pehtz
20	tee
19	Bett
19	Chri§tus
19	kas
19	labb
19	mehs
19	tad
19	tahß
19	äßmu
18	Vnd
17	Amen
17	A§úini
17	darriet
17	jeb
17	pa§§chu
17	tohß
17	weens
17	weenu
17	úöw
16	Ghräkeem
16	Ghräkus
16	Ja
16	dohd
16	muh§úu
16	winja
16	wi§úeem
16	wi§úu
16	úacka
15	Chri§ti
15	Chri§tum
15	Gharru
15	kattra
14	JE§um
14	Mee§úu
14	ai§to
14	kad
14	ko
14	mieïoht
14	peedo§chanu
14	titzu
14	tohs
14	§cho
14	§wähtu
14	úatziya
13	Ai§to
13	preek§chan
12	Baußlis
12	JE§us
12	Luhk§chana
12	Wahrdeem
12	eet
12	e§úi
12	juhß
12	luhd§am
12	mehß
12	muh§úa
12	neds
12	taß
11	Adbilldi
11	Kunga
11	Mais
11	Mee§úas
11	Mums
11	Nahwu
11	Semmes
11	Wings
11	buhs
11	darraita
11	dehï
11	lieds
11	úaweem
10	Chri§to
10	Gharrs
10	No
10	bietees
10	buht
10	d§iewo
10	peedärr
9	Dähla
9	Dähls
9	Kungam
9	Mee§úa
9	Tähwu
9	Wahrds
9	Zillwähx
9	mannus
9	noteek
9	nu
9	prettie
9	tawa
9	turr
9	ween
8	Baußleem
8	Kad
8	N
8	Tad
8	Titzi
8	Titzibu
8	Tähwa
8	Zillwäkam
8	dohta
8	e§úeeta
8	jehme
8	labbu
8	manna
8	muh§úo
8	prett
8	tee§cham
8	tick
8	titz
8	titzeht
8	weena
8	weenam
8	winya
8	§tahw
8	Úeewas
7	Däbbä§úu
7	Gharra
7	Juhß
7	Luhk§chana`
7	Schäla§tibu
7	Teem
7	Vhdens
7	Wahrdi
7	ghalldu
7	ghribbätu
7	ißleetz
7	muh§chige
7	muh§chigu
7	packlau§úigi
7	peedoht
7	tai
7	taws
7	warr
7	warru
7	wiß
7	Úeewu
7	Úwähtu
6	Adbildi
6	Bährni
6	Chri§titu
6	Dählu
6	Jemmeeta
6	Maht
6	Prahtu
6	Rohkas
