Vârdformu skaits:	1906
Vârdlietojumu skaits:	7953


395	vnd
245	to
191	gir
176	ka
163	tas
132	ta
108	nhe
105	no
89	eek§chan
86	es
82	buhß
77	deewa
77	teem
71	par
70	tu
70	vnnd
69	mums
67	ar
62	töw
58	deews
56	kas
54	bett
54	mann
54	py
45	adbillde§chana
45	jauta§chana
44	arrid§an
43	úawu
36	tam
36	tawu
35	zaur
34	ko
34	tahs
33	wahrdu
32	kungs
32	wings
31	deewu
31	katters
30	jums
30	kattri
27	ai§to
27	tad
27	tee
27	tha
24	adbilld
24	ghräko
24	mehs
22	chri§tus
22	kad
22	mannu
22	pehtz
21	ja
21	je§u
21	tohp
21	vn~
21	vs
20	amen
20	kungu
20	tahß
20	tähws
19	juhß
19	labb
19	äßmu
18	chri§ti
18	jeb
18	muh§úu
18	und
18	weens
18	winja
18	wi§úeem
17	a§úini
17	chri§tum
17	darriet
17	pa§§chu
17	tohß
17	weenu
17	úacka
17	úöw
16	dohd
16	ghräkeem
16	ghräkus
16	peedo§chanu
16	wi§úu
15	gharru
15	kattra
14	je§um
14	mee§úu
14	mehß
14	mieïoht
14	muh§úo
14	titzu
14	tohs
14	§cho
14	§wähtu
14	úatziya
13	luhk§chana
13	preek§chan
13	taß
13	titzi
12	baußlis
12	eet
12	e§úi
12	je§us
12	luhd§am
12	muh§úa
12	neds
12	wahrdeem
11	adbilldi
11	buhs
11	chri§to
11	darraita
11	dehï
11	kunga
11	lieds
11	mais
11	mee§úas
11	nahwu
11	semmes
11	úaweem
11	úwähtu
10	bietees
10	buht
10	draud§ibu
10	d§iewo
10	ghalldu
10	gharrs
10	mee§úa
10	nu
10	peedärr
10	tapehtz
10	tawa
10	wahrds
9	dähla
9	dähls
9	e§úeeta
9	kungam
9	mannus
9	noteek
9	prettie
9	taws
9	turr
9	tähwu
9	ween
9	weena
9	weenam
9	zillwähx
9	úwähtz
8	adbildi
8	baußleem
8	dohta
8	jehme
8	labbu
8	manna
8	n
8	prett
8	tee§cham
8	tick
8	titz
8	titzeht
8	titzibu
8	tähwa
8	warru
8	winya
8	zillwäkam
8	§tahw
8	úeewas
7	appack§chan
7	däbbä§úu
7	gharra
7	ghribbi
7	ghribbätu
7	ißleetz
7	labpraht
7	luhk§chana`
7	muh§chige
7	muh§chigu
7	packlau§úigi
7	peedoht
7	prahtu
7	schäla§tibu
7	tai
7	uhdens
7	wahrdi
7	warr
7	winju
7	wiß
7	zillwäkeem
7	ïaun
7	úacki
7	úeewu
6	aran
6	beß
6	bährni
6	chri§titu
6	dabbu
6	dahrgu
6	deewa=ghalldu
6	dehwe
6	doht
6	d§iewo§chanu
6	dählu
6	eh§t
6	ghräki
6	jemmeeta
6	leelu
6	maht
6	mahzais
6	mieïais
