Vârdformu skaits:	7064
Vârdlietojumu skaits:	37531


967	vnd
759	mums
742	to
714	gir
456	nhe
434	töw
425	no
370	Deews
367	Vnd
348	tu
345	Kungs
325	Ka
311	mann
310	tawu
308	taß
297	mehs
293	ka
217	O
214	eek§chan
208	par
200	py
198	tam
183	ta
171	e§úi
170	úawu
158	es
151	Taß
148	tas
148	zaur
147	No
146	3
145	2
144	To
132	buhß
126	4
124	ar
122	Deewa
115	Ta
115	vs
114	arrid§an
108	Úirrds
108	5
107	arr
104	Wahrdu
102	tee
101	Eek§chan
99	Nhe
95	Par
94	Kad
94	6
91	Tu
89	weens
88	warr
87	Katters
87	muh§chige
87	vnnd
86	Tas
85	muh§úu
84	eß
80	dohd
80	mannu
80	Tad
79	wi§úu
77	Amen
77	7
75	alla§chien
75	Tähws
73	Arr
73	by
73	ween
72	man
71	Hallelujah
70	tahs
69	muh§úo
69	Tee
68	Es
68	kattri
68	teem
67	buht
67	Kunghu
66	ä§úam
66	Ai§to
66	Deewu
66	katters
65	winja
64	Dählu
64	Tam
63	Tapehtz
62	Deewam
62	tohp
61	vß
61	8
60	JE§u
60	pehtz
60	tohs
59	Gharru
59	tick
58	alla§ch
58	Semmes
58	wi§úeem
57	Halle
57	JE§um
56	Dähls
56	tha
54	kattru
54	leelu
54	tawas
53	Nahwu
53	tahß
53	Töw
52	Mee§úu
51	Ar
51	lieds
51	úöw
51	úwähtu
50	Bett
50	Ghräkus
50	Kaß
50	Py
49	darra
49	teems
49	Zaur
48	ghribbu
48	Wahrds
48	weenu
48	wiòja
47	buhs
47	nu
47	tohß
46	äßmu
46	Schäla§tibu
45	kaß
45	manna
45	Preeku
45	wi§úas
45	wi§úi
44	tawa
43	jums
43	tad
42	d§iewo
42	§tahw
41	Chri§tus
41	labb
41	Mehs
41	myïais
40	Gharrs
40	kad
40	ïohte
40	muh§chigu
40	Úirrdi
39	beß
39	Dweh§úel
39	Ghräkeem
39	ghribbätu
39	luhd§am
39	taws
39	wiß
38	Chri§tum
38	muh§cham
38	Tawu
38	turr
38	9
37	dauds
37	Gir
37	kas
37	Kattri
37	preek§chan
37	§cho
37	Wings
36	A§úini
36	buhtu
36	Chri§t
36	Ïaudis
36	Tähwam
36	tappa
36	warram
36	Zillwähx
35	Dohd
35	Ko
35	palleek
35	Tähwa
35	wings
34	Dählam
34	Kattru
34	ko
34	laid
34	Pa§úaules
34	Prahtu
