Vârdformu skaits:	6327
Vârdlietojumu skaits:	37554


967	vnd
889	to
781	mums
751	gir
621	ka
577	no
558	nhe
489	töw
460	taß
439	tu
375	deews
367	und
353	kungs
348	tawu
342	mehs
331	mann
316	eek§chan
303	par
300	ta
263	tam
251	py
237	es
235	tas
219	o
198	zaur
192	úawu
185	e§úi
181	arr
176	ar
171	tee
153	katters
146	3
145	2
140	kad
139	buhß
126	4
124	tad
122	deewa
120	arrid§an
116	dohd
115	vs
114	weens
111	eß
108	úirrds
108	5
106	wahrdu
105	kattri
95	kaß
94	mannu
94	muh§úu
94	6
90	muh§chige
90	wi§úu
88	kattru
88	pehtz
88	warr
87	tha
87	vnnd
87	winja
84	amen
84	tahs
80	teem
78	alla§chien
78	muh§úo
77	ai§to
77	by
77	7
76	tohs
75	tähws
74	man
73	tapehtz
73	ween
72	wings
71	hallelujah
71	nu
70	chri§tum
70	ko
70	manna
68	tahß
67	ä§úam
67	buht
67	kunghu
67	tick
66	deewu
66	tawas
65	tohp
64	alla§ch
64	dählu
64	deewam
64	wi§úeem
63	wiòja
62	gharru
61	kas
61	teems
61	tohß
61	vß
61	weenu
61	8
60	bett
60	chri§t
60	je§u
60	laid
60	tawa
58	chri§tus
58	halle
58	semmes
58	turr
57	dähls
57	je§um
57	labb
57	lieds
57	taws
55	nahwu
55	úwähtu
55	wiß
54	jeb
54	leelu
53	wi§úi
52	ghräkus
52	mee§úu
52	preek§chan
51	úöw
50	darra
50	wi§úas
49	kattra
48	ghribbu
48	neds
48	pallied§i
48	wahrds
47	äßmu
47	beß
47	buhs
47	schäla§tibu
46	úwähtz
46	zeïïu
45	jums
45	preeku
44	dauds
44	d§iewo
44	tappa
42	ïohte
42	myïais
42	§tahw
40	dweh§úel
40	gharrs
40	muh§cham
40	muh§chigu
40	úirrdi
40	wir§úon
39	ghohdu
39	ghräkeem
39	ghribbätu
39	luhd§am
38	mehß
38	9
37	auk§cham
37	buhtu
37	ja
37	§cho
37	tomähr
37	zillwähx
36	a§úini
36	ïaudis
36	palleek
36	prahtu
36	tähwam
36	us
36	warram
35	dählam
35	pa§úargi
35	pa§úaules
35	tähwa
34	ghods
34	ghohds
33	chri§te
33	klaht
33	leetz
33	pallieds
33	§chehliegs
33	wi§úa
33	wi§úus
32	manns
32	muh§chiegs
32	úirrdes
32	vn~
32	weena
32	wiòjo
32	10
31	ghribb
31	mannas
31	nahk
31	nahwes
31	ock
31	tähwu
31	vnde
31	warru
30	darri
30	ghann
30	je§us
30	titzibu
29	dibben
29	labbu
29	§tippre
28	halleluja
28	juhß
28	pa§úaule
27	muh§chiege
27	muh§úas
27	packlau§úi
27	peed§immis
27	prahtz
26	ghräki
26	leetas
26	mans
26	§chehlige
26	spähku
26	wälla
25	darriyis
25	laika`
25	meeru
25	patz
25	úawas
25	tai
24	krahßne
24	kungham
24	laiku
24	muh§úa
24	§chäla§tibu
24	úlawa
23	d§iewoht
23	ghräko
23	labbe
23	muh§úus
23	peedohd
23	pe§titais
23	preex
23	rohku
23	tawam
23	taweem
23	unnd
23	wehl
22	bähdas
22	d§iewibu
22	gharram
22	jährs
22	jo
22	jumprawas
22	lehnibu
22	patteeß
22	úacka
22	tapt
22	wi§kim
22	11
21	aran
21	däbbä§úu
21	dweh§úele
21	elles
21	ih§tänu
21	ïaunu
21	parei§e
21	úawa
21	semme
21	úwähtais
21	tawa`
21	wairs
21	wi§úo
20	attkal
20	darrbu
20	ïaun
20	leels
20	nheneeka
20	pallickt
20	palligu
20	teitzeeta
20	wall§tibu
20	wi§úeems
20	12
19	auxtu
19	debbes
19	d§eedaht
19	kahdu
19	krußtu
19	ïaudeem
19	mannus
19	mee§úa
19	myïu
19	nahtz
19	nahwe
19	pa§§chu
19	prett
19	úaweem
19	schäla§tibas
19	§chodeen
19	úwähta
19	úwähtam
19	tahdu
19	tappis
19	willtibu
18	chri§to
18	debbeß
18	dehï
18	dries
18	juhs
18	labbs
18	mahzi
18	mahzibu
18	noh§t
18	pallied§eht
18	§cheit
18	wahrdam
18	wall§tibas
17	doht
17	d§iewo§chanu
17	jemm
17	kauna`
17	labpraht
17	pa
17	patteitzam
17	schäla§tiba
17	§chäla§tibas
17	§chinny
17	tawus
17	teitzam
17	titzibas
17	uß
17	weenas
17	wi§úahm
17	zillwäka
16	attkall
16	d§iewiba
16	ghribbam
16	gribb
16	konings
16	kungha
16	manntu
16	prettie
16	úawus
16	wairahk
16	wallda
16	zehlees
16	13
15	ab§chäloyees
15	draud§iba
15	ghanne
15	ghodu
15	ghull
15	laideeta
15	man~
15	manni
15	muh§úeem
15	näß
15	och
15	palliegs
15	pattees
15	pattiek
15	ruhktu
15	taißnibas
15	tho
15	136
14	ab§chäloyeeß
14	bährnus
14	behrnings
14	buhtam
14	däbbä§úo
14	eedt
14	ick
14	kattrus
14	kungu
14	nabbagu
14	noteek
14	nun
14	pa§úarrgi
14	úawa`
14	úlaweht
14	taißniba
14	titzam
14	zerre
13	a§úins
13	biyis
13	chri§titi
13	deena
13	deewi§ku
13	dußmibu
13	eepreezini
13	engeïo
13	ghribbi
13	illge
13	kaunu
13	leek
13	lehnibas
13	nhelaimibu
13	patteitzu
13	peedärr
13	rohkas
13	§chahß
13	§cheitan
13	tawi
13	tay
13	teitz
13	titzeht
13	titziba
13	tohpu
13	zee§t
13	zerriba
13	14
12	atzis
12	bährni
12	chri§ti
12	darriet
12	debbe§úies
12	kahds
12	kapehtz
12	kurr
12	leela
12	mais
12	mee§úas
12	mutt
12	nabbageem
12	nabbagi
12	naßtu
12	patteickt
12	radditais
12	úaule
12	§innu
12	úlawu
12	§pähku
12	§pied
12	tawai
12	waidu
12	wall§tiba
12	wall§tiba`
12	wi§úewalldiegs
12	112
11	bähdam
11	baußlu
11	draud§ibu
11	engeïi
11	engelis
11	kahda
11	mannai
11	mohkas
11	mohku
11	muh§chigas
11	myïo
11	notickt
11	pa§tara`
11	patteitzibu
11	prettieb
11	räds
11	úahpes
11	úamaitaht
11	úatziya
11	§chehligu
11	§kie§tas
11	tawo
11	tee§úu
11	titz
11	tohpam
11	turreht
11	wälls
11	wayaga
11	37
10	bähdahs
10	bähdams
10	blehdibu
10	chri§tita
10	chri§titu
10	darrbi
10	deena`
10	dehl
10	dehwis
10	d§eedam
10	d§iewoyam
10	kaiteht
10	kam
