Vârdformu skaits:	5888
Vârdlietojumu skaits:	25018


1090	vnd
714	gir
652	nhe
642	to
542	ka
319	tas
284	wings
270	no
253	töw
228	ta
221	tu
203	tad
199	py
188	Vnd
170	ar
167	tam
165	úawu
155	winja
154	tee
152	kad
149	par
135	teem
124	kas
120	Ai§to
116	Nhe
115	tohs
113	tahs
112	úöw
98	vnnd
98	warr
96	bett
96	darra
87	pehtz
86	tawu
80	dauds
80	ko
80	Wings
77	arrid§an
76	buhs
76	by
75	taß
72	Kas
64	weens
64	winjam
63	kattri
62	ai§to
60	Bett
58	Kungs
58	tha
57	e§úi
54	kaß
53	es
53	labb
53	6
52	Deewa
52	tick
52	winju
52	10
52	3
52	4
52	5
52	7
52	9
51	vn~
51	11
51	12
51	14
51	15
51	17
51	19
51	2
51	8
50	Kad
50	vs
50	13
50	16
50	18
49	20
48	Kungu
48	21
46	22
45	buhß
45	Ka
45	23
44	dohd
44	kahdu
44	Úirrds
44	tohp
44	weenu
44	24
44	25
43	Deewu
43	26
42	buht
42	kïuh§t
40	kahds
40	Ta
40	wehl
40	27
39	katters
39	Ïaudis
39	Wahrdu
38	Deews
38	winjo
37	preek§chan
37	zaur
37	28
35	attkal
35	eek§chan
35	iht
35	man
35	vhs
34	dohma
34	jeb
34	ïaun
33	dehï
33	labbe
33	29
32	Ïaudeem
32	30
30	nahk
30	weena
30	wiß
30	wi§úu
29	kam
29	mann
29	palleek
29	prett
29	wayaga
29	Zillwähx
29	31
28	alla§chien
28	ja
28	kattra
28	1
27	gribb
27	Tas
27	turr
26	darri
26	d§iewo
26	leetas
25	Es
25	kads
25	Manntu
25	pirms
25	winjas
25	32
24	äßmu
24	buhtu
24	Darrbu
24	ick
24	parei§e
24	Úeewa
24	Semmes
23	Bährns
23	ghanna
23	kattru
23	räds
23	runna
23	úawas
23	Úirrdi
22	arr
22	darriyis
22	Kunga
22	nheneeka
22	úaweem
22	tatt§che
22	Tee
21	prettie
21	úawus
21	Wahrds
21	Wiers
21	wi§úi
21	33
20	beß
20	Ghuddriba
20	Ghuddribu
20	kluh§t
20	noh§t
20	pallieds
20	tappa
20	tawa
19	kattram
19	labpraht
19	leelu
19	tai
18	darriya
18	kahda
18	muh§chige
18	Paddomu
18	tawas
18	Wieru
18	wi§úas
18	wi§úeem
17	by§tahs
17	Deewam
17	labbu
17	pa§§chu
17	patz
17	preek§ch
17	úawa`
17	taws
17	Vgguns
17	34
16	Bährneem
16	dabbu
16	Jht
16	kurr
16	leela
16	leels
16	muh§cham
16	pa§§cham
16	Tuwaku
15	Atzeem
15	Draugu
15	irr
15	leekahs
15	Mutt
15	No
15	Schäla§tiba
15	Tad
15	tadehï
15	taweem
15	teekam
15	Tha
15	turrahs
15	Wahrdeem
15	Wahrdus
14	Bährni
14	Draugs
14	Dußmiba
14	juhs
14	kattreem
14	ïohte
14	mums
14	pehts
14	Rohkas
14	úawa
14	Schäla§tibu
14	§inna
14	§tarpan
14	tho
14	Winja
14	zeek
13	Baußlu
13	Da§§ch
13	diwi
13	Ghräkeem
13	Ghuddribas
13	ghuddris
13	Mahzibu
13	Nabbagam
13	neds
13	Semm
13	35
12	alla§ch
12	Auxtaka
12	Baußlus
12	Beßdeewigo
12	ghann
12	Ghodu
12	Jeckis
12	Kungam
12	kur
12	labba
12	leeku
12	leeta
12	myïo
12	pirmahk
12	úacka
12	tickai
12	tomähr
12	Tu
12	vhß
12	war
12	ween
12	wi§úo
12	36
11	Atzis
11	Auxtaku
11	darriet
11	Ghräki
11	laid
11	Ïau§cho
11	lieds
11	Mannta
