Vârdformu skaits:	5523
Vârdlietojumu skaits:	24995


1087	vnd
776	nhe
721	gir
651	to
587	ka
363	wings
347	tas
285	no
270	ta
258	töw
233	tu
218	tad
203	py
202	kad
199	kas
190	und
183	ai§to
178	tam
177	ar
177	tee
169	winja
166	úawu
160	bett
150	par
139	teem
119	tohs
117	tahs
112	úöw
99	warr
98	vnnd
97	darra
89	ko
88	pehtz
86	dauds
86	taß
86	tawu
80	arrid§an
80	es
77	buhs
76	by
73	tha
73	weens
70	kattri
66	kaß
65	labb
64	winjam
59	e§úi
59	kungs
57	tick
53	deewa
53	6
52	winju
52	10
52	3
52	4
52	5
52	7
52	9
51	iht
51	vn~
51	11
51	12
51	14
51	15
51	17
51	19
51	2
51	8
50	vs
50	13
50	16
50	18
49	dohd
49	20
48	kungu
48	21
47	katters
46	22
45	buhß
45	23
44	kahdu
44	úirrds
44	tohp
44	weenu
44	zaur
44	24
44	25
43	wehl
43	26
42	buht
42	deewu
42	jeb
42	kïuh§t
41	dohma
41	kahds
40	wahrdu
40	winjo
40	27
39	deews
39	ïaudis
38	ja
37	preek§chan
37	28
36	eek§chan
36	wiß
35	attkal
35	man
35	vhs
34	ïaun
34	leetas
34	weena
33	dehï
33	kam
33	labbe
33	29
32	ïaudeem
32	30
31	turr
31	wi§úu
30	darri
30	mann
30	nahk
29	kattra
29	palleek
29	prett
29	wayaga
29	zillwähx
29	31
28	alla§chien
28	gribb
28	ick
28	1
26	d§iewo
26	pirms
26	winjas
25	ghanna
25	kads
25	manntu
25	parei§e
25	32
24	äßmu
24	buhtu
24	darrbu
24	úeewa
24	semmes
24	tatt§che
23	arr
23	bährns
23	kattru
23	prettie
23	räds
23	runna
23	úawas
23	úirrdi
23	wi§úi
22	darriyis
22	kunga
22	nheneeka
22	úaweem
22	tawa
21	beß
21	kattram
21	úawus
21	wahrds
21	wiers
21	33
20	ghuddriba
20	ghuddribu
20	labpraht
20	noh§t
20	pallieds
20	tai
20	tappa
19	ghuddris
19	irr
19	kluh§t
19	leelu
19	muh§chige
19	preek§ch
19	úawa`
19	wi§úas
19	wi§úeem
19	wi§úo
18	darriya
18	da§§ch
18	kahda
18	labbu
18	paddomu
18	pehts
18	tadehï
18	tawas
18	wieru
17	by§tahs
17	deewam
17	kurr
17	pa§§chu
17	patz
17	taws
17	tuwaku
17	ugguns
17	34
16	bährneem
16	jeb§che
16	kur
16	laid
16	leela
16	leels
16	muh§cham
16	mutt
16	pa§§cham
16	úawa
16	tho
15	atzeem
15	bähdas
15	dabbu
