Vârdformu skaits:	15029
Vârdlietojumu skaits:	127504


4777	und
3091	to
2792	ka
2511	gir
2363	nhe
2318	taß
1775	no
1269	ar
1241	Wings
1146	mums
1138	tu
985	tee
966	töw
905	buhß
897	py
882	Deews
853	Deewa
851	tad
848	tha
816	unnd
749	us
698	par
692	úawu
688	JE§us
654	Kungs
642	kad
637	tahß
637	úacka
634	bett
632	by
596	Chri§tus
590	tam
560	ta
553	arrid§an
544	teem
516	kaß
507	eek§chan
452	mehß
447	Wahrdu
442	nu
439	mann
425	Deewu
409	Vnd
407	ko
393	eß
388	Bett
388	tohß
382	winja
377	juhß
351	wings
338	jums
330	tick
328	teems
321	tawu
316	kattri
313	irr
305	Kunghu
301	JE§u
300	Ai§to
293	Zillwähx
287	warr
283	katters
277	pehtz
275	patz
269	Taß
264	mehs
263	ghribb
263	weens
259	Úirrds
256	JE§um
248	Eß
247	e§úi
245	weenu
245	úwähtz
236	ai§to
230	zaur
227	dauds
220	Deewam
214	attkal
214	jeb
214	muh§úo
209	tohp
208	buhtu
208	wehl
199	úcho
195	ja
194	úöw
192	dehï
191	To
189	darra
189	Ïaudis
188	Úirrdi
187	Chri§ti
186	úatzija
185	buht
184	Kungha
180	Kad
177	äßmu
176	darriet
175	úawa`
175	úwähtu
171	ween
168	úawas
167	kattru
165	Nhe
162	Dähls
161	tomähr
160	eet
160	mahza
158	winjam
156	Tähws
155	preek§ch
154	Konings
154	nahk
152	Apu§tuls
152	O
152	leelu
149	Chri§tum
149	wi§úu
147	wi§úas
144	Draugs
144	Ka
142	Debbe§úies
141	turr
137	dohd
136	Ja
135	ghann
134	wi§úi
133	Draughi
133	Kaß
132	Ewangeli§ts
132	Tapehtz
132	muh§chighe
132	ä§úam
131	Wälls
131	wiß
127	tahdu
123	ghribbätu
123	úatziet
121	nei
121	Tee
120	ghribbu
120	Pa§úaules
119	Ghräkeem
118	Pahwils
118	tawa
117	labbe
116	ihten
116	Wahrds
116	wi§úeem
114	warrätu
113	Chri§to
112	d§iewo
111	úcheitan
110	kahds
110	wairahk
108	tapehtz
107	Kungham
106	Amen
105	Schäla§tibu
105	Semmes
104	muh§úu
104	Tähwu
102	Weeta`
101	kattra
100	auk§cham
100	Ba§niza`
100	JESVS
100	lieds
99	Ghohdu
99	tappa
98	Leetas
98	taws
97	Gharrs
97	kur
96	alla§ch
95	Dählu
93	Bährns
93	labb
93	mannu
93	muh§cham
93	runna
93	Tad
93	tapt
92	ä§úohtz
92	darrijis
92	Winju
91	beß
91	Gharru
91	prett
91	§tahw
90	Ghräkus
90	pa§úchu
87	labbu
87	Mee§úu
86	parei§e
86	Pa§úauleh
86	red§eht
85	Manns
85	úaweem
85	tawas
84	kahda
82	Deenas
82	manns
82	Ta
82	tai
81	Pe§titais
81	wi§úus
80	kahdu
79	kurr
79	Mee§úas
78	e§úeeta
78	Ghräkeems
78	úatzidams
78	Tha
78	winjo
77	jaw
77	úchiß
76	Ghräko
76	leelas
76	muh§chighu
76	tadehï
76	titz
76	Zillwäku
75	Jhten
75	räds
75	taggad
74	dohma
74	jeb§che
74	jo
74	kïuh§t
74	peedärr
74	Pe§titaju
74	úawus
74	§tah§ta
73	Dawids
73	Nhelaim
73	Prahtu
73	Rohkas
72	ghribbädams
72	Mahte
72	nahkt
71	bijis
71	Ghramata`
71	ghribbi
71	Mahzekïi
71	Maria
71	warram
71	Winja
70	Bährnu
70	Deena`
70	Elles
70	leela
70	§inna
70	wi§úeems
69	Bährni
69	JESV
69	muh§úas
68	winju
68	Zillwäka
68	Zillwäkam
67	doht
67	illghe
67	Jahnis
67	§chehliegs
67	§innaht
66	leek
66	ïohte
66	Nahwes
65	laid
65	úacku
64	dehwis
64	Jeru§alem
64	kattras
64	Ko
64	úchinny
64	tudeïï
63	ghribbeja
63	tas
63	warri
62	Deena
62	itt
62	Spähku
62	Tu
62	weena
62	Winjam
61	kam
61	úawa
61	tah
60	A§úini
60	d§iewoht
60	úacki
60	titzeht
60	Wahrdus
60	Wällu
60	Zillwäki
59	Darrbu
59	Dawid
59	Dweh§úel
59	Koninju
59	nahze
59	No
59	pirrmahk
59	Wahrdi
58	kïua
58	leels
58	manna
58	ohtru
57	Atzis
57	Ghalldu
57	Ïaudeem
57	úchahß
57	Titzibu
57	warreja
56	es
56	labbs
56	Laika`
56	muh§úa
56	Nahwu
55	Mahzekïeem
55	nheneeka
55	pa
55	úaweems
55	zittu
54	ghribbam
54	Rohku
54	tickai
53	dibben
53	Ewangelium
53	luhds
53	Mutt
53	nahzis
53	Úchiß
53	tanny
53	Vnnd
53	Zillwäkeem
52	Ghräki
52	nahx
52	patteeß
52	zehleeß
51	leekahß
51	Mohkas
51	Preeku
51	red§i
51	Red§i
51	§tarrpa`
51	tahdas
50	juh§úo
50	leetas
50	Meeru
50	Nu
50	tahds
49	darrija
49	Deenu
49	d§irrdeht
49	Ewangelio
49	klaht
49	Pa§úaul
49	Preex
49	reis
49	úchee
49	Titzibas
48	Bähdas
48	ghaja
48	mahziteeß
48	Ock
48	Úirrdy
47	Ar
47	Mais
47	man
47	preek§chan
47	Úwähtu
47	Tadehï
47	währa`
47	waijagha
46	buhdams
46	mieïo
46	Nhelaime
46	úatzijis
46	Schäla§tibas
46	Zeïïu
45	Debbeß
45	luhkt
44	dabbuit
44	darri
44	kapehtz
44	Laiku
44	Mahzibu
44	ma§u
44	noh§t
44	§kann
44	tappis
44	teitan
44	Titziba
44	zitti
43	Ahwis
43	A§úinis
43	Däbbä§úu
43	diwi
42	apraxta
42	aran
42	Ewangeliums
42	Ghanns
42	ih§täns
42	Leetu
42	Mehs
42	úcheit
42	úohlijis
42	úwähti
41	ghull
41	Ïaudeems
41	Mahtes
41	Manni
41	Manntu
41	Namma`
41	palleek
41	peed§immis
41	taps
41	Wälla
40	Däbbä§úo
40	kamähr
40	labpraht
40	mieïi
40	úchim
40	tahda
40	Taißnibas
39	d§irrd
39	Enghels
39	Jumprawas
39	Mehß
39	noteek
39	úcheem
39	tawa`
38	D§iewoúchanu
38	Maht
38	neds
38	preek§cha
38	raxta
38	§cho
38	Úeewa
38	Tähwa
38	tawus
38	teitz
37	Bährnus
37	ey
37	ih§tänu
37	Leeta
37	Nhelaimes
37	Prahtz
37	runnaht
37	Úähklu
37	Úeewas
37	Wahrdeem
37	wirß
36	arrieg
36	Ba§nizas
36	dries
36	Dweh§úele
36	Dweh§úeles
36	ick=kattris
36	Juhß
36	kahdas
36	Laikohß
36	Mielä§tibu
36	rahda
36	red§eja
36	Úchee
36	Semm
36	trieß
36	Walloda`
35	daúch
35	manni
35	Mattheus
35	Mee§úa
35	Nhelaimeh
35	Par
35	Proweets
34	ick
34	juh§úu
34	Kallnu
34	pa§úchi
34	turreht
34	Wahrda`
34	Wiers
33	Dawida
33	dohß
33	Es
33	juh§úa`
33	Kallps
33	lied§e
33	mahziet
33	mannas
33	pa§úcha`
33	Pehteris
33	raxtietz
33	§chähl
33	wairs
32	arri
32	D§iewibu
32	kïuht
32	licka
32	Lucas
32	notix
32	pawehlejis
32	Úaule
32	úawahm
32	úwähta
32	teeúcham
32	Vgguni
32	Vhdeni
32	Vs
32	Wällam
31	appack§ch
31	attkall
31	dehwe
31	Ghohds
31	Juddi
31	kattram
31	klau§úiet
31	mans
31	mirrt
31	o^
31	patiek
30	Augïus
30	Bähdahß
30	nabbags
30	nomirris
30	notitzis
30	pa§tara`
30	pillu
30	pirrms
30	Proweetu
30	Úcheitan
29	briedi
29	Darrbs
29	ick=kattram
29	kattrus
29	labba
29	Marias
29	Mirroòeem
29	pallickt
29	Pa§úaule
29	peeluhkt
29	prettie
29	räd§am
29	runnaja
29	runnajis
29	Sahle
29	Úirrdes
29	Spähx
29	§tahweht
29	§tippre
29	Úwähtz
29	tawam
29	Töw
