Vârdformu skaits:	12095
Vârdlietojumu skaits:	99649
	
	
3430	und
2471	to
2281	ka
2140	nhe
2101	taß
2001	gir
1386	no
1211	unnd
1153	wings
1015	töw
999	tu
921	tee
920	ar
877	buhß
846	deews
839	mums
808	tad
762	bett
720	deewa
676	kaß
674	tha
616	us
603	py
594	kad
588	par
586	úawu
549	tam
527	úacka
526	je§us
481	arrid§an
473	ai§to
463	ko
439	eß
437	deewu
430	by
427	mehß
416	tahß
414	tohß
413	chri§tus
397	ta
390	teem
365	kungs
347	juhß
341	nu
341	winja
320	eek§chan
320	mann
318	wahrdu
312	tawu
283	weens
278	kattri
272	jums
268	irr
268	ja
263	teems
258	úirrds
244	deewam
244	pehtz
226	winjam
224	tick
216	zillwähx
214	e§úi
214	mahza
209	úwähtz
208	ghribb
204	tapehtz
203	úöw
203	zaur
195	katters
187	wehl
182	patz
181	weenu
177	darriet
177	preek§ch
177	úcho
176	jeb
176	manns
174	tähws
171	warr
170	dauds
169	attkal
169	úatzija
163	wi§úu
162	darra
160	winju
156	wi§úas
155	je§um
153	kunghu
152	tohp
146	äßmu
144	o
142	muh§úo
140	konings
140	ïaudis
140	úirrdi
139	dohd
137	apu§tuls
136	draugs
130	úchiß
130	ween
129	kunngs
129	úwähtu
128	buhtu
128	wiß
125	ghann
123	je§u
123	labb
122	buht
122	kattru
122	úcheitan
121	schäla§tibu
120	chri§tum
119	prett
118	úawa`
115	ä§úam
115	ghräkus
115	ihten
114	arr
113	dähls
111	leelu
111	úatziet
111	úawas
110	dehï
109	turr
108	labbu
107	laid
106	taws
102	leetas
102	tomähr
101	pahwils
100	parei§e
100	prahtu
99	wahrds
98	amen
98	tawa
97	wi§úi
96	beß
95	mehs
91	tadehï
90	ghribbätu
89	warrätu
89	zillwäku
88	tuwaku
87	ghräkeem
87	tahdu
86	debbe§úies
86	e§úeeta
85	úaweem
84	nahk
84	weeta`
83	d§iewo
83	kattra
82	jo
82	kahds
82	nahkt
81	wi§úeem
80	deena`
80	draughi
79	eet
79	labbe
78	alla§ch
78	ghräko
78	winjo
77	chri§ti
77	muh§úu
76	§chehliegs
76	nei
75	§inna
75	úchinny
74	ewangeli§ts
74	ghribbi
74	kungha
74	lieds
73	jeb§che
73	úawus
72	bährns
72	doht
71	darrijis
71	rohkas
71	runna
71	wairahk
71	wi§úeems
70	dehwis
70	muh§chighe
70	peedärr
69	ïaudeem
68	dählu
67	d§iewoht
67	kahdu
67	kurr
67	räds
67	warri
66	kam
66	taggad
66	tawas
65	darrbu
65	red§i
65	úatzidams
65	semmes
65	zeïïu
65	zittu
64	darri
64	wi§úus
63	chri§to
63	tai
62	muh§cham
62	tapt
61	kunnghu
61	luhds
61	pa§úauleh
60	ghribbu
60	kapehtz
60	zillwäkam
59	dawids
58	gharru
58	mannu
58	pa§úaules
58	tappa
57	§tahw
57	nheneeka
57	pa§úchu
57	úwähti
57	tähwu
56	leek
56	schäla§tibas
56	warram
55	baußlu
55	ghräkeems
55	jaw
55	labpraht
55	mieïo
55	tawam
54	muh§chighu
54	patteeß
54	weena
54	zeek
53	ghribbam
53	kungham
53	mahzibu
53	pa§§chu
53	úacku
53	tawus
52	mais
52	rahda
52	tawa`
52	tee§úu
51	dohma
51	ewangelio
51	nahze
50	däbbä§úo
50	dawid
50	ghräki
50	ghramata`
50	ick=kattram
50	mee§úas
50	pa
50	tahds
49	§chähl
49	kahda
49	leels
49	nahx
49	nhelaim
49	úchee
49	tickai
49	zillwäkeem
48	ba§niza`
48	bährni
48	da§§ch
48	ghribbeja
48	manni
48	ohtru
48	waijagha
47	d§irrdeht
47	kur
47	leelas
47	mahziteeß
47	neds
47	pirrmahk
47	red§eht
47	reis
47	titzibu
47	tudeïï
47	währa`
46	namma`
46	wahrdi
46	zillwäka
45	§innaht
45	atzis
45	deenu
45	taps
44	§kann
43	attkall
43	auk§cham
43	gharrs
43	ghribbädams
43	muh§úas
43	mutt
43	úacki
42	bährnu
42	leetu
42	m
42	noh§t
41	bijis
41	dabbuit
41	elles
41	ghaja
41	klaht
41	kïuh§t
41	leeta
41	manna
41	úchahß
41	úeewa
41	titzi
40	buhdams
40	itt
40	jesus
40	juh§úo
40	laika`
40	mahte
40	manntu
40	nabbags
40	preek§chan
40	rohku
39	ewangelium
39	ey
39	semm
39	spähku
39	turreteeß
39	un~
38	baggahtz
38	debbe§úieß
38	deenas
38	ewangeliums
38	koninju
38	leela
38	zittz
37	d
37	darrija
37	debbeß
37	ghohdu
37	ïaudeems
37	ock
37	preek§cha
37	úaweems
37	úchim
37	tahda
37	wairs
36	debbe§úo
36	dweh§úel
36	juh§úa`
36	ïohte
36	turreht
36	wahrdus
36	zitti
35	au§úis
35	bährnus
35	dahwanu
35	diwi
35	illghe
35	labbs
35	meeru
35	nabbaghu
35	prahtz
35	zillwäki
34	a§úini
34	ä§úohtz
34	d§iewoúchanu
34	dibben
34	kallps
34	kïua
34	laikohß
34	mahziet
34	úawam
34	syrachs
33	§chehlighu
33	brie§cham
33	däbbä§úu
33	kattras
33	mee§úu
33	negg
33	palleek
33	peedoht
33	runnaht
33	tanny
33	warreja
33	weena`
32	ghalldu
32	mieïoht
32	rei§as
32	úawa
32	titz
32	titzeht
32	wiers
31	aran
31	ick=kattris
31	ih§tänu
31	jemm
31	jeru§alem
31	nhelaimeh
31	peedohd
31	schäla§tiba
31	tuwakam
31	wall§tibu
31	walloda`
30	§tah§ta
30	bähdas
30	dweh§úeles
30	enghels
30	luhkt
30	maria
30	pa§tara`
30	palied§eht
30	proweetu
30	tahdas
30	tähwa
30	tawi
29	apraxta
29	bährneem
29	dweh§úele
29	ghodu
29	kallpu
29	kamähr
29	nhelaime
29	pawehlejis
29	pirrms
29	rohka
29	úeewu
29	tadu
29	weenam
29	wirß
29	zittade
28	d§irrd
28	da§che
28	dabbu
28	darrbs
28	jahnis
28	kallpoht
28	nahzis
28	úirrdy
28	úwähta
28	wahrdeems
28	wari§eeºi
27	§tarrpa`
27	engheli
27	es
27	ïaun
27	mahzetaju
27	muh§chighas
27	noteek
27	pa§úaul
27	teitan
27	titzibas
27	trieß
27	winjai
27	zeeni
26	dries
26	kattrus
26	leekahß
26	lucas
26	mirr§t
26	mirrt
26	nopellnijis
26	pills
26	red§eja
26	semme
26	tähwam
26	wahrdeem
26	zillwäkus
25	apkahrt
25	d§irrdi
25	ghohdighe
25	juh§úu
25	laideeta
25	licka
25	mieïi
25	nahwu
25	nokaut
25	úcheem
25	tahdi
25	wieru
25	zittus
24	arrieg
24	darrijuúchi
24	eh§t
24	ickdeenas
24	koninja
24	mai§es
24	nammu
24	rohka`
24	semmeh
24	úwähta`
24	taißnis
24	ugguni
24	wahrda`
23	daúch
23	jesv
23	kadu
23	kattreem
23	klau§úiet
23	labbus
23	lauku
23	nahzeeta
23	pateitz
23	pehteris
23	pillu
23	red§eeta
23	úchodeen
23	taißnibas
23	tomehr
23	waighu
23	wee§úis
23	zittam
22	klahjahß
22	kohku
22	kunngham
22	mahzetais
22	mjeïi
22	muh§úa
22	patiek
22	preezajahß
22	proweets
22	raxta
22	titziba
22	zillwäkeems
21	§inni
21	§tahweht
21	apdohma
21	d§irrdeja
21	darrbeems
21	dohß
21	ghohds
21	ick=kattru
21	ih§täns
21	kallpo
21	la§úam
21	laiku
21	laix
21	mo§es
21	pils
21	úchinnieß
21	úwähtus
21	teeúcham
21	wall§tiba`
21	wall§tibas
21	wi§úur
20	§innaja
20	dählam
20	dehwe
20	dußmibu
20	ghau§che
20	kallnu
20	kaunu
20	kïuhß
20	kurr§ch
20	lai
20	mohkas
20	nabbagham
20	paddomu
20	preeku
20	räd§ädams
20	úatzieß
20	úchohß
20	úirrdes
20	úohdu
20	taißniba
20	teitz
20	turri
20	ugguny
20	uhdeni
20	wellte
20	wi§úa
19	§chehlighe
19	§cheitan
19	adbilldeja
19	apúuhds
19	atzeem
19	baggatu
19	bährneems
19	brahli
19	d§irrdam
19	deena
19	ghaddus
19	ick
19	klau§úi
19	leela`
19	luhd§e
19	mahzetaji
19	mans
19	muh§úeems
19	namms
19	näß
19	ohtra`
19	parradu
19	pili
19	úaim
19	úchis
19	úchurr
19	úirrdighe
19	úohdiet
19	úohla
19	tahm
19	taptu
19	teeß
19	waiza
19	winji
18	adbilldeht
18	alla§chien
18	ba§niza
18	bähda
18	bie§tahß
18	d§iewojam
18	d§iewoúchanas
18	dawida
18	ghallu
18	ghull
18	jämm
18	jauns
18	klau§úa
18	koninjam
18	labbahk
18	ïautinji
18	lied§ibu
18	mahtes
18	mehl
18	muh§úus
18	nahwe
18	nahwes
18	palieds
18	pe§titais
18	peedohti
18	raddijis
18	runnaja
18	s
18	úackoht
18	úatzietz
18	úatzijis
18	úcheit
18	tee§úa
18	usluhko
18	wari§eers
18	zillwehx
17	§cho
17	§tarrp
17	abdohma
17	att§iet
17	biju§úi
17	brienumus
17	darrbus
17	darrijiß
17	debbe§úes
17	eli§abeth
17	ghribbahß
17	juddi
17	kada
17	kahjas
17	ïau§cho
17	leeli
17	mahzekïeem
17	man
17	muh§úam
17	notickahß
17	pahtarus
17	palickt
17	pawehï
17	peedohúchanu
17	peeúautz
17	raxtietz
17	úaime
17	úeh§ch
17	úohdibu
17	tah
17	tahïe
17	taißnibu
17	teekams
17	tohpam
17	wä§úälu
17	wällam
17	wälls
17	weenighu
17	wi§úo
17	zacharias
17	zellt
16	§chkeetahß
16	§trahda
16	aizena
16	baußlus
16	brienumu
16	dähla
16	deenahß
16	e§aias
16	engeli
16	jaunu
16	kallpi
16	kallpus
16	kattram
16	kungheem
16	kunngha
16	lazarus
16	leeleem
16	lix
16	luhd§am
16	mahzais
16	mahzaiteeß
16	mahzetajeem
16	meckle
16	mielighe
16	ney
16	pa§úaule
16	peed§immis
16	pilla
16	úackam
16	úautz
16	úchinnies
16	taweem
16	tee§cham
16	uhs
16	wätz
16	wi§úa`
16	zitz
15	§chehligha
15	ad§iet
15	arri
15	att§taht
15	attrohd
15	bähdahß
15	barribu
15	d§iewibu
15	da§úch
15	darrieß
15	drahnas
15	dußmeem
15	eita
15	ghadaht
15	i§rael
15	jemmeeta
15	kah§as
15	kahdas
15	kahrtan
15	kauna`
15	klau§úais
15	kïuht
15	kunghi
15	labbibu
15	mahzibas
15	mei§teri
15	nahkahß
15	nhewä§úäls
15	ohtram
15	pretti
15	proweetz
15	runnajis
15	úchimm
15	úeewas
15	úwehtu
15	tada
15	tahdeem
15	taißni
15	teh
15	tohpi
15	tur
15	wälla
