Vârdformu skaits:	1051
Vârdlietojumu skaits:	2498


63	man
55	Tu
50	Úwehdeena^
44	pehz
33	Tew
32	un
31	ne
29	Waúúaras=Úwehtku
29	to
28	Kungs
27	Atúwehtes
25	ka`
24	ar
23	es
23	irr
22	no
21	Kas
19	Deewa
19	Je§us
18	Deews
18	par
18	pee
15	Kri§tus
14	Leeldeenas
14	tad
14	Úwehtkeem
13	Ka`
13	gan
12	us
11	Tad
11	kas
11	preek§ch
10	Ar
10	ja
10	kad
10	tas
10	zaur
10	Úirds
9	Deena^
9	Tawu
9	arr
9	mans
9	padeúmita^
9	tohp
9	ween
8	Debbes
8	Deenas
8	No
8	Un
8	jel
8	ta
7	Behdas
7	Grehku
7	Ja
7	Swaig§nes
7	Ta
7	Tas
7	To
7	eúmu
7	mums
7	tam
7	weens
6	Bet
6	Dohd'
6	Kad
6	Mans
6	Paúaules
6	buhs
6	dohd'
6	eek§ch
6	eet
6	ko
6	nahz'
6	pats
6	teem
6	war
5	Debbeúim
5	Dehls
5	Diwide§mita^
5	Duúmahm
5	Elles
5	Grehkeem
5	Man
5	Nahwi
5	Ne
5	Ohtra^
5	Peekta^
5	Pirma^
5	Preeku
5	Tam
5	Wahrdu
5	Zettorta^
5	ak
5	eúúi
5	it
5	jeb
5	kur
5	nahk
5	tahs
5	tee
5	tik
5	warri
5	Úe§ta^
5	úew
4	Adwents=Úwehdeena^
4	Awju
4	Behda^s
4	Deewiò
4	Deewu
4	Eek§ch
4	Je§iò
4	Je§u
4	Ko
4	Lai
4	Mohkahm
4	Nahwes
4	Pee
4	Pe§titais
4	Preeks
4	Schehla§tibas
4	Taweem
4	Taws
4	Treúcha^
4	Us
4	Zaur
4	Zilweks
4	bes
4	klaht
4	lai
4	ma§
4	tew
4	tu
4	tur
4	úawu
4	úcho
3	Ak
3	A§tota^
3	Behrns
3	Bes
3	Debbeúi
3	Dewita^
3	D§ihwibu
3	Gadda^
3	Gohdu
3	Kam
3	Kur
3	Mahja^s
3	Mai§es
3	Marias
3	Mohzibahm
3	Muh§chiba^
3	Nahz'
3	Par
3	Tahs
3	Tawus
3	Tewi
3	Tur
3	Widdus=Deena^
3	alla§ch
3	arri
3	d§ihwoht
3	eij
3	glahb'
3	ir
3	jau
3	labpraht
3	leelas
3	mannim
3	muh§chigi
3	nu
3	pakkaï
3	paúchu
3	peed§immis
3	pehdeja^
3	tahm
3	wehl
3	wiòòa
3	ïohti
3	Úeptita^
3	Úirdi
3	úwehts
3	úwehtu
2	Apnikúchanu
2	Behdahm
2	Debbeúi^
2	Diwideúmita^
2	Dohmas
2	Duúmas
2	Duúmibu
2	Elj'
2	Gans
2	Gars
2	Jhpaúchumu
2	Jo
2	Jr
2	Jt
2	Kaººu
2	Krohni
2	Kru§ta
2	Kru§ts
2	Kunga
2	Kurúch
2	Leeldeenas=Úwehtku
2	Meers
2	Nahwe
2	Nu
2	Palihd§i
2	Pats
2	Paúauli
2	Preeka
2	Prettineeks
2	Pulziòu
2	Schehla§tibu
2	Seemas=Úwehtkeem
2	Seemas=Úwehtku
2	Ta`
2	Tewim
2	Tizziba^
2	Tizzibiòas
2	Tre§cha^
2	Wahrdeem
2	Wahrds
2	Weeúis
2	Wellu
2	Wels
2	Wiltibu
2	Wiòsch
2	Woi
2	Zilweziòúch
2	atees
2	atkal
2	atminnahs
2	baggats
2	bih§tohs
2	bij
2	bohja^
2	brehz
2	brihni§chís
2	buhdams
2	darri
2	darru
2	dohma
2	drih§
2	d§ihwo
2	d§immis
2	eekúch
2	glahbi
2	grib
2	gribbi
2	jo
2	kahdas
2	klauúúa
2	labbu
2	leekahs
2	leels
2	luhd§ams
2	mannu
2	mehds
2	mirdams
2	mohdrigs
2	muhs
2	nabbags
2	patees
2	pa§uddis
2	païaujahs
2	peeúauzu
2	preezigi
2	pret
2	rahd'
2	tadehï
2	taggad
2	tai^
2	teeúcham
2	tikkai
2	tohs
2	truhk§t
2	tuwu
2	waïïa^
2	weenu
2	wi§s
2	wiúúa
2	wiúúai
2	§chehligi
2	§pehj'
2	§tarp
2	Ïaudis
2	Úirdi^
2	úche`
2	úcheitan
2	úchodeen
2	úen
2	úe§ta^
2	úwehta
2	úwehtas
2	úwehtigu
1	1767
1	Ammatu
1	Apgehrbu
1	Ap§chehlojees
1	Ap§chehlotais
1	Atnahkúchanu
1	Atneúdams
1	At§tahj
1	Atúwehte^
1	Auúis
1	Azzim
1	Azzu
1	Aúúini^s
1	Aúúinim
1	Aúúinis
1	Badda
1	Bailehm
1	Balíi
1	Barribu
1	Behrnam
1	Behrneem
1	Behrni
1	Behrniòam
1	Behrniòu
1	Behrniò§ch
1	Besdeewigi
1	Blehdibahm
1	Blehòu
1	Brihnijeetees
1	Brih§cham
1	Bruhtgans
1	Bruhti
1	Buhúchana^
1	Darbi
1	Darbiòeem
1	Darbs
1	Darbus
1	Da§chkahrt
1	Daïïa
1	Debbes=Braukúchanas=Deena^
1	Debbesbraukúchanu
1	Deeniòa
1	Deenu
1	Deewam
1	Deewiòam
1	Deewiò§ch
1	Deewiòúch
1	Dehlu
1	Deúmita^
1	Dohd
1	Draud§e
1	Draud§e^
1	Draud§es
1	Draud§iht'
1	Draugu
1	Drehbe^s
1	Drohúchiba^
1	Dru§ziòas
1	Dubïeem
1	Durwis
1	Durwja
1	Duúmibas
1	Dwehú'le
1	Dwehúeli
1	D§en
1	D§ihwiba
1	D§ihwoúchana^
1	D§ihws
1	Eed§imúchanas
1	Eegribbeúchanu
1	Eenaidibu
1	Eepreezatais
1	Eepreezinaúchanas
1	Ehku
1	Ehna
1	Ell'
1	Elle^
1	Es
1	Eòìeliúchi
1	Eòìeïus
1	Frölich
1	Gadda
1	Gadskahrta
1	Gaiúmas
1	Gaiúmiòa
1	Gallam
1	Gals
1	Ganneem
1	Garru
1	Glahbtu
1	Glahbúchanu
1	Gohda
1	Gohdibas
1	Gohds
1	Gottlob
1	Grehkus
1	Gudrineeks
1	Gudru
1	Jahnis
1	Jahòa
1	Jauna^
1	Jauns
1	Jeb
1	Jesus
1	Je§uliòam
1	Je§uliòu
1	Jeúiò
1	Jhpaúchiba^s
1	Jkweenam
1	Jrr
1	Juhs
1	Juhºa
1	Jumprawiòas
1	Jums
1	K
1	Ka
1	Kah§ahm
1	Kar§tums
1	Kauna^
1	Kaut
1	Kehniòu
1	Kehniò§ch
1	Kehniòúch
1	Kihlu
1	Krehúla
1	Kri§t'
1	Kri§titaja
1	Kri§tu
1	Kriúchjana
1	Kuhtiòa^
1	Kuhts
1	Kungu
1	Kuººa
1	Kwee§chu
1	Lab
1	Lah§teem
1	Laika^
1	Laiks
1	Laiku
1	Laiwa
1	Laiziòa
1	Lauka^
1	Lauks
1	Leekuïi
1	Leeldeenas=Úwehtko^s
1	Leetas
1	Lihg§miba
1	Lih§beti
1	Luhd§
1	Luhgúchanu
1	Mahja^
1	Mahzibas
1	Mai§ite
1	Mai§iti
1	Malla^s
1	Manna^
1	Maria
1	Meeru
1	Meeú'
1	Meeúas
1	Mehlehm
1	Mehs
1	Mekle
1	Mihletajeem
1	Mihlibu
1	Mikkeïa
1	Mirrons
1	Mirroòeem
1	Mirúchana
1	Mohkas
1	Mohzibas
1	Muhs
1	Muh§ch
1	Muh§chibas
1	Mums
1	Mutt'
1	Mutti
1	Nabbad§iòúch
1	Nabbagam
1	Na§ta
1	Naììo^s
1	Ne§pehziba^
1	Nihdetajeem
1	Ohtra^{Ohtr#}
1	Padohmneeks
1	Paganeem
1	Paglahbjumu
1	Paglahbúchan'
1	Paklauúiúchanu
1	Paldeews
1	Paleezi
1	Paliga
1	Paligus
1	Palihd§'
1	Palihd§etais
1	Parads
1	Paradu
1	Patwehruma^
1	Pazeeúchanu
1	Pa§tara
1	Paúaule
1	Paúluddinaúchanas
1	Pee=eeúchan'
1	Peedohd
1	Peemekleúchanas
1	Peetizzibu
1	Pehda^s
1	Pehdahm
1	Perúoni
1	Pe§titaju
1	Prahtam
1	Praweeúcheem
1	Preeka^
1	Preek§ch
1	Preeziòu
1	Pret
1	Puhpuïu=Úwehdeena^
1	Puhíis
1	Pulk'
1	Pulku
1	Putnu
1	Puííes
1	R
1	Rai§es
1	Rak§to^s
1	Raugu
1	Red§
1	Reeziòu
1	Rihga^
1	Rohkahm
1	Rohkas
1	Sahles
1	Samariteris
1	Satana
1	Satans
1	Schkih§tiúchanas
1	Semme^
1	Semmehm
1	Skabbargu
1	Spahrno^s
1	Spehka
1	Spittaligi
1	Stundiòu
1	Stundiòúch
1	Stundu
1	Swaig§nes{Swai§nes}
1	Swaig§niti
1	Swehrs
1	Tai
1	Tauta
1	Tawa
1	Tawa^s
1	Tawam
1	Tawas
1	Tee
1	Tehwa=Semm'
1	Tehwa=Semmes
1	Tehwam
1	Tehws
1	Tewis
1	Tik
1	Tizzibiòu
1	Tohs
1	Trihsweenibas
1	Triju
1	Tuwaku
1	Usrunni
1	Wahrda
1	Wahrdiòa^
1	Wahrtiòi
1	Wahti^s
1	Wah§chu
1	Waida^
1	Waid§iòu
1	Waimanna^s
1	Waimannas
1	Wakkariòúch
1	Wakkars
1	Waldijs
1	Walloda
1	Warras
1	Waúúaras
1	Waúúaras=Úwehtko^s
1	Wehjúch
1	Wehl
1	Wehtrahm
1	Weh§tneúchi
1	Wella
1	Wellam
1	Wezzakeem
1	Wihna=Kalnu
1	Wihnu
1	Wilks
1	Wiltu
1	Wiltus
1	Wiòúch
1	Wiúúuwalditais
1	Zelliòu
1	Zelliòúch
1	Zettortta^
1	Zeïïu
1	Zilwekeem
1	Zilweki
1	Zilwezibu
1	Zilweziò§ch
1	ahtri
1	aiseet
1	aiskahrúchu
1	aiskawe
1	aiskawehts
1	aismigt
1	aiswaddi
1	aiswe§ts
1	ais§kreet
1	aizinahts
1	alla§chiò
1	apdohmatu
1	apgahnihts
1	appak§ch
1	aprihtu
1	ap§weizina
1	apúed§is
1	apúwehti
1	apúwehtihts
1	arrid§an
1	atdoht
1	ateet
1	atgree§ch
1	atgree§chahs
1	atmak§ahts
1	atnahkúi
1	atnahzis
1	atne§s
1	atne§ts
1	atpelnijs
1	atpe§tijs
1	atraddiúi
1	atra§ts
1	atreebtees
1	atwerri
1	at§chíiººahs
1	at§pihd'
