V‚rdformu skaits:	1189
V‚rdlietojumu skaits:	3074


94	unn
83	irr
61	n‰
46	kaﬂ
43	eekßch
37	iuuﬂ
37	taa
37	taﬂ
35	no
33	ka
33	too
31	B‰tt
30	Aißto
30	iumﬂ
29	taaﬂ
29	teem
28	kaa
28	tee
27	buuﬂ
26	Unn
25	‰ﬂ
24	uuﬂ
21	wingia
18	ßawu
17	tu
16	tawa
16	tooﬂ
16	tˆw
16	wingi
15	n‰dz
15	tadd
15	tam
14	Eekßch
14	i‰
14	ßakku
13	aißto
12	Tˆw
12	arr
12	tawﬂ
11	Atziﬂ
11	Gramataﬂ
11	darra
11	iuußo
11	par
11	preekßch
10	Kungﬂ
10	b‰tt
10	ko
10	tawaﬂ
10	wingßch
9	Deewa
9	pee
9	to
9	weenﬂ
9	wingiu
8	Juuﬂ
8	Sw‰‰ti
8	lay
8	ta
8	tawu
8	wiﬂu
7	14
7	8
7	Deewﬂ
7	N‰
7	S‰mm‰ﬂ
7	T‰wﬂ
7	buﬂ
7	koo
7	otru
7	tapt
7	tapﬂ
7	toop
7	un~
7	v
7	wirﬂ
7	‰ﬂet
6	13
6	15
6	D‰bb‰ßim
6	praﬂa
6	pr‰tt
6	tap‰tz
6	wairak
6	warr
6	‰ﬂmu
5	12
5	16
5	5
5	6
5	Augliuﬂ
5	J‰
5	Kookﬂ
5	Kunga
5	Meeßaﬂ
5	Wardu
5	darrit
5	dood
5	ikweenﬂ
5	jumﬂ
5	kadd
5	kurr
5	labba
5	nu
5	p‰‰tz
5	tzaur
5	tˆwim
5	wiﬂ
5	ßawa
4	1
4	10
4	11
4	17
4	19
4	2
4	23
4	24
4	28
4	29
4	3
4	4
4	7
4	9
4	Bauﬂli
4	D‰bb‰ßiﬂ
4	Jeßu
4	Ki‰ningia=Walßtiba
4	Pawulﬂ
4	S
4	Tap‰tz
4	Taﬂ
4	Tzilw‰kem
4	T‰wa
4	ar
4	buut
4	dabbu
4	daudz
4	iﬂ
4	kaadu
4	katri
4	katru
4	leek
4	manniﬂ
4	mumﬂ
4	papreekßchu
4	tawam
4	toopet
4	turr
4	weenam
4	weenu
4	wingiem
4	ßawuﬂ
4	ßl‰pp‰n
4	ßw‰taﬂ
4	ßˆw
3	18
3	20
3	21
3	22
3	25
3	26
3	27
3	Algu
3	Apgraißißchana
3	Batt
3	Bauﬂliﬂ
3	Chrißta
3	Darbu
3	Dawanu
3	Deenaﬂ
3	Deewu
3	Jeßus
3	Kaa
3	Kaﬂ
3	Ki‰ningia=Walßtibaﬂ
3	N‰dz
3	N‰gg
3	Preekßch=Ada
3	S‰mmi
3	Warduﬂ
3	darret
3	iaw
3	i‰bb
3	juuﬂ
3	kliuuﬂ
3	labbuﬂ
3	labﬂ
3	leelﬂ
3	lidz
3	maukot
3	na
3	naatz‰
3	n‰neeka
3	paataruﬂ
3	parada
3	parr
3	pirmaﬂ
3	tawim
3	uﬂ
3	wingio
3	wiﬂa
3	ßakka
3	ßattzitz
3	ßawaﬂ
3	ßawim
3	ßchoo
3	ßchooﬂ
3	ßtraada
3	ƒll‰ﬂ
3	ƒﬂ
3	‰ﬂeet
2	30
2	31
2	32
2	33
2	34
2	Altaria
2	Augliem
2	Balki
2	Baußla
2	Bauﬂlu
2	Braalia
2	Bralia
2	Dabb‰ßiﬂ
2	Deena
2	Deenu
2	Drauga
2	D‰bb‰ﬂo
2	D‰bb‰ﬂu
2	Gaiﬂma
2	Guddriba
2	Ikweenﬂ
2	Jangia
2	J‰bb
2	Ki‰ningia
2	Kood‰ﬂ
2	Labba
2	Leetuﬂ
2	Liaudiﬂ
2	Liauna
2	Lotziklim
2	Mantu
2	Nabbaguﬂ
2	No
2	N‰dﬂ
2	Pagani
2	Paradneekﬂ
2	Patteeßi
2	Pilliﬂ
2	Preekßchaiem
2	Prophetuﬂ
2	Pr‰tti=darrißchanaﬂ
2	Ruﬂa
2	Saaliﬂ
2	Sagglgi
2	Salmangia
2	Sapraßchana
2	Sch‰l‰ßtibu
2	Seewaﬂ
2	Seewu
2	Sirdz
2	Skabbargu
2	Skolam
2	Sw‰tu
2	Ta
2	Taa
2	Tadd
2	Taiﬂnibaﬂ
2	Taiﬂnibu
2	Tumßiba
2	Tuwaka
2	Tyruma
2	Tzilwakem
2	Tz‰lßch
2	T‰wu
2	T‰‰wﬂ
2	Ugunﬂ
2	Upp‰ﬂ
2	Waiga
2	Warda`
2	Wardz
2	Wartim
2	Wyram
2	apgaana
2	appakßch
2	arri
2	attdoﬂ
2	attlaißch
2	attw‰rtz
2	buutu
2	darriﬂ
2	dawwiﬂ
2	doot
2	dzird
2	dßird‰ißchi
2	eekaroteeﬂ
2	ey
2	gribb
2	gribbu
2	iuußu
2	iuuﬂo
2	ja
2	jaw
2	kaada
2	kad
2	kalpot
2	katra
2	kraaiateeﬂ
2	kritta
2	labbak
2	labbaﬂ
2	luudzateeﬂ
2	luukoiaﬂ
2	mannuﬂ
2	meelo
2	muuﬂ
2	myl‰t
2	myl‰teeﬂ
2	m‰kl‰
2	m‰tt
2	m‰ßtaﬂ
2	m‰ﬂ
2	m‰‰ﬂ
2	naatziﬂ
2	nawaid
2	nokaap‰
2	nokaut
2	noßt
2	n‰gg
2	paleek
2	paßuud
2	pillu
2	pr‰tti
2	ragßtys
2	ragßtyﬂ
2	rook
2	r‰dzi
2	tawa`
2	teeßaiet
2	teeßati
2	turr‰damﬂ
2	tˆwi
2	un
2	uﬂraiﬂit
2	weena
2	weenaﬂ
2	wingias
2	wiﬂaﬂ
2	wiﬂem
2	w‰dd
2	w‰lti
2	w‰‰l
2	zauri
2	ßatzidamﬂ
2	ßchiﬂ
2	ßchodeen
2	ßinna
2	ßoog
2	ßp‰y
2	ßw‰ta
2	ƒkaﬂ
2	ƒku
2	‰ﬂi
1	35
1	36
1	37
1	38
1	39
1	40
1	41
1	42
1	43
1	44
1	45
1	46
1	47
1	48
1	Abba
1	Abbe
1	Akmeni
1	Akm‰ngia
1	Algaﬂ
1	Amen
1	Apußtuliu
1	Apußtulju
1	Arr
1	Arrig
1	Artaugu
1	Atkal
1	Attlaißtu
1	Attzu
1	Attßtaßchanaﬂ=Gramatu
1	Atzi
1	Atzkapiateeﬂ
1	Atzu=Kalpi
1	Atzu=Kalpﬂ
1	Atzu=kalpi
1	Auguma
1	Aukßcham=tz‰lßchanoﬂ{Aukßcham=tz‰lßcha~oﬂ}
1	Awio=Dr‰b‰m
1	Aﬂ‰nim
1	Baggatibai
1	Balkiﬂ
1	Barriba
1	Bauﬂlim
1	Bauﬂluﬂ
1	Baßnitz=Kungo=Teeßai
1	Braali
1	Braaliam
1	Braliam
1	Byaßchanaﬂ
1	Byteeﬂ
1	B‰rnem
1	B‰rni
1	B‰rnim
1	B‰rﬂ
1	B‰‰digi
1	Carinteriem
1	Chrißto
1	Chrißtus
1	Daawanaﬂ
1	Dabb‰ßim
1	Dabb‰ßu
1	Dabb‰ﬂimSw‰titz
1	Daddziem
1	Darbuﬂ
1	Darri
1	Daudz
1	Deeni
1	Deewa=D‰hls
1	Deewam
1	Denai
1	Dewam
1	Dooﬂ
1	Draugam
1	Draugi
1	Draugim
1	Draugu
1	Drauguﬂ
1	Dr‰b‰m
1	Dr‰b‰ﬂ
1	Durriﬂ
1	Duruminﬂ
1	Duﬂama
1	Duﬂamu
1	Dw‰ßal
1	Dw‰ßali
1	Dw‰ß‰l‰
1	Dzywoßchanaﬂ
1	Dßiwibu
1	D‰bbeﬂuﬂ
1	D‰bb‰ßo
1	D‰bb‰ﬂi
1	D‰bb‰ﬂim
1	D‰‰la
1	D‰‰li
1	D‰‰lﬂ
1	Eeita
1	Eelam
1	Eelu=Sturym
1	Eenaidneeka
1	Eenaidneekuﬂ
1	Eenijd‰taieem
1	Eeßakumﬂ
1	Egypt‰ria
1	Evangiliuma
1	Ev‚giljuma
1	Gaißma
1	Gaißmaﬂ
1	Gaiﬂmaﬂ
1	Gaiﬂm‰ﬂ
1	Galat‰rgien
1	Galla=Wardﬂ
1	Gallﬂ
1	Galwaﬂ
1	Galwu
1	Gann
1	Garra`
1	Garram
1	Garriumu
1	Gijmi
1	Goda
1	Godini
1	Goodz
1	Grutibaﬂ
1	Guddribas
1	Jerußal‰m‰ﬂ
1	Jobba
1	Juriu
1	Juudßiﬂ
1	Jﬂtwykußchi
1	Jﬂßalkußchi
1	Kaaiam
1	Kadd
1	Kaiam
1	Kaio
1	Kallna
1	Kalna
1	Kalpa
1	Kalpa=Namma
1	Kalpon‰
1	Kalpon‰ﬂ
1	Kalpﬂ
1	Kambaria
1	Kardinaßchanaﬂ
1	Katru
1	Ki‰nigia=Walßtibu
1	Ki‰rßchanoﬂ
1	Klauw‰ieet
1	Klau‰ßtaiam
1	Ko
1	Kritteens
1	Kr‰iﬂa
1	Kr‰ﬂliﬂ
1	Kungam
1	Kungim
1	Labbem
1	Labﬂ
1	Lay
1	Leelakaﬂ
1	Leelﬂ
1	Leetu
1	Leetzibu
1	Liaudim
1	Liauna=darritaij
1	Liaunam
1	Liauna{Lianua}
1	Liauni
1	Liaunﬂ
1	Loopa
1	Loopﬂ
1	Lukturia
1	Luukoieeﬂ
1	L‰‰npraatigi
1	Maati
1	Maatzikli
1	Maißi
1	Maiß‰ﬂ
1	Makßaﬂ
1	Mammonam
1	Manta
1	Matta
1	Mattiﬂa
1	Matzibu
1	Matziklia
1	Matzitaij
1	Maukoßchanaﬂ
1	Mautzibaﬂ
1	Maßßakaiﬂ
1	Maﬂtitzigi
1	Meeloßchana
1	Meera
1	Meeßam
1	Meeßu
1	Micha
1	Mijl‰taiem
1	Moße
1	Moßis
1	Muitaneeki
1	Muit‰neeki
1	Mutti
1	Muußchibaﬂ
1	Muußo
1	Muußu
1	Myl‰taiuﬂ
1	Myl‰ßtiba
1	Myl‰ßtibaﬂ
1	Myl‰ßtibu
1	M‰ita
1	M‰‰ru
1	Na
1	Nabbaga
1	Nabbagi
1	Nabbagudoßchana
1	Namma
1	Nomirußchoo
1	Nopulgati
1	Notikkum=Gramataﬂ
1	Notikkuma
1	Noturr‰tees
1	Noßeegumuﬂ
1	Nƒ
1	N‰taiﬂneem
1	N‰taiﬂnoo
1	N‰weikli
1	Ol‰ktiﬂ
1	Pad‰bb‰ßis
1	Paleekat
1	Pamaatzateeﬂ
1	Pam~‰tt
1	Parradneekim
1	Parraduﬂ
1	Pateeßi
1	Patteeﬂ
1	Patteﬂi
1	Paßl‰ptu
1	Paßußchanaﬂ
1	Paﬂaul‰ﬂ
1	Pee
1	Peelaid
1	Peeluukoiet
1	Peeminni
1	Pharißee‰riu
1	Praatu
1	Praatz
1	Pratti
1	Praﬂet
1	Preekßchaieem
1	Preetzaieeteeﬂ
1	Propheta
1	Prophetem
1	Propheti
1	Prophetim
1	Pr‰ttineekam
1	Pr‰ttineekﬂ
1	Pukki‰m
1	Puttnim
1	Puura
1	P‰lngia
1	P‰rl‰ﬂ
1	Raddiba
1	Ragßta
1	Ragßtinﬂ
1	Ragßtu
1	Ragßtu=Matzitaiu
1	Roka
1	Rom‰reem
1	Rytam
1	Rytz
1	Sakkamu=wardu
1	Sali
1	Salmaniﬂ
1	Samm‰ﬂ
1	Sattzitz
1	Sauli
1	Sch‰ligi
1	Sinnaßchana
1	Sinnaßchanaﬂ
1	Sinnaßchanu
1	Sirdiﬂ
1	Sirga
1	Sirrdi
1	Siwwi
1	Skabargu
1	Skiungioﬂ
1	Slimmem
1	Slimmibas
1	Sl‰pp‰niba
1	Smiltim
1	Sniaukta
1	Soba
1	Sobﬂ
1	Sodibaﬂ
1	Sogiam
1	Sogiﬂ
1	Soodibaﬂ
1	Spr‰ddikia
1	Sp‰‰ku
1	Sp‰‰kuﬂ
1	Sp‰‰kﬂ
1	Sullaingiam
1	Sunngiem
1	Suutitaﬂ=Gramataﬂ
1	Swarkuﬂ
1	Swa‰ti
1	Sw‰r‰ßchanu
1	Sw‰tam
1	Sw‰taﬂ
1	Sw‰ttz‰
1	Sw‰tzi
1	Sw‰ßch‰neeks
1	S‰mm‰
1	S‰mm‰ﬂ=Akm‰ngia
1	S‰ßchi
1	Sˆwi
1	Taawﬂ
1	Taaﬂ
1	Taiﬂnem
1	Taiﬂniba
1	Taiﬂnoo
1	Tawa
1	Tawﬂ
1	Teeßaﬂ
1	Teeßu
1	Timoiheuﬂa
1	Titziba
1	Titzibaﬂ
1	Too
1	Trakkiba
1	Trakﬂ
1	Turr‰taieem
1	Turr‰ßchana
1	Tzilwaki
1	Tzilwakim
1	Tzilw‰kam
1	Tzilw‰ki
1	Tzilw‰kim
1	Tzilw‰kuﬂ
1	Tzilw‰kﬂ
1	Tziußku
1	Tz‰llia
1	Tz‰llioﬂ
1	Tz‰rribu
1	T‰‰wa
1	T‰‰ws
1	T‰‰wß
1	UNn
1	Ud‰nﬂ
1	Uppureem
1	Uﬂluukoiateeﬂ
1	Uﬂwalkuﬂ
1	Vnu
1	Waarti
1	Waiadßigu
1	Waigu
1	Waiguﬂ
1	Wallodo
1	Walßtibaﬂ
1	Wardam
1	Wardus
1	Ward‰
1	Warti
1	Weenﬂ
1	Wilki
1	Wilßchana
1	Wingiaﬂ
1	Wiﬂu
1	Wynogu
1	Wyogaﬂ
1	W‰gi
1	W‰gji
1	W‰lluﬂ
1	Zeetuma
1	Zilw‰ke~
1	Zilw‰ki
1	Zittadi
1	Zukam
1	Z‰llia
1	Z‰lliu
1	Z‰plia
1	aara
1	abba
1	aißeeﬂ
1	aiﬂeeﬂ
1	aiﬂngi‰mteeﬂ
1	aiﬂßl‰dzeﬂ
1	allaßchin
1	apgaani
1	apgaß‰ﬂ
1	apgr‰zinaﬂ
1	apmyngia
1	apm‰kl‰damﬂ
1	appakßcha
1	apt‰rp
1	apt‰rptz
1	apwilkßeet
1	apwilkßim
1	apßaalita
1	apßl‰pta
1	apßmeeﬂ
1	apßmook
1	apß‰daﬂ
1	ara
1	arridzan
1	arrig
1	atdoßi
1	atdoﬂ
1	atduﬂ‰iaﬂ
1	atdßißchoﬂ
1	atdßyßtooﬂ
1	atgreeßdameﬂ
1	atp‰ßtitz
1	atreebeiﬂ
1	atrood
1	attdarryﬂ
1	attlaid
1	attmaritz
1	attn‰ﬂ
1	attraﬂeet
1	attrood
1	attwari
1	attßpyd
1	atzminneeﬂ
1	augg
1	augßtaki
1	aukßcha
1	aﬂi
1	ba
1	balta
1	barrgio
1	batt
1	bija
1	biyﬂ
1	but
1	buudami
1	buußi
1	bya
1	byßteeﬂ
1	b‰dadameeﬂ
1	b‰daiateeﬂ
1	b‰daieteeﬂ
1	b‰daßeeﬂ
1	b‰idz‰
1	b‰ﬂ
1	b‰‰dateeﬂ
1	b‰‰gt
1	darrait
1	darreet
1	darri
1	darria
1	darritay
1	darrißchanaﬂ
1	darrißet
1	darrißit
1	darru
1	darryam
1	dauds
1	deeni
1	deenißchku
1	dibbinata
1	diwi
1	diwim
1	doodeet
1	doomaieet
1	dootz
1	dooﬂ
1	dryﬂ
1	du
1	duﬂmo
1	dzird‰ißchi
1	dz‰rßim
1	dßirdeißchi
1	dßird‰iußchi
1	dßird‰tz
1	dßywo
1	dß‰rßeet
1	d‰rr
1	d‰wiﬂ
1	eed‰dßina
1	eekam
1	eekarotees
1	eekßchh
1	eekßkigi
1	eem‰ßta
1	eem‰ßtz
1	eem‰˙tz
1	eenak
1	eenid‰ﬂ
1	eenyd
1	eenyd‰t
1	eepreetzinati
1	eew‰dd
1	eeßit
1	eeﬂ
1	ee‰y
1	gaaß‰ﬂ
1	gaidaﬂ
1	gaißchaﬂ
1	gai‰ju
1	garriaﬂ
1	garriu
1	gawet
1	gawwadami
1	gawwadamﬂ
1	gawwoßchu
1	goodinati
1	greeﬂ
1	gribbat
1	gribb‰dami
1	guddram
1	guddru
1	iauna
1	ickweenﬂ
1	idﬂßinam
1	ir
1	iuﬂ
1	iﬂatrukaﬂ
1	iﬂeeﬂi
1	iﬂm‰tt
1	iﬂm‰ßt
1	iﬂtzirßtz
1	iﬂwilkt
1	iﬂw‰ddiﬂ
1	i‰b
1	juußa
1	j‰
1	kaadaﬂ
1	kaadi
1	kaap‰
1	kalpi
1	kalpoiu
1	kalpoot
1	kam‰r
1	kardina
1	kas
1	katrai
1	kattru
1	klaat
1	kliuﬂ
1	kraaßnuﬂ
1	ku
1	laad
1	labbpraatigﬂ
1	labbu
1	laﬂa
1	leela
1	leetzeﬂ
1	lidß
1	lidßinatz
1	likßmoieet
1	lukoiaﬂ
1	luudzat
1	luudzeeﬂ
1	luukodameeﬂ
1	lydz
1	lydßa
1	lydß‰nat
1	lyk
1	maatzia
1	maatzija
1	maatziﬂ
1	maaziﬂ
1	mana
1	mani
1	manna
1	manni
1	mannis
1	mantooﬂ
1	manu
1	manﬂ
1	mauko
1	maukoijs
1	maß
1	maßga
1	maßtay
1	maßßakaiem
1	maßßakais
