V‚rdformu skaits:	1139
V‚rdlietojumu skaits:	3074


121	unn
83	irr
69	n‰
57	eekßch
49	kaﬂ
43	aißto
41	b‰tt
41	taﬂ
39	taa
37	iuuﬂ
37	no
34	too
33	ka
31	kaa
30	iumﬂ
30	taaﬂ
29	teem
28	‰ﬂ
28	tee
28	tˆw
27	buuﬂ
24	uuﬂ
21	wingia
18	n‰dz
18	ßawu
17	tadd
17	tawa
17	tu
16	tooﬂ
16	wingi
15	tam
14	i‰
14	ßakku
13	arr
13	tawﬂ
11	atziﬂ
11	darra
11	gramataﬂ
11	iuußo
11	juuﬂ
11	ko
11	par
11	preekßch
10	kungﬂ
10	pee
10	ta
10	tap‰tz
10	tawaﬂ
10	weenﬂ
10	wingßch
9	deewa
9	lay
9	to
9	wingiu
9	wiﬂu
8	sw‰‰ti
8	tawu
7	‰ﬂet
7	buﬂ
7	deewﬂ
7	ikweenﬂ
7	koo
7	labba
7	otru
7	s‰mm‰ﬂ
7	tapﬂ
7	tapt
7	t‰wﬂ
7	toop
7	un~
7	v
7	wirﬂ
7	14
7	8
6	‰ﬂmu
6	d‰bb‰ßim
6	j‰
6	kadd
6	praﬂa
6	pr‰tt
6	wairak
6	warr
6	13
6	15
5	augliuﬂ
5	darrit
5	daudz
5	dood
5	jumﬂ
5	katru
5	kookﬂ
5	kunga
5	kurr
5	meeßaﬂ
5	n‰gg
5	nu
5	p‰‰tz
5	ßawa
5	tˆwim
5	tzaur
5	wardu
5	wiﬂ
5	12
5	16
5	5
5	6
4	ar
4	batt
4	bauﬂli
4	buut
4	d‰bb‰ßiﬂ
4	dabbu
4	iﬂ
4	jeßu
4	kaadu
4	katri
4	ki‰ningia=walßtiba
4	labﬂ
4	leek
4	leelﬂ
4	manniﬂ
4	mumﬂ
4	na
4	papreekßchu
4	pawulﬂ
4	s
4	ßawuﬂ
4	ßl‰pp‰n
4	ßˆw
4	ßw‰taﬂ
4	t‰wa
4	tawam
4	toopet
4	turr
4	tzilw‰kem
4	weenam
4	weenu
4	wingiem
4	1
4	10
4	11
4	17
4	19
4	2
4	23
4	24
4	28
4	29
4	3
4	4
4	7
4	9
3	algu
3	‰ll‰ﬂ
3	apgraißißchana
3	‰ﬂeet
3	‰ﬂi
3	bauﬂliﬂ
3	chrißta
3	darbu
3	darret
3	dawanu
3	deenaﬂ
3	deewu
3	i‰bb
3	iaw
3	jeßus
3	ki‰ningia=walßtibaﬂ
3	kliuuﬂ
3	labbuﬂ
3	lidz
3	maukot
3	naatz‰
3	n‰dﬂ
3	n‰neeka
3	paataruﬂ
3	parada
3	parr
3	pirmaﬂ
3	preekßch=ada
3	ßakka
3	s‰mmi
3	ßattzitz
3	ßawaﬂ
3	ßawim
3	ßchoo
3	ßchooﬂ
3	ßtraada
3	tawim
3	uﬂ
3	warduﬂ
3	wingio
3	wiﬂa
3	18
3	20
3	21
3	22
3	25
3	26
3	27
2	abba
2	‰kaﬂ
2	‰ku
2	altaria
2	apgaana
2	appakßch
2	arri
2	arrig
2	attdoﬂ
2	attlaißch
2	attw‰rtz
2	atzu=kalpi
2	augliem
2	balki
2	baußla
2	bauﬂlu
2	braalia
2	bralia
2	buutu
2	dabb‰ßiﬂ
2	d‰bb‰ﬂo
2	d‰bb‰ﬂu
2	darri
2	darriﬂ
2	dawwiﬂ
2	deena
2	deeni
2	deenu
2	dooﬂ
2	doot
2	drauga
2	dßird‰ißchi
2	dzird
2	eekaroteeﬂ
2	ey
2	gaiﬂma
2	gribb
2	gribbu
2	guddriba
2	iuuﬂo
2	iuußu
2	ja
2	j‰bb
2	jangia
2	jaw
2	kaada
2	kad
2	kalpot
2	katra
2	ki‰ningia
2	kood‰ﬂ
2	kraaiateeﬂ
2	kritta
2	labbak
2	labbaﬂ
2	leetuﬂ
2	liaudiﬂ
2	liauna
2	lotziklim
2	luudzateeﬂ
2	luukoiaﬂ
2	m‰‰ﬂ
2	m‰kl‰
2	mannuﬂ
2	mantu
2	m‰ﬂ
2	m‰ßtaﬂ
2	m‰tt
2	meelo
2	muuﬂ
2	muußu
2	myl‰t
2	myl‰teeﬂ
2	naatziﬂ
2	nabbaguﬂ
2	nawaid
2	nokaap‰
2	nokaut
2	noßt
2	pagani
2	paleek
2	paradneekﬂ
2	paßuud
2	patteeßi
2	pilliﬂ
2	pillu
2	pr‰tti
2	pr‰tti=darrißchanaﬂ
2	preekßchaiem
2	prophetuﬂ
2	r‰dzi
2	ragßtys
2	ragßtyﬂ
2	rook
2	ruﬂa
2	saaliﬂ
2	sagglgi
2	salmangia
2	sapraßchana
2	ßatzidamﬂ
2	sch‰l‰ßtibu
2	ßchiﬂ
2	ßchodeen
2	seewaﬂ
2	seewu
2	ßinna
2	sirdz
2	skabbargu
2	skolam
2	ßoog
2	ßp‰y
2	ßw‰ta
2	sw‰tu
2	t‰‰wﬂ
2	taiﬂnibaﬂ
2	taiﬂnibu
2	tawa`
2	t‰wu
2	teeßaiet
2	teeßati
2	tˆwi
2	tumßiba
2	turr‰damﬂ
2	tuwaka
2	tyruma
2	tz‰lßch
2	tzilwakem
2	ugunﬂ
2	un
2	upp‰ﬂ
2	uﬂraiﬂit
2	w‰‰l
2	w‰dd
2	waiga
2	w‰lti
2	warda`
2	wardz
2	wartim
2	weena
2	weenaﬂ
2	wingias
2	wingiaﬂ
2	wiﬂaﬂ
2	wiﬂem
2	wyram
2	zauri
2	30
2	31
2	32
2	33
2	34
1	aara
1	abbe
1	‰dißeet
1	‰dißim
1	aißeeﬂ
1	aiﬂeeﬂ
1	aiﬂngi‰mteeﬂ
1	aiﬂßl‰dzeﬂ
1	‰kas
1	akm‰ngia
1	akmeni
1	algaﬂ
1	‰lka
1	‰lka=deewa
1	allaßchin
1	amen
1	apgaani
1	apgaß‰ﬂ
1	apgr‰zinaﬂ
1	apm‰kl‰damﬂ
1	apmyngia
1	appakßcha
1	apßaalita
1	apß‰daﬂ
1	apßl‰pta
1	apßmeeﬂ
1	apßmook
1	apt‰rp
1	apt‰rptz
1	apußtuliu
1	apußtulju
1	apwilkßeet
1	apwilkßim
1	ara
1	arridzan
1	artaugu
1	‰rtzßim
1	‰ß‰lja
1	aﬂ‰nim
1	‰ßet
1	aﬂi
1	‰ßßet
1	atdoﬂ
1	atdoßi
1	atdßißchoﬂ
1	atdßyßtooﬂ
1	atduﬂ‰iaﬂ
1	atgreeßdameﬂ
1	atkal
1	atp‰ßtitz
1	atreebeiﬂ
1	atrood
1	attdarryﬂ
1	attlaid
1	attlaißtu
1	attmaritz
1	attn‰ﬂ
1	attraﬂeet
1	attrood
1	attßpyd
1	attßtaßchanaﬂ=gramatu
1	attwari
1	attzu
1	atzi
1	atzkapiateeﬂ
1	atzminneeﬂ
1	atzu=kalpﬂ
1	augg
1	augßtaki
1	auguma
1	aukßcha
1	aukßcham=tz‰lßchanoﬂ{aukßcham=tz‰lßcha~oﬂ}
1	awio=dr‰b‰m
1	ba
1	b‰‰dateeﬂ
1	b‰‰digi
1	b‰‰gt
1	b‰dadameeﬂ
1	b‰daiateeﬂ
1	b‰daieteeﬂ
1	b‰daßeeﬂ
1	baggatibai
1	b‰idz‰
1	balkiﬂ
1	balta
1	b‰rnem
1	b‰rni
1	b‰rnim
1	barrgio
1	barriba
1	b‰rﬂ
1	b‰ﬂ
1	baßnitz=kungo=teeßai
1	bauﬂlim
1	bauﬂluﬂ
1	bija
1	biyﬂ
1	braali
1	braaliam
1	braliam
1	but
1	buudami
1	buußi
1	bya
1	byaßchanaﬂ
1	byßteeﬂ
1	byteeﬂ
1	carinteriem
1	chrißto
1	chrißtus
1	d‰‰la
1	d‰‰li
1	d‰‰lﬂ
1	daawanaﬂ
1	d‰bb‰ﬂi
1	dabb‰ßim
1	d‰bb‰ﬂim
1	dabb‰ﬂimsw‰titz
1	d‰bb‰ßo
1	dabb‰ßu
1	d‰bbeﬂuﬂ
1	daddziem
1	darbuﬂ
1	d‰rr
1	darrait
1	darreet
1	darria
1	darrißchanaﬂ
1	darrißet
1	darrißit
1	darritay
1	darru
1	darryam
1	dauds
1	d‰wiﬂ
1	deenißchku
1	deewa=d‰hls
1	deewam
1	denai
1	dewam
1	dibbinata
1	diwi
1	diwim
1	doodeet
1	doomaieet
1	dootz
1	dr‰b‰m
1	dr‰b‰ﬂ
1	draugam
1	draugi
1	draugim
1	draugu
1	drauguﬂ
1	dryﬂ
1	dß‰rßeet
1	dßird‰iußchi
1	dßird‰tz
1	dßirdeißchi
1	dßiwibu
1	dßywo
1	du
1	durriﬂ
1	duruminﬂ
1	duﬂama
1	duﬂamu
1	duﬂmo
1	dw‰ßal
1	dw‰ß‰l‰
1	dw‰ßali
1	dz‰rßim
1	dzird‰ißchi
1	dzywoßchanaﬂ
1	ee‰y
1	eed‰dßina
1	eeita
1	eekam
1	eekarotees
1	eekßchh
1	eekßkigi
1	eelam
1	eelu=sturym
1	eem‰ßta
1	eem‰˙tz
1	eem‰ßtz
1	eenaidneeka
1	eenaidneekuﬂ
1	eenak
1	eenid‰ﬂ
1	eenijd‰taieem
1	eenyd
1	eenyd‰t
1	eepreetzinati
1	eeﬂ
1	eeßakumﬂ
1	eeßit
1	eew‰dd
1	egypt‰ria
1	ev‚giljuma
1	evangiliuma
1	gaaß‰ﬂ
1	gai‰ju
1	gaidaﬂ
1	gaißchaﬂ
1	gaißma
1	gaißmaﬂ
1	gaiﬂmaﬂ
1	gaiﬂm‰ﬂ
1	galat‰rgien
1	galla=wardﬂ
1	gallﬂ
1	galwaﬂ
1	galwu
1	gann
1	garra`
1	garram
1	garriaﬂ
1	garriu
1	garriumu
1	gawet
1	gawwadami
1	gawwadamﬂ
1	gawwoßchu
1	gijmi
1	goda
1	godini
1	goodinati
1	goodz
1	greeﬂ
1	gribb‰dami
1	gribbat
1	grutibaﬂ
1	guddram
1	guddribas
1	guddru
1	i‰b
1	iauna
1	ickweenﬂ
1	idﬂßinam
1	ir
1	iﬂatrukaﬂ
1	iﬂeeﬂi
1	iﬂm‰ßt
1	iﬂm‰tt
1	iﬂßalkußchi
1	iﬂtwykußchi
1	iﬂtzirßtz
1	iﬂw‰ddiﬂ
1	iﬂwilkt
1	iuﬂ
1	jerußal‰m‰ﬂ
1	jobba
1	juriu
1	juudßiﬂ
1	juußa
1	kaadaﬂ
1	kaadi
1	kaaiam
1	kaap‰
1	kaiam
1	kaio
1	kallna
1	kalna
1	kalpa
1	kalpa=namma
1	kalpi
1	kalpoiu
1	kalpon‰
1	kalpon‰ﬂ
1	kalpoot
1	kalpﬂ
1	kam‰r
1	kambaria
1	kardina
1	kardinaßchanaﬂ
1	kas
1	katrai
1	kattru
1	ki‰nigia=walßtibu
1	ki‰rßchanoﬂ
1	klaat
1	klau‰ßtaiam
1	klauw‰ieet
1	kliuﬂ
1	kraaßnuﬂ
1	kr‰iﬂa
1	kr‰ﬂliﬂ
1	kritteens
1	ku
1	kungam
1	kungim
1	laad
1	l‰‰npraatigi
1	labbem
1	labbpraatigﬂ
1	labbu
1	laﬂa
1	leela
1	leelakaﬂ
1	leetu
1	leetzeﬂ
1	leetzibu
1	liaudim
1	liauna{lianua}
1	liauna=darritaij
1	liaunam
1	liauni
1	liaunﬂ
1	lidß
1	lidßinatz
1	likßmoieet
1	loopa
1	loopﬂ
1	lukoiaﬂ
1	lukturia
1	luudzat
1	luudzeeﬂ
1	luukodameeﬂ
1	luukoieeﬂ
1	lydßa
1	lydß‰nat
1	lydz
1	lyk
1	m‰‰rißet
1	m‰‰ru
1	maati
1	maatzia
1	maatzija
1	maatzikli
1	maatziﬂ
1	maaziﬂ
1	maiß‰ﬂ
1	maißi
1	m‰ita
1	m‰kkl‰ieet
1	m‰kl‰ieet
1	makßaﬂ
1	m‰lla
1	m‰llodami
1	mammonam
1	mana
1	mani
1	manna
1	manni
1	mannis
1	manﬂ
1	manta
1	mantooﬂ
1	manu
1	maß
1	maßga
1	maßßakaiem
1	maßßakais
1	maßßakaiﬂ
1	maßtay
1	m‰ßteeﬂ
1	maﬂtitzigi
1	matta
1	m‰ttet
1	mattiﬂa
1	matzibu
1	matziklia
1	matzitaij
1	mauko
1	maukoijs
1	maukoßchanaﬂ
1	mautzibaﬂ
1	meeloßchana
1	meera
1	meeßam
1	meeßu
1	micha
1	mijl‰taiem
1	min~‰t
1	minn‰ﬂ
1	moße
1	moßis
1	muitaneeki
1	muit‰neeki
1	mußcham
1	mutti
1	muußchibaﬂ
1	muußo
1	myl‰jiﬂ
1	myl‰ﬂ
1	myl‰ßtiba
1	myl‰ßtibaﬂ
1	myl‰ßtibu
1	myl‰taiuﬂ
1	mylimeeﬂ
1	mylio
1	mylioiet
1	myliﬂ
1	mylit
1	n‰=neeka
1	naak
1	naakdamﬂ
1	nabbaga
1	nabbagi
1	nabbagudoßchana
1	naganti
1	n‰gribbat
1	namma
1	n‰ﬂ
1	n‰taiﬂneem
1	n‰taiﬂnoo
1	n‰warr
1	n‰weikli
1	n‰wiltigaﬂ
1	ngi‰mt
1	nittzinaﬂ
1	nitzina
1	nodood
1	nogreeßeeﬂ
1	nokauﬂ
1	nomanni
1	nomirußchoo
1	nopulgaißchi
1	nopulgaﬂ
1	nopulgati
1	nopulgo
1	noßauktﬂ
1	noßeegumuﬂ
1	noteek
1	noteekam
1	notikkas
1	notikkum=gramataﬂ
1	notikkuma
1	notikt
1	notittziﬂ
1	noturr‰dameeﬂ
1	noturr‰tees
1	notz‰rt
1	ol‰ktiﬂ
1	otraﬂ
1	otreem
1	p‰‰digu
1	paar
1	pad‰bb‰ßis
1	padarrit
1	paklaußiti
1	paleekat
1	p‰lngia
1	pam~‰tt
1	pamaatzateeﬂ
1	pam‰ﬂliﬂ
1	pam‰tt
1	pam‰ttam
1	pam‰ttiﬂ
1	pamattißit
1	pam‰ttiﬂit
1	pamettiﬂ
1	pari
1	p‰rl‰ﬂ
1	parradneekim
1	parraduﬂ
1	paﬂaul‰ﬂ
1	paßchu
1	paßit
1	paßl‰ptu
1	p‰ßti
1	paßußchanaﬂ
1	paßyßtot
1	paßyt
1	pataruﬂ
1	pateeßi
1	pati
1	patteeﬂ
1	patteﬂi
1	patti
1	paturr‰ﬂ
1	p‰tz
1	paw‰lju
1	peed‰r
1	peelaid
1	peelikt
1	peeliktz
1	peeluko
1	peeluukoiet
1	peeminni
1	peepildit
1	peepilditi
1	peepildyﬂ
1	peeßauks
1	pharißee‰riu
1	pillnaka
1	plaßchi
1	pl‰ßigi
1	platz
1	pliau
1	pliukßt
1	praatu
1	praatz
1	praﬂet
1	pratti
1	pr‰ttineekam
1	pr‰ttineekﬂ
1	pr‰tz
1	preekßcha
1	preekßchaieem
1	preetzaieeteeﬂ
1	propheta
1	prophetem
1	propheti
1	prophetim
1	puht‰
1	pukki‰m
1	puﬂ‰ﬂ
1	puttnim
1	puura
1	puut‰
1	puwis
1	puwiﬂ
1	raaditz
1	raddiba
1	r‰ddz
1	r‰ddz‰damﬂ
1	r‰ddz‰ﬂ
1	raddzati
1	r‰ddz‰ti
1	radz
1	radzatj
1	ragßta
1	ragßtem
1	ragßtinﬂ
1	ragßtitem
1	ragßtu
1	ragßtu=matzitaiu
1	raißaieeteeﬂ
1	raißiﬂ
1	roka
1	rom‰reem
1	runnaia
1	runnaﬂ
1	rytam
1	rytu
1	rytz
1	ß‰‰
1	sakkamu=wardu
1	ßakt
1	sali
1	salmaniﬂ
1	ßalydzineeﬂ
1	ßamingiatay
1	s‰mm‰
1	samm‰ﬂ
1	s‰mm‰ﬂ=akm‰ngia
1	ß‰mmigi
1	ßapplooßa
1	ßapraßt
1	ß‰ptita
1	ß‰ptitaﬂ
1	ß‰ptitu
1	ßargateeﬂ
1	s‰ßchi
1	ß‰ßchi
1	ßattziﬂ
1	ßattzitﬂ
1	sattzitz
1	ßatzidami
1	ßatzißi
1	ßatzitz
1	ßaukti
1	ßauktz
1	sauli
1	ßautz
1	ßav‰d
1	ßaw
1	ßawam
1	ß‰wim
1	ßchaam
1	sch‰ligi
1	ßch‰loti
1	ßchauri
1	ßchaurim
1	ßchaurﬂ
1	ßcho
1	ßin~a
1	sinnaßchana
1	sinnaßchanaﬂ
1	sinnaßchanu
1	ßinnat
1	sirdiﬂ
1	sirga
1	sirrdi
1	ßitt
1	siwwi
1	skabargu
1	ßkaiti
1	ßkaitidami
1	ßkaitit
1	ßkaitj
1	ßkeet
1	skiungioﬂ
1	ßkyßti
1	ßl‰pp‰na
1	sl‰pp‰niba
1	ßlimma
1	slimmem
1	slimmibas
1	ßlimmu
1	ßlimmus
1	ßlimmuﬂ
1	ßluddinaiam
1	smiltim
1	sniaukta
1	soba
1	sobﬂ
1	sodibaﬂ
1	sogiam
1	sogiﬂ
1	soodibaﬂ
1	ßow
1	sˆwi
1	ßˆwin
1	ßˆwiﬂ
1	sp‰‰kﬂ
1	sp‰‰ku
1	sp‰‰kuﬂ
