Vârdformu skaits:	334
Vârdlietojumu skaits:	542


38	un
15	ka
11	to
10	ne
9	ar
9	irr
9	muhúo
7	jeb
7	ta
7	tas
6	buhs
6	mehs
5	kad
5	pee
5	úawu
5	tohp
4	ir
4	no
4	pahr
4	zaur
3	behrns
3	bet
3	d§emdeúchanas
3	drohúchi
3	eekúch
3	jo
3	íehniòa
3	par
3	pawehïam
3	prett
3	tad
3	teem
3	wairojahs
2	arrid§an
2	bijis
2	etc
2	gºuhta
2	isúakka
2	kas
2	kur
2	íehniòa=likkumu
2	likkums
2	ïaundarritajas
2	mums
2	noúohdiht
2	nu
2	paúchu
2	patt
2	pawehlehts
2	pehz
2	preekúch
2	úchahdas
2	úchahdu
2	úchis
2	úcho
2	stockholme^
2	tahdas
2	tat§chu
2	tee
2	teeúas=kungi
2	us
2	warr
2	weenam
2	wi§úeem
2	wiòòo
1	15
1	1684
1	§in~ajuúi
1	§innaht
1	§innama
1	§innama^
1	§pehjoht
1	§pree§t
1	§pree§ta
1	ais§pee§t
1	aisbildinahtees
1	aisbildinajahs
1	aisbildinaúchana
1	apgrehkojuúees
1	appakúcha^
1	apwainoúchanas
1	arri
1	atjaunaht
1	aug
1	aug§ta
1	aug§teem=bih§kapeem
1	augamo
1	auglis
1	augúchajeem
1	ba§niza^s
1	ba§nizas=kungeem
1	baijero=semmmes
1	behrna
1	behrno=mu§china§chanu
1	behrno=mu§chinaúchana
1	behrno=mu§chinaúchanu
1	bergene^
1	bes
1	bormei§teºeem
1	breeúmiga
1	breeúmigas
1	brehmu=semmi
1	buht
1	d§emmoht
1	d§im~is
1	da§chadahm
1	darbam
1	darbeem
1	darbu
1	darriht
1	dee=wa
1	deenas
1	deewa
1	dehï
1	den
1	diwi
1	dohts
1	duúmiba
1	e§§am
1	e§úam
1	e§úohts
1	eedegguúees
1	eek§ch
1	eekúch=jeb
1	eezelt
1	gadds=kahrta^
1	gaiúmas
1	gan
1	gohto
1	gred§enu
1	grehki
1	grehko=darbi
1	grehkus
1	gribbetu
1	gºuhtas
1	gulika^
1	herzogs
1	iggauno=semmi
1	ih§tenas
1	ih§teni
1	ihpaúchu
1	ikkatra
1	ikkatram
1	ingeºa=semmi
1	irrag
1	ispau§chahs
1	ispaudehts
1	isúuhd§
1	jauna
1	ka§§ubo=un
1	kahda
1	kahrls
1	kam
1	kareïa=semmi
1	kehnina
1	klaija^
1	kleewe^
1	kungs
1	íehniò§ch
1	íehniòa=grahmatu
1	íehniòa=wahrdu
1	íehniòa=wal§tibu
1	labbu
1	leelajs
1	leelaka^
1	leeleem=kungeem
1	leels=kungs
1	leetas
1	leezibahm
1	lehni
1	likkumam
1	likkuúchi
1	likta
1	likts
1	lohzekïeem
1	ïauno^s
1	mallas
1	mauka
1	mekle
1	mihïas
1	nahwes=úohdiba
1	nahwes=un
1	ne=gohdigahm
1	ne=laika^
1	ne§innams
1	ne§ts
1	neeganti
1	neganti
1	negohdigas
1	negohdu
1	nelaika^
1	neneeka
1	no§eegatniba
1	no§eegúchanas
1	no§eegúchanu
1	nogree§ta
1	nola§úiht
1	nola§úihts
1	nomaitajama
1	nomirris
1	nommirris
1	noúohdama
1	noteeúaht
1	novembr
1	nowehr§ti
1	pa§iht
1	pa§taro^s
1	pa§uddinaht
1	padohmu
1	paklauúiht
1	palihd§eht
1	palz=grahws
1	pamannihts
1	papreekúchu
1	paradiht
1	paúaules=laiko^s
1	paúchas
1	paúlehptas
1	paúlepj
1	patti
1	patum§chas
1	pawehleúchanu
1	peeaug
1	peed§immis
1	peemahzi§chanu
1	pehz=d§imúchanas
1	pikúchí
1	pillim
1	pilnigs
1	pilsúahteem
1	piòòo=semmes
1	pirmu
1	pommero=semmi
1	prahb§teem
1	preekúch=jeb
1	pulka^
1	rahtes=kungeem
1	rak§tijuúchi
1	reihn=uppes
1	retti
1	riga
1	rohku
1	ruhgu
1	úalihd§inata
1	úaòemtas
1	úawas
1	úaweem
1	úazziht
1	úchee
1	schehla§tibas
1	úchi
1	úchim
1	úchini^s
1	schkohòo=semmi
1	úchíeetam
1	úeewiúkahm
1	úehdehs
1	semmehm
1	úewi§ki
1	sin~aúchanu
1	sinnams
1	sinnaúchanas
1	sinnaúchanu
1	úirdi
1	úirds=úahpehm
1	úlepkawibu
1	úohdibas=teeúu
1	úohdibu
1	úohditi
1	sohdu=likkums
1	úohìeem
1	úohìi
1	stetinu
1	sweedro
1	úwehdeena^s
1	úwehtko^s
1	ta`
1	tadehï
1	tahdahm
1	tahdam
1	tahdeem
1	tahdi
1	tahdu
1	tahdus
1	tahs
1	taiúna^
1	taiúnahm
1	taiúni
1	tapat
1	tapehz
1	tappuúi
1	teeúas=kungeem
1	tehwo=semmes
1	tik
1	tomehr
1	trihs=kahrt
1	tuhdeliò
1	ugguns=úohdibu
1	wainehm
1	wairak
1	wal§tibahm
1	walditajs
1	waldneekeem
1	waldneeks
1	waïïas
1	war
1	warrehs
1	warrejuúi
1	warrena
1	we§úai
1	ween
1	weens
1	weentulas
1	weetas
1	wehrdena=semmi
1	wendeòo
1	wendeòo=semmi
1	wi§§ai
1	wi§s=wairak
1	wi§úa§chki
1	wi§úaúchki
1	wi§úu
1	widd=semmi
1	winna
1	wiòòai
1	wiòòam
1	wiòòi
1	wirúneekeem
1	wiúmaru
1	wiúúeem
1	zeek
1	zilweki
1	zitkahrt
1	zitteem
