Vârdformu skaits:	1994
Vârdlietojumu skaits:	5647


215	un
81	man
76	buhs
75	ne
73	no
66	es
56	to
53	ar
48	ka
48	Un
44	Deews
40	par
40	pee
36	jeb
34	kas
32	Ka
32	teem
31	mannu
31	tew
30	us
29	ko
27	bet
27	tawu
27	2
26	Ka`
26	Kas
26	tahs
25	Dohd'
25	Lai
24	úawu
24	zaur
24	3
23	ir
23	ween
21	irr
21	Skohla^
21	4
20	Ak
19	úawas
18	Tehws
18	To
18	warru
17	Kad
17	lai
17	tam
17	tas
17	tu
16	Meld
16	neds
16	Prahtu
16	Skohlneekeem
16	ta`
16	tad
16	Tu
15	Ar
15	5
14	Deewa
14	Gohdu
14	Ko
14	Mahzibas
14	Man
14	mehs
14	Pee
14	Tad
14	Tew
14	warr
13	dohd'
13	eekúch
13	Je§us
13	pehz
13	úaweem
13	Úirdi
13	Úirds
12	d§ihwoht
12	Es
12	ka`
12	mums
12	preekúch
12	turretees
12	Wezzakeem
12	wiòúch
11	lihds
11	No
11	Skohlasbehrneem
11	ta
11	wiòòu
11	zitteem
10	Deewam
10	labbu
10	nahk
10	úchodeen
10	úwehtu
10	taws
10	1
9	bes
9	Deewu
9	eet
9	eúúi
9	Garru
9	Jr
9	klauúiht
9	Kri§tu
9	mans
9	Ne
9	§chehligs
9	tawa
9	tawahm
9	Wahrdeem
9	wiòòam
9	wiúúu
9	6
9	7
8	Ba§niza^
8	buhtu
8	eúmu
8	gan
8	ja
8	Je§u
8	jo
8	kad
8	labbi
8	Par
8	Preeku
8	úcho
8	Skohlas
8	Ta
8	tawas
8	tee
8	teeúcham
8	wiòòa
7	Amen
7	Bet
7	Dwehúeli
7	Gars
7	Grehkeem
7	Kungs
7	Labbu
7	labpraht
7	Mahjahm
7	mahza
7	manna
7	nu
7	prett
7	tahm
7	tewi
7	tewim
7	tohp
7	tohs
7	Us
7	wahju
7	wiòòeem
7	wiúúas
7	wiúúur
6	arr
6	atkal
6	Behrneem
6	Behrnu
6	Gudribu
6	Jo
6	Leetahm
6	Mahzibahm
6	mannas
6	pa
6	Pabeigta^
6	úewis
6	taweem
6	tewis
6	Zaur
5	alla§chin
5	atbildeht
5	Behrns
5	Darbeem
5	darru
5	Deenahm
5	dehï
5	dewis
5	I
5	ikdeenas
5	ikweenam
5	jel
5	kamehr
5	Mahja^s
5	mann'
5	ma§ahm
5	Meeúu
5	muh§cham
5	nahkt
5	padohtees
5	pats
5	Preekúch
5	prett'
5	pretti
5	runnaht
5	úchinni^
5	Spehku
5	úwehtahm
5	Taws
5	tawus
5	Wahrdus
5	weens
5	wehl
5	wehra^
5	zeenigi
5	Zeïïu
5	Zilwekeem
5	8
5	9
4	a
4	Auglus
4	b
4	Ba§nizas
4	Buhs
4	buht
4	Deenu
4	doht
4	D§ihwoúchanu
4	Dwehúeles
4	Eekúch
4	gohdaht
4	Gohdam
4	gohdigi
4	Grehku
4	Grehkus
4	gribb
4	jaunu
4	joprohjam
4	klaht
4	Kri§tus
4	kur
4	labbak
4	labbotees
4	Labbumu
4	Laika^
4	Leez'
4	luhd§u
4	Mahzitajeem
4	mann
4	manni
4	mannim
4	mihleju
4	mihligi
4	muhúu
4	Nahwes
4	Neds
4	pahr
4	paleek
4	palihd§'
4	parahdiht
4	paúchas
4	pateikt
4	pateizu
4	patikt
4	Peedohd'
4	peenahkahs
4	Pe§titaju
4	Rohkas
4	úargatees
4	§chehligi
4	Úirdi^
4	Skohlasbehrnam
4	Skohlneekam
4	úlaweht
4	§tahweht
4	§tiprina
4	úwehti
4	Úwehtibu
4	Ta`
4	Taiúniba^
4	tawa^
4	tawi
4	Teem
4	tihk
4	Tizzibu
4	wairak
4	Weeta^
4	wiòòi
4	wiúúahm
4	wiúúeem
4	zittas
4	zittus
3	aisbrauzu
3	ap
3	Apúwehti
3	At§ihúchanu
3	baudiht
3	Bauúleem
