Vârdformu skaits:	3790
Vârdlietojumu skaits:	15629


579	un
456	ne
341	es
291	ka`
254	to
228	tas
188	man
181	tu
168	bet
158	ar
150	ko
150	tad
145	us
143	behrt
138	no
138	wiòúch
136	par
135	pee
130	irr
130	kas
111	kad
102	tew
93	bija
88	woi
86	wehl
82	ja
78	kungs
76	ka
76	ta
70	jau
69	nu
68	ak
67	eúmu
66	jo
66	juhs
65	irraid
59	zeenigs
58	wiòòam
55	kur
52	lai
51	eúúi
50	buhs
50	tik
49	úawu
48	tee
46	buhtu
46	runna
45	anne
45	behrtuls
45	mauúch
45	tahs
43	pehz
43	wairak
42	wiòòu
40	daud§
40	weens
38	ïaudis
38	ta`
38	tikkai
38	warr
37	tam
37	wiòòa
36	gan
35	buht
34	brandwihnu
34	jeb
34	kam
34	kunga
34	weenu
33	atkal
33	tappe
33	1
32	úull
31	mehs
31	pa
31	pats
31	úeewa
29	úche`
28	wiúúu
26	diwi
26	lizzepurs
26	tehws
25	bes
25	labbu
25	warru
25	wiúú
25	wiúúi
24	d§err
24	ween
23	ir
23	jums
22	junk
22	lihd§
22	teeún
21	jel
21	labbak
21	úeewas
21	wihrs
20	juhúu
19	deews
19	dohd
19	kaut
19	labbi
19	preekúch
19	úirds
19	teem
19	zeen
18	gribbu
18	junkurs
18	naudu
18	tur
18	warri
17	doht
17	kamehr
17	tahds
17	wagg
17	2
16	deewa
16	deewu
16	mums
16	neì
16	teeúcham
16	wels
15	ah
15	behrtul
15	darriht
15	glah§i
15	ïaudim
15	ïaunu
15	me§chaúargs
15	mui§chas
15	naudas
15	papreekúch
15	úeewu
15	zik
14	biju
14	dakt
14	eij
14	kahds
14	leetas
14	mans
14	muhúu
14	rei§i
14	úahze
14	úawus
14	§chuhpu
14	úullaini
14	tahdu
14	waijag
13	arrid§an
13	kahdu
13	lizzepura
13	manna
13	úawa^
13	úawas
13	úcho
13	úeewai
13	teeúa
13	tudaï
13	wiúúas
13	wiúúeem
12	azzis
12	da§chu
12	eet
12	ha
12	karratawahm
12	mannu
12	muh§cham
12	nahk
12	ned§
12	úazzija
12	úchi
12	úchurp
12	§emmes
12	teeúas
12	tohp
12	waggars
11	ïau§chu
11	nahkt
11	ohtru
11	prahts
11	úahk
11	traks
11	trihs
11	wairs
10	behrni
10	deenahm
10	kahda
10	klaht
10	kungam
10	kungi
10	mai§es
10	manni
10	mauúchel
10	mauúchels
10	prahta^
10	rohkas
10	taggad
10	tahdas
10	tapehz
10	turp
10	wahrdu
10	warreja
10	wiúúa
10	zaur
10	zittadi
9	behrneem
9	brandwihns
9	dohmaja
9	dohmas
9	d§ert
9	elles
9	eúúam
9	eúúat
9	kant§chuku
9	kungu
9	labs
9	niknpuhze
9	paradih§e^
9	prahtu
9	proht
9	úapra§t
9	úpehlmaòòi
9	tai
9	teiz
9	weena
9	weenrei§
9	wella
9	zeeniga
8	aplam
8	bijis
8	buhdams
8	dabbuja
8	deewiò
8	eúúoht
8	galwas
8	gohdigs
8	gribbi
8	j
8	kahjas
8	linnu
8	mahrt
8	mantas
8	mirris
8	moh§tahs
8	padohmu
8	pakahrt
8	parei§i
8	paúcham
8	rc
8	§ahles
8	úaweem
8	úazziht
8	úcha
8	úehtu
8	tawu
8	tohs
8	trim
8	wai
8	waijaga
8	wihram
8	zits
7	atbildeja
7	baggats
7	darbu
7	darra
7	deenas
7	deewam
7	dewe
7	dohma
7	d§ihwibu
7	d§ihwo
7	d§ihwoht
7	d§ihws
7	gahje
7	gohda
7	jahtneeks
7	jauna
7	junkuru
7	íehniòúch
7	mahte
7	makúa
7	mannim
7	ma§
7	mauúchela
7	mihïais
7	mui§cha^
7	paldees
7	parradu
7	patihk
7	rohka^
7	úeewahm
7	§innu
7	úuhdu
7	úuns
7	teeúu
7	waggara
7	waïïa
7	wihru
7	wiòòas
7	zeenigu
7	zeppuri
7	zilweku
7	zitkahrt
7	zuhka
6	alla§chiò
6	allu
6	arrig
6	atpakkaï
6	ba§nizkungs
6	debbeúi^s
6	draugs
6	drih§
6	eekúch
6	gaddeem
6	gudrs
6	hei
6	ilgi
6	íehniòa
6	kohrteli
6	labbibu
6	labbumu
6	lehti
6	luhd§ams
6	lu§tes
6	mannas
6	mutti
6	nahwes
6	òemt
6	nomohda^
6	noòemm
6	palikke
6	parleeku
6	paúchi
6	paúchu
6	patti
6	pawiúúam
6	peed§ehris
6	preeku
6	red§ejis
6	úaimneeka
6	úapnis
6	§chehl
6	§chehla§tibas
6	§chehligs
6	§chihd
6	úchim
6	§elta
6	úenn
6	§ih§chu
6	úirdi
6	úleppeni
6	úmeijahs
6	tahda
6	tahdi
6	tapatt
6	taps
6	tomehr
6	trakka
6	turreht
6	waijad§ehtu
6	waldiht
6	warretu
6	weeta^
6	zeïïu
6	zilwekeem
6	zilweks
6	zitti
6	zittu
5	ahtri
5	atra§t
5	behda
5	behrns
5	behrnus
5	dabbu
5	dahlderus
5	dahlerus
5	darba
5	darrijis
5	deenu
5	dehl
5	drauga
5	drehbes
5	dwehúeli
5	eeraugu
5	gau§chi
5	gohds
5	gruhtu
5	guïï
5	ikdeenas
5	jaunu
5	kant§chuks
5	kaut§chu
5	íehniòeeni
5	klahjahs
5	krohgu
5	kurúch
5	labba
5	labpraht
