Vârdformu skaits:	765
Vârdlietojumu skaits:	1371


28	ne
25	Tew
20	Zik
19	Tu
18	Lai
18	Un
16	irr
14	un
14	us
13	muhúu
12	Deews
12	Kas
12	Tas
11	no
10	ka
10	Ka
10	to
9	Kad
9	par
9	úchogadd
8	Bet
8	kas
8	pee
7	Ar
7	Kam
7	mehs
7	Tad
6	dohd
6	jau
6	Jel
6	No
6	retti
6	Úawam
6	tas
6	To
6	Us
6	warr
5	Ko
5	labbu
5	lai
5	Par
5	Pee
5	teem
5	tohp
5	tu
4	Ak
4	buhs
4	daud§
4	eúúi
4	gads
4	jauna^
4	jaunas
4	jaunu
4	Jeb
4	Juhs
4	Kungs
4	mums
4	úawu
4	úirds
4	tad
4	Tawa
4	Tewim
4	wairak
4	weens
4	wiúúeem
4	Woi
3	alla§chiò
3	bes
3	buht
3	buhtu
3	Dohd
3	draugs
3	Es
3	eúúam
3	gaddiòa^
3	gaddiòu
3	irraid
3	jauna
3	Jelgawa^
3	jo
3	juhúu
3	Kur
3	laimiba
3	laimigs
3	mai§es
3	man
3	Mehs
3	mihïais
3	muhs
3	Ne
3	preeks
3	preekúch
3	tam
3	Tee
3	Tik
3	ween
3	wiòòu
3	wiúúu
3	zitteem
2	alla§ch
2	allu
2	aplam
2	appakúch
2	atneúúu
2	azzim
2	baggats
2	baººoti
2	behrneem
2	behrni
2	behrniòi
2	behrnu
2	Bes
2	dahlderi
2	darr
2	debbes=tehws
2	dohma
2	draugu
2	d§err
2	d§ihwo
2	gan
2	gaúpa§chas
2	ir
2	isplaúchahs
2	itt
2	Jahòeem
2	jaunais
2	jel
2	jums
2	kam
2	klauúees
2	ko
2	Kungam
2	Kungi
2	kur
2	kurn
2	laimibas
2	laimigi
2	laimu
2	leelu
2	luhgúchanu
2	lu§tes
2	mannim
2	mannu
2	mans
2	mihï
2	muh§chibu
2	nahk
2	pawaúúara^
2	pirms
2	preekúchu
2	rai§es
2	red§
2	rihk§tiòu
2	rohkahm
2	Úawai
2	úkohlas
2	tahdu
2	tahs
2	taps
2	Tawi
2	teeúcham
2	teeúu
2	tehweem
2	Tehws
2	tew
2	tik
2	tohs
2	Tohs
2	usturr
2	wahrdiòu
2	wehlejam
2	wehleju
2	wezzas
2	wiòòeem
2	wiúú
2	wiúúas
2	Wiúúwairak
2	zeenigs
2	zeetumneekeem
2	zits
1	agri
1	ahrúpuúú
1	aiskarr
1	aisúkrehjis
1	aisúlehd§
1	akmiòi
1	algu
1	allus
1	ammatneeki
1	ammatneeks
1	apdohma
1	apehd
1	apgahda
1	apkohpt
1	aplaimoht
1	apúkaudi
1	apúkaudu
1	apúwehti
1	aptuppees
1	apwakteht
1	ar
1	aúúaras
1	atlai§ch
1	atmakúa
1	atmakúaht
1	atmetteet
1	atnahkam
1	atrohnahs
1	atwedd
1	aug§ta^
1	aug§tais
1	Apúwehti
1	Atmin
1	Augúch§emme^
1	Augúch§emme^{augúch§emme^}
1	badda
1	baggatam
1	baggatus
1	bahrgeem
1	bailibas
1	balú
1	Ba§niz=kungs
1	ba§nizas
1	behda
1	behdahm
1	behgt
1	behrniòeem
1	behrns
1	behrnu=behrniòi
1	beid§
1	Be§t
1	bet
1	biiejuúchi
1	biieúchanahm
1	bij
1	Brahïam
1	brahliòeem
1	brahlis
1	brandwihns
1	brandwihnu
1	brangu
1	brih§cham
1	brihwibu
1	Buhs
1	buhúchanas
1	buhúchu
1	but§chojams
1	dabbutu
1	dahboïeem
1	dahrga
1	dahwanahm
1	dahwinaht
1	daïïu
1	darba
1	darbeem
1	darbiòeem
1	darbus
1	darrijat
1	darriúim
1	da§chu
1	Daugauwa^{daugauwa^}
1	debbes=d§eeúmas
1	debbes=d§ihwotais
1	debbes=tehtiht
1	debbes=wadditais
1	debbeúi
1	debbeúi^
1	debbeúi^s
1	debbeúim
1	deeniòahm
1	Deewiò
1	Deewu
1	Dehls
1	di§chu
1	draud§ibas
1	drauga
1	draugam
1	draugeem
1	drehbes
1	drohúch
1	drohúcha^
1	drohúchibu
1	d§ehrejam
1	d§ehreju
1	d§ihti
1	d§ihwe
1	d§ihwiba
1	d§ihwibu
1	d§ihwoht
1	d§ihwokli
1	d§ihwoúchanu
1	d§ihwoúim
1	d§innejeem
1	dublus
1	dukkati
1	duúúu
1	dwehúeli
1	dzihwojeet
1	eekúch
1	eela^s
1	eeúchanas
1	eet
1	eezelti
1	ehkas
1	elles=leeúmas
1	es
1	gadda
1	gadda^
1	gaddahs
1	gaddo^s
1	gads=kahrta^
1	gahda
1	gahdadams
1	gahdaht
1	gahjejeem
1	gaidamas
1	gaïïu
1	gals
1	ganna
1	gaúpa§cha
1	Gaúpa§chai
1	Ìehìeris
1	glahbejeem
1	gohda
1	gohda^
1	gohda=d§ihwibas
1	gohdam
1	gohdiba
1	gohdigs
1	Gohds
1	gohdu
1	grahmatneeki
1	grahwjeem
1	gre§notees
1	gribbehtu
1	grohúidams
1	gruhtas
1	gruhteem
1	gºuhtibas
1	gruhtus
1	gudrais
1	gulleht
1	ih§tam
1	ilgi
1	Isdalli
1	isd§err
1	isgahjuúcho^s
1	islehktees
1	isluhd§ohs
1	ispuúchkoja
1	isputt
1	israkti
1	isúkattahs
1	isúkattees
1	is§uddis
1	i§tabas
1	ittpateeú
1	J
1	Ja
1	jabreen
1	jaktetees
1	Jau
1	jauna=gadda
1	Jauna=Gadda
1	jaunai
1	Jauns
1	jaunuma^
1	Jennerals
1	Jkgads
1	juhru
1	Juhúu
1	junkuru
1	Ka`
1	kad
1	kahdas
1	kahds
1	kahdu
1	kahrte^s
1	Kappeju
1	katru
1	Kaut
1	kautkahdu
1	klaht
1	klauú
1	klauúigi
1	klauúiúim
1	kïuhs
1	kluúúu
1	kïuu#úi
1	kohpa^
1	kohpdams
1	kreeta
1	kriht
1	krohgi
1	krohgu
1	kuììi
1	kuhlenu
1	kukkuïu
1	kungu
1	kurramas
1	Kur§emme^
1	kweeúchus
1	labba
1	labbai
1	labbak
1	labbaka
1	labbaku
1	labbam
1	labbas
