Vârdformu skaits:	720
Vârdlietojumu skaits:	1371


32	un
31	ne
27	tew
24	tu
23	lai
20	ka
20	kas
20	us
20	zik
18	tas
17	no
16	irr
16	to
14	par
13	muhúu
13	pee
12	deews
11	tad
10	kad
10	mehs
9	bet
9	dohd
9	kam
9	úchogadd
8	ar
8	jel
7	jau
7	ko
6	labbu
6	retti
6	teem
6	tohp
6	warr
6	úawam
5	bes
5	buhs
5	kur
5	tik
5	úawu
4	ak
4	daud§
4	es
4	eúúi
4	gads
4	jauna^
4	jaunas
4	jaunu
4	jeb
4	juhs
4	juhúu
4	kungs
4	man
4	mums
4	preeks
4	tam
4	tawa
4	tee
4	tewim
4	tohs
4	wairak
4	weens
4	wiúúeem
4	woi
4	úirds
3	alla§chiò
3	buht
3	buhtu
3	draugs
3	eúúam
3	gaddiòa^
3	gaddiòu
3	irraid
3	jauna
3	jelgawa^
3	jo
3	laimiba
3	laimigs
3	mai§es
3	mihïais
3	muhs
3	preekúch
3	tehws
3	ween
3	wiòòu
3	wiúúu
3	zitteem
2	alla§ch
2	allu
2	aplam
2	appakúch
2	apúwehti
2	atneúúu
2	azzim
2	baggats
2	baººoti
2	behrneem
2	behrni
2	behrniòi
2	behrnu
2	dahlderi
2	darr
2	debbes=tehws
2	dohma
2	draugu
2	d§err
2	d§ihwo
2	gan
2	gaúpa§chas
2	ir
2	isplaúchahs
2	itt
2	jahòeem
2	jauna=gadda
2	jaunais
2	jums
2	klauúees
2	kungam
2	kungi
2	kurn
2	laimibas
2	laimigi
2	laimu
2	leelu
2	luhgúchanu
2	lu§tes
2	mannim
2	mannu
2	mans
2	mihï
2	muh§chibu
2	nahk
2	pawaúúara^
2	pirms
2	preekúchu
2	rai§es
2	red§
2	rihk§tiòu
2	rohkahm
2	tahdu
2	tahs
2	taps
2	tawi
2	teeúcham
2	teeúu
2	tehweem
2	tur
2	usturr
2	wahrdiòu
2	waldneeku
2	wehlejam
2	wehleju
2	wezzaki
2	wezzas
2	wiòòeem
2	wiúú
2	wiúúas
2	wiúúwairak
2	zeenigs
2	zeetumneekeem
2	zeïï
2	zits
2	úawai
2	úkohlas
1	1793
1	agri
1	ahrúpuúú
1	aiskarr
1	aisúkrehjis
1	aisúlehd§
1	akmiòi
1	algu
1	allus
1	ammatneeki
1	ammatneeks
1	apdohma
1	apehd
1	apgahda
1	apkohpt
1	aplaimoht
1	aptuppees
1	apwakteht
1	apúkaudi
1	apúkaudu
1	atlai§ch
1	atmakúa
1	atmakúaht
1	atmetteet
1	atmin
1	atnahkam
1	atrohnahs
1	atwedd
1	aug§ta^
1	aug§tais
1	augúch§emme^
1	augúch§emme^{augúch§emme^}
1	aúúaras
1	badda
1	baggatam
1	baggatus
1	bahrgeem
1	bailibas
1	balú
1	ba§niz=kungs
1	ba§nizas
1	behda
1	behdahm
1	behgt
1	behrniòeem
1	behrns
1	behrnu=behrniòi
1	beid§
1	be§t
1	biiejuúchi
1	biieúchanahm
1	bij
1	brahlis
1	brahliòeem
1	brahïam
1	brandwihns
1	brandwihnu
1	brangu
1	brihwibu
1	brih§cham
1	buhúchanas
1	buhúchu
1	but§chojams
1	dabbutu
1	dahboïeem
1	dahrga
1	dahwanahm
1	dahwinaht
1	darba
1	darbeem
1	darbiòeem
1	darbus
1	darrijat
1	darriúim
1	daugauwa^{daugauwa^}
1	da§chu
1	daïïu
1	debbes=d§eeúmas
1	debbes=d§ihwotais
1	debbes=tehtiht
1	debbes=wadditais
1	debbeúi
1	debbeúi^
1	debbeúi^s
1	debbeúim
1	deeniòahm
1	deewiò
1	deewu
1	dehls
1	di§chu
1	draud§ibas
1	drauga
1	draugam
1	draugeem
1	drehbes
1	drohúch
1	drohúcha^
1	drohúchibu
1	dublus
1	dukkati
1	duúúu
1	dwehúeli
1	dzihwojeet
1	d§ehrejam
1	d§ehreju
1	d§ihti
1	d§ihwe
1	d§ihwiba
1	d§ihwibu
1	d§ihwoht
1	d§ihwokli
1	d§ihwoúchanu
1	d§ihwoúim
1	d§innejeem
1	eekúch
1	eela^s
1	eet
1	eezelti
1	eeúchanas
1	ehkas
1	elles=leeúmas
1	gadda
1	gadda^
1	gaddahs
1	gaddo^s
1	gads=kahrta^
1	gahda
1	gahdadams
1	gahdaht
1	gahjejeem
1	gaidamas
1	gals
1	ganna
1	gaïïu
1	gaúpa§cha
1	gaúpa§chai
1	glahbejeem
1	gohda
1	gohda=d§ihwibas
1	gohda^
1	gohdam
1	gohdiba
1	gohdigs
1	gohds
1	gohdu
1	grahmatneeki
1	grahwjeem
1	gre§notees
1	gribbehtu
1	grohúidams
1	gruhtas
1	gruhteem
1	gruhtus
1	gudrais
1	gulleht
1	gºuhtibas
1	ih§tam
1	ikgads
1	ilgi
1	isdalli
1	isd§err
1	isgahjuúcho^s
1	islehktees
1	isluhd§ohs
1	isputt
1	ispuúchkoja
1	israkti
1	is§uddis
1	isúkattahs
1	isúkattees
1	ittpateeú
1	i§tabas
1	j
1	ja
1	jabreen
1	jaktetees
1	jaunai
1	jauns
1	jaunuma^
1	jennerals
1	juhru
1	junkuru
1	ka`
1	kahdas
1	kahds
1	kahdu
1	kahrte^s
1	kappeju
1	katru
1	kaut
1	kautkahdu
1	klaht
1	klauú
1	klauúigi
1	klauúiúim
1	kluúúu
1	kohpa^
1	kohpdams
1	kreeta
1	kriht
1	krohgi
1	krohgu
1	kuhlenu
1	kukkuïu
1	kungu
1	kurramas
1	kur§emme^
1	kuììi
1	kweeúchus
1	kïuhs
1	kïuu#úi
1	labba
1	labbai
1	labbak
1	labbaka
1	labbaku
1	labbam
1	labbas
1	labbdarriht
1	labbi
1	labbiba
1	laidara
1	laika
1	laika^
1	laima
1	laimejahs
1	laimeúees
1	laimibu
1	laimiòas
1	laipnigi
1	laukeem
1	lauki
1	leelais
1	leelijees
1	lepni
1	lepniba
1	lihd§
1	lihd§eht
1	likt
1	lohpi
1	luhd§ahs
1	luhd§amees
1	luhd§ams
1	mahmiò
1	mahte
1	mahtei
1	mahzibas
1	mahzitais
