Vârdformu skaits:	7516
Vârdlietojumu skaits:	33930


1441	un
683	ka`
509	ne
492	irr
464	no
350	kas
311	to
309	ar
256	Un
247	tad
245	tas
240	ta
222	pee
209	us
201	tahs
186	tee
182	ko
178	kad
172	irraid
169	§emmes
165	tohp
163	Deewa
158	Bet
158	arrid§an
155	No
152	muhúu
150	tu
145	Deews
145	par
142	Tas
136	eekúch
134	Kad
126	úaules
124	bet
123	Ka`
120	Ta
119	Kas
114	daud§
113	jeb
109	es
108	tur
107	úaule
105	buhtu
104	warr
95	jo
95	zaur
93	mehs
90	man
89	Jo
87	debbes
85	tik
85	wiòòa
83	nahk
83	tew
82	apkahrt
79	mums
78	deenas
77	mehnes
75	úawu
74	Tad
73	pehz
72	ka
71	wiúúas
70	Tee
70	wiúúu
68	ta`
67	teem
66	§emme
65	wehl
64	Ar
64	eet
64	wairak
64	wirs
64	2
63	4
62	kur
62	wiòúch
61	tohs
59	lihd§
58	paúaules
57	Tu
57	3
56	Ak
56	dabbas
56	tahm
55	Jau
54	nu
53	Es
53	ja
51	jau
50	bes
50	Lai
50	ween
50	5
49	Tahs
48	atkal
47	Ne
46	Nu
46	wiòòas
45	it
44	tikkai
44	wiúú
43	To
43	wiúúur
43	Woi
42	Ta`
41	gaiúa^
41	wiúúahm
40	buhs
40	prahtu
40	wiúúi
39	leela
39	preekúch
39	§tahw
39	tomehr
39	weens
38	pret
38	zittadi
36	brih§cham
36	rei§
35	pa
34	leetas
34	§emmi
34	Wiòúch
33	pahr
33	te`
33	zik
33	12
32	d
32	tam
32	6
31	gan
31	juhd§es
31	labbu
31	ïohti
31	rahda
31	weena
31	Wehl
30	juhºas
30	paleek
30	rahdahs
30	úcho
29	aug
29	Deewu
29	tawu
29	uhdens
29	zitti
28	Deewam
28	diwi
28	gohdu
28	leels
28	paúaule^
28	pats
28	Pee
28	úche`
28	úirds
28	weenrei§
28	zeïïu
28	zittas
27	buht
27	eúúi
27	gaiúu
27	Ko
27	Kur
27	prahts
27	úew
27	tawa
27	tekk
27	wiòòu
26	m
26	manna
26	nodaïïa
26	Úche`
26	úkaidri
26	ugguns
26	Zik
25	darbeem
25	Eekúch
25	nakts
25	Par
25	red§eht
25	úpihd
25	§waig§nes
25	Tehws
25	wiúúeem
25	zilweks
24	kriht
24	newa
24	Úchi
24	úwehtu
24	twaiki
24	Wiúú
24	wiúúa
23	kamehr
23	Kungs
23	papreekúch
23	úauli
23	woi
23	zits
23	7
22	azzim
22	bija
22	darbus
22	isúkattahs
22	jauna
22	mans
22	nei
22	úauz
22	úawas
22	úullu
22	§waig§ne
22	tahïak
22	Tapat
21	azzis
21	deena
21	d§ihwo
21	jums
21	lai
21	leekahs
21	leetu
21	§emme^
21	§uhd
21	tuhk§toúchu
21	Tur
21	twaikeem
21	uhdeni
21	un{}
21	warretu
21	10
21	8
20	deenahm
20	drih§
20	Gars
20	juhs
20	Man
20	tahds
20	tahdu
20	Tapehz
20	tawas
20	Tew
20	tuhk§toúchas
20	zilweki
19	at§iht
19	leelu
19	manniht
19	úkreen
19	tapat
19	weena^
19	16
18	aplam
18	juhºa
18	kahpj
18	leetahm
18	ma§
18	naktis
18	ohtru
18	paúaule
18	paúchu
18	puúúes
18	úaulei
18	úawa^
18	úenn
18	úpehku
18	Us
18	warri
18	weenu
18	wehra^
18	1
18	11
17	darbi
17	darra
17	dohd
17	eúmu
17	gaiús
17	gohds
17	leelas
17	lohpi
17	pehrwes
17	Pehz
17	úaweem
17	úchi
17	§tarp
17	tahï
17	weetahm
17	wiòòeem
17	zilwekeem
17	Zitti
16	aug§tu
16	deena^
16	dohmaht
16	gaddeem
16	kahdu
16	lab
16	muh§cham
16	paúauli
16	pehrkons
16	pretti
16	raddijis
16	retti
16	úahk
16	úawahm
16	§iòòu
16	§teepjahs
16	úwehti
16	wahrds
16	zeïïahs
16	zilweka
16	zitta
16	9
15	apdohma
15	dewis
15	gaddus
15	gaiúma
15	gudriba
15	kahda
15	lohde
15	úimts
15	§taiga
15	tahda
15	tai
15	Taws
15	wal§ts
15	weetas
15	wiòòam
15	wiúúus
14	augïi
14	Alleluja
14	brihniúchíi
14	da§chadi
14	dohma
14	gadda^
14	Gohds
14	kahds
14	kam
14	laimi
14	leelaks
14	leetus
14	Meld
14	ned§
14	paúaul
14	pulks
14	Radditajs
14	rohku
14	§iòòas
14	úpihguïo
14	taiúni
14	taws
14	uppes
14	wairs
14	zilweku
14	zittur
13	augïus
13	aug§ti
13	bij
13	jel
13	klaht
13	labbi
13	mehneúi
13	ohtras
13	pahrleeku
13	Úcho
13	tanni^
13	tapehz
13	teeúcham
13	wal§tas
13	warram
13	welti
13	zittu
12	aug§tas
12	awots
12	bijis
12	dabba
12	da§chadas
12	dohdahs
12	gaiúchumu
12	gudribas
12	gudribu
12	kalneem
12	kapehz
12	katra
12	laiks
12	ïaudis
12	ohtra
12	paúaulehm
12	pawiúúam
12	pirma
12	prahta
12	Red§
12	riòíi
12	úahkahs
12	§ahles
12	úawa
12	úirdi^
12	§tundas
12	úwehta
12	tahdas
12	tahlenes
12	tuwak
12	walda
12	Zits
12	24
11	augúchu
11	Apdohma
11	buhúchana
11	d§ihwibas
11	Gahju=§waig§ne
11	gohdam
11	Jrr
11	juhd§ehm
11	Juhs
11	Íehniòúch
11	kohpa^
11	laiku
11	leeta
11	lohpeem
11	lohps
11	mahzees
11	mannu
11	mehrs
11	migla
11	muh§chigs
11	neúú
11	padohmu
11	peederr
11	pilns
11	raddibas
11	raúúa
11	úapra§t
11	úawus
11	Úchis
11	§emmei
11	§ihmes
11	§inn
11	úwehtas
11	tappe
11	tihrs
11	Wiòòas
11	zilla
10	ahtri
10	augïeem
10	behrns
10	Brih§cham
10	dabbu
10	deenu
10	deúmit
10	dwehúeles
10	gaddu
10	gaiúa
10	gaiúchu
10	gaiúchums
10	ìeld
10	glah§ehm
10	gohdibu
10	jauki
10	jaunu
10	juhºu
10	kahrtas
10	kluúúu
10	labbaki
10	Latweeúchi
10	mallahm
10	mannas
10	ma§a
10	mehneús
10	Mehs
10	muhs
10	Ned§
10	padarra
10	pa§iht
10	patti
10	putni
10	rohnahs
10	úchee
10	Úchee
10	úcheitan
10	§emmehm
10	§tarpa^
10	úwehts
10	tewim
10	tihri
10	tuhk§toúcheem
10	wal§tahm
10	wehjúch
10	zittahm
10	20
10	30
10	31
9	alla§ch
9	appakúch
9	atneúú
9	at§tahw
9	aug§tak
9	azzumirkli^
9	daïïa
9	Daud§
9	dehl
9	dohmas
9	eedama
9	ikdeenas
9	Kam
9	Kamehr
9	katra^
9	leelaka
9	leeli
9	liddinajahs
9	Lihd§
9	mahzibu
9	meeúu
9	mehneúis
9	nokriht
9	O
9	ohtra^
9	paúauls
9	paúchas
9	pilna^
9	pilnibas
9	prahti
9	preekúcha^
9	preeku
9	red§i
9	rohkahm
9	úaule^
9	úcheit
9	úchis
9	§emmes=§trehíi
9	§ihmehm
9	§illa
9	úlawe
9	úpehks
9	§tundahm
9	§waig§nehm
9	úwehtki
9	taggad
9	Tahds
9	taptu
9	Teeúcham
9	tewi
9	Tik
9	tuhdaï
9	uhdeni^
9	wahrdu
9	warru
9	waúúara^
9	Weetahm
9	wirúu^
9	wiúúai
9	Wiúúas
9	Zaur
8	alla§chiò
8	ap
8	apd§ihwo
8	apklahj
8	atúpihd
8	aug§ta
8	Auúeklis
8	beid§
8	beid§ahs
8	Bes
8	brihnums
8	buhúchanu
8	darbu
8	darriht
8	darrijis
8	draud§es
8	dwaúcha
8	eúúam
8	eúúoht
8	gahda
8	gaiúcha
8	gaiúmas
8	gaººuma^
8	ìihmi
8	gree§chahs
8	gribbam
8	ih§ti
8	ilgi
8	isúchíirt
8	jaunas
8	kahdas
8	Kahds
8	Kalendara
8	kalni
8	ïau§chu
8	leelaku
8	lezz
8	lohpu
8	mahza
8	mai§i
8	mallas
8	manni
8	mannim
8	meeúa
8	melni
8	me§chi
8	mett
8	mird§
8	muh§chibas
8	muh§chigi
8	nakti^
8	neddeïas
8	paúcha
8	peeminn
8	pilna
8	Preekúch
8	pulku
8	puúúe
8	raddihts
8	Radditaja
8	Radditaju
8	red§am
8	úaukti
8	úaules=
8	úcheem
8	úchihs
8	Úchihs
8	§eema^
8	úiltuma
8	§innaht
8	úirdi
8	úlawu
8	úpee§ch
8	úpehki
8	§tahdijis
8	§tah§tiúchu
8	§waig§nu
8	tahdi
8	taiúa
8	tautas
8	tawa^
8	Tohs
8	treúcha
8	trihs
8	trim
8	tuwu
8	walloda
8	waúúara
8	weeniga
8	wehji
8	wehlaki
8	Wiòòa
8	zeïúch
8	Zittas
8	zitteem
8	15
7	akmiòi
7	apúpihd
7	baººo
7	biju
7	dahwanas
7	da§chas
7	da§chu
7	debbeúi^s
7	debbeúis
7	deenas=widdus
7	Deewiba
7	d§ihwi
7	d§ihwibu
7	d§ihwoht
7	gaiúma^
7	Gan
7	gaººas
7	ìihmis
7	gohdibas
7	gree§ta
7	gribbu
7	gudru
7	gull
7	ikgads
7	ir
7	Je§us
7	juhd§=§emmes
7	kahda^
7	Kapehz
7	kaut§chu
7	kohki
7	kuººas
7	laika^
7	laiko^s
7	laimigi
7	leela^
7	leelakas
7	lohdes
7	lu§tes
7	mahjas
7	mainahs
7	maita
7	manniúi
7	miht
7	nakti
7	neddeïahm
7	padebbeúchi
7	padohmus
7	pakrehúls
7	papilnam
7	paúchi
7	patlabban
7	pehdas
7	poh§ts
7	úakka
7	úchahs
7	úehrsnu
7	úewi
7	§ibbens
7	úkaidra^
7	úkattiht
7	únehgt
7	§tarreem
7	§waig§nu=prattigi
7	úwehtajs
7	úwehtiba
7	Tam
7	truhk§t
7	tuhdal
7	turp
7	warrawihkúnes
7	weenas
7	wih§i
7	zeïïus
6	agraki
6	ais
6	aptumúoúchanas
6	aptumúota
6	atrohn
6	at§ih§t
6	at§pihd
6	Apkahrt
6	bahlas
6	barribu
6	breeúmigs
6	buhúchanas
6	daúch
6	degg
6	dohts
6	Draugs
6	drebb
6	druúziò
6	d§eed
6	d§ihwiba
6	d§ihwoúchanu
6	dwaúchu
6	eedams
6	eekam
6	eekarúahs
6	eekúchíiga
6	gadda
6	gahjuma
6	gals
6	gohda^
6	gohdiba
6	gudri
6	ikkatra
6	isplaúchahs
6	i§tabas
6	Jehrs
6	Jt
6	juhºa^
6	kahrta^
6	Kalendars
6	kalno^s
6	labbiba
6	laiki
6	laimu
6	lappas
6	ïaudim
6	leelus
6	lehti
6	Mans
6	maús
6	meeúas
6	mekle
6	mihïi
6	muh§chibu
6	muh§chiga
6	Muhúu
6	muh§u
6	nodaïïa^
6	noteek
6	ohtruteek
6	padohma
6	pahr=eet
6	pakkaï
6	paúauls=juhºa
6	paúauïu
6	pawaúúara^
6	plattuma^
6	pluh§t
6	proht
6	prohti
6	puúú
6	putniòúch
6	red§
6	red§ams
6	red§ejis
6	riht
6	rohdahs
6	rohka
6	§ahlite
6	úaldu
6	úaukts
6	Úchahs
6	úchurp
6	§eema
6	§eemeli
6	úehraineem
6	§emmes=lohdes
6	úiltumu
6	úimtu
6	úkahde
6	úkaidru
6	úkaitijis
6	úpehka
6	úpehkeem
6	úpird§ina
6	§tarri
6	§teid§ahs
6	§waig§ni
6	úwehtkus
6	tahïuma
6	tappa
6	tappis
6	Te`
6	Teem
6	tewis
6	tumúcha
6	twaikus
6	usturr
6	wadda
6	wahrdi
6	wakkaro^s
6	weeta^
6	wels
6	wezzo^s
6	zauru
6	zeenigi
6	zilwekus
6	13
6	14
6	19
6	22
6	23
6	365
5	ak
5	apdohmaht
5	apgaiúmo
5	apgree§chahs
5	aprak§tiht
5	aúúinim
5	augúchup
5	aug§tajs
5	ba§nizas
5	bauúlus
5	Beid§oht
5	brihdi
5	brihnumi
5	Buhs
5	D
5	dahrs
5	darr
5	darru
5	daud§rei§
5	debbeúim
5	ded§ina
5	deenas=
5	Deewibas
5	d§emde
5	d§enn
5	d§ihwojam
5	d§ihwu
5	duhz
5	eedeggahs
5	eed§ihwotajeem
5	ee§ihme
5	gaddi
5	gadskahrtu
5	gahdajis
5	gaiúa=leetahm
5	gaiúchas
5	galwu
5	gaººakas
5	gaººeem
5	glah§i
5	Gribbi
5	J
5	Jr
5	juhºahm
5	juhúu
5	kahjahm
5	kappa
5	kar§ti
5	kar§tumu
5	katram
5	katru
5	kautúchu
5	kluúú
5	kohkeem
5	kohpj
5	Kunga
5	kuººa
5	kuººu
5	ku§tahs
5	laikam
5	laima
5	lauki
5	lauko^s
5	leekas
5	leelahm
5	leelaki
5	leeldeenas
5	leelee
5	leelums
5	leelumu
5	lehnam
5	mahzahs
5	mahziba
5	mahzibas
5	Mahzitaji
5	mallu
5	mannam
5	ma§ak
5	ma§as
5	meeúahm
5	mehneúcha
5	mehneúchi
5	mehneúi^
5	mehneúim
5	mihliba
