Vârdformu skaits:	7224
Vârdlietojumu skaits:	34423


1738	un
814	ka`
623	no
562	ne
505	irr
481	kas
389	tas
378	ar
364	ta
360	to
323	tad
316	kad
285	bet
256	tee
252	pee
252	tahs
231	us
213	tu
211	ko
185	jo
175	par
172	irraid
170	§emmes
166	es
165	tohp
164	deewa
164	eekúch
163	arrid§an
160	muhúu
147	deews
131	úaules
131	tur
124	daud§
117	man
115	jeb
112	úaule
111	ta`
108	jau
108	tew
107	buhtu
105	warr
104	zaur
103	mehs
100	nu
98	wiòúch
97	tik
97	wehl
93	wiòòa
92	kur
90	debbes
90	pehz
88	apkahrt
86	nahk
85	mums
82	wiúúas
81	mehnes
79	deenas
78	úawu
75	ka
75	teem
73	wiúúu
71	lai
70	tohs
70	wiúú
68	lihd§
67	§emme
67	wairak
67	wirs
66	woi
65	2
64	eet
63	ak
63	4
62	paúaules
59	bes
59	zik
58	dabbas
58	ja
58	wiòòas
57	3
56	tahm
54	úche`
51	it
51	ween
50	5
49	atkal
48	preekúch
47	úcho
46	brih§cham
46	buhs
46	wiúúur
46	zitti
45	tikkai
44	leela
43	tomehr
43	wiúúi
42	tapat
42	wiúúahm
41	gaiúa^
41	úchi
41	tam
41	weens
40	prahtu
40	zittadi
39	gan
39	§tahw
39	te`
38	pret
38	rei§
37	d
37	pa
37	tawu
36	pahr
36	weena
36	zittas
35	leetas
35	zits
34	§emmi
34	uhdens
33	gohds
33	pats
33	rahda
33	tapehz
33	tawa
33	12
32	juhs
32	kamehr
32	6
31	juhd§es
31	labbu
31	ïohti
31	paúaule^
31	úew
30	aug
30	diwi
30	juhºas
30	paleek
30	prahts
30	rahdahs
30	taws
30	wiòòu
29	deewu
29	gohdu
29	leels
29	úirds
29	tahds
29	zeïïu
28	deewam
28	eúúi
28	m
28	mans
28	weenrei§
27	buht
27	gaiúu
27	manna
27	papreekúch
27	tekk
27	ugguns
26	apdohma
26	darbeem
26	nakts
26	nodaïïa
26	úkaidri
26	úpihd
26	weetahm
26	wiúúa
25	kriht
25	newa
25	red§eht
25	úauli
25	§waig§nes
25	tahïak
25	tehws
25	wiúúeem
25	zilweks
24	jauna
24	kungs
24	ned§
24	úwehtu
24	teeúcham
24	twaiki
24	7
23	azzim
23	isúkattahs
23	jums
23	kam
23	leelu
23	nei
23	úauz
23	úawas
23	tawas
22	bija
22	darbus
22	d§ihwo
22	kahds
22	úullu
22	§waig§ne
22	tuhk§toúchu
22	zilweki
22	10
22	8
21	azzis
21	deena
21	gars
21	leekahs
21	leetu
21	úchee
21	§emme^
21	§uhd
21	tahdu
21	twaikeem
21	uhdeni
21	un{}
21	warretu
21	zitta
20	deenahm
20	dohd
20	drih§
20	manniht
20	muh§cham
20	úchis
20	tuhk§toúchas
19	at§iht
19	eúmu
19	gaiús
19	juhºa
19	kapehz
19	ma§
19	úaulei
19	úkreen
19	tai
19	weena^
19	16
18	aplam
18	aug§tu
18	kahpj
18	leetahm
18	naktis
18	ohtru
18	paúaule
18	paúchu
18	pehrwes
18	puúúes
18	red§
18	úawa^
18	úenn
18	úpehku
18	warri
18	weenu
18	wehra^
18	1
18	11
17	bij
17	darbi
17	darra
17	leelas
17	lohpi
17	pretti
17	úaweem
17	§tarp
17	tahï
17	wiòòeem
17	zilweka
17	zilwekeem
17	9
16	aug§tas
16	da§chadi
16	deena^
16	dohmaht
16	gaddeem
16	kahda
16	kahdu
16	lab
16	paúauli
16	pehrkons
16	raddijis
16	retti
16	úahk
16	úawahm
16	úchihs
16	úimts
16	§iòòu
16	§teepjahs
16	úwehti
16	tahda
16	tanni^
16	uppes
16	wahrds
16	wiòòam
16	zeïïahs
15	dewis
15	gaddus
15	gaiúma
15	gudriba
15	leetus
15	lohde
15	§taiga
15	wal§ts
15	weetas
15	wiúúus
15	zilweku
14	alleluja
14	augïi
14	brihniúchíi
14	dohma
14	gadda^
14	jel
14	katra
14	laimi
14	leelaks
14	meld
14	pahrleeku
14	paúaul
14	peederr
14	pulks
14	radditajs
14	rohku
14	§iòòas
14	úpihguïo
14	úwehta
14	taiúni
14	wairs
14	welti
14	zittur
13	augïus
13	aug§ti
13	awots
13	gudribas
13	gudribu
13	klaht
13	labbi
13	mehneúi
13	muh§chigs
13	ohtra
13	ohtras
13	patti
13	pirma
13	riòíi
13	úawa
13	úchahs
13	tahdas
13	wal§tas
13	warram
13	zittu
12	augúchu
12	aug§ta
12	bijis
12	buhúchana
12	dabba
12	da§chadas
12	dehl
12	dohdahs
12	gaiúa
12	gaiúchumu
12	ir
12	jaunu
12	kalneem
12	kohpa^
12	laiks
12	ïaudis
12	mannas
12	mannu
12	migla
12	paúaulehm
12	pawiúúam
12	prahta
12	raúúa
12	úahkahs
12	§ahles
12	úcheit
12	úirdi^
12	§tundas
12	tahlenes
12	tihrs
12	tuwak
12	walda
12	wehjúch
12	24
11	ahtri
11	behrns
11	d§ihwibas
11	gahju=§waig§ne
11	gaiúchu
11	gohdam
11	ikdeenas
11	juhd§ehm
11	íehniòúch
11	laiku
11	leeta
11	lohpeem
11	lohps
11	mahzees
11	mehrs
11	muhs
11	neúú
11	padohmu
11	pilns
11	preeku
11	raddibas
11	úapra§t
11	úawus
11	§emmei
11	§ihmes
11	§inn
11	úpehks
11	úwehtas
11	úwehtki
11	tappe
11	tewim
11	tuhdaï
11	waúúara
11	zilla
11	20
10	appakúch
10	augïeem
10	azzumirkli^
10	dabbu
10	daúch
10	deenu
10	deúmit
10	dwehúeles
10	gaddu
10	gaiúchums
10	ìeld
10	glah§ehm
10	gohdibu
10	jauki
10	juhºu
10	kahdas
10	kahrtas
10	katra^
10	kluúúu
10	labbaki
