Vârdformu skaits:	3052
Vârdlietojumu skaits:	8702


298	un
177	ka`
120	kas
117	ar
116	ne
113	man
94	es
90	no
85	kad
85	to
82	pee
79	tu
76	tad
75	lai
67	par
66	irr
64	us
60	tas
59	tew
53	2
52	3
44	4
44	deewa
43	ko
42	mums
41	jau
39	deews
37	5
37	ta
36	bet
36	tam
36	tur
35	mehs
33	wiúúas
32	nahk
32	nu
31	ak
30	jums
30	kur
30	ta`
30	tee
28	6
25	eekúch
24	pehz
24	wiúú
22	7
22	wiòòa
21	jo
21	tahs
20	buhs
20	tohp
20	tohs
19	8
19	labbas
19	mihïa
19	muhúu
19	wehl
19	wiúúi
18	juhs
18	red§
18	úirds
17	bes
17	gan
17	gohds
17	manna
17	wiòúch
16	9
16	gohdu
16	juhúu
16	úew
15	darr
15	debbes
15	leetas
15	úawu
15	tehws
14	paldees
14	preekúch
14	úche^
14	úchi
13	aug§tas
13	d§eed
13	daud§
13	ir
13	labs
13	muhs
13	úirdi^
12	behrni
12	buhtu
12	eúúi
12	irraid
12	kamehr
12	pa
12	woi
11	10
11	gohdam
11	kam
11	labbu
11	mahmiòa
11	manni
11	preeku
11	úahk
11	wiòòas
11	wiúúeem
11	wiúúur
11	zits
10	buht
10	eòìeïi
10	ka
10	lihd§
10	mans
10	nahz
10	tikkai
10	ween
9	dabbas
9	danzis
9	darbeem
9	eija
9	jel
9	mihligi
9	mihïi
9	paleek
9	palleija
9	paúauls
9	preezibas
9	preezigi
9	siòìe
9	tewim
9	zilweks
8	§eed
8	arr
8	arrid§an
8	deewam
8	dohd
8	draugu
8	gull
8	jauna
8	lalla
8	mannu
8	meld
8	pats
8	úawa^
8	úeewiòa
8	úirdi
8	tik
8	tomehr
8	warram
8	wiòòu
8	wiúúu
8	zitti
7	§iòìes
7	behrniòi
7	d§ihwo
7	darbs
7	drih§
7	gohda
7	gohda^
7	jauki
7	jaunas
7	kahds
7	la
7	labba
7	labbi
7	lu§tes
7	mai§es
7	mannim
7	mihïu
7	naw
7	noh§t
7	preeks
7	preezatees
7	pret
7	úawas
7	úcho
7	úwehtas
7	úwehti
7	teem
7	tehwa
7	tra
7	zik
6	12
6	§eïï
6	§emmes
6	aztiòas
6	d§eeúmiòas
6	danza
6	danzojam
6	deenas
6	eúmu
6	ja
6	jaunu
6	kahda
6	klaht
6	kungu
6	laimigi
6	mantu
6	mihïaka
6	neúú
6	pahr
6	palihd§
6	paúaul
6	pilns
6	prahtu
6	preekus
6	preezigs
6	rohkas
6	rohziòas
6	úaulite
6	siòìes
6	úkreen
6	úwehtibu
6	tahds
6	warr
6	wiòòam
6	zaur
5	11
5	§tahw
5	aplaimo
5	aplam
5	apmihïo
5	behrneem
5	bija
5	d§eedam
5	d§ihwes
5	d§ihwoht
5	dahwanas
5	dewis
5	dohts
5	gahda
5	gohdibu
5	gree§chahs
5	gribbahs
5	jauni
5	kahdi
5	kïuht
5	krohga^
5	kruhtim
5	labb
5	laimu
5	lezz
5	lihgawiòòas
5	ma§
5	mahja^s
5	mannas
5	mekleju
5	muh§chigi
5	nei
5	òemm
5	paúauli
5	peederr
5	pilna
5	prahts
5	preekeem
5	preeki
5	preekúchu
5	puííes
5	úawus
5	seltenite
5	úewi
5	úirsniòas
5	úkaidri
5	úkatt
5	úkohla^
5	úwehtiba
5	tahdu
5	tapat
5	taws
5	weena
5	weens
5	weúúeli
5	wezzums
5	widdu^
5	wihrs
4	13
4	|
4	§trahdneeze
4	alla§ch
4	apkahrt
4	aúúaras
4	atkal
4	awots
4	balta
4	beedriba
4	behdaju
4	behrns
4	bij
4	biju
4	brangas
4	d§eeúma
4	d§emde
4	dahwana
4	darbus
4	daúch
4	debbeúi
4	deesgan
4	deewu
4	draugs
4	eet
4	eúúam
4	eúúeet
4	gribb
4	it
4	jauka
4	jauks
4	ka^
4	kah§u=namma^
4	kahdu
4	katra
4	kaut
4	kluúúam
4	kluúúu
4	kunga
4	laima
4	laimas
4	lauki
4	laumas
4	lihgo
4	lohpeem
4	mahte
4	mallas
4	mihlibu
4	mihïahm
4	mihïajs
4	mudri
4	mui§chas
4	nakts
4	nomohda^
4	òemtu
4	parahdahs
4	paúaule
4	paúaule^
4	paúaules
4	pilni
4	preezajahs
4	puiúis
4	puúchko
4	rahdahs
4	rahditees
4	roh§es
4	rohka^s
4	rohziòa
4	úaimneeks
4	úchim
4	úehtiòa^
4	úirdis
4	úirsnigi
4	úkohlas
4	úpee§chahs
4	tawa
4	tawu
4	teeúcham
4	tikkumu
4	usòemm
4	wirúu^
4	wiúúa
4	wiúúus
4	zeenijams
4	zerriba
4	zerribu
4	zilweku
3	14
3	15
3	23
3	41
3	53
3	§emmite
3	§irgus
3	§tahdahs
3	apd§ihwo
3	appuúchko
3	aúúinis
3	atneúú
3	aug
3	aug§ta
3	aug§tu
3	augïus
3	baud
3	baudam
3	behdahm
3	behrniò
3	behrniòus
3	behrnus
3	brahïi
3	brahïus
3	buhúi
3	d§eeúmiòa
3	d§eeúmiòu
3	d§enn
3	d§err
3	dahwina
3	dant§chu
3	deeniòas
3	dewejam
3	druwiòas
3	durrim
3	duúú
3	duúúu
3	dwehúeles
3	dwehúelite
3	eezeeni
3	ehd
3	eij
3	eòìeïs
3	gads
3	gaida
3	gohdiba
3	gohdiba^
3	grahmatahm
3	gudrus
3	ispoh§titees
3	isúkattahs
3	jauku
3	jaukumi
3	jaunam
3	jauneklis
3	jeb
3	kahrumu
3	kait
3	katram
3	klahjahs
3	kohki
3	kohpj
3	krohniti
3	kungeem
3	kungs
3	labbak
3	labpraht
3	lag§digallas
3	laimes
3	laimibas
3	laimibu
3	lauks
3	laulibas
3	liktens
3	lohpi
3	lu§tejahs
3	lu§tigi
3	ïau§chu
3	ïautiòi
3	mahtes
3	mahzibas
3	mai§i
3	mai§ite
3	mai§iti
3	makúa
3	malla^s
3	meed§iòa^
3	meita
3	mihle§tibas
3	mihliba
3	mihlibas
3	mudribu
3	muh§cham
3	mui§cha^
3	nabbad§ite
3	nakti
3	neeki
3	negantu
3	ohtra^
3	ohtru
3	padohmo^s
3	padohmu
3	pakkaï
3	paleez
3	paúcha
3	paúcham
3	pateiz
3	patti
3	pilniba
3	pilnibas
3	preezajohs
3	preeziba
3	proht
3	prohtam
3	puhpo
3	puhru
3	puííiti
3	pulks
3	putniòi
3	putnu
3	raddi
3	raddibas
3	rahd
3	rahda
3	úahtibas
3	úaldi
3	úauliti
3	úawa
3	úaweem
3	úcheit
3	úchihs
3	úchis
3	úchodeen
3	schu§chu
3	úchuhpo
3	seedu=mehnes
3	úeewas
3	úeewu
3	úehtas
3	selta=úahtiba
3	úenn
3	siòìu
3	úkrees
3	úkummigs
3	úlawu
3	úliòíis
3	únaud
3	úpee§ch
3	úpihd
3	úpihguïo
3	úprant§cha
3	úuns
3	úwehtibas
3	úwehtu
3	taggad
3	tai
3	taiúnibas
3	tapehz
3	tehtiht
3	tewi
3	tohpi
3	truhk§t
3	tukúch
3	tupp
3	turpmak
3	uppes
3	usturr
3	wairak
3	warreúeet
3	waúúara^
3	weddekle
3	weenas
3	weenu
3	weeúiba^
3	weeúu
3	weetas
3	wehle
3	welkahs
3	weúúelibas
3	wihram
3	winúch
3	wiúúa^s
3	zeeniju
3	zerribas
3	zilwekam
3	zilweki
3	zittadi
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	24
2	25
2	27
2	28
2	30
2	32
2	33
2	34
2	36
2	38
2	42
2	43
2	45
2	46
2	48
2	49
2	51
2	75
2	77
2	§ahles
2	§eedam
2	§eema^
2	§eemas
2	§elta
2	§eltu
2	§emmei
2	§emneekeem
2	§taigaht
2	§trahda
2	§trahdaht
2	agri
2	apgahda
2	apkampeet
2	aplaimohs
2	apòehme
2	apraug
2	apúpihd
2	apúwehti
2	apzeeni
2	apzeenihs
2	aúúariòòa
2	aúúaru
2	aúúins
2	at§eïï
2	atúkann
2	atúpihdums
2	atúpirg§t
2	atúpirgtees
2	aud§eknis
2	aud§ina
2	aug§ti
2	auns
2	aunu
2	aunu=danzi
2	azzi^s
2	azzis
2	ba§nizkunga
2	badda
2	bahls
2	baiús
2	bandneeks
2	baººo
2	baudu
2	beed
2	beid§oht
2	biúchu
2	bittes
2	brahliht
2	brahïu
2	brangumu
2	brehz
2	brihniúchíi
2	brihnumus
2	d§ehrejs
2	d§ihwe
2	d§ihwojis
2	d§iïïas
2	d§ird
2	da§cha
2	da§chas
2	da§chu
2	dabbujis
2	dahr§i
2	dahr§iòi
2	daiïu
2	darba
2	darba=rohziòas
2	darbi
2	darbo^s
2	darbu
2	darriht
2	darrinahts
2	debbes=krohniti
2	debbes=tehws
2	debbeúi^s
2	deewa=puííite
2	deewa=semmite
2	deewiòúch
2	derr
2	dohdi
2	dohmas
2	dohs
2	doht
2	drauga
2	draugam
2	drohúch
2	druwiòa
2	druwiòa^
2	dwehúel
2	dwehúele
2	eekultees
2	eeleij
2	eemu
2	eeraugu
2	eeúchu
2	gaddu
2	gaddus
2	gahje
2	gahrdu
2	gaidija
2	gailis
2	gaiúchu
2	gaiúmu
2	gau§chi
2	gawile
2	glaudeem
2	glihúchi
2	glihts
2	gluhn
2	gohda=darbo^s
2	gohda=úirsniòu
2	gohdi
2	gohdibas
2	gohdigi
2	gree§cham
2	groh§itees
2	gºuhtibas
2	gudrajs
2	gudris
2	gulleht
2	i
2	i§taba^
2	ih§tajs
2	ii
2	iii
2	ilgi
2	isdohdahs
2	ispuúchkota
2	isred§ejis
2	isred§eta
2	iv
2	ja=d§eed
2	jaukas
2	jaukums
2	jaunekïeem
2	jaunekïi
2	juht
2	jumts
2	ka´
2	kah§u
2	kahja^s
2	kahrta
2	kahrtas
2	kalni
2	kalns
2	kapehz
2	katru
2	klaus
2	klehti^
2	kluúúa
2	kïuhs
2	kohpúchanas
2	kohpt
2	kºauj
2	krohgu
2	krohni
2	kungam
2	kungi
2	kur§emmes
2	kuºúch
2	labbaks
2	labbam
2	labriht
2	laimei
2	laimiba
2	laimiòa
2	laulaúchanas
2	lauziòa^
2	leeka
2	leeki
2	leeku
2	leezibu
2	leijas
2	lezzin
2	lezzina
2	lezzinahs
2	lihd§iba
2	lihdú
2	likkums
2	lohni
2	lohpiòi
2	lohpu
2	lu§tetees
2	luhd§
2	luhgdams
2	luhkotees
2	ïaudim
2	ma§am
2	ma§u
2	mahjas
2	mahmiòu
2	mahmuliht
2	mahmulite
2	mahúiò
2	mahúiòas
2	mai§ites
2	makúas=deena
2	mannai
2	mantas
2	me§cha^
2	meddus
2	meega=mahmiò
2	meela§ta
2	meerigi
2	meeru
2	mehra
2	meitas
2	meitiòa
2	meitiòu
2	meitu
2	mekle
2	mekledams
2	mekleúchu
2	mihk§tas
2	mihïaku
2	mihïeem
2	mird§
2	moh§tees
2	mohkas
2	mohzibas
2	mudribas
2	muhúchu
2	mui§chu
2	muld
2	mutte
2	mutti
2	na§tu
2	nabbags
2	nahzeet
2	naudas
2	naudu
2	nawa
2	nelaime
2	nelaime^
2	noleiju
2	noremde
2	òemúchu
2	òemt
2	pa§tahw
2	padarriht
2	pahrd§ihwoht
2	pahris
2	pahrnahk
2	pahrtizzis
2	pahrwehrtuúi
2	paklauúiht
2	papreekúch
2	paúcheem
2	pateikt
2	pawehni^
2	peemettis
2	peeminn
2	peeniòu
2	peeúchíirr
2	pehdas
2	pehd'ga
2	peln
2	pihragi
2	pildina
2	pill
2	pilnas
2	pilniba^
2	pirmrei§
2	pirmu
2	pliks
2	pïawas
2	poh§tu
2	prahta
2	prahta^
2	prahtiòu
2	preekam
2	preekúch§ihme
2	preezes=siòìe
2	pretti
2	prinzitis
2	priúchas
2	prohjam
2	puht
2	puiúi
2	puííite
2	puííu
2	puúchkojahs
2	raddijs
2	raddiúchanas
2	reebj
2	reebúchana
2	riht
2	rihtiòu
2	riòíi
2	riòíi`
2	rohka^
2	rohkahm
2	ruddens
2	ºuhz
2	úa=eeúchan'
2	úaderrigi
2	úagaidiht
2	úahze
2	úaimneeki
2	úaimneeku
2	úaimneeze
2	úakk
2	úalaúúahs
2	úaldu
2	úaldumu
2	úaldus
2	úanahze
2	úaòemm
2	úareijahs
2	úaulites
2	úawa`
2	úchee
2	úcheem
2	úcheitan
2	úchinni^
2	úchurp
2	úeew'
2	úehd
2	úehju
2	úehtiòa`
2	selta=dehliòúch
2	selta=mahmiò
2	selteni
2	selteniht
2	semmi
2	úimts
2	úirdsniòas
2	úirms
2	úirmu
2	úirmums
2	úirsniòu
2	úkai§ta
2	úkai§tumu
2	úkattitees
2	úkattu
2	úkreeúchu
2	úkumjas
2	úkumju
2	úlaweht
2	úlaweju
2	úmihdina
2	úneegu
2	úpaid
2	úpee§cham
2	úpehks
2	úpehku
2	úpehle
2	úpirgti
2	stah§ti
2	úudrabu
2	úuhras
2	úwehta
2	úwehtijuúi
2	úwehts
2	tahda
2	tahïak
2	tahm
2	taiúiti
2	taiúna
2	tappis
2	tappuúchi
2	taps
2	tapt
2	tauriòu
2	tawas
2	taweem
2	tehwu
2	teiz
2	tikkuma
2	tizzibas
2	trakka
2	traks
2	tukúchuma^
2	turplikam
2	turrohs
2	ui
2	uii
2	uiii
2	upmalli^
2	uppite
2	uppmallas
2	usòehmu
2	v
2	wadda
2	wahrdu
2	wahrga
2	wahrgu
2	wahrguïus
2	wahz§emmes
2	waigs
2	waijag
2	wairs
2	wal§tiba^
2	warri
2	waúúaras
2	wedd
2	weddeju
2	weeúi
2	wehlejis
2	wehúmiò
2	wezza
2	wezzaki
2	wezzakus
