Vârdformu skaits:	94
Vârdlietojumu skaits:	106


4	Kas
3	Pee
2	Ak
2	Ar
2	Deewa
2	Muhs
2	at§tahjis
2	daud§
2	ta
1	Ba§nizkunga
1	Debbestehwa
1	G
1	Gan
1	Kam
1	Kappa
1	Kur§emneekeem
1	Kur§emneeks
1	Kur§emneekus
1	Mihïúch
1	Nu
1	Stendera
1	Stenders
1	Tai
1	Tur
1	Un
1	W
1	Wiòúch
1	aismid§is
1	aug§ta
1	a§toòdeúmits
1	aúúariòa
1	buht
1	darrijis
1	da§cha
1	dohs
1	draud§ei
1	draugeem
1	dwehúels
1	d§eeúmiòa
1	gaddeem
1	galwiòu
1	glahbeis
1	gohds
1	gohdu
1	gudriba
1	ilgu
1	irr
1	jauka
1	juht
1	kahdu
1	katrais
1	klehpi^
1	kriht
1	labbu
1	laiku
1	leelu
1	mahzidams
1	miht
1	mihïa
1	mihïodams
1	neisteizameem
1	nelaika
1	nogahjis
1	pabutúchohs
1	pateizibas
1	paúaul
1	pehz
1	pilns
1	preekeem
1	preeku
1	raddeem
1	rohkas
1	tam
1	tehweem
1	tehwu
1	un
1	wahrdu
1	wahrgu
1	walloda
1	wehl
1	wezzais
1	zeeniga
1	zik
1	§emmi
1	§tah§tidams
1	Úcho
1	Úehrpilles
1	Úonnak§tes
1	úalda
1	úcheitan
1	úirmu
1	úkaidra
1	úwehta
1	úwehtu
