Vârdformu skaits:	93
Vârdlietojumu skaits:	106


4	kas
3	pee
2	ak
2	ar
2	at§tahjis
2	daud§
2	deewa
2	muhs
2	ta
2	un
1	aismid§is
1	aug§ta
1	a§toòdeúmits
1	aúúariòa
1	ba§nizkunga
1	buht
1	darrijis
1	da§cha
1	debbestehwa
1	dohs
1	draud§ei
1	draugeem
1	dwehúels
1	d§eeúmiòa
1	g
1	gaddeem
1	galwiòu
1	gan
1	glahbeis
1	gohds
1	gohdu
1	gudriba
1	ilgu
1	irr
1	jauka
1	juht
1	kahdu
1	kam
1	kappa
1	katrais
1	klehpi^
1	kriht
1	kur§emneekeem
1	kur§emneeks
1	kur§emneekus
1	labbu
1	laiku
1	leelu
1	mahzidams
1	miht
1	mihïa
1	mihïodams
1	mihïúch
1	neisteizameem
1	nelaika
1	nogahjis
1	nu
1	pabutúchohs
1	pateizibas
1	paúaul
1	pehz
1	pilns
1	preekeem
1	preeku
1	raddeem
1	rohkas
1	stendera
1	stenders
1	tai
1	tam
1	tehweem
1	tehwu
1	tur
1	w
1	wahrdu
1	wahrgu
1	walloda
1	wehl
1	wezzais
1	wiòúch
1	zeeniga
1	zik
1	§emmi
1	§tah§tidams
1	úalda
1	úcheitan
1	úcho
1	úehrpilles
1	úirmu
1	úkaidra
1	úonnak§tes
1	úwehta
1	úwehtu
