Vârdformu skaits:	612
Vârdlietojumu skaits:	1572


75	un
63	irr
45	tas
33	to
27	Deewa
25	Deews
25	Kas
25	no
24	Ka`
18	buhs
17	kas
17	ta
16	Kri§tus
16	mums
15	ne
14	ar
14	tu
14	wiòúch
13	mehs
12	tahs
12	tohp
11	ka
11	Kad
10	Bauúlis
10	úkann
10	Tew
9	pee
9	tad
9	tew
9	zaur
8	ko
8	Par
8	teem
8	us
7	bet
7	es
7	Leetas
7	muhúu
7	Ta
7	Wahrdu
7	Zaur
6	Deewu
6	eekúch
6	Ko
6	No
6	par
6	prett
6	úawas
6	úawu
6	úwehtais
6	úwehtu
6	tohs
6	Welna
5	Ar
5	Aúúinis
5	Dwehúeli
5	eúmu
5	Gars
5	Grehkeem
5	Je§us
5	Ka
5	tawu
5	Tizzibas
4	ka`
4	kad
4	Kapehz
4	Kur
4	Meeúas
4	Ne
4	Nopelnumu
4	pats
4	preekúch
4	úwehta
4	tee
4	Tehws
4	tizzeht
4	tohpam
4	Wahrds
4	weens
4	wiòòam
4	wiúúu
4	Woi
3	arrid§an
3	Bauúleem
3	Bihbele
3	Darbeem
3	darra
3	Deewam
3	Dehls
3	dewis
3	dohd
3	Dohmahm
3	Eekúch
3	Grehku
3	Grehkus
3	Ja
3	jeb
3	Kri§tibas
3	lizzis
3	Ïaunu
3	Mai§i
3	ohtru
3	Pe§titais
3	pehz
3	úapra§ts
3	taiúni
3	Tuwaku
3	Wahrda
3	Wahrdeem
3	ween
3	wiòòa
3	wiúúahm
3	wiúúas
3	Zilweks
2	§tahw
2	atd§emdinati
2	atgree§chahs
2	Buhúchana
2	d§eººi
2	d§ihwoht
2	D§ihwoúchanu
2	doht
2	Draud§ibas
2	ee§tahdijis
2	eekahroht
2	ehdi
2	Es
2	Eúúi
2	eúúi
2	garrigas
2	Grehki
2	Grehks
2	ja
2	jagahda
2	jauna
2	jo
2	kri§tihts
2	kri§titas
2	kri§titu
2	Kri§tum
2	Kru§ta
2	Kunga
2	Kungu
2	kur
2	Labbums
2	Leetahm
2	Ïau§chu
2	Mahti
2	mahza
2	Mahzibas=Gabbali
2	mahzihts
2	mannim
2	muh§chigu
2	muhs
2	Nammu
2	nered§amas
2	ohtrais
2	Pa§emmoúchanas
2	paúchu
2	Pats
2	Pe§titaju
2	Pee
2	peederr
2	peektais
2	peeluhgt
2	pirmais
2	pirmus
2	raddijs
2	radditas
2	rak§tiht
2	rak§tita
2	red§amas
2	úawa
2	úe§tais
2	Úirdi
2	úohlijis
2	úwehtas
2	úwehteem
2	úwehtus
2	tam
2	Tas
2	tawa
2	taws
2	Te§tamente
2	Tee
2	Tehwu
2	tizz
2	Tizziba
2	treúchais
2	tur
2	turreht
2	Uhdeni
2	Uhdens
2	Us
2	Wainu
2	Wakkar=Ehdeenu
2	warri
2	Wihnu
2	wiòòu
2	wiúúi
2	zettortais
2	Zik
2	Zilweku
2	Zilwekus
2	zittus
1	1
1	2
1	3
1	1790
1	§agt
1	§amaitahts
1	§emmes
1	§innatu
1	§inni
1	§kaitam
1	§tarpa^
1	§wehram
1	a§totais
1	abbeem
1	aisleed§is
1	Ak
1	Apdohma
1	apgau§t
1	apgºuhtinajam
1	apmelloht
