Vârdformu skaits:	570
Vârdlietojumu skaits:	1572


75	un
64	irr
47	tas
42	kas
34	to
31	no
28	ka`
27	deewa
25	deews
24	ta
19	ar
19	ne
19	tew
18	buhs
17	mums
16	ka
16	kri§tus
16	zaur
15	kad
15	wiòúch
14	ko
14	par
14	tu
13	mehs
13	tahs
12	tohp
11	pee
10	bauúlis
10	úkann
10	us
9	eekúch
9	es
9	tad
9	teem
8	muhúu
7	bet
7	leetas
7	wahrdu
6	deewu
6	kur
6	pats
6	prett
6	úawas
6	úawu
6	úwehtais
6	úwehtu
6	tee
6	tohs
6	welna
5	aúúinis
5	dwehúeli
5	eúmu
5	gars
5	grehkeem
5	ja
5	je§us
5	preekúch
5	tawu
5	tizzibas
5	weens
4	eúúi
4	kapehz
4	ïaunu
4	meeúas
4	nopelnumu
4	pehz
4	úwehta
4	tehws
4	tizzeht
4	tohpam
4	wahrds
4	wiòòam
4	wiúúu
4	woi
4	zilweks
3	arrid§an
3	bauúleem
3	bihbele
3	darbeem
3	darra
3	deewam
3	dehls
3	dewis
3	dohd
3	dohmahm
3	grehku
3	grehkus
3	jeb
3	kri§tibas
3	lizzis
3	mai§i
3	ohtru
3	pe§titais
3	úapra§ts
3	taiúni
3	tuwaku
3	wahrda
3	wahrdeem
3	ween
3	wiòòa
3	wiúúahm
3	wiúúas
3	wiúúi
2	atd§emdinati
2	atgree§chahs
2	buhúchana
2	dahrgu
2	doht
2	draud§ibas
2	d§eººi
2	d§ihwoht
2	d§ihwoúchanu
2	eekahroht
2	ee§tahdijis
2	ehdi
2	garrigas
2	grehki
2	grehks
2	jagahda
2	jauna
2	jo
2	kahda
2	kahdas
2	kahdeem
2	kri§tihts
2	kri§titas
2	kri§titu
2	kri§tum
2	kru§ta
2	kunga
2	kungu
2	labbums
2	ïau§chu
2	leetahm
2	mahti
2	mahza
2	mahzibas=gabbali
2	mahzihts
2	mannim
2	muhs
2	muh§chigu
2	nammu
2	nered§amas
2	ohtrais
2	paúchu
2	pa§emmoúchanas
2	peederr
2	peektais
2	peeluhgt
2	pe§titaju
2	pirmais
2	pirmus
2	raddijs
2	radditas
2	rak§tiht
2	rak§tita
2	red§amas
2	úawa
2	úe§tais
2	úirdi
2	úohlijis
2	§tahw
2	úwehtas
2	úwehteem
2	úwehtus
2	tam
2	tapehz
2	tawa
2	taws
2	tehwu
2	te§tamente
2	tizz
2	tizziba
2	treúchais
2	tur
2	turreht
2	uhdeni
2	uhdens
2	wainu
2	wakkar=ehdeenu
2	warr
2	warri
2	wihnu
2	wiòòu
2	wiús
2	zettortais
2	zik
2	zilweku
2	zilwekus
2	zittus
1	abbeem
1	aisleed§is
1	ak
1	apdohma
1	apgau§t
1	apgºuhtinajam
1	apmelloht
1	apu§tuïeem
1	aúúins
1	a§totais
1	atd§imúchanas
1	atees
1	ateet
1	atòemm
1	atraujahs
1	atúazzijis
1	at§ih§t
1	at§iht
1	at§taht
1	aug§taka
1	aug§tu
1	ba§niza^
1	bauúliba
1	bauúlus
1	behdahm
1	behrneem
1	behrni
1	behrnu=mahzibas
1	bes
1	bihbeles
1	bihbeli
1	blehòu
1	brahli
1	buh§chanai
1	buhúchanas
1	buht
1	buhtu
1	dabbuht
