Vârdformu skaits:	71
Vârdlietojumu skaits:	85


5	un
3	d§eººeet
3	kas
2	arr
2	juhs
2	juhúu
2	jums
2	ka
2	kunga
1	apdahwanais
1	arraju
1	behrneem
1	dahrgu
1	deews
1	dúimta
1	eelihg§modams
1	gadda^
1	gaddiòòu
1	galda
1	ganniòòu
1	gohdinajeet
1	irr
1	jau
1	jauna^
1	jaunu
1	kaiúdami
1	kruhúchkalls
1	labba
1	labbum'
1	lai
1	laiki
1	laimi
1	lehnib'
1	lihd§inais
1	lihg§mi
1	lu§tes
1	malziòòu
1	mekledams
1	no
1	paleek
1	par
1	pee
1	praht'
1	prahta
1	rohbee§chas
1	úaimi
1	úchee
1	úcho
1	úeew'
1	úehdina
1	semmes
1	siòìes
1	úirdi
1	úirsniòòu
1	úwehtib'
1	taiúna
1	tautu
1	tehws
1	tet§ch
1	thews
1	tihri
1	uhsturr
1	us
1	walda
1	wihna
1	wihri
1	wilgdami
1	wiòò'
1	wiòòeem
1	wittojeet
1	1784
