Vârdformu skaits:	754
Vârdlietojumu skaits:	1686


142	un
31	Deews
29	mums
26	Kungs
18	muhs
17	ar
17	ka
17	tawu
16	mihïajs
16	tu
15	man
15	to
14	pahr
14	par
14	tawas
13	kas
13	no
12	eek§ch
11	irr
11	ta
10	es
10	us
9	Deewa
9	Paklauúi
9	pee
9	teem
9	wiúúus
8	Grehkeem
8	Grehkus
8	Kehniòa
8	mehs
7	Ak
7	doht
7	gribbetu
7	mannu
7	tahs
7	wiòòa
6	ap§chehlojees
6	Amen
6	eúúi
6	ir
6	ne
6	Par
6	Paúaules
6	pehz
6	Úirds
6	tohs
6	wiúúeem
6	wiúúu
6	Wiúúus
5	arrid§an
5	Ai§to
5	Chri§te
5	D§ihwo§chanas
5	Kunga
5	manni
5	No
5	úaweem
5	úawu
5	§chehligs
5	tapt
5	tew
5	tewi
5	Un
5	wiúúahm
4	Ap§chehlojees
4	Behdahm
4	eúmu
4	Jehrs
4	JE§u
4	Kauna^
4	Kungu
4	Paúargi
4	peedoht
4	prett
4	Schehla§tibas
4	Schehla§tibu
4	tam
4	tas
4	tawa
4	Tehws
4	tewis
4	warr
4	wiòòu
4	Zaur
4	Zeïïu
3	ak
3	alla§chiò
3	aug§tus
3	buht
3	Chri§ti
3	dehï
3	Dehla
3	Dohd
3	Draud§ibu
3	Dwehúel
3	Es
3	Garra
3	Garrs
3	itt
3	jeb
3	labbi
3	labbu
3	mannas
3	Meeru
3	muhúa
3	muh§chigajs
3	muh§chigu
3	nabbags
3	Nahwes
3	neúúe
3	paúargaht
3	preek§ch
3	§chehligu
3	§tarp
3	Úwehta
3	úwehtu
3	Tas
3	tawam
3	tewim
3	Tohs
3	Wahrda
3	Wahrdam
3	Wahrdu
3	walda
3	wiòòam
3	wiò§ch
3	Wiúúeem
3	zaur
2	ap§chehlotees
2	atgree§t
2	aug§ti=warrenai
2	aug§tu=warrenu
2	AK
2	Atraitni
2	bet
2	Bihja§chanas
2	bih§tahs
2	Chri§titu
2	dahrgas
2	daud§
2	Deewam
2	Dehls
2	dohd
2	doht{}
2	d§ihwojis
2	Dwehúeles
2	Eenaidneekeem
2	Eenaidneeku
2	eúúam
2	Eúúi
2	gaidu
2	Gaiúu
2	Gohdu
2	Grehzineeki
2	gribbi
2	ih§tenas
2	katri
2	katrs
2	katru
2	kattra
2	Kehniòam
2	Kehni§chku
2	labbad
2	laid
2	leela
2	Leetu
2	leez
2	Lehnibas
2	mahzi
2	Mahzitajus
2	mann
2	mannahm
2	mannim
2	mannis
2	mannus
2	Meeúas
2	muhúahm
2	Muhúu
2	muhúus
2	mums{}
2	nabbagi
2	neds
2	Padohmu
2	paklauúi
2	paklauúiht
2	palihd§
2	Palihd§i
2	parahdiht
2	pa§tahwigu
2	Pawal§tineekeem
2	Preeku
2	Úalihd§ina§chanu
2	úawa
2	úawas
2	§chehligi
2	Semmes
2	úiltu
2	Úirdi
2	Úirds=Schehla§tibas
2	Spehku
2	Úwehtajs
2	Úwehtam
2	Úwehtibu
2	úwehtiht
2	Úwehtu
2	Ta
2	ta´
2	tad
2	tapehz
2	tee
2	Tizzibu
2	To
2	Un{}
2	usturreht
2	waddiht
2	wairo
2	weens
2	Welna
2	Weúúelibu
2	wiúúas
2	zerru
2	2
2	3
1	ais§tahweht
1	ai§to
1	apgahdaht
1	apgruhtinaju§chi
1	apkaunaht
1	appak§ch
1	appuúchkoht
1	apúarga
1	apúehdehs
1	aúúinainu
1	atgree§chahs
1	atkapam
1	atpe§ti
1	at§ih§tu
1	atúwabbinahti
1	aug§ti=warrenam
1	aug§tuwarrenu
1	Allo§chanas
1	Apallo§chus
1	Apgaiúmo
1	Apgrehzibu
1	Apòem§chanahm
1	Apúchehlojees
1	Ap§tipprini
1	Aúúins=Jslee§chanu
1	Aúúnis
1	Atminni
1	Atraitnes
1	Augïus
