Vârdformu skaits:	696
Vârdlietojumu skaits:	1680


146	un
31	deews
29	mums
27	kungs
20	par
18	muhs
18	no
18	tawu
17	ar
17	ka
17	to
17	tu
16	mihïajs
15	man
15	pahr
15	wiúúus
14	es
14	kas
14	tawas
13	eek§ch
12	ak
12	ta
11	irr
11	paklauúi
11	us
10	ap§chehlojees
10	pee
9	deewa
9	mehs
9	teem
9	tohs
9	wiúúeem
8	eúúi
8	grehkeem
8	grehkus
8	kehniòa
8	tahs
8	tas
8	wiòòa
7	doht
7	gribbetu
7	ne
7	pehz
7	wiúúu
7	zaur
6	ai§to
6	amen
6	ir
6	mannu
6	paúaules
6	úirds
6	wiúúahm
5	arrid§an
5	chri§te
5	dohd
5	d§ihwo§chanas
5	kunga
5	manni
5	paúargi
5	úaweem
5	úawu
5	§chehligs
5	úwehtu
5	tapt
5	tawa
5	tew
5	tewi
4	behdahm
4	eúmu
4	jehrs
4	je§u
4	kauna^
4	kungu
4	labbu
4	mannas
4	peedoht
4	prett
4	schehla§tibas
4	schehla§tibu
4	tam
4	tehws
4	tewis
4	warr
4	wiòòu
4	wiò§ch
4	zeïïu
3	alla§chiò
3	aug§tus
3	bet
3	buht
3	chri§ti
3	dehï
3	dehla
3	draud§ibu
3	dwehúel
3	garra
3	garrs
3	itt
3	jeb
3	labbi
3	laid
3	meeru
3	muhúa
3	muh§chigajs
3	muh§chigu
3	muhúu
3	muhúus
3	nabbags
3	nahwes
3	neúúe
3	paúargaht
3	preek§ch
3	§chehligu
3	§tarp
3	úwehta
3	úwehtam
3	tad
3	tawam
3	tee
3	tewim
3	wahrda
3	wahrdam
3	wahrdu
3	walda
3	wiòòam
3	wiúúas
2	ap§chehlotees
2	atgree§t
2	atraitni
2	aug§ti=warrenai
2	aug§tu=warrenu
2	bihja§chanas
2	bih§tahs
2	chri§titu
2	dahrgas
2	daud§
2	deewam
2	dehls
2	doht{}
2	d§ihwojis
2	dwehúeles
2	eenaidneekeem
2	eenaidneeku
2	ee§tipprini
2	eúúam
2	gaidu
2	gaiúu
2	gohdu
2	grehzineeki
2	gribbi
2	ih§tenas
2	kad
2	katri
2	katrs
2	katru
