V‚rdformu skaits:	2700
V‚rdlietojumu skaits:	13062
	
	
340	to
336	mums
289	vnde
277	gir
258	exkan
197	ka
191	touwe
184	vnd
164	no
155	mhes
143	dews
138	kunx
132	tu
128	tas
122	ar
122	py
116	thas
109	thˆw
105	wueßße
103	muﬂige
99	czour
98	man
98	muﬂe
98	nhe
96	ta
88	unde
82	thoew
81	es
74	tam
70	wene
69	dewe
69	und
69	winge
68	o
66	katters
64	vs
61	ﬂouwe
60	buus
59	par
58	kattre
56	ßweete
56	nawe
56	tha
54	amen
54	tur
53	wens
52	manne
47	ﬂeeleßtibe
45	grib
44	dode
42	kas
41	2
40	3
40	muﬂam
39	garre
39	tho
37	allaﬂin
36	kyrieeleißon
36	nu
35	gode
35	te
34	arridtczan
34	debbes
34	patteße
33	chrißtum
33	dar
33	kunge
33	paer
32	haleluia
31	4
31	labbe
31	nee
31	thewe
30	w‰rde
29	dhelam
29	lele
28	eßße
28	meﬂe
28	tems
27	aran
27	kad
27	kungam
27	ﬂeelige
27	walßtibe
26	lab
26	peetcz
26	taes
26	thaes
25	chrißtus
24	5
24	thews
24	wueßßes
23	ßcho
23	aeßto
23	chrißt
23	dhele
23	dhels
23	greeke
23	semmes
23	tham
22	cziwo
22	eßßem
22	ﬂˆw
22	thewam
22	thope
22	wueßßems
21	gars
21	ko
21	kyrieleißon
21	war
20	beth
20	loune
20	luudtczam
20	prexkan
19	6
19	mere
19	nedtcz
19	paßßoule
19	the
19	titczibe
18	cziwibe
18	roke
17	ßcheit
17	buut
17	czelle
17	dewam
17	garram
17	greekes
17	jeßu
17	nabbage
17	tapeetcz
17	toes
17	wuerﬂon
16	ßweetam
16	bes
16	by
16	iheßum
16	paßßarge
16	patte
16	semme
16	ﬂirde
16	szlawe
16	thad
16	touwes
16	walde
15	bhede
15	darbe
15	jeßum
15	muﬂes
15	palleck
15	p‰r
15	ﬂoew
15	thˆs
15	waerde
15	wen
14	7
14	ßpeeke
14	atkal
14	debbeßße
14	dwheßel
14	greekims
14	kha
14	noteke
14	prettibe
14	touwam
13	ßweetcz
13	ﬂirdes
13	tˆs
13	wueßßewalditays
12	aßßen
12	auxkam
12	buewis
12	chrißte
12	czilwheke
12	eßme
12	laike
12	myleis
12	peßtitays
12	peczimmis
12	tay
12	tims
12	whelne
11	auxte
11	bhedims
11	eleißon
11	laid
11	mans
11	paßßoules
11	tad
11	taißne
11	thoes
11	warram
11	warre
10	czilwhex
10	darrys
10	dewige
10	jumprouwes
10	kattra
10	laide
10	nawes
10	ﬂyrde
10	touws
10	us
10	wayrs
9	8
9	ßtippre
9	aßßenne
9	auxam
9	chrußtite
9	czenige
9	dene
9	helles
9	lydtcz
9	mayße
9	muﬂems
9	myle
9	nake
9	ne
9	pallickt
9	pallidtcz
9	peßtite
9	prate
9	sweeteis
9	thos
9	thur
9	w‰rdtcz
8	ßkyßte
8	allaﬂ
8	barribe
8	chrißti
8	cziwoth
8	darge
8	doth
8	drougczibe
8	duebben
8	eﬂakumme
8	eﬂe
8	galle
8	goodtcz
8	greekems
8	jeßus
8	kl‰th
8	kyrie
8	layd
8	loudems
8	loudes
8	manna
8	moke
8	mylibe
8	neewene
8	paßßargath
8	paddome
8	pallidtcze
8	parrade
8	patcz
8	patteitczibe
8	szouwe
8	tappe
8	tappis
8	tapt
8	teitczam
8	titczam
8	wueßßims
7	cziwoßchenne
7	denißke
7	etc
7	krußte
7	kur
7	mannes
7	mutte
7	nabbagems
7	pallige
7	pemin
7	taps
7	teße
7	thade
7	thopam
7	tidtczibe
7	titcz
7	tomher
7	touwems
7	warren
7	wena
7	wenaydibe
7	yums
6	allas
6	czerre
6	droudtczibe
6	edth
6	enaideneke
6	exan
6	jeers
6	karye
6	kounan
6	lidtcz
6	loudis
6	mathe
6	meßße
6	nho
6	och
6	pallydtcz
6	peßty
6	preke
6	ruckte
6	ﬂodibe
6	ﬂouwems
6	sweetcz
6	th‰s
6	thurreet
6	tows
6	wenige
6	wiltige
5	ßtarpan
5	ßtawe
5	ßthawe
5	ßweetz
5	aßßens
5	abﬂelo
5	appeßkan
5	augle
5	bouﬂle
5	czede
5	cziwibes
5	dodth
5	doeuwis
5	doudtcze
5	eßßhe
5	greckes
5	guddribe
5	helle
5	ißrael
5	kattram
5	kattres
5	kˆninge
5	layde
5	leenibe
5	luuckßchenne
5	lydtcze
5	lyxmibe
5	mace
5	macibe
5	muﬂims
5	myleßtibe
5	neneke
5	neﬂ
5	nomuerth
5	nv
5	otre
5	paßtare
5	packloußße
5	pallyx
5	patteitczam
5	pattim
5	pr‰tcz
5	pr‰te
5	precibe
5	proyam
5	rouge
5	ﬂalde
5	ﬂeeleßtibes
5	ﬂeelix
5	ﬂeelyx
5	ﬂouwes
5	ﬂouwims
5	taißnibe
5	tapte
5	t‰s
5	teitcz
5	walßtybe
5	wenaidibe
5	wenigam
5	wueﬂims
4	9
4	ßkißte
4	ßtawhet
4	ßwabbade
4	ßweetige
4	abgaißmo
4	abﬂeelo
4	adﬂith
4	augles
4	baßnice
4	bagate
4	balexne
4	buuth
4	bya
4	czeeles
4	czeles
4	cziwoßchen
4	darryt
4	doudtcz
4	droudtcze
4	dußmibe
4	ehßßem
4	godibe
4	godybe
4	greetczeneke
4	gribbam
4	ja
4	joune
4	kalpe
4	kalpes
4	kr‰ßne
4	layke
4	leke
4	lela
4	lethe
4	m
4	macyth
4	meﬂes
4	meﬂige
4	mhere
4	nacte
4	n‰tcze
4	nepatteße
4	noßegumme
4	nomuerris
4	notickt
4	pallekam
4	pammeßt
4	pammet
4	peßtißchenne
4	peßtitaye
4	peder
4	pratan
4	prathe
4	precige
4	ﬂack
4	ﬂirdtcz
4	ﬂolis
4	ﬂyrdtcz
4	sweetitz
4	tade
4	teickt
4	tekams
4	thouwe
4	thows
4	tick
4	titczybe
4	tos
4	touwa
4	touwims
4	tuwake
4	vsthur
4	wayge
4	wed
4	wedde
4	wueddon
4	wuerßon
4	yuus
3	10
3	ßchodene
3	ßkaidre
3	ßpide
3	ßpidumme
3	ßpyde
3	ßtayga
3	ßtipprais
3	ßtunde
3	ßweetays
3	ßweeteis
3	ßweetes
3	ßweety
3	ßweetyt
3	ßweetytz
3	adﬂißtam
3	atßtha
3	atpeßtys
3	atpirczis
3	attraßtz
3	bailibe
3	baryoth
3	beernes
3	bhedes
3	bhedige
3	bherne
3	broudtcz
3	broudtczis
3	butem
3	buthe
3	buuße
3	buute
3	chrißteeleißon
3	chrißtite
3	chrißto
3	czedam
3	czerrem
3	czetumman
3	cziwoyam
3	darram
3	darrißche
3	darryth
3	dawan
3	dawane
3	dawanims
3	debbeﬂ
3	dewes
3	dewißke
3	droßche
3	eßakumme
3	eßtu
3	enaide
3	enaidenekems
3	enaidibe
3	enaydenekes
3	eprecetays
3	etam
3	gaißme
3	gals
3	galwe
3	gans
3	gar
3	glabboßchenne
3	godam
3	godige
3	gribbete
3	iheßus
3	ilge
3	is
3	jesv
3	jums
3	kalne
3	klate
3	kˆninx
3	koune
3	kraeßne
3	kreeﬂle
3	labbake
3	labbes
3	labprate
3	labs
3	laydet
3	laydeth
3	ledtcz
3	leledene
3	lethes
3	lhenibe
3	lothe
3	lounibe
3	luuckßchen
3	luuckt
3	luudtcz
3	maria
3	mhele
3	mile
3	mußße
3	n‰ckt
3	namme
3	neewens
3	nhes
3	noﬂegumme
3	paßßche
3	paßßußte
3	paglabbotays
3	pallidtczeth
3	palloutes
3	palouyas
3	pammeth
3	paprate
3	paradys
3	patteickt
3	patteitcz
3	pattheße
3	pawhel
3	pawheleis
3	peßtißchennes
3	peczimpte
3	peminneth
3	precybe
3	preczige
3	prettybe
3	prex
3	prophetes
3	radditays
3	redtcze
3	rueckte
3	s
3	scheit
3	sion
3	ﬂackam
3	ﬂamaita
3	ﬂatcy
3	ﬂeeloyas
3	ﬂlaw
3	ﬂlaweyam
3	ﬂodyth
3	sweetays
3	sweeteys
3	szodibe
3	taißnybe
3	tan
3	teickßchenne
3	teitczet
3	thappe
3	thems
3	thoeuwis
3	titczibes
3	topam
3	udenne
3	waddyth
3	waine
3	walditays
3	w‰rdam
3	warrey
3	waye
3	wiltibe
3	wingam
3	winges
3	wueßtym
3	wueﬂ
3	yem
3	yeme
3	yempt
2	ßchennes
2	ßchoden
2	ßemme
2	ßemmes
2	ßkanneth
2	ßkaydre
2	ßkeepe
2	ßkyßtcz
2	ßobes
