Vârdformu skaits:	553
Vârdlietojumu skaits:	955


47	un
21	to
15	kas
15	úawu
13	ka
11	ar
10	no
10	tam
10	tas
9	kungs
9	par
9	wiòúch
8	bet
8	Juhúu
7	ka`
7	labbu
7	ta
6	Juhs
6	mehs
6	muhúu
6	mums
6	ne
5	Jums
5	ïaudis
5	teem
5	tohs
4	arri
4	Ar
4	deewa
4	eekúch
4	irr
4	jeb
4	Kungs
4	labs
4	úawa^
4	wiòòa
4	wiúúu
4	zaur
3	Ak
3	gaddus
3	kad
3	Kas
3	krohni
3	kungu
3	Labs
3	ïaudim
3	nu
3	pateeúi
3	pats
3	pehz
3	preekúch
3	úawas
3	úchinni^
3	úcho
3	úirdi
3	úwehtibu
3	tahs
3	tee
3	warr
3	ween
3	weenu
3	wiús
3	wiúúeem
3	wiúúus
2	atgree§chahs
2	beid§oht
2	daúch
2	daud§
2	debbeúu
2	deenas
2	Deewa
2	deewam
2	Deewam
2	Deews
2	dohd
2	gaddu
2	gahda
2	gohdu
2	gºuhta
2	gudri
2	ih§ti
2	irraid
2	it
2	jauku
2	ko
2	kungi
2	kur
2	labbi
2	labbums
2	labpraht
2	laika^
2	laiko^s
2	leelu
2	lehni
2	luhgúchanas
2	nahk
2	ned§enn
2	pahrtikúchanu
2	Par
2	parahdiht
2	parei§i
2	pa§aule^
2	peedohd
2	preeku
2	preezatees
2	puúchkojams
2	rohkahm
2	úaweem
2	úawus
2	úchinni^hs
2	úew
2	úlawejams
2	úlinkuma^
2	§trahdaht
2	tahds
2	tahdu
2	taiúnibas
2	Tehwam
2	tik
2	tohp
2	truhkuma^
2	truhkumu
2	Tu
2	turr
2	Un
2	us
2	waijad§igam
2	waïïa
2	weens
2	wehl
2	wiòòu
2	wiúúi
2	wiúúur
2	zeenigam
2	zeenigs
2	zeenijams
2	zeeúch
2	zittus
1	algu
1	allaúch
1	ammatu
1	apalloúcham
1	apdohma
1	apgahdaúchanu
1	apgrehkojahs
1	apkohpt
1	aplaimo
1	apleezina
1	apmihïo
1	apúohlahs
1	ap§trahdaht
1	ap§trahdajuúchi
1	arr
1	arraju
1	arrid§an
1	atbildeúchana
1	atkal
1	atleek
1	atmakúaht
1	atminnedams
1	atpuh§tees
1	atrahwis
1	atºauj
1	atreebeijs
1	at§ih§t
1	at§ih§tat
1	at§ihtu
1	at§taht
1	at§tahtu
1	attrohn
1	atwehl
1	atwehlejis
1	aud§inajuúchi
1	augïeem
1	aug§taka
1	aug§tam
1	aug§tu
1	badda
1	baggata
1	bahrgi
1	bahrgo^s
1	baudiht
1	behrnu=behrni
1	behrnus
1	bes
1	besdeewibu
1	besdeewigam
1	beskauniba^
1	Bet
1	bihja
1	bihjahm
1	bihjat
1	bih§tahs
1	blehdi
1	blehdibas
1	blehdibu
1	buhs
1	buhúchana^
1	C
1	dabbu
1	dahrgas
1	dahrgo^s
1	dahwana
1	Dahwana
1	dahwanas
1	dahwanu
1	darba
1	darbeem
1	darbu
1	darra
1	darrijuúchu
1	Daúchu
1	debbes=kungu
1	deeniúchías
1	deenu
1	deewa=dahwanu
1	deews
1	Dehla
1	Dehlu
1	dewis
1	diwpadeúmits
1	d§eedaja
1	d§ihtohs
1	d§ihwibas
1	d§ihwibu
1	d§ihwoht
1	d§ihwoúchanu
1	D§imtskungam
1	eenih§t
1	eeraddis
1	ees
1	eúúam
1	eúúeet
1	eú§eet
1	F
1	Fernant
1	Fircks
1	gadda^
1	garru
1	gawileúchanas
1	gawileúchanu
1	gohda^
1	gohdigi
1	gohds
1	Grahm
1	grahmatahm
1	grahmatu
1	grehko^s
1	Gribbedami
1	Gudr
1	gudra
1	gudriba^
1	gudribu
1	ih§ta^
1	ih§tens
1	ikdeenas
1	ir
1	isgaiúinadami
1	isklihdina
1	isúchkerúch
1	isúchíihris
1	istehreta
1	ittin
1	jadohd
1	jau
1	jaukas
1	jaunu
1	juhs
1	juhúu
1	jums
1	Ka
1	kahda
1	kahds
1	kahrta^
1	kahrtas
1	kalpu
1	kam
1	klaht§tahw
1	klauúiht
1	klauúijam
1	kohpdamus
1	kohpj
1	kohpt
1	kraúchnu
1	kreetnibu
1	krehúla
1	krittis
1	kunga
1	kungam
1	kungeem
1	Kur
1	kurúch
1	lab=klahúchanu
1	labba
1	Labbi
1	labbotees
1	labbumu
1	lai
1	laika
1	laiks
1	ïaiks
1	laimigus
1	laizigu
1	laúúiht
1	latweeúchu
1	Ïaudis
1	lauki
1	ïauna
1	ïauna^
1	ïaunu
1	ïaunu=darritajam
1	ïaunuma^
1	ïau§chu
1	ïautiòòeem
1	leela
1	Leela
1	leela^
1	leelaku
1	leelas
1	leelo^s
1	leels
1	leetas
1	leezibahm
1	lehnibas
1	lepnibu
1	Le§teneeki
1	Le§tenes
1	lihd§
1	lihd§inahts
1	lihgúmu
1	lizzis
1	luhd§ahs
1	mahja^s
1	mahjo
1	mahzitajs
1	mahzitajus
1	mahzitees
1	mai§i
1	mehneúcha^
1	meitas
1	mekle
1	mihï
1	mihïais
1	mihlam
1	mihli
1	mihligs
1	muhs
1	muhúa
1	muh§chigu
1	mui§chu
1	Mums
1	mutti
1	nahwes=§tundas
1	ne`
1	nedarbeem
1	nedohd
1	neezibu
1	negantibu
1	Negudri
1	negudribas
1	nemir§tamu
1	òemtees
1	neúohda
1	niknumu
1	nod
1	nodewe
1	nopelna
1	notihk§t
1	pa=d§err
1	padohms
1	padohmu
1	paga§ta
1	pahr
1	pahrgalwibu
1	pahrleeku
1	pahrúkattahs
1	pahrtikúchana
1	paklauúijis
1	palaiúch
1	palaiúchanu
1	paligu
1	paliks
1	palizzis
1	pamett
1	pareiúi
1	pa§audejuúchi
1	paúaule^
1	paúaules
1	paúauli
1	paúcham
1	paúcheem
1	paúchi
1	pataupihs
1	pateikdami
1	pateikúchanu
1	pateizam
1	pateiziba
1	pateizibu
1	pateizigu
1	pawaddihs
1	peed§ihwojuúchi
1	peeminneúchana
1	peemiòòu
1	peezdeúmits
1	pehda^s
1	pelniht
1	pilditi
1	pilniba
1	plihteúchanas
1	prahta
1	prahtu
1	praúúiti
1	preekúcha
1	preezas
1	preezigu
1	prett
1	prohti
1	pulku
1	puúchkodami
1	puúsúimtu
1	Puúsúimtus
1	rahda
1	red§
1	red§ama
1	rohka
1	úakka
1	úakkams
1	úanahkam
1	úaòemt
1	úaprattigais
1	úarak§tijis
1	úarga
1	úataiúidamus
1	úawa
1	úawahm
1	úawam
1	úawejeem
1	úchahs
1	§chehla§tiba
1	§chehla§tibas
1	úchehla§tibu
1	§chehla§tibu
1	§chehligi
1	úchehligs
1	§chehligs
1	§chehligu
1	úchihs
1	Úcho
1	úchodeen
1	úchohs
1	úeedu
1	§emmi
1	Sihraka
1	§iògi
1	§inna
1	Siòòa
1	§innami
1	úirdi^s
1	úirds=dohmas
1	§irmuma^
1	úirsniga
1	úirúnigu
1	úkaidri
1	úkubbinaht
1	úlawehs
1	úlawu
1	úlikts
1	úliktu
1	úlinkoúchanu
1	úlinkumu
1	úohda
1	úohdibu
1	§taiga
1	§tarpa^
1	§trahdaúchanu
1	úwehtiba
1	úwehtidami
1	úwehtiúchana
1	Tahds
1	taiúnakais
1	taiúneem
1	taiúnibu
1	taiúnibu{taiúnibn}
1	taiúns
1	tanni^
1	tapehz
1	taps
1	Tas
1	tautahm
1	teeúu
1	tehretajam
1	Tehwa
1	tehwiúchku
1	Tehws
1	teiks
1	teiz
1	Tew
1	tihúchu
1	tikkuúchu
1	Tohs
1	tomehr
1	turreht
1	turrigi
1	Urban
1	usluhkoht
1	usrauga
1	ustizzigu
1	ustizzigus
1	usturr
1	w
1	wahrdo^hs
1	wahrdu
1	wahrpu
1	walda
1	waldidams
1	waldiht
1	waldijis
1	waldijuúchi
1	waldiúchanu
1	walditaju
1	walko
1	waïïa^
1	waïïu
1	weenrei§
1	Weens
1	weetneeks
1	weúúelibu
1	wezzakais
1	Wihrs
1	wih§cho
1	Wiòòa
1	Wiòúch
1	wiúúa
1	wiúúa^
1	wiúúa^s
1	wiúúadi
1	wi§úahm
1	wiúúai
1	wi§úi
1	wi§úu
1	Wiúúus
1	wiúswairak
1	Zaur
1	zeete
1	zehlis
1	zeïïu
1	zilwekeem
1	zittam
1	zittas
1	zitti
1	1
1	10
1	1791
