Vârdformu skaits:	3644
Vârdlietojumu skaits:	22341
	
	
1291	un
520	to
506	Un
451	tas
354	ta
348	wiò§ch
344	us
334	no
262	bija
248	irr
228	ar
228	ne
228	wiòòa
217	úazzija
204	kas
192	ka
184	tee
178	ko
162	pee
154	tu
149	es
140	bij
135	Íehniò§ch
129	teem
129	tew
126	wiòòu
125	ka`
121	Íehniòu
114	KUNGA
109	preekúch
109	tad
108	par
104	Tad
96	weenu
95	J§rae#ïa
93	tohs
92	eekúch
90	pahr
90	tam
87	Salamans
86	Bet
85	KUNGS
84	Nammu
83	úawu
79	tahs
78	Dehls
78	pehz
77	Íehniòa
76	buhs
72	man
70	weens
69	darrija
67	tappe
66	prett
66	ta`
65	Deewa
63	wiúúu
61	nu
60	eúmu
60	eúúi
60	nahze
60	Namma
58	darrijs
58	kad
57	tawu
55	Ta`
50	diwi
49	Kad
48	Weeta^
46	jo
46	Wahrdu
45	bet
45	Ïaudis
45	wiòòam
44	arri
44	gahje
43	Deews
42	úaweem
40	runnajs
39	tur
38	Juhda
37	likke
37	mans
37	Salamaòa
35	atkaï
34	Dahwida
34	Jerobeama
34	zaur
33	Dehlu
32	arrid§an
32	Es
32	lihd§
32	úcho
32	taws
32	wehl
31	Akabs
31	Elijas
31	mannu
31	weena
30	J§rae&ïa
30	Jo
30	Ïaudim
30	tohp
30	wiúúeem
29	§tarp
29	J§rae#lu
29	wiúúi
28	ittin
28	wiús
26	KUNGU
26	Namma^
26	raugi
26	Salamanu
26	úawa
26	Semmes
26	Tehwa
26	Wahrds
26	Wihrs
26	Zeïïu
25	Dahwids
25	úakka
25	tai^
24	pakkaï
24	Praweets
23	Aúúus
23	dewe
23	diwideúmits
23	úazzidams
23	tawa
23	Tehweem
23	Tehws
22	Gadda^
22	Salamaòam
22	úawa^
21	Altari
21	dewis
21	Jerobeams
21	Íehniòam
21	manna
21	runnaja
21	úchodeen
21	Tapehz
21	waldija
20	1
20	apkahrt
20	atpakkaï
20	Deena^
20	deúmits
20	Eij
20	lai
20	pa
20	Selta
20	Seltu
20	Úirds
20	tawam
19	d§ihwo
19	Deewu
19	ir
19	Jo§awats
19	kur
19	neds
19	Preekúcha^
19	wiúúus
18	dehï
18	Dehla
18	Laika^
18	Pehz
18	pretti
18	Rohku
18	tik
18	Waººa
18	ween
17	Adonijus
17	augúcham
17	d§irdeja
17	darriht
17	Gohda=Krehúlu
17	J§rae#ls
17	jelle
17	Kas
17	Kungs
17	Mai§i
17	mehs
17	Nams
17	Ohlekúchu
17	patt
