Vârdformu skaits:	5487
Vârdlietojumu skaits:	35675


2464	un
967	Un
798	to
581	tas
539	irr
486	no
470	úazzija
421	ta
398	us
380	wiò§ch
359	es
328	ne
325	wiòòa
320	tee
317	ka
300	kas
280	ar
271	pee
253	bija
239	Tad
235	tew
224	úawu
216	tad
209	bij
205	man
204	tahs
204	tu
187	teem
170	pehz
160	Semmes
156	tohs
154	ko
152	wiòòu
151	eúmu
149	par
145	buhs
132	kad
132	weenu
131	jo
125	tam
124	Deews
120	Jehkabs
113	KUNGS
112	ka`
104	preekúch
97	Jah§eps
96	eúúi
93	pahr
92	tappe
90	mehs
87	uhs
86	úawas
85	nahze
85	§tarp
81	tur
81	wiúúu
78	Dehli
78	eekúch
78	Tehwa
77	Gaddus
76	weens
74	Dehlu
73	juhs
73	mums
73	Úeewu
72	nu
71	wiòòam
70	úawa
69	Bet
68	arrid§an
68	bet
68	prett
68	úaweem
68	Semmi
67	mann
67	manna
65	Warau#s
65	wiòòo
63	Es
63	jums
62	òehme
62	Wahrdu
62	wirs
61	DEews
58	mans
57	tawu
56	juhúu
56	noúauze
56	úcho
55	Ahbra&a&ms
55	tohp
54	gahje
54	mannu
54	Tehws
52	wiòòas
51	ta`
51	tawa
50	Meitas
49	Úeewas
49	Tehwu
48	d§emdinaja
47	Deenas
47	eúúam
47	wiúúas
45	Dehls
45	itt
45	jelle
45	úeptiò
44	d§ihwoja
44	lihd§
44	Semme^
44	wehl
43	d§emdeja
43	lai
43	likke
42	diwi
42	wiúúeem
41	dewe
41	ja
41	pa
40	Brahïeem
40	red§eja
40	úchee
39	Ee§aws
39	KUNGA
39	Namma^
39	Úeewa
38	atkaï
38	wezz
37	darrijis
37	Debbes
37	runnaja
36	Jah§epa
35	Behrni
35	muhúu
35	raugi
35	Rohku
35	úawus
35	tahm
35	Tas
34	darrija
34	Deewa
34	Jehkabu
34	mannas
34	Nou#s
34	tapehz
34	UN
34	1
33	Deena^
33	Dehla
33	Jehkaba
33	Jh§a&a&ks
33	Kad
33	Kunga
33	úazzijis
33	taws
33	Waldneeks
33	zaur
32	Ahbrams
32	Brahli
32	red§i
32	tawam
32	zehlahs
31	Awis
31	Brahïi
31	Brahlis
31	Jah§epu
31	Red§
31	Semme
31	Wihrs
30	Dehlus
30	Kungs
30	kur
30	Tehwam
30	Wahrds
30	Weeta^
29	Juhda
29	nomirre
29	notikke
29	tawas
29	wiúúi
28	Ee§awa
27	Brahïa
27	buht
27	buhtu
27	jeb
27	Jehkabam
27	Jo
27	Kana&a&na
27	Lahbans
27	laid
27	Lohpeem
27	ïohti
27	Rohka^
27	úawa^
26	Meitu
26	Rohkas
26	úazzidams
26	wiús
25	ahra
25	appakúch
25	dehï
25	Derribu
25	Úchee
25	tanni^
25	Waigu
25	wiúúus
24	Ahbra&a&ma
24	Gaddi
24	peederr
24	Preekúcha^
24	taps
23	Azzis
23	Ïaudis
23	luhd§ams
23	tik
23	Uhdeni
23	Wihri
22	eet
22	Kalps
22	Nammu
22	Sara
22	úawam
21	arri
21	atbildeja
21	darriht
21	dewis
21	Egiptes=Semme^
21	eúúat
21	Pilsúahta
21	Schehla§tibu
21	úchis
21	úimts
21	úwehtija
21	tai
21	Zeïïu
20	aisgahje
20	Balúi
20	dohúchu
20	ir
20	Raugi
20	úawahm
20	wairs
20	weena
20	wiúúa
19	atpakkaï
19	Ahbra&a&mam
19	D§immumu
19	eh§t
19	isgahje
19	kam
19	Lats
19	Rae#le
19	úche
19	taweem
19	trihs
18	Abimeleks
18	Deewu
18	dohd
18	Egiptes=Semmi
18	Kalpi
18	Kas
18	Naudu
18	Ne
18	úchahs
18	úchi
18	úchodeen
18	úew
18	Uhdens
17	Behrneem
17	Behrnus
17	daud§
17	d§emdinajis
17	gºuhta
17	J§rae#ls
17	kahdu
17	labbi
17	labbu
17	Ïaudim
17	lizzis
17	Lohpus
17	Mai§i
17	mannam
17	Meeúas
17	pretti
17	tawi
17	trihsdeúmits
17	turrenes
17	Warau#m
17	Wihru
17	Zilweku
16	bijis
16	Dehlam
16	Drehbes
16	d§irdeja
16	Egiptes
16	gann
16	Meita
16	Namma
16	pakkaï
16	pats
16	Red§i
16	tadehï
16	tai^
16	tewis
16	Weetas
16	3
16	6
15	atgree§ahs
15	Ahbramu
15	Akkas
15	deúmits
15	jaúchu
15	Labbibu
15	Lauka^
15	Lea
15	Meitahm
15	pazehle
15	preekúcha^
15	runnajis
15	úwehti
15	túchetrdeúmits
15	Wahrdus
15	wiòòeem
15	7
14	atradde
14	Azzi^s
14	Bads
14	Behrnu
14	d§ihwo
14	d§imme
14	ehde
14	Galwu
14	Ja
14	Jah§epam
14	Kalpeem
14	Kalpones
14	Kungu
14	Lahbana
14	Mahtes
14	Mehs
14	mitte
14	nogahje
14	noh§t
14	pirms
14	red§
14	Ruhbens
14	úchinni^
14	Ta
14	tapt
14	Tautas
14	teekams
14	uszehle
13	aizinaja
13	apkahrt
13	Altari
13	Awim
13	J§rae#ïa
13	Kalponi
13	Íehniòu
13	leelu
13	nahks
13	Putneem
13	Úchíir§ta^
13	Sodomas
13	tawa^
13	warr
13	Weetu
13	Wihra
13	Wirúu
13	2
13	4
12	ap
12	atraddis
12	Ahbramam
12	Barribu
12	darriúchu
12	D§immumam
12	Egiptes=Semmes
12	Etta
12	Gohwis
12	Jh§a&a&ku
12	Kalpu
12	Íehniò§ch
12	kohpa^
12	KUNGAM
12	KUNGU
12	Laid
12	ïaunu
12	manneem
12	mannis
12	Mantu
12	nahkuúchi
12	Nakti^
12	òemm
12	No
12	pawehleja
12	raudaja
12	Rebekka
12	Rihteem
12	Tapehz
12	tewim
12	14
12	9
11	Ahbra&a&mu
11	Azzim
11	darri
11	D§immums
11	Dwehúeles
11	Ee§awu
11	gribbu
11	Kam
11	Kana&a&n
11	Íehniòa
11	Kohka
11	Lahbanu
11	Lattu
11	Leas
11	Mahúu
11	mannim
11	Meeúahm
11	muhs
11	nahk
11	Nakti
11	òemt
11	ohtru
11	Pehz
11	Rae#les
11	Rae#li
11	Rebekku
11	Úapni
11	Sara&i
11	Úchi
11	§tahweja
11	úuhtija
11	Ta`
11	Tihrumu
11	tikkai
11	ustaiúija
11	ween
11	Wihram
11	wirúu
11	wiúúahm
11	Zeetuma^
11	zittu
11	20
11	8
10	auge
10	augúchu
10	Ahbraa&ms
10	Dahwanu
10	d§emdejúi
10	Eòìelis
10	Go§ena
10	Jh§a&a&ka
10	Jh§a&a&kam
10	J§mae#ïa
10	Kalnu
10	Laika^
10	Laiku
10	Ïau§chu
10	Mahúa
10	manni
10	noúaukts
10	peegahje
10	red§ejis
10	Úapnis
10	úewim
10	Sihmi
10	Úirds
10	tawahm
10	Tomehr
10	Wahrda^
10	Wahrpas
10	wairojahs
10	waldija
10	wiòòai
10	wiúúo
10	12
10	5
9	Akku
9	Bedre^
9	Bedres
9	Brahïus
9	buhdams
9	Deena
9	DEEWS
9	Dohd
9	d§ihws
9	d§ihwu
9	Dwehúele
9	eeraud§ija
9	eij
9	Ìihmi
9	islaide
9	Ka#ins
9	Kahrtas
9	Kameeïeem
9	Leetahm
9	Leetu
9	Mamre
9	manna^
9	mannus
9	newa
9	Nou#
9	paleek
9	Par
9	patt
9	Pilsúahtu
9	pirkt
9	Pirmd§imtajs
9	Raddeem
9	Úapni^
9	úchahm
9	úcheem
9	§kattijahs
9	úwehtijis
9	Úweúchineeks
9	tappis
9	Tee
9	teeúcham
9	Wahrdi
9	Wakkara
9	Waldneeki
9	Zilweks
9	11
9	13
9	21
9	24
8	Ahbrama
8	Ahdams
8	Benjaminu
8	bihjajahs
8	Brahïam
8	Brihdi
8	buhúchu
8	darrajt
8	Deenahm
8	Dehleem
8	diwideúmits
8	D§ihwibas
8	Eetiteºa
8	Egipteºi
8	eúúus
8	Jh§aa#ks
8	juhúo
8	Kalpam
8	Kalpone
8	klannijahs
8	labbad
8	leela
8	manno
8	Mans
8	Naudas
8	no=eet
8	peederreja
8	peezdeúmits
8	prohjam
8	rahdijahs
8	Rihta^
8	Saru
8	úauze
8	úazziht
8	úazzihts
8	Úchíir§ta
8	úchurp
8	Úeewahm
8	Sem~es
8	úeptiòdeúmits
8	úeúchdeúmits
8	úewis
8	§kuhp§tija
8	STJPRAJS
8	Swehreem
8	Tautu
8	Teeúu
8	tezzeja
8	Uppes
8	Wahrdam
8	Wahrdeem
8	wairoúchu
8	warreja
8	warru
8	Wirúneeks
8	Zilweka
8	15
7	abbee
7	agri
7	a§toòúimts
7	Abimeleku
7	Ahbraa#ms
7	Ahgare
7	Anus
7	Benjamina
7	buhúi
7	darra
7	dewiòúimts
7	d§emdeht
7	d§ert
7	d§ihwa
7	Durwim
7	Eedoma
7	eeúchu
7	Egipteºu
7	Egipti
7	Eij
7	eúúoti
7	Gadda^
7	gruhta
7	ihpaúchu
7	kalpojis
7	kamehr
7	Kananiteºu
7	Kappu
7	klaht
7	Lai
7	leels
7	Leetas
7	Leu#
7	Lewis
7	Lohpi
7	Manaúúus
7	ma§akajs
7	Me§opotamiju
7	mihleja
7	Miººoòu
7	muh§cham
7	nahkt
7	nahzis
7	Nao#ra
7	neds
7	Neììi
7	òehmis
7	òemmeet
7	neúúe
7	pahrdewe
7	palikke
7	papreekúch
7	paúazzija
7	pa§inne
7	pawehlejis
7	peezi
7	peezus
7	Pilsúahta^
7	Puiúi
7	Raddi
7	raddija
7	Rebekkas
7	red§eht
7	Rihta
7	Rohkahm
7	runnaht
7	Sahli
7	Saras
7	Úaule
7	úawo
7	úazziju
7	úchai
7	Úchis
7	úchohs
7	Sema
7	úewiúchíi
7	§innu
7	Sodomu
7	Stah§ti
7	úuhtijis
7	§wehreht
7	úwehtiúchu
7	Tadehï
7	tahds
7	Tahrpeem
7	Tahrus
7	Telti
7	túchetrúimts
7	turren
7	Uhdens=Pluhdeem
7	uskahpe
7	waizaja
7	warren
7	wedde
7	weena^
7	Wihnu
7	Wihreem
7	wiòòi
7	wiúúadeem
7	zelúchu
7	Zi§kas
7	zittas
7	10
6	aprakt
6	arrig
6	atra§ti
6	atra§ts
6	augligu
6	Akmini
6	Aúúini
6	Augïus
6	Badda=Gaddi
6	Behdas
6	behd§e
6	bijuúchi
6	Dahr§a^
6	Deenu
6	dohmu
6	d§ehre
6	d§emde
6	d§innahs
6	d§irdejis
6	Eewrona
6	Egipteºeem
6	eita
6	Gaddeem
6	Gomorras
6	gºuhts
6	gulleja
6	ikweens
6	isdohtees
6	Jaúchu
6	jaunaku
6	jaw
6	J§mae#ls
6	Juhs
6	Ka
6	ka^
6	kahda
6	kahda^
6	kahds
6	Kahjas
6	Kameeïi
6	Kameeïus
6	Kapehz
6	Íehniòi
6	klahjahs
6	klauúi
6	Kungam
6	Kur
6	lab
6	labba
6	Labbibas
6	Lauka
6	leen
6	Mahte
6	Maiúa^
6	Maiúu
6	ma§
6	Meeru
6	Meeúa
6	Mehnes
6	Me§opotamijas
6	mettehs
6	Nahz
6	Nauda
6	neús
6	nokawe
6	pahri
6	paklannijahs
6	pamette
6	patikke
6	Pawehleúchanu
6	Pulkeem
6	Putni
6	Raddu=Rak§ti
6	raibus
6	úahze
6	úawai
6	úazzidami
6	úazzihs
6	§emme^
6	Semmei
6	Sems
6	úeptita^
6	Sihme
6	Úihmeans
6	Siíema
6	Úudraba
6	Úwahrkus
6	tappa
6	tawa^s
6	tawo
6	Tew
