Vârdformu skaits:	3565
Vârdlietojumu skaits:	23524


1644	un
559	to
502	tad
406	tas
362	us
334	úazzija
326	no
326	tee
322	irr
309	ne
276	ta
261	pee
258	ka
236	wiò§ch
229	ar
217	bija
217	es
214	wiòòa
196	kas
196	teem
193	dahwids
192	sauls
191	bet
154	kad
149	jo
144	kungs
140	tew
139	tu
138	tam
128	nu
120	kunga
119	man
118	wiòòu
115	úawu
106	weenu
104	ko
104	tohs
102	eekúch
101	tahs
100	preekúch
99	samuels
96	ka`
92	par
91	prett
90	eúmu
90	weens
87	nahze
85	bij
85	pahr
80	buhs
80	ta`
76	ïaudis
72	i§rae#ïa
66	juhs
65	dahwidu
65	deewa
64	saula
62	gahje
62	pehz
60	raugi
57	ir
55	eúúi
55	lihd§
54	jonatans
54	wili§teºu
54	wiòòam
52	tur
50	tappe
49	mums
48	wiúúu
47	saulu
47	uhs
46	kungu
46	úchodeen
45	rohka^
44	mehs
44	wili§teºi
43	íehniòu
43	úaweem
43	tapehz
42	kungam
42	ïaudim
42	pakkaï
42	tohp
42	wihreem
41	jums
41	§tarp
40	atkaï
39	deena^
39	wihrs
38	mans
38	zehlehs
37	laid
37	tawa
36	ja
36	òehme
35	dehls
35	úcho
34	dahwida
34	dahwidam
34	eelus
33	wihri
33	zaur
32	likke
32	ïohti
32	tawu
32	wiúúi
31	arri
31	atbildeja
31	mann
31	teeúcham
30	deews
30	manna
30	tik
30	wehl
30	wili§teºeem
29	darrijs
29	semmes
29	1
28	kapehz
28	íehniò§ch
28	kur
28	rohkas
28	tai^
27	jelle
27	samuelu
27	saulam
26	diwi
26	lai
26	neds
25	dehlu
25	úawa^
25	úchíir§tu
25	tehwa
24	isgahje
24	preekúcha^
24	red§eja
24	úawas
23	buhtu
23	i§rae#lu
23	namma^
22	eúúam
22	eúúat
22	íehniòa
22	labbi
22	nahzis
22	puiúis
22	rohku
21	eij
21	i§rae&ïa
21	juhúu
21	kalpeem
21	mannu
21	palikke
21	úirds
21	úuhtija
21	tehws
21	wahrdus
21	wiúúeem
20	eet
20	leelu
20	muhúu
20	nahk
20	nogahje
20	tadehï
20	taws
20	wihru
20	zeïïu
19	dehli
19	jeb
19	manna^
19	pretti
19	red§
19	rohka
19	úeewas
19	wahrds
18	arrid§an
18	deewu
18	dewe
18	dohd
18	d§irdeja
18	úchis
18	wahrdu
17	azzim
17	pats
17	praweeúchu
17	runnaja
17	úawa
17	úchíir§ts
17	úeewa
17	wiòòas
16	atpakkaï
16	awis
16	deenas
16	d§ihwo
16	gars
16	i§rae#ls
16	kawe
16	noh§t
16	paúcha^
16	pilsúahta^
16	semmi
16	weena
15	balkúnei
15	behd§e
15	dehla
15	mai§es
15	neììi
15	samueïa
15	tahm
15	wairs
15	wedde
15	ween
15	weetu
15	wiúúus
14	bihjajahs
14	dewis
14	jonatanu
14	kamehr
14	kungú
14	manni
14	muhs
14	nammu
14	red§i
14	úazzidams
14	úchi
14	úchohs
14	úeewu
14	sohbinu
14	teekams
14	wihrus
14	wiús
13	apkahrt
13	darra
13	galwu
13	juhda
13	kalpi
13	kaººa^
13	labbu
13	ïaunu
13	leetu
13	lehìeri
13	nokaut
13	puiúi
13	§tahweja
13	tawa^
13	tewis
13	trihs
13	10
12	augúcham
12	behrni
12	darrija
12	eenaidneeku
12	gann
12	kahdu
12	kalps
12	íehniòam
12	ïau§chu
12	mannim
12	muh§cham
12	òemm
12	pa
12	puúúe^
12	úazzihts
12	úche
12	úchurp
