Vârdformu skaits:	3848
Vârdlietojumu skaits:	23795


1602	un
603	to
443	Un
414	ta
413	no
402	tee
367	tas
264	kas
263	bija
260	wiò§ch
257	teem
255	ar
251	us
243	wiòòa
223	ka
203	ne
199	irr
192	pee
186	tohs
175	KUNGA
158	bij
135	eekúch
133	wiòòu
132	tam
129	Juhda
128	tahs
127	ko
122	Íehniòu
119	par
117	jo
117	Íehniò§ch
114	J§rae#ïa
112	prett
109	tappe
105	preekúch
104	úazzija
102	darrija
102	tad
101	Deewa
93	pahr
90	ka`
89	tu
86	pehz
82	KUNGS
81	arrid§an
80	Íehniòa
78	kad
76	Nammu
75	Namma
71	Bet
71	Ïaudis
70	es
70	Tad
70	weenu
68	Deews
63	buhs
63	Jeru§aleme^
63	wiúúu
59	Namma^
56	Dehls
56	nahze
56	nu
55	KUNGU
55	tew
51	bet
51	KUNGAM
51	úawu
50	ir
50	juhs
50	Salamans
50	Ta`
49	Gaddus
47	wiúúi
45	daud§
45	lihd§
45	úaweem
45	zaur
44	Semmes
42	Dahwida
42	eúúi
42	Jo
42	Ïaudim
42	wiòòam
41	Kad
41	ta`
40	Juhdu
39	Deewu
38	jums
36	dewe
36	Jeru§alemi
36	Weeta^
36	Wiò§ch
35	darrijs
35	eúmu
34	Dehlu
34	labbi
34	úawas
34	§tarp
34	weens
34	wehl
34	1
33	Jskijus
33	Lewiti
33	likke
33	Preekúcha^
33	tik
33	tohp
33	wiúúeem
32	atkaï
32	diwideúmits
32	J§rae&ïa
32	wiúúus
30	Behrneem
30	Pree§teºi
30	Rohkas
29	Jeru§alemes
29	úawa
29	tuhk§toúchus
29	waldija
28	Aúúus
27	úcho
27	Selta
27	tur
26	Jo§awats
26	Íehniòam
26	mums
26	raugi
26	úawus
26	Tehwu
26	wiúúas
25	diwi
25	Jr
25	tapehz
25	Weetas
24	juhúu
24	úimts
24	tawu
23	nokawe
23	Salamaòa
23	Úirds
23	§tahweja
23	úuhtija
23	Tehwa
23	Tehws
23	trihs
22	gahje
22	Leetahm
22	man
22	Rekabeams
22	wezz
21	Behrni
21	kamehr
21	leelu
21	Pree§teºeem
21	Rohka^
21	tahm
21	Tehweem
21	wiús
21	wiúúa
20	dewis
20	ittin
20	Jojadus
20	Laika^
20	muhúu
20	òehme
20	neúúe
20	Pilsúahtus
20	úawa^
20	Tehwo
20	ustaiúija
19	atpakkaï
19	Deena^
19	J§rae#lu
19	Ïau§chu
19	Leetas
19	neds
19	Tas
18	Deewam
18	kur
18	Pehz
18	pretti
17	Altari
17	Amazijus
17	buhtu
17	darriht
17	Dehla
17	Derribu
17	deúmits
17	d§ihwoja
17	Gadda^
17	lai
17	Lewiteem
17	Manaúúus
17	mehs
17	pa
17	Rohku
17	Salamaòam
17	Seltu
17	tawa
17	tawas
16	Deenas
16	ïohti
16	Pilsúahto^s
16	runnaja
16	Wahrdu
16	wiúúahm
15	arri
15	eet
15	itt
15	Jo§ijus
15	Kalpeem
15	KUNgs
15	tai^
15	Tapehz
15	uppureja
15	wairak
14	Bruòòas
14	Egiptes
14	Elka
14	isgahje
14	patt
14	peezus
14	runnajs
14	Úeewas
14	taweem
14	tuhk§toúchi
14	Wahrda
14	Wahrds
14	Wahrtim
14	Wehrúchus
13	aprakke
13	Dahwids
13	Ded§amo=Uppuºus
13	manni
13	Padohmu
13	Pree§teris
13	rak§tihts
13	Rihkus
13	úakka
13	Waldiúchanas
13	Wal§tibu
13	Weetu
13	Zeetuma^
13	zehlahs
13	zehlehs
12	Darbu
12	Debbeúim
12	Dehli
12	eezehle
12	gree§ahs
12	jeb
12	Jo§awatu
12	kawe
12	mannas
12	nahk
12	Ohlektis
12	patikke
12	Pree§teºu
12	Pulka^
12	úapulzinaja
12	úawahm
12	úawo
12	Úchíir§tu
12	Semme^
12	taws
12	Teeúu
12	weena
12	Wehl
12	wiòòas
12	Zeïïeem
11	atleek
11	atra§ti
11	Abijus
11	Brahïeem
11	Dahwidam
11	eúúat
11	Grahmata^
11	ikkatrs
11	klauúi
11	labbu
11	Luhgúchanu
11	mannu
11	mans
11	Mantas
11	Nams
11	red§eja
11	úahze
11	úazziht
11	úazzijs
11	úchi
11	úchinni^
11	Semmi
11	úwehtas
11	Tatúchu
11	Wahrdam
11	warreja
11	wiòòeem
10	aismigge
10	apkahrt
10	Akas
10	Awis
10	Bauúlibas
10	Behrnu
10	Bildes
10	Dehleem
10	iswehlejs
10	ja
10	Jerobeams
10	Kaººa^
10	Kas
10	leela
10	leela^
10	lizzis
10	mannam
10	Meeru
10	mekleht
10	Moh§us
10	muh§chigi
10	Nu
10	paúchu
10	pats
10	Pilsúahteem
10	preekúchturramas
10	úeúchúimts
10	Úirdi
10	Úudraba
10	tai
10	tawam
10	tawi
10	teekams
10	Trummetehm
10	turreja
10	UN
10	U§ijus
10	Wahrdeem
10	Wahrdus
10	Wal§tibas
10	wedde
10	ween
10	wiúsapkahrt
10	14
10	2
10	3
10	5
10	9
9	atneúúe
9	at§tahjuúchi
9	Akaba
9	Altaºus
9	Aúúirijas
9	Aug§tumus
9	Benjamiòa
9	buht
9	dehï
9	Dehlus
9	Draud§iba
9	d§ihwo
9	Es
9	Joas
9	Juhºu
9	kam
9	Lewitus
9	Mahtei
9	Mehneúi^
9	nomirre
9	pakkaï
9	pawehleja
9	pawehlejs
9	Praweeta
9	Raugi
9	Rihkeem
9	úchodeen
9	§taigaja
9	taptu
9	tawa^
9	tewi
9	Tohp
9	Waigu
9	Waººa
9	Wihri
9	Wihrs
9	12
9	16
9	4
9	6
8	Aka§ijus
8	Akmiòeem
8	A§arijus
8	Atalija
8	Azzis
8	Bahr§iba
8	bijis
8	Dahwidu
8	Darba
8	Darbs
8	darrijúchi
8	Deeweem
8	diwiúimts
8	Eed§ihwotajeem
8	eúúam
8	Gileadas
8	J§raeïa
8	kahds
8	Kalpi
8	Kaººa
8	Leeli=Kungi
8	mannim
8	Meita
8	mekleja
8	Me§chus
8	nogahje
8	pahrwilke
8	pa§emmojahs
8	peezdeúmits
8	Pilsúahta
8	Pilsúahtu
8	Pree§teºus
8	Ratteem
8	úazzidams
8	úeptiòas
8	úewim
8	Úudrabu
8	Ta
8	tadehï
8	tai`
8	taps
8	trihsdeúmits
8	tuhk§toúcheem
8	turreht
8	warrens
8	wiúúa^
8	wiúúai
8	wiúúo^s
8	10
8	20
8	7
7	appakúch
7	a§toòdeúmits
7	atkahpe
7	atwedde
7	augúchu
7	Aúúini
7	Babeli
7	Derribas
7	Drehbes
7	d§irdeja
7	Eewra&ima
7	Grahmatu
7	Jerobeamu
7	Joramu
7	Jo§awata
7	J§rae&lu
7	Kahrtahm
7	Kaººa=Wihrus
7	KUNga
7	labbo
7	laid
7	Mikkus
7	Mohºu
7	nahkuúchi
7	Naudu
7	Ohlekúchu
7	ohtra^
7	Pagalmja
7	palihd§eja
7	pamette
7	Paúúa=Úwehtkus
7	pehdejas
7	Pilli^
7	pirmas
7	Praweets
7	preezajahs
7	úchee
7	Sihrijas
7	Úirdi^
7	Tehwi
7	teize
7	uhs
7	Urams
7	ustaiúijs
7	warr
7	Wirúneeku
7	Wirúneekus
7	zittus
7	11
7	17
7	18
6	aiswedde
6	atòehme
6	Aa&roòa
6	Ahwer§teem
6	Ar
6	Behrnus
6	bes
6	Brahïi
6	Dahwanas
6	Debbes
6	diwipadeúmits
6	doht
6	Draud§e
6	Durwis
6	Duúmiba
6	Eed§ihwotajus
6	Eeleija^
6	gann
6	Grahmatas
6	Grehkus
6	Gudribu
6	Jlkijus
6	Joaúu
6	Jorams
6	Jrr
6	Kalnu
6	Kalpoúchanu
6	Kalps
6	Kaººa=Spehks
6	Íehniòeem
6	klauúija
6	kïua
6	Kohkus
6	Krehúlu
6	kreiúo
6	labs
6	Laiwas
6	leelas
6	Lewitu
6	lihd§inati
6	manna
6	manna^
6	Meitu
6	Muhri
6	newaid
6	nolau§ija
6	pabeigts
6	paleek
6	pattike
6	peederreja
6	peeluhd§e
6	pirma^
6	Rahmotu
6	Úa=eeúchanas
6	Saneribs
6	úawam
6	Schehla§tiba
6	Sihreºu
6	úlaweht
6	Sohbinu
6	§tipri
6	§tiprus
6	úwehtija
6	Úwehtko^s
6	Úwehtkus
6	úwehtu
6	Tadehï
6	Tee
6	Tehwam
6	treúcha^
6	túchetrúimts
6	Uppuºus
6	warreni
6	Wihru
6	zitteem
6	13
6	8
5	ap§tiprinaja
5	atbildeja
5	atgree§iúees
5	atradde
5	atra§ta
5	Ammoòa
5	Amons
5	Aúúireºu
5	besdeewigs
5	darri
5	Ded§amo=Uppuºeem
5	Ded§amo=Uppuri
5	deewabihjigs
5	Deewi
5	Eed§ihwotaji
5	Eenaidneekeem
5	Eewraima
5	eezelts
5	Eïjes
5	Gaddu
5	Gars
5	Gohdiba
5	Gohdu
5	Grehkeem
5	gribbu
5	gºuhtu
5	ik
5	isglahbt
5	Jehrus
5	jelle
5	jepúchu
5	Jo§iju
5	Jotams
5	Jskiju
5	J§rae#ls
5	Juhgu
5	juhúeem
5	Ka
5	Kahrtas
5	Kalneem
5	Kalpam
5	kalpoht
5	kalpoja
5	Kalpus
5	kaººoht
5	Kaººu
5	Kaºúch
5	Íehniòi
5	Klauúajt
5	Korus
5	kwehpinaht
5	Laika
5	Laupijuma
5	Laupijumu
5	leek
5	Leeleem=Kungeem
5	leels
5	Leelu=Kungu
5	Leeta
5	Lihbanu
5	Mai§u
5	mann
5	Meitas
5	Neììi
5	ne§t
5	nokawuúchi
5	nomirris
5	ohtru
5	paklannijahs
5	paúchi
5	Paúúa
5	Paúúa=
5	pataiúija
5	Pawehleúchanas
5	peedohd
5	peeluhgs
5	peezas
5	Pilsúahta^
5	Prahtu
5	Praweeúchu
5	Preeku
5	Pulkeem
5	Pulks
5	rak§titas
5	rak§titi
5	Rattu
5	Rekabeama
5	Rekabeamu
5	Sabas
5	Salamanu
5	Samariju
5	úazzidami
5	úcheem
5	Úchíehpus
5	Úchíir§ta
5	úchohs
5	§elta
5	Semajus
5	úeptiò
5	úeptiòdeúmits
5	úeptiòus
5	úeúchdeúmits
5	úeúchpadeúmits
5	Sihreºeem
5	Úirdi`
5	úlazzinaja
5	Spehka
5	Spehks
5	Spehku
5	§pittaligs
5	Stabbus
5	Stah§teem
5	§tahw
5	§tiprinajahs
5	úwehtijs
5	tahdu
5	Telts
5	tuhk§toúchas
5	turrejahs
5	Uppes
5	uppureht
5	Wakti
5	Wihrus
5	wirs
5	Wirúneekeem
5	Zeïïu
5	Ziltim
4	agri
4	ak
4	apòehmees
4	ap§kaitahs
4	atnahze
4	atra§ts
4	at§tahj
4	at§tahje
4	augúcham
4	Abiju
4	Ahwer§ti
4	Ak
4	Akabu
4	Akmiòus
4	Aúúawa
4	Aug§tumeem
4	Ba&a&lim
4	Baggatibas
4	Balúi
4	Bauúliba^
4	Bauúlibu
4	Behdahm
4	behd§e
4	Brahïus
4	Bruòòahm
4	dabbu
4	dahrgus
4	Darba^
4	darriúchu
4	Deewus
4	Dehlam
4	Draud§ibas
4	drih§i
4	drohúchu
4	d§ihwoht
4	Dwehúeles
4	ee=eet
4	Eedomiteºi
4	Eekúchpuúúe^
4	Eenaidneeku
4	ee§tahdija
4	Egiptes=Semmes
4	iseet
4	Jehru
4	Jo§awatam
4	Juhºa
4	Kahrta^
4	Kalna
4	Kalpu
4	Kapehz
4	Kaººa=Spehku
4	Kaººa=Wihri
4	kaººo
4	kaººoja
4	Kauúchana^
4	Íehniòinne
4	klaht
4	Ko
4	Kohkeem
4	KUNgu
4	Kwehpja=Sahles
4	labba
4	labbas
4	Lakiúu
4	Lihbanus
4	likt
4	luhd§e
4	luhgs
4	mannus
4	Mantu
4	Mehnes
4	Me§cha
4	Mir§t
4	mohzija
4	Mutti
4	nahzis
4	Nakti^
4	Nammam
4	Nammeem
4	Neebata
4	Negantibas
4	neraud§etu
4	neweúúels
4	nomir§t
4	nomirt
4	noteek
4	notikke
4	nowedde
4	nozirte
4	Ohlektim
4	ohtra
4	pabeid§e
4	padarriht
4	Pagaòu
4	paúcha
4	Pawehleúchanu
4	peeúauks
4	Peetizzibu
4	peezahm
4	Pils
4	Pree§teºa
4	Pree§teri
4	puhte
4	Pulku
4	Red§etaja
4	Runnaúchanas
