Vârdformu skaits:	3672
Vârdlietojumu skaits:	23795


2055	un
607	to
422	ta
416	no
408	tee
386	tas
297	wiò§ch
274	kas
263	bija
261	ar
258	teem
254	us
245	wiòòa
228	ka
205	irr
205	ne
193	pee
187	tohs
185	kunga
174	tad
159	bij
159	jo
137	eekúch
133	tam
133	wiòòu
131	ko
130	tahs
129	juhda
123	bet
122	kad
122	íehniòu
120	par
117	íehniò§ch
115	i§rae#ïa
112	prett
110	tappe
107	pehz
107	preekúch
104	úazzija
102	darrija
101	deewa
98	kungs
93	pahr
91	ka`
91	ta`
91	tu
81	arrid§an
80	íehniòa
79	es
76	nammu
75	ir
75	namma
71	ïaudis
71	weenu
68	deews
66	nu
64	buhs
63	jeru§aleme^
63	wiúúu
60	kungu
59	namma^
59	tew
57	dehls
56	nahze
53	juhs
52	kungam
51	úawu
50	salamans
49	gaddus
48	wiúúi
47	zaur
46	lihd§
46	wehl
45	daud§
45	úaweem
44	semmes
43	eúúi
43	wiòòam
42	dahwida
42	ïaudim
42	tohp
40	juhdu
40	jums
40	tapehz
39	deewu
36	dewe
36	jeru§alemi
36	weeta^
35	darrijs
35	diwideúmits
35	eúmu
35	raugi
34	dehlu
34	labbi
34	úawas
34	§tarp
34	tik
34	weens
34	1
33	iskijus
33	i§rae&ïa
33	lewiti
33	likke
33	preekúcha^
33	wiúúeem
33	wiúúus
32	atkaï
30	behrneem
30	pree§teºi
30	rohkas
29	jeru§alemes
29	úawa
29	tuhk§toúchus
29	waldija
28	aúúus
28	úcho
28	tur
27	selta
26	jo§awats
26	íehniòam
26	mums
26	úawus
26	tehwu
26	weetas
26	wiúúas
25	diwi
24	juhúu
24	úimts
24	tawu
23	kamehr
23	leetahm
23	nokawe
23	salamaòa
23	úirds
23	§tahweja
23	úuhtija
23	tehwa
23	tehws
23	trihs
22	gahje
22	leetas
22	man
22	rekabeams
22	wezz
22	wiús
21	behrni
21	ittin
21	leelu
21	pree§teºeem
21	rohka^
21	tahm
21	tehweem
21	wiúúa
20	dewis
20	jojadus
20	laika^
20	muhúu
20	òehme
20	neúúe
20	pilsúahtus
20	úawa^
20	tehwo
20	ustaiúija
19	atpakkaï
19	deena^
19	i§rae#lu
19	lai
19	ïau§chu
19	mehs
19	neds
19	pretti
18	amazijus
18	deewam
18	kur
18	manaúúus
17	altari
17	buhtu
17	darriht
17	dehla
17	derribu
17	deúmits
17	d§ihwoja
17	gadda^
17	lewiteem
17	pa
17	rohku
17	salamaòam
17	seltu
17	tawa
17	tawas
16	deenas
16	itt
16	ïohti
16	pilsúahto^s
16	runnaja
16	wahrdu
16	wiúúahm
15	arri
15	eet
15	jo§ijus
15	kalpeem
15	tai^
15	uppureja
15	wairak
14	bruòòas
14	egiptes
14	elka
14	isgahje
14	mans
14	patt
14	peezus
14	runnajs
14	úeewas
14	tadehï
14	tatúchu
14	taweem
14	taws
14	tuhk§toúchi
14	wahrda
14	wahrds
14	wahrtim
14	wehrúchus
13	aprakke
13	dahwids
13	ded§amo=uppuºus
13	manni
13	nahk
13	padohmu
13	pree§teris
13	rak§tihts
13	rihkus
13	úakka
13	waldiúchanas
13	wal§tibu
13	waººa
13	weetu
13	zeetuma^
13	zehlahs
13	zehlehs
12	darbu
12	debbeúim
12	dehli
12	eezehle
12	gree§ahs
12	ja
12	jeb
12	jo§awatu
12	kawe
12	klauúi
12	labbu
12	mannas
12	ohlektis
12	patikke
12	pree§teºu
12	pulka^
12	úapulzinaja
12	úawahm
12	úawo
12	úchi
12	úchinni^
12	úchíir§tu
12	semme^
12	teeúu
12	warreja
12	weena
12	wiòòas
12	zeïïeem
11	abijus
11	akas
11	atleek
11	atra§ti
11	brahïeem
11	dahwidam
11	eúúat
11	grahmata^
11	ikkatrs
11	luhgúchanu
11	mannu
11	mantas
11	nams
11	red§eja
11	úahze
11	úazziht
11	úazzijs
11	semmi
11	úudraba
11	úwehtas
11	wahrdam
11	wiòòeem
10	aismigge
10	apkahrt
10	awis
10	bauúlibas
10	behrnu
10	bildes
10	dehleem
10	iswehlejs
10	jerobeams
10	joas
10	kaººa^
10	leela
10	leela^
10	lizzis
10	mannam
10	meeru
10	mekleht
10	moh§us
10	muh§chigi
10	paúchu
10	pats
10	pilsúahteem
10	preekúchturramas
10	úeúchúimts
10	úirdi
10	tai
10	tawam
10	tawi
10	teekams
10	trummetehm
10	turreja
10	u§ijus
10	wahrdeem
10	wahrdus
10	wal§tibas
10	wedde
10	ween
10	wiúsapkahrt
10	14
10	2
10	3
10	5
10	9
9	akaba
9	altaºus
9	aúúirijas
9	atneúúe
9	at§tahjuúchi
9	aug§tumus
9	benjamiòa
9	buht
9	dehï
9	dehlus
9	draud§iba
9	d§ihwo
9	juhºu
9	kam
9	laid
9	lewitus
9	mahtei
9	mehneúi^
9	nomirre
9	pakkaï
9	pawehleja
9	pawehlejs
9	praweeta
9	rihkeem
9	úchodeen
9	§taigaja
9	taptu
9	tawa^
9	tewi
9	trihsdeúmits
9	waigu
9	wihri
9	wihrs
9	12
9	16
9	4
9	6
8	ak
8	aka§ijus
8	akmiòeem
8	a§arijus
8	atalija
8	azzis
8	bahr§iba
8	bes
8	bijis
8	dahwidu
8	darba
8	darbs
8	darrijúchi
8	deeweem
8	diwiúimts
8	eed§ihwotajeem
8	eúúam
8	gann
8	gileadas
8	i§raeïa
8	kahds
8	kalpi
8	kaººa
8	leeli=kungi
8	mannim
8	meita
8	mekleja
8	me§chus
8	nogahje
8	pahrwilke
8	pa§emmojahs
8	peezdeúmits
8	pilsúahta
8	pilsúahtu
8	pree§teºus
8	ratteem
8	úazzidams
8	úchee
8	úeptiòas
8	úewim
8	úudrabu
8	tai`
8	taps
8	tuhk§toúcheem
8	turreht
8	warrens
8	wiúúa^
8	wiúúai
8	wiúúo^s
8	10
8	20
8	7
7	appakúch
7	aúúini
7	a§toòdeúmits
7	atkahpe
7	atwedde
7	augúchu
7	babeli
7	derribas
7	drehbes
7	d§irdeja
7	eewra&ima
7	grahmatu
7	i§rae&lu
7	jerobeamu
7	joramu
7	jo§awata
7	kahrtahm
7	kapehz
7	kaººa=wihrus
7	klauúajt
7	labbo
7	mikkus
7	mohºu
7	nahkuúchi
7	naudu
7	nolau§ija
7	ohlekúchu
7	ohtra^
7	pagalmja
7	palihd§eja
7	pamette
7	paúúa=úwehtkus
7	pehdejas
7	pilli^
7	pirmas
7	praweets
7	preezajahs
7	sihrijas
7	úirdi^
7	tanni^
7	teeúa
7	tehwi
7	teize
7	treúcha^
7	uhs
7	urams
7	ustaiúijs
7	warr
7	wirúneeku
7	wirúneekus
7	zittus
7	11
7	17
7	18
6	aa&roòa
6	ahwer§teem
6	aiswedde
6	atòehme
6	behrnus
6	brahïi
6	dahwanas
6	debbes
6	diwipadeúmits
6	doht
6	draud§e
6	durwis
6	duúmiba
6	eed§ihwotajus
6	eeleija^
6	grahmatas
6	grehkus
6	gudribu
6	ilkijus
6	jepúchu
6	joaúu
6	jorams
6	jotams
6	kalnu
6	kalpoúchanu
6	kalps
6	kaººa=spehks
6	kaººo
6	íehniòeem
6	klauúija
6	kïua
6	kohkus
6	krehúlu
6	kreiúo
6	labs
6	laiwas
6	leek
6	leelas
6	leels
6	leeta
6	lewitu
6	lihd§inati
6	manna
6	manna^
6	meitu
6	muhri
6	neììi
6	newaid
6	nomir§t
6	pabeigts
6	paleek
6	pamahza
6	pattike
6	peederreja
6	peeluhd§e
6	pirma^
6	prahtu
6	rahmotu
6	úa=eeúchanas
6	saneribs
6	úawam
6	úcheem
6	schehla§tiba
6	úchis
6	úeúchpadeúmits
6	sihreºu
6	úlaweht
6	sohbinu
6	§tipri
6	§tiprus
6	úwehtija
6	úwehtko^s
6	úwehtkus
6	úwehtu
6	tehwam
6	tomehr
6	túchetrúimts
6	uppuºus
6	warreni
6	wihru
6	zitteem
6	13
6	8
5	ammoòa
5	amons
5	ap§tiprinaja
5	aúúireºu
5	a§tota^
5	atbildeja
5	atgree§iúees
5	atradde
5	atra§ta
5	besdeewigs
5	darri
5	ded§amo=uppuºeem
5	ded§amo=uppuri
5	deewabihjigs
5	deewi
5	eed§ihwotaji
5	eenaidneekeem
5	eewraima
5	eezelts
5	eïjes
5	gaddu
5	gars
5	gohdiba
5	gohdu
5	grehkeem
5	gribbu
5	gºuhtu
5	ik
5	isglahbt
5	iskiju
5	i§rae#ls
5	jehrus
5	jelle
5	jo§iju
5	juhgu
5	juhúeem
5	kahdu
5	kahrtas
5	kalneem
5	kalpam
5	kalpoht
5	kalpoja
5	kalpus
5	kaººoht
5	kaººu
5	kaºúch
5	íehniòi
5	korus
5	kuºúch
5	kwehpinaht
5	laika
5	ïaunu
5	laupijuma
5	laupijumu
5	leeleem=kungeem
5	leelu=kungu
5	lihbanu
5	mai§u
5	mann
5	meitas
5	mir§t
5	ne§t
5	neweúúels
5	nokawuúchi
5	nomirris
5	ohtru
5	paklannijahs
5	paúchi
5	paúúa
5	paúúa=
5	pataiúija
5	pawehleúchanas
5	peedohd
5	peeluhgs
5	peezas
5	pilsúahta^
5	praweeúchu
5	preeku
5	pulkeem
5	pulks
5	rak§titas
5	rak§titi
5	rattu
5	rekabeama
5	rekabeamu
5	sabas
5	salamanu
5	samariju
5	úazzidami
5	úchíehpus
5	úchíir§ta
5	úchohs
5	§elta
5	semajus
5	úeptiò
5	úeptiòdeúmits
5	úeptiòus
5	úeúchdeúmits
5	sihreºeem
5	úirdi`
5	úlazzinaja
5	spehka
5	spehks
5	spehku
5	§pittaligs
5	stabbus
5	stah§teem
5	§tahw
5	§tiprinajahs
5	úwehtijs
5	ta^
5	tahdu
5	telts
5	tuhk§toúchas
5	turrejahs
5	uppes
5	uppureht
5	wakti
5	wihrus
5	wirs
5	wirúneekeem
5	zeïïu
5	ziltim
4	abiju
4	agri
4	ahwer§ti
4	akabu
4	akmiòus
4	apòehmees
4	ap§kaitahs
4	aúúawa
4	a§toòus
4	atgree§chahs
4	atnahze
4	atra§ts
4	at§tahj
4	at§tahje
4	augúcham
4	aug§tumeem
4	ba&a&lim
4	baggatibas
4	balúi
4	bauúliba^
4	bauúlibu
4	behdahm
4	behd§e
4	brahïus
4	bruòòahm
4	dabbu
4	dahrgus
4	darba^
4	darrajt
4	darriúchu
4	deewus
4	dehlam
4	dohd
4	draud§ibas
4	drih§i
4	drohúchu
4	d§ihwoht
4	dwehúeles
4	ee=eet
4	eedomiteºi
4	eekúchpuúúe^
4	eenaidneeku
4	ee§tahdija
4	egiptes=semmes
4	eij
4	gribbi
4	iseet
4	jehru
4	jo§awatam
4	juhºa
4	kahda
4	kahrta^
4	kalna
4	kalpu
4	kaººa=spehku
4	kaººa=wihri
4	kaººoja
4	kauúchana^
4	íehniòinne
4	klaht
4	kohkeem
4	kwehpja=sahles
4	labba
4	labbas
4	lakiúu
4	lihbanus
4	likt
4	luhd§
4	luhd§e
4	luhgs
4	mannus
4	mantu
4	mehnes
4	me§cha
4	mohzija
4	mutti
4	nahkt
4	nahzis
4	nakti^
4	nammam
4	nammeem
4	neebata
4	negantibas
4	neraud§etu
4	nomirt
4	noteek
4	notikke
4	nowedde
4	nozirte
4	ohlektim
4	ohtra
4	pabeid§e
4	padarriht
4	pagaòu
4	palihd§
4	paúcha
4	pawehleúchanu
4	peeúauks
4	peetizzibu
4	peezahm
4	pils
4	pree§teºa
4	pree§teri
4	puhte
4	pulku
4	red§etaja
4	runna
4	runnaúchanas
4	úaded§inaja
4	sakarijus
4	úapulzejahs
4	úapulzejúchees
4	úchahs
4	seira
4	semmei
4	úew
4	si§aka
4	úneed§e
4	spehlehm
4	spihíeºu
4	§taigajs
4	§tipro^s
4	úwehta
4	taiúiht
4	talentus
4	tapt
4	tautu
4	tewim
4	tirus
4	trihsúimts
4	túchetrdeúmits
4	tukúneúi^
4	turòus
4	turreti
4	uppuºeem
4	ustaiúiht
4	waizaht
4	wal§tiba
4	warren
4	warretu
4	weena^
4	wili§teºeem
4	wirúu^
4	wiúúadahm
4	wiúúam
4	zeetumneekus
4	zittu
4	19
4	22
3	ahra
3	ahwer§tus
3	aka§iju
3	akmiòi
3	algumim
3	altaris
3	amaziju
3	amoza
3	ananus
3	apìehrbti
3	aprakts
3	a§ariju
3	aúúu
3	aúúum
3	atgree§e
