Vârdformu skaits:	4325
Vârdlietojumu skaits:	30620


2191	un
833	to
679	buhs
566	no
524	tas
460	ta
406	us
397	irr
377	tad
366	tew
363	tee
354	ar
352	ka
338	wiòòa
336	ne
310	pee
282	teem
279	tahs
267	wiò§ch
260	kungs
247	es
240	kas
222	tohs
209	úazzija
194	moh§us
179	tam
179	weenu
175	bija
154	preekúch
148	wiòòu
138	par
132	ko
130	bet
126	kad
125	ka`
125	ta`
122	jo
121	tu
119	jums
118	i§rae#ïa
114	arrid§an
110	ïaudis
105	pahr
103	darrija
101	bij
100	moh§u
98	warau#s
97	weens
91	buht
90	juhs
89	diwi
87	kunga
87	pehz
86	úawu
86	wiúúu
85	tohp
83	eekúch
81	taiúiht
80	deews
80	eúmu
79	prett
73	ïaudim
70	weena
69	itt
69	ja
67	kungam
66	man
62	tawu
60	deewa
58	nu
58	wiòòam
57	zaur
56	behrneem
53	jeb
53	tahm
52	lihd§
52	rohku
51	tur
49	selta
47	eúúi
47	§tarp
47	tappe
46	behrni
46	telts
44	semmes
43	deena^
43	lai
42	likke
42	neds
41	tapt
40	behrnu
40	darriht
39	mehs
38	altari
38	likt
38	moh§um
38	wiúúeem
38	wiúúus
37	wehl
36	kahjas
36	úawas
36	wiúúi
35	egiptes=semme^
35	egiptes=semmes
35	úa=eeúchanas
35	wiòòo
34	arri
34	ir
34	mums
34	runnaja
34	tapehz
34	waººa
33	aa&rons
33	d§ihwokïa
33	úcho
33	§elta
32	deenas
32	egipteºu
32	eh§t
32	gardines
32	kahrtis
32	preekúcha^
31	darbu
31	kalnu
31	kungu
31	warr
31	1
30	juhúu
30	nahze
29	drehbes
29	d§ihjahm
29	úirds
28	aa&ronu
28	i§rae&ïa
28	òehme
28	ohlektis
28	úwehtas
28	tawa^
27	appakúch
27	kahdu
27	kur
27	pagalma
27	rohkas
27	úaweem
27	seltu
26	òemt
26	tomehr
26	trihs
25	laid
25	úaúchíettinatahm
25	semmi
25	wiòòeem
24	aa&roòam
24	eij
24	ittin
24	kahjahm
24	úawahm
23	atkaï
23	daud§
23	dehlu
23	eewoda
23	egiptes=semmi
23	kam
23	ïau§chu
23	lohpeem
23	pa§illuma
23	pawehlejis
23	sittim=kohka
23	úudraba
23	telti
23	weetas
23	wiòòas
22	apúeggu
22	behrnus
22	diwideúmits
22	mann
22	red§
22	red§eja
22	tai
22	tawa
22	taweem
21	dehleem
21	eet
21	eúúus
21	galdeem
21	galdus
21	gaººums
21	ikweens
21	weenas
20	dahrga
20	doht
20	gahje
20	isgahje
20	isweddis
20	neúúamas
20	pakkaï
20	pretti
20	purpuºa
20	úarkanuma
20	uhdeni
20	wahrdu
20	wiúúas
19	apkahrt
19	egipteºeem
19	eúúat
19	mai§es
19	nahk
19	ohtra^
19	ohtru
19	pa
19	plattums
19	úawa
19	úchis
19	uhdens
19	wahrds
18	d§ihwokli
18	galdu
18	manna
18	mannu
18	ne§t
18	pawehlejs
18	peezdeúmits
18	rihkus
18	rohka^
18	úeewu
18	tik
17	deewu
17	kalna
17	lehìeri
17	úazziht
17	si§li
17	wahrdus
17	warau#
17	weena^
16	darri
16	deewam
16	juhúeem
16	mannus
16	mans
16	òemm
16	runna
16	úchee
16	úchi
16	úeptiò
16	úirdi
16	úmalkahm
16	úwehta
16	tai^
16	weenam
16	wiúúa^
16	wiúsapkahrt
16	zehlahs
15	atlai§t
15	augúcham
15	dehï
15	durwim
15	egiptes
15	iseet
15	muhs
15	peezas
15	puús
15	úakka
15	tawas
15	turreht
15	wairs
15	widdu^
14	aa&roòa
14	altaºa
14	deeweem
14	dehlus
14	gardinehm
14	kapehz
14	muhúu
14	ohlekúchu
14	puúúi
14	raugi
14	red§i
14	rihkeem
14	runnaht
14	úawus
14	taws
14	tihra
14	waigu
14	wiús
14	wiúúa
13	bijis
13	deúmits
13	dewis
13	dohúchu
13	egipteºi
13	grehkus
13	jetrus
13	kalpoht
13	kamehr
13	lizzis
13	lukturi
13	nokaut
13	pahrwilke
13	patt
13	úcheem
13	úchodeen
13	semme^
13	úeptita^
13	úimts
13	sina&i
13	warreja
13	ween
13	wirs
13	21
12	ap
12	aúúini
12	atneúúe
12	darba
12	darba^
12	galda
12	is
12	kahda
12	kalpeem
12	kruúúa
12	leetu
12	mai§i
12	mir§t
12	muh§cham
12	padebbes
12	prohjam
12	úakki
12	úalihd§inaúchanas=wahku
12	úawa^
12	úazzijis
12	úwehtu
12	tadehï
12	tawam
12	waiga
11	at§iht
11	aug§tums
11	azzim
11	darbs
11	dohd
11	eebree#ºu
11	eúúam
11	gred§enus
11	is§teepe
11	kahju
11	kalpu
11	lauka^
11	leetas
11	leezibas
11	ïohti
11	mahti
11	mehneúi^
11	ohtras
11	pehznahkameem
11	puúúe^
11	puúúes
11	rihtam
11	rihtu
11	runnajs
11	úchíir§tu
11	tehwu
11	tukúneúi^
11	ugguns
11	weenai
11	weeta^
11	wehrúi
11	zilwekeem
11	12
11	2
11	22
11	8
10	abbejo^s
10	ahra
10	apzeetinatees
10	atgree§ahs
10	azzi^s
10	darra
10	egipteºus
10	i§raeïa
10	kahúiúchus
10	kalpo
10	kerubim
10	krohni
10	kruhúchu=glihtuma
10	likúchu
10	nahkt
10	namma
10	neraud§etas
10	pahrwilkt
10	paúcha
10	pazelúchanas=uppuri
10	sahles
10	úauze
10	schehla§tibu
10	§tahweja
10	§tipru
10	úwaidiúchanas=eïji
10	taps
10	tawi
10	trihsdeúmits
10	ugguni
10	warau&s
10	warretu
10	zeïïu
10	zilpas
10	15
10	18
10	20
10	6
9	ak
9	aúúinim
9	atdoht
9	atlaid
9	awis
9	balkúni
9	buhúchu
9	buhtu
9	darriúchu
9	debbes
9	dehls
9	derribu
9	eewodu
9	eïji
9	gaddus
9	ikweenam
9	i§rae#ls
9	i§rae#lu
9	is§teep
9	jelle
9	juhºas
9	juhºu
9	laiku
9	luktuºa
9	mannas
9	meitu
9	nakti^
9	naudu
9	nokautam
9	ohlektim
9	ohtra
9	peederr
9	rihta^
9	riòíus
9	sarreem
9	úazzidams
9	úchahs
9	úchohs
9	semme
9	úewim
9	spehku
9	stabbus
9	úwehtiht
9	úwehtkus
9	tanni^
9	tawus
9	teekams
9	teeúas
9	trim
9	túchetrdeúmits
9	tuwu
9	uhs
9	uppe^
9	wahrdeem
9	warau#m
9	weetu
9	wihles
9	wihri
9	wiòòi
9	10
9	24
9	28
9	3
9	4
9	7
9	9
8	aa#rons
8	aizinaja
8	akmiòeem
8	bes
8	bihjajahs
8	bijuúchi
8	burwji
8	darrijis
8	darrijuúchi
8	eeded§inaht
8	eïjes=luktuºus
8	gaddi
8	galleem
8	gaïïu
8	galwu
8	gred§eneem
8	joh§tu
8	juhúas
8	kahúiúcheem
8	kalpoúchanu
8	íehniò§ch
8	labbi
8	leezibas=úchíir§tu
8	makúaht
8	manni
8	ohlekts
8	padohmu
8	paleek
8	pats
8	rohka
8	úahno^s
8	úalikta
8	sarri
8	úawam
8	úchim
8	stabbeem
8	úuhtijis
8	úwaidiht
8	úwehti
8	tehwozis
8	tewis
8	uppes
8	wahrda
8	widdu
8	wih§i
8	wirúu
8	zik
8	14
8	16
7	agri
7	apwilkt
7	atpleúch
7	atra§ts
7	aunu
7	behrno
7	darrihs
7	deewus
7	dehli
7	deííeem
7	derribas
7	dewe
7	diwipadeúmits
7	d§ert
7	d§irdeja
7	durwi^s
7	galla^
7	gallu
7	gred§eni
7	jaw
7	jehkaba
7	jepúchu
7	kahpt
7	kahrtim
7	klauúihs
7	klauúija
7	labbu
7	leelu
7	lewja
7	manneem
7	ma§gaúchanas
7	nammo^s
7	notikke
7	pawehï
7	pirma^
7	preekúchwelkamu
