Vârdformu skaits:	3429
Vârdlietojumu skaits:	19088


1038	un
428	to
380	tas
365	Un
304	no
296	us
256	úazzija
232	irr
230	ta
229	pee
204	ar
201	wiò§ch
194	ka
194	ne
184	Dahwids
167	bija
163	tee
163	wiòòa
159	kas
152	tad
151	Tad
150	es
136	teem
133	tu
126	Íehniò§ch
102	bij
102	pahr
91	man
90	ka`
89	par
87	tohs
83	Dehls
81	tew
80	nahze
78	Dahwida
76	wiòòu
75	preekúch
74	Íehniòa
72	úawu
71	KUNGS
71	Ïaudis
71	tam
70	ko
69	Íehniòu
68	kad
68	nu
67	Bet
66	tahs
65	weenu
63	gahje
60	weens
59	bet
56	Ab§aloms
56	buhs
56	eúúi
56	Joabs
56	J§rae#ïa
55	eúmu
54	pehz
54	wiúúi
53	Saula
52	prett
51	wiòòam
50	Kad
49	jo
49	mans
48	eekúch
43	Es
43	ta`
42	KUNGA
41	Dahwidam
41	wiúúu
39	Ïaudim
38	tawa
38	tur
37	tappe
36	Dahwidu
35	tohp
35	wehl
34	lihd§
34	Namma^
34	Nammu
34	taws
33	manna
33	Ta`
32	Jo
32	mannu
32	weena
32	Wihri
32	wiúúeem
30	zaur
29	arri
29	Kalps
29	pakkaï
28	Abners
28	Deewa
28	Kalpeem
27	Deews
27	Kungs
27	Semmes
27	úuhtija
26	arrid§an
26	Dehlu
26	Joaba
26	Namma
26	òehme
26	úawa
26	úcho
26	Tas
25	Ab§alomu
25	jelle
25	Íehniòam
25	úaweem
25	úchodeen
25	Úeewa
25	Wihrs
24	atkaï
24	atpakkaï
24	Dehla
24	Juhda
24	juhs
24	mann
24	úawa^
24	tawu
24	1
23	Kapehz
23	likke
23	ïohti
23	mums
22	eet
22	kawe
22	Rohkas
22	Rohku
22	tai^
21	Galwu
21	lai
21	mehs
21	§tarp
21	uhs
20	buhtu
20	isgahje
20	jeb
20	nogahje
20	nomirris
20	Preekúcha^
20	zehlehs
19	Deena^
19	Kalpi
19	manni
19	Raugi
19	úawas
19	tapehz
19	Tehwa
19	Wahrdu
18	diwi
18	Joabu
18	jums
18	Kunga
18	labbi
18	nomirre
18	red§eja
18	Weeta^
18	Wihreem
18	wiús
17	Ammoòa
17	ir
17	Kas
17	Úeewu
16	Ab§aloma
16	darrijs
16	Dehli
16	Eij
16	Jardanu
16	Jeru§alemi
16	kur
16	tahm
16	trihs
16	Wihru
15	apkahrt
15	Amnons
15	darrija
15	itt
15	KUNGAM
15	nahk
15	Pehz
15	UN
14	Eebrona^
14	J§rae#lu
14	Lai
14	Pilsúahtu
14	úchi
14	Úchíir§tu
14	tawas
14	wairak
14	wairs
14	Wiò§ch
14	Zerujas
14	Zihbus
13	Behrneem
13	Behrni
13	dewe
13	dewis
13	gribbeja
13	J§rae&ïa
13	Leetu
13	mannas
13	nahzis
13	Ne
13	neúúe
13	Rohka^
13	runnajs
13	Úeewas
13	Úirds
13	tawa^
13	U§ajus
13	Wahrds
13	Waigu
13	wiúúus
12	Ab§alomam
12	Behrnu
12	Brahlis
12	darra
12	Dehlam
12	d§ihwo
12	ikkatrs
12	ja
12	Jonatana
12	KUNgs
12	leelu
12	Nams
12	palikke
12	Pilsúahta
12	pretti
12	runnaja
12	Schehla§tibu
12	úew
12	teeúcham
12	Wihrus
11	atbildeja
11	Akitowels
11	behd§e
11	Behrns
11	Gaddus
11	Jeru§aleme^
11	Kalpa
11	kapehz
11	Kungu
11	KUNGU
11	Laid
11	mannim
11	Mewibo§ets
11	pa
11	paleek
11	pats
11	Pilsúahta^
11	úazzidams
11	tewis
11	Tu
11	Urijas
11	ween
11	Wili§teºeem
10	appakúch
10	Azzim
10	Benjamiòa
10	Brahïa
10	buht
10	darri
