Vârdformu skaits:	1283
Vârdlietojumu skaits:	3942


226	un
114	tas
104	to
92	kungs
80	no
77	es
66	ne
56	kas
51	irr
48	ka
48	ta
47	úakka
44	tee
43	ar
39	juhs
31	tohs
30	teem
29	eekúch
29	ka`
29	weenu
27	par
26	pee
25	jo
25	uhs
24	i§rae#ïa
24	semmes
23	ta`
22	tad
22	tahs
21	us
21	wiòòa
19	buhs
19	prett
19	taps
18	bet
18	ko
17	wiò§ch
16	pahr
16	tapehz
16	weens
15	deews
15	jeb
15	úawu
15	wiòòu
15	zaur
14	eúmu
14	jums
13	kad
13	tadehï
12	man
12	úawas
12	úazzija
11	bija
11	weena
10	dehï
10	ir
10	kunga
10	namma
10	pahrkahpúchanu
9	eúúat
9	nammus
9	neds
9	pehz
9	red§i
9	tam
9	tatúchu
9	ugguni
9	zebaot
9	1
8	amos
8	darra
8	deena^
8	gribbu
8	juhúu
8	nowehr§iúchu
8	§kai§tus
8	tohp
7	aprihs
7	arrig
7	itt
7	jepúchu
7	juhda
7	nammu
7	semmi
7	úuhtiúchu
7	túchetro
7	tur
7	wahrdu
6	ak
6	behrni
6	juhúus
6	íehniòa
6	leetu
6	lihd§
6	mannim
6	mehs
6	neììi
6	úcho
6	§tarp
6	wairs
6	wiòòas
6	wiúúi
5	atgree§uúchees
5	daud§
5	juhúeem
5	klauúajt
5	kur
5	ïau§chu
5	lauwa
5	pahri
5	preekúch
5	raugi
5	samarijas
5	tu
5	turrenes
5	uppe
5	wahrds
5	wihnu
5	wiòòo
4	arrid§an
4	atkaï
4	beteles
4	deenas
4	diwi
4	d§ihwo
4	ees
4	grehkeem
4	irraid
4	jehkaba
4	juhºas
4	juhúas
4	krittihs
4	ïaudim
4	ïaudis
4	leelu
4	likke
4	likúchu
4	mehra=aukli
4	meklejeet
4	muhri
4	nahk
4	namma^
4	neweens
4	nomirs
4	notiks
4	pilsúahtu
4	red§eht
4	úazziju
4	úchahdu
4	semme
4	úluddina
4	sohbinu
4	tai^
4	teeúcham
4	trejo
4	treju
4	uhdeni
4	waj
4	warrehs
4	weenas
4	widdu^
4	wiúúu
4	wiúúus
4	11
4	6
3	augïeem
3	augïus
3	dama§kus
3	deena
3	deena^s
3	deenu
3	d§irdeht
3	eedoma
3	egiptes
3	egiptes=semmes
3	gaddus
3	gals
3	isbehgs
3	isdeldeúchu
3	i§rae#lu
3	i§raeïa
3	isweddis
3	ja
3	jah§epa
3	kahda^
3	kam
3	kïuht
3	labbu
3	ïaunu
3	manneem
3	nahks
3	nammi
3	nammo^s
3	nams
3	naudu
3	neneeka
3	nu
3	pawehleúchu
3	peemekleúchu
3	pilsúahta^
3	praweeúcheem
3	praweeta
3	preekúcha^
3	red§
3	rohbe§chas
3	runna
3	úakkajt
3	úazzihs
3	úluddinaht
3	sohbiòa
3	starpa^
3	§wehrejs
3	teeúu
3	tew
3	tik
3	turr
3	uppuºus
3	waijad§igus
3	wairak
3	wal§tibas
3	warr
3	waúúaras
3	ween
3	wehl
3	wiòòeem
3	wiòòus
3	wirúu
3	wiúúa^s
3	wiúúai
3	zeetuma^
3	12
3	2
3	4
3	9
2	ahmatu
2	aisweúchanu
2	aiswe§ts
2	altaºa
2	amazijus
2	amoúa
2	apkahrt
2	apúlehptohs
2	atgreeúchanu
2	attals
2	aug§to^s
2	aug§tums
2	baddu
2	balkúni
2	beteli
2	biju
2	bohja^
2	bohja^=eeúchana
2	darriht
2	debbeúi^s
2	deewa
2	deúmits
2	dewis
2	dohdeet
2	draudeúchana
2	d§eeúmas
2	d§eeúmu
2	d§eºº
2	d§ihwojeet
2	d§ihwokli
2	dwehúeli
2	eedomam
2	eed§ihwotaji
2	eed§ihwotajus
2	eenih§tu
2	eet
2	eij
2	eita
2	gabbals
2	gabbalu
2	gaiúma
2	gan
2	gannama
2	gazas
2	gilgalu
2	grehku
2	gribbeja
2	is
2	iseet
2	isglahbúees
2	i§rae&l
2	jauns
2	jehkabs
2	jelle
2	jerobeama
2	jeru§alemes
2	juhúo
2	kahdu
2	kalneem
2	kalni
2	kalnu
2	kaulus
2	kluúúu
2	kungam
2	kungu
2	kurpju
2	kuººeem
2	labbibas
2	labbibu
2	labs
2	lai§chat
2	ïaunums
2	leelaka
2	leelus
2	leetas
2	leetus
2	liht
2	likku
2	mai§es
2	manno
2	mannu
2	mannus
2	ma§
2	ma§aku
2	moaba
2	mums
2	nabbagu
2	nabbagus
2	nahzeet
2	neúúeet
2	newa
2	nogah§ihs
2	nokauúchu
2	nome§tas
2	noúihk
2	no§paida
2	pa
2	pagaòeem
2	pahrwehr§ch
2	parahdijs
2	parahdiúchanu
2	parahdita
2	pa§tahweht
2	paturrehs
2	plaiúumeem
2	prahts
2	praweetam
2	pulka
2	sahli
2	úakkat
2	úauz
2	úawa
2	úawahm
2	úaweem
2	schehloúchana
2	§chel
2	úchurp
2	semme^
2	úewiúchíi
2	úimts
2	úitt
2	stiprumu
2	úwehtkus
2	szepteri
2	tahïu
2	tahm
2	tai
2	tai`
2	tapúeet
2	tawa
2	tawi
2	tawo
2	taws
2	teeúa
2	tekoas
2	tewis
2	tezzehs
2	tirus
2	tomehr
2	trihs
2	túchetrdeúmits
2	tukúneúi^
2	tumúiba
2	uszelúchu
2	wahrdus
2	wahrtim
2	warram
2	warrenajs
2	weetas
2	wehrmelehm
2	weúchus
2	widdu
2	widdus
2	wihna=dahr§us
2	wili§teºeem
2	wiúúahm
2	wiúúeem
2	zelúees
2	zianas
2	zittus
2	13
2	14
2	3
2	8
1	abbejahm
1	aisbehgs
1	aiskaºº
1	aismir§t
1	aisúchaujamo
1	ais§kreen
1	aisturrejs
1	aisweddiúchu
1	aiswedduúchi
1	aiswe§t
1	aiswe§ta
1	aiswe§teem
1	aiswe§ti
1	akmiòeem
1	akmiòu
1	allas
1	altari
1	altaºus
1	amaziju
1	amazijum
1	ammoòa
1	ammonu
1	amoriteri
1	amoriteºu
1	amoúu
1	apbehdinajat
1	apehd
1	apgah§e
1	apgah§is
1	apìeibs
1	apgulúees
1	apíihletahm
1	aplihts
1	apmettahs
1	appakúcha^
1	appakúchas
1	apraktohs
1	aprihje
1	apriht
1	ap§chehloúees
1	ap§kaiúchanu
1	aptaiúiúchu
1	aptumúcho
1	aptumúoúchu
1	armonu
1	arrajs
1	arraju
1	arrt
1	a§ae#ïa
1	asdoda
1	a§doda
1	a§kalonu
1	aúúeem
1	atbildeja
1	atdarriht
1	atgree§iúchu
1	atjemm
1	atleek
1	atlikkuúchee
1	atlikkuúcheem
1	atlizzinati
1	atmett
1	atmettu
1	atmettuúchi
1	atraús
1	at§innis
1	atúleetohs
1	at§tahta
1	atweddihs
1	atweddiúchu
1	aug
1	augh§tumi
1	augúcham
1	augúchenes
1	aug§tumeem
1	aukeem
1	aukli
1	auúchu
1	auúekli
1	awen
1	azzi
1	azzim
1	azzis
1	badda
1	bahr§iba^
1	ba§unehts
1	ba§unes
1	ba§unu
1	bauúlibu
1	behda
1	behdajahs
1	behdaúchanas
1	behdaúchanu
1	behdaúees
1	behdatees
1	behdatohs
1	behdigo
1	behdigus
1	behg
1	behgtu
1	behrneem
1	behrnu
1	benadada
1	ber§ebas
1	ber§ebu
1	betele
1	bihtees
1	bij
1	bijaht
1	bijat
1	bildes
1	bïauúchanu
1	bohja
1	bozras
1	brahïeem
1	brahli
1	breeúmigi
1	brehkúchanas
1	buhdu
1	bullu
1	dabbuja
1	dabbujúchi
1	dahr§o^s
1	dahr§us
1	dahwida
1	dahwids
1	dama§ku
1	danna
1	darbus
1	darram
1	darridamees
1	darrihs
1	darrihts
1	darrijúchi
1	darriúchu
1	ded§amo=uppuºus
1	ded§inajs
1	deenahm
1	deewam
1	deewu
1	dehla
1	dehleem
1	dehli
1	dehls
1	dehlu
1	deh§tihs
1	deh§tiúchu
1	derribu
1	deúmitus
1	dibbina^
1	di§chanus
1	dohd
1	dohma^s
1	drebbetu
1	drehbehm
1	drohúchi
1	d§eed
1	d§el§es
1	d§eººam
1	d§ers
1	d§erúeet
1	d§ert
1	d§ertu
1	d§ihúchohs
1	d§ihta
1	d§ihwohs
1	d§ihwoht
1	d§ihwojat
1	d§ihwoúeet
1	d§iïïumu
1	d§iúúinaht
1	dumpi
1	dumpju=darritajs
1	dwehúeles
1	eeded§inaúchu
1	eedomu
1	eed§elt
1	eed§eltu
1	eed§imtu
1	eekriht
1	eela^s
1	eeleijas
1	eemanto
1	eemantoht
1	eenahkuúcheem
1	eenaidneeks
1	eenaidneeku
1	eenih§t
1	eenih§teet
1	eepu
1	eeraddums
1	eerihjat
1	eeúahkuma
1	eeúchanu
1	eeúchu
1	ee§pehj
1	eetu
1	eezehlis
1	eezelleet
1	egiptes=semme^
1	ehd
1	ehdamo=uppuºeem
1	ehdamo=uppuºus
