Vârdformu skaits:	620
Vârdlietojumu skaits:	1405
	
	
80	un
33	irr
31	ta
28	es
27	to
24	tas
23	ne
21	wiòòu
20	kas
20	tee
18	kunga
18	no
17	ar
16	tohs
15	teem
14	kungs
13	jo
12	par
12	weena
11	buhs
11	prett
11	tahs
11	taps
10	deena
10	ka
10	ka`
10	weenu
10	wiò§ch
9	deena^
8	juhs
8	tai^
7	pahr
7	tu
7	zaur
6	ïaudis
6	úakka
6	semmes
6	wiòòa
5	bahr§ibas
5	bet
5	eekúch
5	kungu
5	pee
5	preekúch
5	uhs
5	widdu^
5	wiúúeem
5	wiúúus
4	deews
4	dehla
4	eúmu
4	ir
4	kad
4	ïaudim
4	neweens
4	pirms
4	úawu
4	úchahs
4	tur
4	us
4	weetu
4	wiòòo
4	wiúúi
3	1
3	2
3	atòemúchu
3	balkúne
3	d§ihwo
3	darrihs
3	dehï
3	jeru§alemi
3	jums
3	ko
3	laika^
3	manna
3	mannu
3	meklejeet
3	nahk
3	padarra
3	peemekleúchu
3	poh§tu
3	rohku
3	úapulzinaúchu
3	úawas
3	úchi
3	semme
3	tad
3	tawa^
3	teeúcham
3	tewim
3	tik
3	wahrdu
3	wairs
3	wiúúu
3	zilwekus
2	4
2	§wehre
2	ak
2	apgulúees
2	aprihta
2	baala
2	bija
2	debbes
2	deewa
2	duúmibas
2	eed§ihwotajeem
2	eed§ihwotaji
2	eet
2	eezelúchu
2	gaºº
2	i§rae#ïa
2	isdeldeúchu
2	jagaida
2	jeru§alemes
2	juhda
2	juhºu
2	kar§tuma
2	kauna^
2	íehniòa
2	kluúúu
2	leela
2	leelijúchees
2	lihd§
2	manni
2	mannis
2	mehdijúchi
2	meita
2	mohºu
2	neds
2	netaiúnibu
2	pagaòu
2	pagaòus
2	pahrmahziúchanu
2	peeluhd§
2	pehz
2	poh§titi
2	preezaúees
2	úawus
2	úchis
2	úlawu
2	ta`
2	tadehï
2	tahm
2	tai
2	tam
2	tapúeet
2	tawu
2	tawus
2	teeúa
2	teeúu
2	teikúchanu
2	tuwu
2	ugguni
2	wahrds
2	wahrtim
2	waj
2	weens
2	weetas
2	wiòòeem
2	wiúúa
2	wiúúas
2	zebaot
2	zeetumu
1	7
1	9
1	10
1	11
1	15
1	18
1	§tarp
1	§teid§ahs
1	§tipreem
1	§tiprs
1	a§doda
1	a§kalona
1	a§kalons
1	agri
1	ahtri
1	aisd§ihta
1	aiseet
1	akkahm
1	akleem
1	amarijus
1	ammon
