Vârdformu skaits:	900
Vârdlietojumu skaits:	2419
	
	
120	irr
77	un
60	ka`
53	es
42	kas
41	no
38	ar
32	manna
29	to
29	wiòòa
26	ta
25	mans
25	tu
24	tas
22	draugs
20	ne
19	pee
19	tee
18	tahs
17	eúmu
17	juhs
17	tawas
17	weena
17	wiòòu
16	§tarp
16	ka
15	manni
15	us
14	eúúi
14	mann
14	taws
13	man
13	teem
12	mannas
12	tewi
12	wiò§ch
11	mannu
10	jo
10	ko
10	tahm
10	tawi
9	bet
9	draud§ene
9	mehs
9	tad
8	§kai§ta
8	azzis
8	meitas
8	tawa
8	tawu
8	uhs
7	dwehúele
7	itt
7	jeru§alemes
7	lihbanus
7	mihle
7	ta`
7	weens
6	bruhte
6	diwi
6	eekúch
6	kruhtis
6	mahúa
6	nahz
6	neka`
6	tew
5	atgree§ees
5	kad
5	kamehr
5	íehniò§ch
5	kur
5	mahtes
5	mihle§tibas
5	mirres
5	muhúu
5	par
5	raugi
5	rohka
5	úawu
5	úudraba
5	tohp
5	zaur
4	apkahrt
4	appakúch
4	atraddu
4	balús
4	d§emdejúi
4	draugam
4	ja
4	luhpas
4	mannam
4	mekleju
4	mihïa
4	neds
4	peederr
4	preekúch
4	prett
4	pulks
4	red§i
4	sahlehm
4	úawas
4	selta
4	úmarúcha
4	tawahm
4	tik
4	waigi
4	wiòòai
4	zik
4	zirptas
3	ahra
3	ak
3	akka
3	augúcham
3	awju
3	ballodis
3	bi§ehm
3	dahr§a^
3	deena^
3	dohd
3	drauga
3	draugi
3	eet
3	galwa
3	galwas
3	ganna
3	gannams
3	jeb
3	ka^
3	kaklis
3	kalneem
3	kohkeem
3	leez
3	luhd§u
3	mannim
3	mihïi
3	mihliga
3	mihligu
3	nahk
3	namma^
3	nogahjis
3	pahr
3	paúchai
3	patihk
3	pill
3	pilsúahta^
3	salamaòa
3	úargi
3	úawa^
3	úchi
3	úeewahm
3	úmarúchu
3	tewis
3	tohs
3	tur
3	usmohdinajat
3	wairak
3	weenu
3	wihns
3	wihnu
3	wiúúi
3	zellees
2	§eed
2	§kubbinajat
2	§tahw
2	ahbeles
2	aisúlehgts
2	apkampj
2	arrig
2	atkahpjahs
2	atkaï
2	atòehmuúi
2	atradde
2	augïeem
2	augïus
2	ballo§chu
2	balúi
2	bi§es
2	bij
2	bija
2	biju
2	breeúmiga
2	bruòòas
2	buhs
2	d§e§tra
2	d§irdeht
2	dahr§
2	dahr§eem
2	dahr§u
2	dahrgu
2	darrijúi
2	darriúim
2	daud§
2	deena
2	dohtu
2	draugu
2	dwihòus
2	eebr
2	eeúchu
2	ehna
2	erúchíis
2	ganni
2	ìihmis
2	gilead
2	granatu=kohki
2	gribbetu
2	gull
2	ir
2	isplauk§t
2	jauni
2	jauns
2	jelle
2	ka§u
2	kahds
2	kahjas
2	kalnu
2	kam
2	karrogeem
2	íehniòinnes
2	kreiúa
2	labba
2	laiks
2	lapúas
2	leekas
2	lihd§i
2	liljehm
2	liljes=puííe
2	mahte
2	manna^
2	mannahm
2	margahm
2	matti
2	meddu
2	meitahm
2	mihlibu
2	mihligs
2	muhris
2	mums
2	nakti^
2	nardus
2	ne=augliga
2	noh§t
2	peenu
2	peeúeets
2	peldeúchanas
2	plauk§toúchi
2	ratteem
2	red§
2	red§eht
2	rohkas
2	rohku
2	runnahts
2	sahles
2	salamaòam
2	salamans
2	úalds
2	úargeem
2	úarkans
2	úaule
2	úawus
2	schohds
2	úeewas
2	sehìeli
2	semme^
2	úeúchdeúmits
2	úirdi
2	úirds
2	skai§ta
2	sprahd§es
2	stirna
2	stirnehm
2	tahda
2	tahds
2	tai^
2	teekams
2	tekkoúchas
2	tewim
2	tukúneúes
2	turnis
2	uhdens
2	uppes
2	usluhkojeet
2	wall
2	warr
2	weddahs
2	weeniga
2	wihna
2	wihna=dahr§
2	wihna=kohks
2	wiòòahm
2	wiòòam
2	wiòòas
2	wirs=galla
2	wiúúu
2	zeedri
2	zitti
1	§aïïo
1	§aïïus
1	§ih§ch
1	§kai§taka
1	§kai§tas
1	§kai§ti
1	§kai§ts
1	§kaidra
1	§kattahs
1	§kuhp§tiúchu
1	§pehzinajeet
1	§tah§tiúeet
1	§taigaúchu
1	§teepe
1	§teepjahs
1	§tipra
1	§tiprinaúim
1	§tiprs
1	a§toòdeúmits
1	abboïeem
1	agri
1	ahbele
1	ahboïi
1	ais
1	ais§ehìeleta
1	aisgahjis
1	aisklahtu
1	aismigguúcho
1	akmiòu
1	allahm
1	aloe&s
1	amana
1	ap
1	ap§kaituúchees
1	ap§peeduúi
1	apd§eh§t
1	apkaklo^s
1	apkampúchanu
1	apkwehpinata
1	appaïúch
1	apúeggu
1	apúirguúi
1	apúlehpto^s
1	apúlihzinaht
1	aptaiúita
1	apwilkt
1	at§peedeet
1	at§pird§inajeet
1	atbild
1	atbildeja
1	atdarri
1	atdarriht
1	atdarrriju
1	atgahjis
1	atlaidiúchu
1	atòehme
1	atraddiúchu
1	atraúúeet
1	atrohd
1	atúleenahs
1	atúlehgas
1	aug§tas
1	augïi
1	auglis
1	augïu
1	auklis
1	auúeklis
1	awots
1	azzi^s
1	azzim
1	ba&a&l=amoòa
1	balíi
1	ballo§cha
1	balts
1	battrabim
1	beedri
1	beedru
1	behrni
1	beter
1	bihjaúchanas
1	bijuúchas
1	biííeris
1	blaúchíeem
1	brahli
1	bulweríus
1	burbuïeem
1	d§eed
1	d§eeúma
1	d§eeúmahm
1	d§eeúmas
1	d§eeúmu
1	d§ehreens
1	d§ehris
1	d§eººeet
1	d§ert
1	d§ihwo
1	d§ihwokïeem
1	d§ihwu
1	d§iïïi
1	d§irdeta
1	dabbujs
1	dahr§o^s
1	dahrgahm
1	dahrgeem
1	dahrgi
1	dahrgus
1	dahwida
1	dama§ku
1	darra
1	darrija
1	deena^s
1	deggoòa
1	deggoúchas
1	degguns
1	dehï
1	dehleem
1	deij
1	dewe
1	dibbinatas
1	dibbinu
1	dihíi
1	diwiúimts
1	dohbehm
1	dohbes
1	dohs
1	dohúchu
1	draud§e
1	drehbju
1	duda&im
1	duhmu=stabs
1	durwim
1	durwis
1	duúmoúchana
1	dwihòi
1	e§bona^
1	ee=eet
1	eedeh§ti
1	eekahrojama
1	eekrittuúchas
1	eekúch=puúúe
1	eekúchas
1	eelahm
1	eeleija^s
