Vârdformu skaits:	1236
Vârdlietojumu skaits:	5238


375	un
163	ta
134	tas
121	íehniòa
115	to
82	tad
74	kas
73	ka
69	us
64	íehniò§ch
60	bij
60	tee
58	wiòòa
57	ne
52	pee
52	teem
49	ar
49	ko
47	irr
47	no
45	mardakajus
42	bija
39	tappe
39	wiò§ch
38	preekúch
36	e§tere
35	úazzija
35	tahs
35	wiòòu
34	amans
31	eekúch
31	tam
30	pehz
29	kad
28	jo
24	bet
22	es
22	tohp
21	deena^
21	judeem
21	ka`
21	par
20	úawu
20	wiúúeem
19	judi
19	íehniòam
19	pahr
19	úaweem
17	aa&§werus
17	weens
16	lai
16	úawas
16	tu
15	nu
15	ta`
14	amaòa
14	darrija
14	íehniòu
14	nahze
14	namma
14	wal§tibas
13	ja
13	mehnes
13	wiòòai
13	zaur
12	buhs
12	íehniòinne
12	ïaudim
12	leeleem=kungeem
12	mardakaju
12	prett
12	tahm
12	taptu
12	wa§ti
12	wiúúu
11	deenas
11	wiòòas
10	d§ihrehm
10	e§terei
10	grahmatas
10	ir
10	íehniòinni
10	nahkt
10	preekúcha^
10	rak§tihts
10	wiòòam
10	1
9	amanu
9	darriht
9	e§teres
9	likke
9	mardakajum
9	suh§ana
9	wiúúahm
8	dewe
8	dohts
8	eúmu
8	grib
8	isgahje
8	judu
8	ïaudis
8	patihk
8	rohkas
8	rohku
8	úawa^
8	schehla§tibu
8	tapehz
8	wahrds
8	weeta^
7	aa&§weruúa
7	bauúlis
7	deenu
7	d§ihres
7	eenaidneekeem
7	e§teri
7	meitas
7	úehdeja
7	suh§ana^
7	taps
7	tew
7	tohs
7	wahrda
7	wahrdu
7	ween
7	wiúúi
6	deúmits
6	jaunas
6	íehniòinnes
6	lihd§
6	meita
6	nammu
6	pagalmja
6	pawehleja
6	purim
6	úchis
6	tai
6	wal§tahm
6	weenu
6	wihrs
6	wiúúa^s
5	atkaï
5	buhtu
5	diwi
5	galwu
5	gohdiht
5	gred§enu
5	kohka
5	labbi
5	medatus
5	meedeºu
5	mehneúi^
5	mekleja
5	neds
5	pawehleúchanu
5	per§eºu
5	red§eja
5	úataiúijúi
5	úawa
5	úawus
5	schihds
5	úchihs
5	§elta
5	sirgu
5	§tarp
5	úuhtija
5	treúcha^
5	wahrti^s
5	wahrtim
5	wal§tibu
4	adars
4	amaòam
4	arri
4	arrid§an
4	atbildeja
4	darra
4	darrihts
4	daud§
4	dehï
4	dehla
4	dehlus
4	diwideúmits
4	dohta
4	drehbes
4	d§ihwibu
4	eúúi
4	isdeldeti
4	itt
4	jumprawas
4	kalpeem
4	kambar=junkuºeem
4	kambar=junkuºi
4	krohni
4	labbad
4	laika^
4	ïau§chu
4	leelu
4	leetas
4	ïohti
4	lohzijahs
4	luhd§
4	nahk
4	namma^
4	nei
4	patikke
4	pawehlejs
4	pawehleúchana
4	pilli
4	pilli^
4	pilsúahta
4	rihtu
4	runnaja
4	úimts
4	wal§ta^s
4	wal§tu
4	wehl
4	wihrus
4	wiúúa^
4	wiúúas
4	2
4	3
3	adar
3	atradduúi
3	baggatibas
3	bahr§iba
3	bauúliba
3	bihjaúchana
3	darrijs
3	deena^s
3	deenahm
3	diwipadeúmits
3	dohmas
3	doht
3	d§ihºu
3	eelu
3	eezehle
3	egaja
3	gadda^
3	ikdeenas
3	istruhzinajahs
3	jaht
3	jauna
3	jaunekïi
3	judus
3	kalpi
3	krehúlu
3	laiku
3	laiku=grahmata^
3	laupijuma
3	leek
3	leeta
3	leetahm
3	lihgúmibas
3	likt
3	lizzis
3	maiúu
3	man
3	manna
3	mehs
3	nahkuúi
3	nokawe
3	nomaitati
3	no§pree§ts
3	notikt
3	notizzis
3	ohtra^
3	pakahrt
3	pakahrti
3	paklannijahs
3	paúchi
3	peelikke
3	praúúi
3	pulku
3	rohka^
3	runnajs
3	úapulzejahs
3	úeewa
3	úeewu
3	§emm
3	§tah§tija
3	§tah§tijúi
3	§tahweja
3	úudraba
3	úuhtitas
3	úwinneht
3	szepteri
3	tadehï
3	tai^
3	tanni^
3	tapt
3	tawa
3	tik
3	treúcha^padeúmita^
3	wallodas
3	wal§ta^
3	weena
3	weena^
3	wihram
3	wiòòo
3	wiúúa
3	zehlahs
3	10
3	5
3	6
3	9
2	aa#§werus
2	aa§weruúa
2	abia&ila
2	agagiteºa
2	ais§pee§ts
2	aizinahts
2	apìehrbt
2	ap§kai§tahs
2	ap§kaitahs
2	ataks
2	ataku
2	atgahje
2	atnahze
2	atradde
2	atra§ta
2	atra§ti
2	atreebjahs
2	atrohd
2	aug§ts
2	aug§tuma^
2	bahr§ibas
2	bauúlibas
2	behdas
2	behrneem
2	bes
2	bigtans
2	brahlneeka
2	buht
2	dabbuja
2	dabbujúchi
2	dahrga
2	dahr§a
2	dahwanas
2	darbu
2	darri
2	darrijúi
2	darritu
2	dehls
2	dehlu
2	diwipadeúmita^
2	dohd
2	drehbi
2	d§eººoht
2	d§ihwibas
2	d§immuma
2	duúúeja
2	eekúcha
2	eekúchu=rak§ts
2	eenaidneeka
2	eenaidneeks
2	eenihdetajeem
2	eerak§tihts
2	eet
2	eezehlis
2	eezeïï
2	eij
2	gahje
2	gann
2	ga§pa§chas
2	ga§pa§chu=namma
2	ga§pa§chu=úarga
2	gohda^
2	gohds
2	grahmatahm
2	gribbedams
2	ikgaddus
2	ikkatra^
2	ikweena
2	ikweena^
2	ikweenai
2	ikweenu
2	indijas
2	irraid
2	isdeldeht
2	jaunahm
2	jeb
2	juhdu
2	kalpoja
2	kameeïeem
2	kapehz
2	kautohs
2	íehniòìi§kas
2	íehniòinnei
2	kluúúu
2	kohks
2	kur
2	labbahm
2	labbas
2	labbu
2	laiks
2	ïau§cho
2	leela
2	leelas
2	leeli=kungi
2	leels
2	lihgúmiba
2	lihgúmis
2	likkumu
2	luhgúchana
2	mannas
2	manni
2	mannim
2	mannu
2	marmoºa
2	mehd§
2	mehles
2	mehneúchus
2	mehneúi
2	meitahm
2	meitu
2	meklejúchi
2	memukans
2	meúlus
2	nahktu
2	neeka
2	òemta
2	ne§ts
2	nodohmahts
2	nodohmajs
2	nokauti
2	nokawuúchi
2	nomaitaht
2	nomaitajúchi
2	nomaitaúchanu
2	nomaitata
2	no§pree§tu
2	notikkahs
2	notikkuúchas
2	nowilke
2	ohtrs
2	ohtru
2	pa=aug§tinahts
2	pa=aug§tinajs
2	pa=aug§tinaúchana
2	padeúmita^
2	pahrdohti
2	pahrkahpts
2	pakahre
2	pakahruúchi
2	papillam
2	paúcha^
2	paúchu
2	pataiúiht
2	pats
2	peeklahjahs
2	peelikt
2	peeminneúchanu
2	peeòehme
2	peeòehmis
2	peeúneed§e
2	pee§pee§ti
2	peezdeúmits
2	peezúimts
2	pehznahkameem
2	pilsúahta^
2	pilsúahts
2	pirma^
2	prahta^
2	praúúija
2	praúúiúchana
2	preeks
2	preeku
2	pretti
2	prohti
2	purpuºa
2	puús
2	raddu
2	rahditu
2	rak§tijs
2	red§
2	rei§e^
2	úapulze
2	úawo
2	úazzihs
2	úazziht
2	úchahs
2	úchi
2	schihdu
2	úchihm
2	úcho
2	seereúe
2	úeewahm
2	úeewas
2	sehìeli
2	semmes
2	semmi
2	úeptiò
2	úeptiòas
2	úeptita^
2	úeúchus
2	úewim
2	§inna
2	§innams
2	sirg=eh§eïeem
2	§kai§tas
2	§tah§tita
2	§tah§titu
2	§tahw
2	§teid§ahs
2	suh§ans
2	teeres
2	teeúa^s
2	teeúas
2	tehwa
2	teize
2	tezzetaji
2	tohpu
2	túchakleem
2	tuhk§toúchus
2	tur
2	wahrda^
2	waidneeks
2	wainu
2	wairak
2	waldija
2	waldneeki
2	wal§ti^s
2	wal§tiba^s
2	wal§tibahm
2	warr
2	warreja
2	warretu
2	wihnu
2	wihru
2	wiòòeem
2	wiús
2	wiúúus
2	zettorta^padeúmita^
2	zettortupadeúmitu
2	zitti
2	14
2	21
2	7
2	8
1	aa&§weruúu
1	aa#§weruúa
1	aa#§weruúu
1	aa§werus
1	aa§weruúam
1	abagtu
1	adaliju
1	adara
1	adaúúas
1	admatus
1	agagiteºam
1	agagiteri
1	agagiteris
1	ahra
1	aisgahje
1	aiskahre
1	aismir§ta
1	aisúed§e
1	aisúegtu
1	ais§ehìelehts
1	ais§peedeet
1	ais§pee§ti
1	aisweddis
1	aiswe§teem
1	aiswe§ti
1	aiswe§ts
1	aizinaja
1	aizinaúchanu
1	aizinata
1	aizinati
1	ak
1	ap
1	apìehrbe
1	apìehrbees
1	apìehrbtees
1	apkauti
1	apòehmees
1	appakúch
1	ap§chehloúchanas
1	ap§tiprinaht
1	ap§tiprinahts
1	ap§tiprinaja
1	ap§tiprinajúchi
1	ap§tiprinata
1	apúuhd§
1	aptehrpahs
1	apwilke
1	arbonu
1	arbonus
1	aridaju
1	aridatu
1	ariúúaju
1	a§toòdeúmits
1	a§watu
1	atgahjis
1	atgree§ahs
1	atgree§ehs
1	atgree§tohs
1	atme§ta
1	atminnejahs
1	atòemt
