Vârdformu skaits:	1737
Vârdlietojumu skaits:	6514
	
	
463	un
175	no
144	to
131	ta
113	tee
105	Behrni
96	kas
94	irr
91	Un
88	teem
84	ar
83	Deewa
83	us
73	tas
70	ka
45	tohs
42	Behrneem
41	wiòòu
40	tam
39	bija
35	Íehniòa
35	tahs
34	preekúch
33	Namma
33	ne
31	eekúch
31	wiòòa
30	muhúu
29	mehs
29	Nammu
28	Tad
27	bij
27	pee
26	mums
24	Jeru§alemi
24	ko
23	Jeru§aleme^
23	pehz
22	Íehniò§ch
21	buhs
21	J§rae#ïa
21	pahr
21	tohp
20	Dehla
20	Dehls
20	diwideúmits
20	par
20	úimts
19	nu
19	Tee
18	Uppes
17	KUNGA
17	lai
17	lihd§
16	E§rus
16	es
16	eúúam
16	ka`
16	úcho
16	tappe
15	diwi
15	tad
15	tuhk§toúchi
14	Babeles
14	Deews
14	No
14	úawu
14	úchis
14	wiò§ch
14	wiúúu
13	Ïaudis
13	ta`
13	tu
13	weenu
13	Wihra
12	Kahrtas
12	peezdeúmits
12	weens
12	wiúúi
11	Bet
11	diwiúimts
11	jo
11	juhs
11	Per§eºu
11	Semmes
11	trihs
11	wiúúeem
11	zitti
10	1
10	Brahïeem
10	Juhda
10	juhúu
10	Kores
10	KUNGAM
10	Ïaudim
10	Lewiti
10	Mehnes
10	Nammam
10	úazzija
10	wiòòeem
9	Arta§a§tus
9	Debbes
9	Deewam
9	Deewu
9	Jo
9	kad
9	Lewiteem
9	mannim
9	Pree§teºi
9	Pree§teºu
9	úaweem
9	Úeewas
9	úeptiòdeúmits
9	Ta
9	tapehz
8	bet
8	Dehleem
8	dewe
8	itt
8	J§rae&ïa
8	jums
8	Íehniòam
8	Íehniòu
8	prett
8	Seltu
8	taptu
8	túchetrdeúmits
8	uszelt
8	zehlahs
7	arri
7	augúcham
7	d§ihwo
7	Ded§amo=Uppuºus
7	Koreúa
7	nahze
7	Netinim
7	pawehlehts
7	Pree§teºeem
7	Rihkus
7	Rohka
7	úawa
7	úawa^
7	úchaipuús
7	úeúchdeúmits
7	úeúchúimts
7	Úudraba
7	Úudrabu
7	tew
7	trihsúimts
7	uhs
7	uszelts
7	weena
7	Wihri
7	wiòòpuús
7	zaur
6	apòehmuúchi
6	augúchu
6	dehï
6	dewis
6	doht
6	eet
6	Judeem
6	Juhdu
6	Kad
6	labba
6	Ïau§chu
6	Mantas
6	Mehs
6	neds
6	pawehlejs
6	peezi
6	rak§tihts
6	Rohka^
6	Rohkas
6	Sakarijus
6	Selta
6	Semmes=Walditajs
6	úeptiòúimts
6	úweúchas
6	Tehwu
6	tikkuúchi
6	trihsdeúmits
6	ustaiúiht
6	wiòòo
6	wiús
5	3
5	aiswe§ti
5	Arta§a§tu
5	Bauúlibas
5	Darbu
5	darriht
5	Deena^
5	Deenas
5	deúmits
5	diwipadeúmits
5	Draud§es
5	Elama
5	eúúat
5	eúúi
5	Gadda^
5	Grahmatas
5	Grunti
5	Je§uu#s
5	Jeru§alemes
5	Jr
5	Judu
5	Ka
5	kamehr
5	KUNGS
5	likke
5	man
5	mannas
5	nahkuúchi
5	paúchu
5	Pilsúahto^s
5	Pilsúahts
5	pirma
5	Prahta
5	Serubabels
5	úeúchi
5	Siòòu
5	Ta`
5	tapt
5	Tatnajus
5	Tehweem
5	tur
5	uppureja
5	Wahrdeem
5	Wihru
5	wiòòam
4	4
4	aisweddis
4	Altari
4	Arima
4	atkaï
4	Babeli
4	Banus
4	Bauúlibu
4	Benajus
4	Benjamiòa
4	d§ihwoja
4	Darbs
4	Darijus
4	Darijuúa
4	Deenu
4	Dehlam
4	dewiòdeúmits
4	Draud§i
4	Eekúchu=Rak§ts
4	gahje
4	Je§uus
4	Jeie#ls
4	Jozadaka
4	Íehniòeem
4	KUNGU
4	labbi
4	leelu
4	Mantu
4	Matanijus
4	muhs
4	NebukadNezars
4	paúcha
4	Pawehleúchanu
4	Pehz
4	Pilsúahtu
4	pirma^
4	Pree§teris
4	Pulks
4	rak§tija
4	úapulzejahs
4	úawas
4	úcha
4	úchi
4	úuhtija
4	taps
4	tawa
4	Teeúu
4	Tehwi
4	tewim
4	túchetrúimts
4	Wahrdu
4	Wahrdus
4	warr
4	Weeta^
4	Weetu
4	Wihreem
4	wiúúus
4	Zeïïu
3	11
3	§tahw
3	a§toòi
3	Aggajus
3	aiswe§teem
3	Aiswe§tu
3	Ar
3	arrid§an
3	aug§teem
3	Awar§akiteºi
3	D§eedatajeem
3	D§eedataji
3	Dahwanu
3	darrihts
3	darrija
3	daud§
3	Deenahm
3	dohta
3	Draud§e
3	eezehle
3	eh§t
3	Elija§ibs
3	Elnatanu
3	Gaddeem
3	Gawileúchanu
3	Grahmatu
3	ikdeenas
3	ir
3	isúaukt
3	ittin
3	J§rae#lu
3	ja
3	jeb
3	jepúchu
3	KAd
3	kahdu
3	Kalpoúchanu
3	Kalpu
3	Kas
3	kur
3	labbu
3	Lai
3	Laika
3	Laika^
3	leela
3	Lewitus
3	Mae#§ejus
3	Malkijus
3	mannu
3	Meeru
3	mekleht
3	meklehts
3	Moh§us
3	muh§chigi
3	Namma^
3	No§eegumu
3	Pagaòu
3	Pahrkahpúchanas
3	Par
3	Pareoúa
3	pats
3	Pineaúa
3	Prahtu
3	Praweeúchi
3	Pree§teºam
3	Pree§teºus
3	Preeku
3	Rak§ta=Mahzitajs
3	raudaja
3	Rekumu
3	Rihki
3	Rohku
3	úawo^s
3	Úchee
3	úchee
3	úchihs
3	úchim
3	Se§bazars
3	Úeewahm
3	Semajus
3	Sewatijus
3	Simejus
3	Starpa^
3	úudraba
3	Úwehtkus
3	tahm
3	Talentus
3	Tapehz
3	Tas
3	tawa^
3	taweem
3	trim
3	turreja
3	ustaiúa
3	Wahrtu=Úargeem
3	Waiga
3	waldija
3	Waldiúchanas
3	Waïïu
3	wehl
3	Wezzajee
3	Wihrs
3	Wirúneeku
3	Wirúneekus
3	Wiúúi
3	Zeetuma
2	6
2	7
2	8
2	15
2	21
2	27
2	§elta
2	§inna
2	§innams
2	§kummigs
2	§tarp
2	§tiprinaja
2	§trahdaht
2	A§arijus
2	A§gada
2	a§toòpadeúmits
2	Adajus
2	Adina
2	Adonikama
2	Ah§chus
2	aiskaweja
2	aiskaweti
2	ak
2	Akewas
2	Akmiòeem
2	Akuba
2	Amarijus
2	Ammata
2	Apúuhd§
2	apúweizina
2	Apúweizinaúchanu
2	arrig
2	Aúúawa
2	Aúúura
2	At§pirgúchanas
2	atbildeja
2	Ateºa
2	atlikkuúchi
2	atra§ti
2	atúchíihruúchees
2	atweddis
2	Aug§takee
2	aug§takee
2	Aunu
2	Aunus
2	Balúi
2	Bar§illaja
2	Batteem
2	Bauúleem
2	Bebaja
2	Bebajus
2	Behrnu
2	Beííeòi
2	Benujus
2	bes
2	Bigewajus
2	bijuúchi
2	Biííeºi
2	Bo§najus
2	D§immumu
2	Dahwida
2	Darba
2	Darijuúam
2	darrajt
2	Ded§amo=Uppuri
2	Deena
2	Dehli
2	dewiòi
2	dewiòúimts
2	dewuúchi
2	dohdam
2	dohts
2	dohtum
2	Drehbes
2	dumpigu
2	E§ru
2	E§rum
2	Eelie#zers
2	eeúahze
2	eeúwehru
2	ehde
2	Elijus
2	Elioe#najus
2	Eïjes
2	Es
2	eúúus
2	Gads
2	Garru
2	Gaweòus
2	gawileja
2	Giddeïa
2	Grahmata
2	gree§is
2	grehkojúchi
2	Grehku=Uppuri
2	Grunte
2	is§pruzzis
2	isdohdahs
2	isdohti
2	J§rae&ls
2	J§rae&lu
2	J§rae#ls
2	jaw
2	Jddu
2	Jddus
2	Je§ajus
2	Je§ijus
2	Jehru
2	Jehrus
2	Jeie#ïa
2	Jerimots
2	Jo§abads
2	Joaba
2	Joanans
2	Judi
2	Juhs
2	ka^
2	kahds
2	Kahrta^
2	Kalpeem
2	Kalpi
2	Kanzleris
2	Íehniòi
2	KUNga
2	Kweeúchu
2	Labbumu
2	labprahtigu
2	Laiko^s
2	leek
2	leeleem
2	leels
2	Leeta
2	Leetahm
2	Leetas
2	Leetu
2	Leetus
2	Lewitu
2	Lewja
2	Lihd§
2	likta
2	lizzis
2	Lohpeem
2	luhd§
2	luhd§e
2	ma§
2	Makúu
2	Manaúúus
2	manna^
2	Matnajus
2	Me§ullams
2	Mehteli
2	Meitahm
2	Meitas
2	Meúlus
2	Muhri
2	Muhºi
2	muhúa
2	Muitu
2	Mutti
2	nahk
2	nahzis
2	Nams
2	Naudu
2	ne§tu
2	Nebus
2	Nekoda
2	òemt
2	Neúchíih§tibu
2	neúúahs
2	noúaukti
2	noweddis
2	Ohlekúchu
2	ohtra^
2	ohtram
2	pabeid§e
2	pabeigts
2	Padohma=Dewejeem
2	Padohma=Deweji
2	Padohmu
2	palihd§
2	pamohdinaja
2	pataiúiti
2	patihk
2	pawehleja
2	Pawehleúchana
2	peeklahjahs
2	peez
2	Pils
2	Prahts
2	Preekúcha^
2	preekúchajo^s
2	prohti
2	Pulku
2	Pulziò§ch
2	Rak§titajs
2	Rak§titaju
2	Rak§tu=Mahzitajam
2	red§eja
2	Rekums
2	Sabads
2	Úahls
2	úahze
2	Salamaòa
2	Salluma
2	Sallums
2	úaplohúiju
2	úapulzeju
2	Satus
2	úawus
2	úazziju
2	Schehla§tiba
2	Úchis
2	úchodeen
2	Sealtie#ïa
2	Sebadijus
2	Úeewu
2	Sekanijus
2	Selemijus
2	Selts
2	Semme
2	Semme^
2	úenn
2	úeptihts
2	úeptiò
2	úeptiòi
2	Seraja
2	Serebiju
2	úeúch
2	úewim
2	Sim§aju
2	Sim§ajus
2	Úirdi^
2	Skahdu
2	Star
2	úuhtijúchi
2	úuhtiju
