Vârdformu skaits:	659
Vârdlietojumu skaits:	1396


85	un
38	to
34	ta
30	tu
28	tas
23	kas
21	irr
20	ne
18	wiò§ch
16	ka`
16	wiòòa
15	ar
15	no
14	es
14	teem
12	ka
11	jo
11	úawu
10	kungs
10	tad
10	tahs
10	tee
9	tohs
9	uhs
8	eekúch
8	ko
8	pee
8	preekúch
7	buhs
7	kad
7	par
6	dehï
6	eúúi
6	neììi
6	tewi
6	us
6	wiòòas
5	pahr
5	prett
5	tam
5	tawu
5	tur
5	waj
5	weena
5	weenu
4	ak
4	bet
4	bija
4	deews
4	kapehz
4	kunga
4	man
4	mans
4	nahk
4	namma
4	preekúcha^
4	semmes
4	tapehz
4	taps
4	tawas
4	teeúa
3	gribbetu
3	gribbi
3	ilgi
3	itt
3	kluúúu
3	ïaudim
3	ïaudis
3	ïau§chu
3	neka`
3	pagaòus
3	praweeta
3	rohkas
3	úawa^
3	úchi
3	sela
3	semme
3	tappe
3	tautas
3	tawa
3	weens
3	wiòòu
3	wiúúus
3	zaur
3	zelúees
3	zik
3	1
2	abakuka
2	aúúiòa
2	aug§tiba
2	barribu
2	biji
2	darbs
2	darri
2	darritajs
2	daud§
2	deewa
2	dibbinu
2	d§irdeju
2	dwehúeli
2	eed§ihwotajeem
2	gaddu
2	galwu
2	gohdibas
2	gºuhtumu
2	irraid
2	jahji
2	jahtneeki
2	juhºa^
2	kahjas
2	kalni
2	kauna
2	leetu
2	lihgúmojahs
2	luhgúchana
2	mannas
2	manni
2	manno^s
2	mettahs
2	nahks
2	nahze
2	pahrmahziúchanu
2	peepildita
2	pilsúahtu
2	poh§tiúchana
2	red§eht
2	red§i
2	úakka
2	úakrahj
2	úawa
2	úawas
2	úaweem
2	semmi
2	úewis
2	sirgeem
2	§tahweja
2	stiprums
2	úwehtajs
2	ta`
2	tadehï
2	tahm
2	tapúi
2	tatúchu
2	taweem
2	tawi
2	tohp
2	warr
2	warras=darba
2	warras=darbs
2	warras=darbu
2	warretu
2	warri
2	weeta^
2	widdu^
2	wiòòo
2	wiúúas
2	wiúúeem
2	wiúsnotaï
2	zilweku
2	2
2	5
1	abakuks
1	ais§krehje
1	akmini
1	akmins
1	akmiòu
1	alla§chiò
1	apkahrt
1	apklahj
1	apklahje
1	apklahs
1	aplaupihs
1	aplaupijs
1	apmehdihs
1	apmehditi
1	aprak§ti
1	aprihj
1	apriht
1	ap§chehloúchanas
1	ap§kaiúchana^
1	ap§kaitees
1	apúlehpts
1	apúmeekli
1	apúmees
1	apúohlitas
1	ap§tiprini
1	arri
1	arrid§an
1	arrig
1	aúúaki
1	aúúina
1	atbild
1	atbildehs
1	atbildeht
1	atkaï
1	atklahji
1	atlikkuúchas
1	atpe§tiht
1	atrauti
1	atúed§i
1	at§ih§t
1	at§krees
1	atwedde
1	atweddiúchu
1	auglis
1	augúchu
1	aug§ta
1	aug§ti
1	aug§tuma^
1	aug§tumo^s
1	azzis
1	babele^
1	babiloneºeem
1	bahrga
1	bahrúchana
1	bahr§iba
1	bahr§ibu
1	bail
1	balkúnes
1	barriba
1	bauúliba
1	bee§us
1	behdu
1	besdeewiga
1	besdeewigajs
1	besdeewigeem
1	besdeewigs
1	bihjajama
1	bihjajohs
1	biííeris
1	bilde
1	breeúmiga
1	brehks
1	brihnijeetees
1	buhdas
1	bultas
1	darbojahs
1	darbu
1	darra
1	darrihs
1	darriht
1	darritas
1	darritu
1	debbeúi
1	deena^
1	deena^s
1	deenas=widdus
1	deewabihjigeem
1	deewekïus
1	deewu
1	draudeúchana
1	drebbam
1	drebbeja
1	d§eedataja
1	d§enn
1	d§err
1	d§ihwohs
1	d§ihwokïus
1	d§ihwu
1	d§iïïums
1	d§innahs
1	d§irdina
1	dubïus
1	duúmiba
1	duúmibu
1	duúúeht
1	dwaúcha
1	dwehúele
1	eemantohs
1	eeraud§ija
1	eeraugi
1	eered§eht
1	eeúahkuma
1	eewainoji
1	eezelli
1	ehrglis
1	eïjes=kohka
1	elle
1	erúchíu
1	etc
1	gahje
1	gaiúchuma
1	gaiúma^
1	gaiúmas
1	galdeem
1	gals
1	gannama
1	garda
1	gohda
1	gohdibu
1	gree§chahs
1	gree§iúees
1	grehkeem
1	grehkojs
1	grehku
1	grib
1	gºuhtuma
1	ir
1	isdeldeht
1	isdeldi
1	isdohmajs
1	iseet
1	isgahji
1	isglahbi
1	isglahbt
1	isglahbtees
1	isgree§is
1	isgree§ta
1	iskaiúiht
1	iskaiúija
1	ispe§tiht
1	ispe§tiúchanas
1	isplattahs
1	ispleúch
1	isúauzejs
1	istruhzinahs
1	istukúchohs
1	iswilki
1	jeb
1	jepúchu
1	judu
1	juhºas
1	juhºu
1	juhs
1	juhúa^s
1	kahju
1	kahpju
1	kaklam
1	kaldee&ºu
1	kaldee#ºus
1	kalna
1	kalns
1	kam
1	kaººa=spehks
1	kaººa=wihru
1	kar§ta
1	kaulo^s
1	kaut
1	kauze
1	kawejahs
1	kaweúees
1	íehniòus
1	íilda
1	kleegúchu
1	kïuh§t
1	kohdihs
1	kohka
1	kohku
1	kohpa^
1	kºauj
1	kur
1	kuººa
1	kuººu
1	ku§tinajohs
1	kwehpina
1	labbas
1	laidaro^s
1	laika^
1	laikeem
1	laúúa
1	ïauna
1	ïaunuma
1	ïaunumu
1	laupiúchanas
1	lau§chahs
1	lau§iúees
1	ïaut
1	leek
1	leel=kungi
1	leenamus
1	leezi
1	lehjis
1	lepnu
1	lig§du
1	lihbanu
1	lihd§
1	lihgúmoúchohs
1	lohpi
1	lohzijahs
1	luhgúchanu
1	luhpas
1	mahja^
1	mahjas=weetas
1	mahziht
1	mahzitajs
1	makúchíeri
1	man~as
1	manna^
1	mannahm
1	mannim
1	mannu
1	mantas
1	mehmus
1	mehnes
1	mehris
1	mehºoja
1	mehs
1	mellohs
1	mellu
1	midijaniteºu
1	mihklas
1	minneúchanu
1	mohºu
1	mohziba
1	muh§cham
1	nabbagu
1	nahkdams
1	nahwe
1	na§ta
1	negauúibu
1	negohdigi
1	nepeetizzigi
1	neprattigeem
1	neús
1	netaiúnibas
1	netaiúnibu
1	newa
1	nogurrahs
1	nokaut
1	nomirúim
1	nomohda^
1	nonejauúchi
1	no§eegúees
1	noúohditi
1	no§pree§ta^
1	no§tums
1	padarrihts
1	padarru
1	padohmu
1	pagaidi
1	pagaòeem
1	pagaòs
1	pahrana
1	pahrgalwiga
1	pahrgroh§ihs
1	pahrgroh§ita
1	pahrkahpúchanu
1	pahrwilkts
1	paiúums
1	pakalni
1	paklauúiúi
1	païaujahs
1	paleek
1	palihd§ehs
1	pame§ta
1	parahdijs
1	parahdiúchana
1	parahdiúchanu
1	pardeïi
1	paúaule^
1	paúaules
1	paúcha
1	paúchus
1	pa§ih§tamu
1	paúleppeni
1	pats
1	patt
1	patti
1	pazeeúchanu
1	pazehle
1	pee=ehdinaht
1	pee=ehdinahts
1	peederr
1	peedoht
1	peed§irdini
1	peeminni
1	peeúaukúchu
1	pee§kubbinaúchana
1	peewiïï
1	pehz
1	pehzgalla
1	pe§tiúchanas
1	pe§tiúchanu
1	pihúchlus
1	pilna
1	pilsúahta
1	pilsúahteem
1	platti
1	plattumu
1	plikkumu
1	poh§tiúchanu
1	prahtu
1	praweets
1	preekúch=ahdu
1	preekúcha
1	preezajahs
1	preezaúchohs
1	pretti
1	prohti
1	pue#úis
1	pulka
1	pulzina
1	puúúes
1	raggi
1	rak§ti
1	ratti
1	raugajt
1	raugi
1	red§
1	red§ejs
1	red§eju
1	red§u
1	rihta
1	ruhktu
1	úajauzi
1	úakkamu
1	úakrahs
1	úakuhli
1	§aïïohs
1	úaminni
1	úapulzina
1	úapulzinahs
1	úargaúchanu
1	sars
1	úaúchíehlis
1	úatreekti
1	úatreezis
1	úaud§ehs
1	úaule
1	úawam
1	úawo^s
1	úazzihs
1	úazzihts
1	úchee
1	schehla§tibas
1	úchíehpi
1	úchíih§tas
1	schulti
1	úeenas
1	úekkahs
1	selta
1	úewi
1	úezzen
1	sibbins
1	úihki
1	sirgi
1	siwis
1	§kattijahs
1	§kattohs
1	úlawas
1	úlawu
1	úluddinahts
1	úmiltis
1	sohbi
1	úohdibu
1	úohma=stabulehm
1	spehku
1	§pihdeja
1	spihdumi
1	spoh§chums
1	§tahwu
1	§taigaja
1	§tarp
1	§teid§ahs
1	§tipras
1	§tiprina
1	stiprumu
1	stopu
1	§trahda
1	strauteem
1	úudraba
1	úuhd§eúchana
1	úwaiditu
1	§wehrejs
1	swehru
1	úwehta
1	úweúchas
1	szepteri
1	ta^
1	tahdu
1	tahïenes
1	tahrpus
1	taiúna
1	taiúnaks
1	taiúns
1	taiúnu
1	tappuúi
1	tauka
1	tautu
1	taws
1	tawus
1	tekk
1	tew
1	tewim
1	tihklam
1	tihkli
1	tihkli`
1	tihras
1	tihrumi
1	tizzeúeet
1	tizzibu
1	tohpi
