Vârdformu skaits:	436
Vârdlietojumu skaits:	1055
	
	
62	un
37	to
33	tas
30	ta
20	úakka
18	KUNGS
14	es
14	Zebaot
13	KUNGA
13	Un
12	ar
12	kas
11	úazzija
10	irr
10	no
10	tee
10	uhs
9	pahr
8	juhs
8	tahs
7	Nammu
7	ne
7	tad
6	Aggajus
6	Deena^
6	jeb
6	Ïaudis
6	Namma
6	notikke
6	pee
5	Aggaju
5	Jozadaka
5	jums
5	ka
5	kad
5	Mehnes
5	Wahrds
5	zaur
4	bet
4	buhs
4	Deenas
4	Deewa
4	Dehls
4	Dehlu
4	eekúch
4	eúmu
4	Garru
4	Juhda
4	KUNgs
4	Mehneúi^
4	Praweetu
4	Pree§teri
4	úchahs
4	Semmi
4	Serubabelu
4	ta`
4	Tad
4	teem
4	Waldneeku
3	atbildeja
3	aug§tu
3	bija
3	Darijus
3	diwideúmits
3	Es
3	Gadda^
3	jelle
3	jo
3	Jo§uu
3	Jo§uus
3	Juhs
3	juhúahm
3	juhúu
3	nahze
3	nu
3	Pagaòu
3	pirma^
3	úakki
3	úawa
3	úawus
3	úcho
3	Sealtie#ïa
3	Úirdim
3	Ta
3	Ta`
3	Tapehz
3	taps
3	tewi
3	tohs
3	tu
3	wehra^
3	wiòòu
2	1
2	2
2	§tiprinajees
2	aisturr
2	Apdohmajt
2	apgah§iúchu
2	Ar
2	aug§ts
2	bij
2	Bullu
2	Darbu
2	daud§
2	Deews
2	Dehla
2	diwideúmita^
2	Eepreezinaúchana
2	Eïji
2	Gohdiba
2	ilgaki
2	Jo
2	Jr
2	ka`
2	kam
2	Íehniòa
2	ko
2	ku§tinatees
2	Laiks
2	Ïaudim
2	leelaka
2	likúchu
2	likts
2	ma§
2	man
2	Nammam
2	Ne
2	neka`
2	neneeka
2	neúchíih§ta
2	neúchíih§ts
2	neúúuúchi
2	ohtra^
2	ohtru
2	peederr
2	poh§ta^
2	Praweeta
2	Pree§teºi
2	preekúch
2	prett
2	Rohku
2	Runna
2	runna
2	úchim
2	Sealtie&ïa
2	Semmes
2	Serubabel
2	úeúta^
2	tai
2	tikkai
2	tikkuúchi
2	tur
2	us
2	Wal§tibu
2	weens
2	weenu
2	wehl
2	Wihnu
2	wiúúi
2	wiúúo
2	wiúúu
2	Zeïïus
2	zettorta^
1	4
1	5
1	7
1	10
1	11
1	19
1	§kai§to^s
1	§pee§chamu
1	§tahw
1	§tahweht
1	§tiprinajtees
1	§trahdajt
1	aiskahrtu
1	aiskaºº
1	aizinajs
1	ak
1	Akmins
1	Algu
1	ap§tiprina
1	apúohlihts
1	Apúohliúchanas
1	apúwehtiti
1	aptehrpjatees
1	Arrig
1	arrig
1	atgahjis
1	atgree§atees
1	atlikkuúcheem
1	atlikkuúchi
1	atlikkuúcho
1	atlizzis
1	atweddeet
1	aug§ta
1	Augïus
1	Azzi^s
1	Balkúnei
1	Barribu
1	Bauúlibu
1	bih§teetees
1	bihjajahs
1	Brihds
1	buhdams
1	d§ennatees
1	d§eººat
1	d§ihwojat
1	dabbu
1	dabbujat
1	Darba^
1	Darbs
1	darriju
1	darriúchu
1	Debbes
1	Debbeúi
1	Debbeúis
1	Deenai
1	Derribu
1	deúmits
1	dewita^
1	dewitas
1	Diwideúmita^
1	DJwideúmita^
1	dohúchu
1	Drehbes
1	eekúcha
1	Egiptes=Semmes
1	ehdat
1	Eïjes=Kohku
1	eúúeet
1	gaidat
1	Gaïïu
1	Gals
1	gan
1	Gohda=Krehúlu
1	Gohdiba^
1	Gohdibas
1	Granata=Kohku
1	Gred§enu
1	gribbeja
1	gribbu
1	ikweens
1	irraid
1	isbaidiht
1	isdeldeúchu
1	isgahjat
1	isputtinaju
1	iswehlejs
1	itt
1	Ja
1	ja
1	ja=isaug
1	jahj
1	jemmeet
1	jepúchu
1	Jrrag
1	Juhºu
1	juhúa^s
1	juhúo
1	juns
1	kahdas
1	kahdu
1	Kalneem
1	Kalno^s
1	Kalps
1	Kapehz
1	klauúija
1	Klehti
1	Kohpu
1	Kri§tus
1	Kruúúu
1	ku§tinaúchu
1	KUNga
1	Kuººai
1	Kuºúch
1	labbad
1	Labbibas
1	Labbibu
1	labs
1	Laikeem
1	laizigi
1	Ïau§chu
1	leelahs
1	Leetahm
1	Leetas
1	lihd§
1	Lohpeem
1	Mahja^s
1	mahzihs
1	Mai§i
1	Makka^
1	Malku
1	Man
1	Manna
1	manna^
1	mannim
1	mannu
1	mans
1	maús
1	Meeru
1	Meeúas
1	Meúúijas
1	muh§chigi
1	nahks
1	Nammo^s
1	ne§tu
1	ne=augligeem
1	Neììi
1	Òemmeet
1	òemmeet
1	Òemúchu
1	nokrittihs
1	nomirruúchas
1	Nu
1	ohtra
1	OHtra^
1	Pa§kubbinaúchanai
1	padarrija
1	Pagaòus
1	pagohdinahts
1	pakkaïd§ihts
1	paleek
1	Pamats
1	pamohdinaja
1	par
1	paúchu
1	patt
1	Pawalgu
