Vârdformu skaits:	411
Vârdlietojumu skaits:	1055
	
	
75	un
37	to
33	ta
33	tas
22	kungs
20	úakka
17	es
14	ar
14	kunga
14	zebaot
12	kas
11	juhs
11	úazzija
11	tad
10	irr
10	no
10	tee
10	uhs
9	ne
9	pahr
8	tahs
7	nammu
7	ta`
6	aggajus
6	deena^
6	jeb
6	ïaudis
6	namma
6	notikke
6	pee
5	aggaju
5	jo
5	jozadaka
5	jums
5	ka
5	kad
5	mehnes
5	wahrds
5	zaur
4	bet
4	buhs
4	deenas
4	deewa
4	dehls
4	dehlu
4	diwideúmita^
4	eekúch
4	eúmu
4	garru
4	juhda
4	mehneúi^
4	nu
4	praweetu
4	pree§teri
4	runna
4	úchahs
4	semmi
4	serubabelu
4	teem
4	waldneeku
3	atbildeja
3	aug§tu
3	bija
3	darijus
3	diwideúmits
3	gadda^
3	jelle
3	jo§uu
3	jo§uus
3	juhúahm
3	juhúu
3	man
3	nahze
3	ohtra^
3	pagaòu
3	pirma^
3	úakki
3	úawa
3	úawus
3	úcho
3	sealtie#ïa
3	úirdim
3	tapehz
3	taps
3	tewi
3	tohs
3	tu
3	wehl
3	wehra^
3	wiòòu
2	1
2	2
2	§tiprinajees
2	aisturr
2	apdohmajt
2	apgah§iúchu
2	arrig
2	aug§ts
2	bij
2	bullu
2	darbu
2	daud§
2	deews
2	dehla
2	eepreezinaúchana
2	eïji
2	gohdiba
2	ilgaki
2	ir
2	ja
2	ka`
2	kam
2	íehniòa
2	ko
2	ku§tinatees
2	laiks
2	ïaudim
2	leelaka
2	likúchu
2	likts
2	ma§
2	nammam
2	neka`
2	òemmeet
2	neneeka
2	neúchíih§ta
2	neúchíih§ts
2	neúúuúchi
2	ohtru
2	peederr
2	pirms
2	poh§ta^
2	praweeta
2	pree§teºi
2	preekúch
2	prett
2	raugi
2	rohku
2	úchee
2	úchim
2	sealtie&ïa
2	semmes
2	serubabel
2	úeúta^
2	tai
2	tikkai
2	tikkuúchi
2	tomehr
2	tur
2	us
2	wal§tibu
2	weens
2	weenu
2	wihnu
2	wiúúi
2	wiúúo
2	wiúúu
2	zeïïus
2	zettorta^
1	4
1	5
1	7
1	10
1	11
1	19
1	§kai§to^s
1	§pee§chamu
1	§tahw
1	§tahweht
1	§tiprinajtees
1	§trahdajt
1	aiskahrtu
1	aiskaºº
1	aizinajs
1	ak
1	akmins
1	algu
1	ap§tiprina
1	apúohlihts
1	apúohliúchanas
1	apúwehtiti
1	aptehrpjatees
1	atgahjis
1	atgree§atees
1	atlikkuúcheem
1	atlikkuúchi
1	atlikkuúcho
1	atlizzis
1	atweddeet
1	aug§ta
1	augïus
1	azzi^s
1	balkúnei
1	barribu
1	bauúlibu
1	bih§teetees
1	bihjajahs
1	brihds
1	buhdams
1	d§ennatees
1	d§eººat
1	d§ihwojat
1	dabbu
1	dabbujat
1	darba^
1	darbs
1	darriju
1	darriúchu
1	debbes
1	debbeúi
1	debbeúis
1	deenai
1	derribu
1	deúmits
1	dewita^
1	dewitas
1	dohúchu
1	drehbes
1	eekúcha
1	egiptes=semmes
1	ehdat
1	eïjes=kohku
1	eúúeet
1	gaidat
1	gaïïu
1	gals
1	gan
1	gohda=krehúlu
1	gohdiba^
1	gohdibas
1	granata=kohku
1	gred§enu
1	gribbeja
1	gribbu
1	ikweens
1	irrag
1	irraid
1	isbaidiht
1	isdeldeúchu
1	isgahjat
1	isputtinaju
1	iswehlejs
1	itt
1	ja=isaug
1	jahj
1	jemmeet
1	jepúchu
1	juhºu
1	juhúa^s
1	juhúo
1	juns
1	kahdas
1	kahdu
1	kalneem
1	kalno^s
1	kalps
1	kapehz
1	klauúija
1	klehti
1	kohpu
1	kri§tus
1	kruúúu
1	ku§tinaúchu
1	kuººai
1	kuºúch
1	labbad
1	labbibas
1	labbibu
1	labs
1	laikeem
1	laizigi
1	ïau§chu
1	leelahs
1	leetahm
1	leetas
1	lihd§
1	lohpeem
1	mahja^s
1	mahzihs
1	mai§i
1	makka^
1	malku
1	manna
1	manna^
1	mannim
1	mannu
1	mans
1	maús
1	meeru
1	meeúas
1	meúúijas
1	muh§chigi
1	nahks
1	nammo^s
1	ne§tu
1	ne=augligeem
1	neììi
1	òemúchu
1	nokrittihs
1	nomirruúchas
1	ohtra
1	pa§kubbinaúchanai
1	padarrija
1	pagaòus
1	pagohdinahts
1	pakkaïd§ihts
1	paleek
1	pamats
1	pamohdinaja
1	par
1	paúchu
1	patt
1	pawalgu
1	pee=ehdat
1	peed§eººatees
1	peepildiúchu
1	peezdeúmits
1	pehdiga
1	peln
1	pirma
1	pirmam
1	prahts
1	pree§teºa
1	pree§teris
1	pree§teºus
1	preekúcha^
1	puhreem
1	raúúu
1	rattus
1	red§
1	red§ejs
1	rei§i
1	rohkas
1	ruhúu
1	úaúilditees
1	úaúittu
1	úauúumu
1	úawa^
1	úawas
1	úawu
1	úcha
1	úchahm
1	úchai
1	úchi
