Vârdformu skaits:	4031
Vârdlietojumu skaits:	18099


1008	un
456	ne
431	to
392	irr
354	wiò§ch
300	tas
296	es
258	wiòòa
257	ka
220	no
200	tu
198	tee
192	kas
187	ka`
185	ta
174	wiòòu
168	tad
167	ar
151	manni
116	kad
108	tahs
107	jo
104	us
99	úawu
98	pee
96	teem
90	eekúch
88	par
85	man
84	eúmu
81	ko
80	bet
79	tohs
77	pahr
74	deews
74	manna
74	mannu
72	tew
69	weens
68	preekúch
65	buhs
64	ijabs
64	tam
64	tohp
60	prett
56	ta`
54	deewa
52	juhs
52	mannas
50	lai
49	úazzija
47	buhtu
47	jeb
47	woj
46	eúúi
45	wiòòam
44	kur
44	pehz
43	zaur
43	úawas
42	ja
41	bij
41	itt
41	weenu
39	mannim
38	wehl
37	bija
35	deewu
34	nu
33	semmes
33	taps
32	ir
30	1
30	atkaï
30	tewi
29	warr
28	atbildeja
28	tapehz
27	arri
26	kam
26	mans
26	zilweks
25	deenas
25	tik
25	wairak
24	jelle
24	red§i
24	rohku
24	warretu
24	zeïïu
23	bes
23	darra
23	daud§
23	lizzis
23	raugi
23	tatúchu
22	kahds
22	kahdu
22	taiúns
21	mehs
21	tawa
21	tomehr
21	weena
20	arrid§an
20	ijabu
20	jepúchu
20	nahk
20	rohkas
20	tawas
20	tawu
20	wairs
20	úawus
20	úirds
19	gann
19	kungs
19	red§
19	wallodu
19	wiúúu
18	azzis
18	behrni
18	kapehz
18	leetas
18	paleek
18	runna
18	stiprais
18	u§
18	úawa^
18	úaweem
17	dohd
17	paúchu
17	stipra
17	warri
16	appakúch
16	gribbu
16	kahda
16	kamehr
16	leek
16	lihd§
16	mutti
16	neììi
16	patt
16	teeúcham
16	wiúúi
16	zik
16	úawa
15	darrijs
15	jums
15	kluúúu
15	newaid
15	pats
15	semmi
15	ïaudis
14	azz
14	dwehúeli
14	eet
14	grehkeem
14	gribbetu
14	mann
14	padohmu
14	tadehï
14	tahds
14	teeúu
14	wehra^
14	wiòòas
14	zilweku
13	2
13	apkahrt
13	arrig
13	behdas
13	besdeewigu
13	buht
13	d§ihwo
13	elijus
13	kaut
