Vârdformu skaits:	5757
Vârdlietojumu skaits:	38728


2107	un
854	tas
807	irr
730	no
720	to
607	es
587	ta
583	ne
536	tee
488	kas
421	teem
413	KUNGS
368	úakka
362	ka
353	Un
313	ar
270	tohs
256	wiòòu
251	tahs
247	eekúch
245	uhs
233	ko
230	tu
227	us
223	pee
222	ka`
218	pahr
209	par
208	juhs
201	buhs
194	prett
194	wiòòa
178	KUNGA
176	Jo
174	eúmu
174	Juhda
172	tad
172	wiò§ch
159	jo
138	manni
136	taps
128	Semmes
127	Bet
123	tewi
122	weenu
122	zaur
117	úazzija
114	ta`
113	preekúch
113	úawu
112	Babeles
110	jums
110	Ta`
107	pehz
103	bija
102	Ïaudim
101	bet
97	Tad
95	Íehniòa
93	wiúúeem
92	bij
90	tam
89	Jeremijus
88	tew
85	Deews
82	neds
82	úcho
81	Íehniò§ch
81	Zebaot
80	wiúúu
79	KUNgs
79	wiòòas
79	wiòòo
78	J§rae#ïa
78	kad
78	Wahrds
75	Es
75	eúúi
75	wiúúi
74	Ïaudis
69	Jeru§alemes
69	tur
68	weens
66	man
64	Jeremiju
64	Semmi
63	tohp
63	wiúúus
62	Tapehz
60	mehs
59	dehï
59	ir
59	úawas
59	tawu
59	Tee
59	Wahrdu
59	weena
58	juhúu
58	mannu
58	Wahrdus
55	Raugi
53	manna
51	lihd§
51	nahks
51	neweens
50	mums
50	Rohka^
50	runnajs
49	Namma
49	wiòòeem
48	atkaï
48	Dehls
48	wairs
47	labbi
47	1
46	Babeli
46	Tas
45	Dehla
45	tawas
44	Semme^
44	tapehz
43	irraid
43	Íehniòu
43	Ne
43	notikke
42	§tarp
41	eúúat
41	úawa
41	Úirds
40	Deewa
40	d§ihwo
40	tewim
40	tomehr
39	gribbu
39	Ïau§chu
39	raugi
39	Tu
38	mannas
38	muhúu
38	Preekúcha^
37	KUNGU
37	Sohbinu
37	Tadehï
37	wiòòam
35	laid
35	runna
35	úaweem
35	tik
35	Zedekijus
34	Pilsúahteem
34	wiúúas
33	Dehlu
33	eet
33	itt
33	úakki
33	Semme
32	darrijs
32	Kas
32	nahk
32	úcheem
32	tahm
31	jelle
31	Namma^
30	ak
30	Deena^
30	jeb
30	Íehniòam
30	klauúijúchi
30	kur
30	Nammu
30	Praweets
30	Ugguni
30	Wahrda
30	Weetu
29	Ka
29	mannim
29	nu
29	Pilsúahtu
28	ikkatrs
28	Praweetu
28	Rohkas
28	Wiò§ch
27	apkahrt
27	Zeïïu
26	darra
26	darrijúchi
26	darriúchu
26	Gadda^
26	Kad
26	Kapehz
26	Laika^
26	Red§
26	úchohs
25	Deenas
25	eúúam
25	kurp
25	likúchu
25	manna^
25	úluddina
25	úuhtijs
25	wiúúahm
25	Zeetuma
25	zitteem
24	Debbes
24	Deewu
24	dewis
24	ja
24	Kauna^
24	Ïaunumu
24	pawehlejs
24	úchis
24	tai^
23	arrid§an
23	Behrni
23	darriht
23	Dwehúeli
23	Eed§ihwotajeem
23	Ka`
23	Meitas
23	úazziht
23	tai
23	tappe
23	Teeúu
23	warr
23	weddiúchu
22	Azzis
22	mannis
22	Nams
22	Úeewas
22	Ta
22	tapt
22	Weeta^
21	augúcham
21	Baddu
21	daud§
21	Deeweem
21	nahze
21	nodohúchu
21	úchodeen
21	tawa
21	wiúúa
20	appakúch
20	Ak
20	buhtu
20	Darbu
20	d§ihwohs
20	gahje
20	juhúeem
20	kam
20	mans
20	poh§ta^
20	Praweeúchi
20	úazzijs
20	teeúcham
20	Tehweem
20	Tehwi
19	arri
19	atpakkaï
19	Azzim
19	gann
19	Jeru§alemi
19	juhúas
19	ïohti
19	peemekleúchu
19	úawa^
19	úawus
19	úazziju
19	Wirúneeks
18	Balkúni
18	Jo§ijus
18	lai
18	neneeka
18	Pagaòeem
18	pakkaï
18	Pilsúahta
18	Rohku
18	tawi
18	Wihreem
18	Wihrs
18	Zeetuma^
18	2
17	bohja^
17	Gedaliju
17	Jr
17	J§ra&e&ïa
17	Kaldee#ºeem
17	kohpa^
17	mannus
17	Pilsúahts
17	úchahs
17	úchai^
17	Sohbins
17	tadehï
17	Wahrdeem
17	Widdu^
17	Wihri
17	wiòòai
16	Aikama
16	Deena^s
16	Egiptes=Semme^
16	Grahmatu
16	jepúchu
16	Kaldee#ºu
16	kalpoht
16	leelu
16	lizzis
16	mekle
16	Moaba
16	úazzihs
16	úchee
16	wehl
16	Wihru
16	wirs
16	wiús
15	Auúim
15	Bahr§ibas
15	Behrneem
15	Behrnus
15	darrajt
15	Derribu
15	Grehkeem
15	Ïaunuma
15	manneem
15	Mehri
15	Mehs
15	Neììi
15	Netanijus
15	Pils=Kaººa=Wihru
15	poh§tu
15	ÚChis
15	Uhdens
15	Weetas
14	atweddiúchu
14	Apúmeekli
14	Balúi
14	bes
14	ees
14	gribbi
14	ikweens
14	Juhgu
14	Kaººa
14	klauúajt
14	Ko
14	Ïaunu
14	leek
14	Muttes
14	noh§t
14	ohtru
14	Pilsúahta^
14	Pilsúahti
14	Praweeúcheem
14	runnaja
14	Seemeïa=Puúúes
14	tapúi
14	tewis
14	Wahrtim
14	Wihnu
14	Zedekiju
14	10
13	buhúchu
13	Dehlam
13	d§ert
13	eezehlis
13	gribb
13	kahda
13	Íehniòeem
13	Íehniòi
13	Klauúajt
13	leela
13	Leetas
13	Leetu
13	Meeúas
13	muh§cham
13	pats
13	úuhtiúchu
13	Tauta
13	taws
13	tawus
13	wehra^
13	Zeetumu
12	Balkúne
12	Balkúnei
12	buht
12	Dahwida
12	Eed§ihwotaji
12	Eelahm
12	Egipti
12	Gallu
12	Ja
12	Jeru§aleme
12	Jojaíima
12	J§rae#ls
12	kahdu
12	krittihs
12	mannai
12	Meeru
12	Meita
12	muhs
12	pa
12	red§
12	Red§i
12	§taiga
12	Starpa^
12	tawa^
12	Teeúcham
12	Weena
12	weena^
12	Wihrus
12	wiúúai
12	Zianas
11	ap
11	Babele
11	Behrnu
11	Deena
11	diwi
11	Dohmas
11	dohúchu
11	d§irdeta
11	Dwehúele
11	Dwehúeles
11	Egiptes
11	Egiptes=Semmes
11	Eij
11	Jepúchu
11	J§mae#ls
11	Jtt
11	Juhs
11	klauúiht
11	KUNga
11	Lah§tu
11	Ïaunums
11	Leel=Kungi
11	Mellus
11	nahkt
11	nahkuúchi
11	NebukadRezars
11	òehme
11	neka`
11	Padohmu
11	paúchi
11	paúchu
11	red§i
11	runnaht
11	Sawana
11	úchi
11	Sohbiòa
11	tai`
11	tappuúchi
11	tappuúi
11	Tomehr
11	Weeta^s
11	Wehl
11	wiúúa^s
11	15
11	8
10	atgree§iúees
10	atgree§tees
10	Auúis
10	Benjamiòa
10	darri
10	dohts
10	d§emde
10	d§irdeht
10	d§irdeja
10	Gohda=Krehúlu
10	Grahmata^
10	gribbam
10	ilgi
10	Jeru§aleme^
10	Joanans
10	Jrrag
10	Juhdu
10	juhúahm
10	ka^
10	kahds
10	Kareu#s
10	Laid
10	Leel=Kungeem
10	Leeli=Kungi
10	Meers
10	Mehneúi^
10	Moabs
10	muhúas
10	muh§chigu
10	muhúo
10	Nebu§arAdans
10	Nerijus
10	noúaukts
10	No§eegumu
10	Nu
10	Pagaòi
10	paleek
10	Praweeúchus
10	prohti
10	úaded§inahs
10	Úahpes
10	úakkat
10	Úchis
10	úew
10	úewim
10	Úirdi
10	Úirdi^
10	Taiúnibu
10	tappis
10	teekams
10	Tehwu
10	Tihrumu
10	Ugguns
10	Uhdeni
10	Waigu
10	Waj
10	Waldiúchanas
10	wedde
10	Zilweks
10	17
10	3
10	4
10	5
10	7
9	ahra
9	atlikkuúchi
9	Ammoòa
9	Bahruks
9	biju
9	darru
9	D§immumu
9	d§irdejúchi
9	Egiptes=Semmi
9	Grahmatas
9	Jstruhzinaúchanu
9	Judeem
9	juhúus
9	Kalneem
9	Kalpu
9	Kananijus
9	klahúees
9	klauúija
9	Lai
9	Laiks
9	Laiku
9	Lauka^
9	Mizpas
9	Moabu
9	Nammus
9	Neewaúchanu
9	notizzis
9	ohtra^
9	Pagalma^
9	Par
9	Prahta
9	Pree§teºeem
9	Pree§teºi
9	Rohkahm
9	runnaju
9	úadau§iúchu
9	úcha
9	§chehl
9	§innamu
9	úuhtija
9	Úweúchineekeem
9	ta`patt
9	taweem
9	Tik
9	Tukúneúi^
9	tuwu
9	useet
9	Wihges
9	Wiltibu
9	Woj
9	Zeïïeem
9	11
9	14
8	atgree§iúchu
8	atgree§uúchi
8	at§tahjuúchi
8	Arrig
8	Awis
8	Bahr§iba
8	Bahruku
8	Bedres
8	bijis
8	Blehdibas
8	darrihs
8	darrija
8	Deenahm
8	d§enn
8	d§ihwoht
8	Eenaidneekeem
8	Gallam
8	Galwu
8	Ganni
8	grehkojúchi
