Vârdformu skaits:	3119
Vârdlietojumu skaits:	17229


1164	un
351	no
334	to
292	Un
271	tee
267	irr
242	us
240	ta
234	tas
225	teem
194	kas
156	ar
148	bija
145	ne
136	pee
133	tohs
126	lihd§
123	prett
117	Jo§uu#s
115	wiòòu
110	ka
108	wiòòa
101	preekúch
101	Tad
100	tahs
100	wiò§ch
98	tad
91	pehz
90	ko
87	KUNGS
86	jums
82	KUNGA
79	eekúch
79	juhs
76	Behrneem
76	úazzija
74	J§rae#ïa
67	Behrni
67	kad
65	bij
63	es
63	ka`
63	Pilsúahti
63	Zilts
61	tam
58	weenu
57	Jardaòas
57	weens
57	wiòòas
56	Rohbe§cha
56	Semmi
53	juhúu
53	wiòòo
53	wiúúu
52	Behrnu
50	par
50	zaur
49	jo
47	Íehniò§ch
46	buhs
46	mehs
44	Ïaudis
44	wiúúi
42	Úaimehm
41	Manaúúus
40	bet
37	Deews
37	Moh§us
36	mums
35	J§rae&ïa
34	Bet
34	nu
34	Pilsúahtu
34	Preekúcha^
34	úchi
34	tai
34	tu
32	pahr
32	Semmes
32	§teepjahs
31	§tarp
30	ta`
29	Deewa
29	d§ihwoja
29	eet
29	ittin
29	laid
29	wiòòeem
28	arrid§an
28	eúmu
28	Juhda
28	úcho
28	Tas
28	Widdu^
28	Zeemi
27	Deena^
27	dewe
27	tai^
27	wiús
26	Ïaudim
26	Preekúch=Pilsúahti
26	puús
25	dewis
25	gahje
25	Íehniòu
25	tur
24	Deenas
24	eúúat
24	Jo§uu#
24	Preekúch=Pilsúahtus
24	Puúúes
24	úawu
24	Ta`
24	tew
24	tohp
24	zehlahs
23	itt
23	Jo§uu&s
23	kawe
23	Rihteem
23	úaweem
23	tahm
23	tappe
23	wiúúus
22	KUNGAM
22	nahze
22	úawahm
22	Teeúa
22	1
21	darrijs
21	Jhpaúchumu
21	nahk
21	Ruhbeòa
21	Wihri
20	Jhpaúchums
20	pahri
20	Úchíir§tu
20	wiòòam
19	Gada
19	Jerikus
19	Pilsúahta
19	teekams
19	wiúúeem
19	Zilti
18	darrija
18	Jo
18	runnaja
18	úchodeen
18	Teeúu
18	wiúúas
17	Ajas
17	Dehla
17	Dehls
17	Gals
17	juhúo
17	Kad
17	KUNGU
17	muhúu
17	pakkaï
17	Pilsúahtus
17	Weetas
17	wiòòpuús
17	wiúúa
16	diwi
16	Kalps
16	lai
16	runnajs
16	tapehz
16	Wakkara
15	ahra
15	augúchu
15	Altari
15	eúúi
15	Jah§epa
15	J§rae#ls
15	pawehlejis
15	pretti
15	Puúúi
15	Rohka^
15	Wahrdu
15	Wihrus
15	Ziltim
14	atgree§ahs
14	Amoriteºu
14	Derribas
14	eúúam
14	jeb
14	J§raeïa
14	Kalneem
14	Moh§u
14	pawehlejs
14	Pree§teºi
14	úchee
14	Seemeïa
14	Uppes
14	Widdus
14	Zeïïu
13	apkahrt
13	Aju
13	Aúmini
13	kur
13	man
13	nomeúlota
13	úahnis
13	Semme^
13	Sohbiòa
13	Ta
13	Uhdens
13	Wahrds
13	Widdu
12	arri
12	Eeleijas
12	Gileadas
12	kaººoja
12	Íehniòam
12	Íehniòi
12	KUNgs
12	úchai
12	Semme
12	Tee
12	UN
11	Deewu
11	Derribu
11	diwipadeúmits
11	dohd
11	eemantojamu
11	Jardanu
11	juhúas
11	labbi
11	neúúe
11	paleek
11	úazzidams
11	Úchis
11	Seemeli
11	tawa^
11	weena
10	doht
10	d§irdeja
10	Jeriku
10	Jo§uu#m
10	Ka
10	Kalna
10	Kalno^s
10	kïua
10	Ïau§chu
10	likke
10	ïohti
10	muhúeem
10	Ne
10	neds
10	Nunna
10	peederreja
10	peederrigas
10	Pilsúahteem
10	Pilsúahts
10	Rohbe§chai
10	Rohku
10	úazzidami
10	úchis
10	Tehwa
10	túchetr
9	Bah§ana
9	darriht
9	daud§
9	Deenai
9	Dehlu
9	Eebrons
9	Eenaidneekeem
9	gree§chahs
9	Kalnu
9	kam
9	Kananiteºi
9	Íehniòa
9	Íehniòus
9	leelu
9	muhs
9	nahkuúchi
9	paúchai
9	Pilsúahta^
9	úawa^
9	úchahs
9	úchohs
9	úeptiò
9	Sihlus
9	Tapehz
9	turrenes
9	uhs
9	wehl
9	6
8	Danna
8	Deewam
8	Draud§es
8	d§ihwo
8	d§innahs
8	Eewra&ima
8	Egiptes=Semmes
8	ja
8	Jhpaúchuma
8	J§rae#ïam
8	J§rae#lu
8	Juhºai
8	juhúeem
8	Kahjahm
8	Mehs
8	Meúloúchanu
8	muhúo
8	pa
8	pawehleja
8	peederr
8	prohti
8	raugi
8	úcheem
8	§tahweja
8	§tipri
8	úuhtija
8	Taurehm
8	tikkai
8	tikke
8	Tomehr
8	Tukúneúi^
8	Ugguni
8	wezz
8	Wirúneeki
8	wiúúahm
8	zitteem
8	10
8	12
8	2
7	agri
7	aisgahje
7	atkaï
7	atlikke
7	atlizzinaja
7	augúcham
7	Ah§eºa
7	Akmiòus
7	Deeweem
7	Dwehúeles
7	Eed§ihwotaji
7	Es
7	gahjuúchi
7	Gilgala^
7	isdeldeja
7	kahdu
7	Kaººa=Wihri
7	Laika^
7	Lehìeri^
7	Lewiteem
7	Meeru
7	Moh§um
7	òehme
7	No
7	no=eet
7	nogahje
7	palikke
7	paúcha^
7	preekúcha
7	Pree§teºa
7	Rihta^
7	Rohbe§chas
7	úaded§inaja
7	Úaules
7	Úihmeaòa
7	Tahs
7	Teeúas
7	Tehwi
7	tekk
7	tik
7	trihs
7	Wiúúi
7	13
7	16
6	Akans
6	Allas
6	Behrnus
6	Benjamiòa
6	Beteles
6	deúmits
6	dewiò
6	Eelea§aºa
6	Ermoòa
6	eúúim
6	Gallam
6	Jeru§alemes
6	Jo§uus
6	Jr
6	Juhºas
6	Kahlebam
6	kalpoht
6	Kanaa&na
6	Íehniòeem
6	KUNGÚ
6	Laiku
6	leels
6	Lewitu
6	Makedas
6	nahkt
6	Namma^
6	notekk
6	peez
6	Pehz
6	Preekúch=Pilsúahteem
6	Pulks
6	Rihta
6	Rohbe§chu
6	Úaule
6	Úchíir§ta
6	úleppeni
6	Starpa^
6	tawa
6	taweem
6	tawu
6	Tehweem
6	Tehwu
6	warr
6	Wihreem
6	wiòòai
6	wiòòus
6	15
6	3
5	aizinaja
5	apmettahs
5	atbildeja
5	atlikkuúcheem
5	atpakkaï
5	Akmiòeem
5	Bauúlibas
5	darrijúchi
5	dehï
5	Dehlam
5	drohúchu
5	D§el§es
5	D§ihwokïeem
5	Duúúeúchanu
5	Eenaka
5	Eenakim
5	Eite
5	Gaddus
5	isd§inne
5	isluhkoht
5	Jebu§iteºi
5	Jerikum
5	Jewuòa
5	Jh§aúchaºa
5	Jo§uu&
5	J§rae&ls
5	kamehr
5	Kananiteºus
5	Kas
5	Kiriat=Jearim
5	kluúúu
5	Lahkiúa
5	Laid
5	Laupijumu
5	leelai
5	lizzis
5	mannim
5	mans
5	Meitu
5	Nakti
5	Namma
5	Nammu
5	Nawtaïa
5	neús
5	nodewe
5	Nokaweja
5	nomirre
5	ohtra^
5	patt
5	Prahtu
5	Pree§teºeem
5	Pree§teºu
5	rak§tihts
5	Raugi
5	úapulzejahs
5	úawa
5	úawas
5	úchahm
5	Úchee
5	Úchi
5	Úeewas
5	úeúch
5	úew
5	Sioòa
5	Úirds
5	Sohbinu
5	Tautahm
5	tewim
5	To
5	túchetrdeúmits
5	Uppei
5	uszehle
5	Wahrdus
5	wairs
5	Wakkaru
5	Wal§ts
5	Weeta^
5	Wihrs
5	wiòòi
5	Wirúneekeem
5	wiúúa^
5	Ziltis
5	14
4	appakúchu
4	atgree§chahs
4	atlaide
4	Amoriteºi
4	Arnoòa
4	Balkúnei
4	bijis
4	Brahïeem
4	Brahïu
4	Brahïus
4	Debbes
4	Ded§ameem=Uppuºeem
4	Deenas=Widdu
4	Deenu
4	Dehlus
4	dewu
4	Draud§e
4	d§ihwoht
4	d§ihwu
4	Durwim
4	Dwehúelehm
4	Eeleiju
4	eemantoja
4	eemantojama
4	Eewiteºi
4	Egiptes
4	eita
4	Gawileúchanas
4	gribbat
4	gull
4	ihpaúchu
4	ikweenas
4	ilgi
4	isd§ihs
4	isd§iht
4	isgahje
4	isúihkt
4	Jardaòa
4	Jarmutes
4	jelle
4	Jnnoma
4	Jsdeldetiòs
4	Jttin
4	Juhs
4	juhúa^s
4	Jums
4	kahda
4	Kahlebs
4	Kalnus
4	Kalpi
4	kalpoúim
4	kaut
4	Klaijuma
4	Klaijumo^s
4	Klaijumu
4	kurp
4	kurrenes
4	leek
4	leelas
4	Lehìeri
4	Lohpeem
4	Lohpus
4	Malla^
4	Manaúúum
4	mannu
4	Mehºa=Aukli
4	muhúas
4	Nakti^
4	òehmuúchi
4	nokawe
4	notikkahs
4	Oga
4	pabeiguúchi
4	Pakkaï=D§inneji
4	paúlehpuúi
4	Pawehleúchanu
4	peed§ihwojs
4	pirmak
4	Puúúe
4	Puúúei
4	Raddeem
4	Rakaba
4	Rohbe§chahm
4	Rohka^s
4	Rohkas
4	úauúahm
4	úazzihs
4	úazziht
4	Úchíir§ts
4	Sebulaòa
4	Úeewu
4	úeptita^
4	Serus
4	úewim
4	úewis
4	Siíema^
4	Spehks
4	§tahw
4	Stiprinajees
4	§wehrejs
4	§wehrejúchi
4	tahïu
4	tai`
4	taureja
4	Taures
4	TAd
4	Tehwus
4	trihspadeúmits
4	tuhk§toúcheem
4	Tukúneúes
4	turrajs
4	turrejahs
4	Uhdeni
4	uhsjehme
4	uhsòehme
4	Uppuºeem
4	usjehme
4	Uslehkúchanu
4	Wahrtis
4	waldija
4	warram
4	warren
4	ween
4	Weetu
4	Weh§tus
4	Wezzajee
4	Wihru
4	Ziltu
4	17
4	23
4	8
4	9
3	ap
3	apbruòòoti
3	apgrai§iti
3	apkawe
3	appakúch
3	appakúcha
3	aprakke
3	apúlehpuúchees
3	ap§taigaja
3	atlikkuúchas
3	atlikkuúchu
3	Aa&roòa
3	Aa#roòa
3	Adonizedeks
3	Ajai
3	Ak
3	Akmiòi
3	Ammoòa
3	Amoriteºus
3	A§tarota^
3	Azoru
3	Azzi^s
3	Bahr§iba
3	Bah§anu
3	Bauúlibu
3	behd§e
3	bes
3	Bet=Ohrona
3	bih§tees
3	bih§teetees
3	Bileamu
3	bohja^
3	buhúchu
3	buhúim
3	buhtu
3	buhtum
3	Daïïa^s
3	Darbu
3	darrihs
3	darrijis
3	darriúim
3	Debira
3	Debiru
3	Deenahm
3	Deenas=Widdus
3	DEEWS
3	diwideúmits
3	dohúchu
3	Draud§i
3	Drehbes
3	d§ihwojat
3	d§immuúchi
3	Dwaúcha
3	Eebroòa
3	Eelea§ars
3	Eeleija
3	eeúeet
3	Eetiteºi
3	Eewra&imu
3	eezelti
3	Egiptes=Semme^
3	Eglona
3	Eita
3	eite
3	E§bona^
3	gawileht
3	Gelbeúchanas=Pilsúahts
3	Gelbeúchanas=Pilsúahtus
3	Gibeoòa
3	Gibeons
3	Gibeonu
3	Gilgala
3	Gilgalu
3	Grahmata^
3	ilgu
3	ir
3	isdalliht
3	isdeldehts
3	isdeldetiòs
3	iseijoht
3	isgahjuúchi
3	isúuhtija
3	iswedde
3	Ja
3	jaúchu
3	jepúchu
3	Jeru§aleme
3	Jo§uu~s
3	J§rae&lu
3	Juhºu
3	juhúus
3	Jumtu
3	ka^
3	kahdas
3	Kahjas
3	Kalnam
3	kalpojeet
3	kalpojúchi
3	Kanaa#na
3	Kananiteºeem
3	Kananiteºu
3	Kauúchanu
3	Kedes
3	Kiriat=Arbu
3	klaht
3	Kohkeem
3	kreiúo
3	Kri§tus
3	Kungs
3	Kurpes
3	labbas
3	labbo
3	Lahkiúam
3	Lai
3	leelus
3	Leetahm
3	Leetas
3	Leezibu
3	Lewja
3	Libnu
3	likkuúi
3	Lohga
3	Mahti
3	Mallas
3	mann
3	ma§
3	Mauka
3	Mehles
3	Mehli
3	Mehnes
3	Meitas
3	Meraºa
3	mettahs
3	mittejahs
3	muh§cham
3	Nams
3	Neììi
3	neno§eed§igi
3	neweens
3	noúauze
3	no§eeguúchees
3	Nu
3	pahreet
3	Paklauúiúchanas
3	palikt
3	parei§i
3	Paúaules
3	pa§tahweht
3	pa§tahweja
3	Pee
3	peegahje
3	peepeúchi
3	peezi
3	PEhz
3	Pilsúahtam
3	Pineas
3	Pree§teris
3	Puúúe^
3	Rads
3	red§eja
3	Rohbe§cha^
3	Sabdus
3	Úaimneekeem
3	úakka
3	úawus
3	úazzihts
3	úazzijs
3	Schehla§tibu
3	Úchíehpu
3	Úchíir§tam
3	Úchodeen
3	úeptiòa^s
3	úeptiòkahrt
3	Siíema
