Vârdformu skaits:	1158
Vârdlietojumu skaits:	2800
	
	
141	un
63	no
53	to
49	ta
46	irr
42	tas
40	ar
39	es
36	tee
33	kas
30	ka`
28	ne
26	teem
25	tu
25	Un
23	wiò§ch
22	ka
21	buhs
21	taps
19	par
17	KUNGA
17	tahs
15	juhs
15	us
14	eekúch
14	jo
14	lihd§
13	ko
13	KUNGS
13	pahr
13	preekúch
13	uhs
13	weena
13	wiòòu
12	Deewa
12	pee
12	prett
12	tad
12	tohs
12	wiòòa
12	wiòòas
10	kad
10	Namma
10	úawu
10	wiòòo
9	bet
9	Jo
9	Ïau§chu
9	úakka
9	tawus
9	tewi
9	tur
8	Bet
8	J§rae#ïa
8	Jehkaba
8	Ïaudis
8	úaweem
8	weens
7	§tarp
7	eúmu
7	jums
7	tam
7	tew
7	weenu
7	Zianas
6	1
6	dehï
6	Es
6	nahks
6	Semmes
6	Tadehï
6	Tee
6	tewim
5	atkaï
5	daud§
5	Deena^
5	Deews
5	Eed§ihwotaja
5	isdeldeúchu
5	jelle
5	man
5	manni
5	úawa
5	Tapehz
5	tawa
5	tawas
5	tohp
4	Ar
4	darriúchu
4	Grehku
4	isees
4	itt
4	Juhda
4	Ka
4	Íehniò§ch
4	Klauúajt
4	KUNGAM
4	mannas
4	manno
4	Meita
4	Ne
4	neweens
4	red§ehs
4	úawas
4	tawa^
4	tawo
4	tawu
4	Tu
4	weenas
4	wiòòeem
4	wiúúas
4	zaur
3	2
3	5
3	ak
3	appakúch
3	Arrig
3	Behrnu
3	darra
3	darriht
3	Deenahm
3	Eenaidneeki
3	ees
3	Gaïïu
3	Grehkus
3	J§rae&ïa
3	Jeru§alemes
3	Jeru§alemi
3	Juhºas
3	Kalnu
3	Kri§tus
3	KUNGU
3	labs
3	Ïaudim
3	manna
3	mehs
3	Meitas
3	Mikus
3	muh§cham
3	muh§chigi
3	mums
3	Namma^
3	Neììi
3	Nu
3	Pahrkahpúchanas
3	pehz
3	Pilsúahta
3	Praweets
3	Samariju
3	úchi
3	úcho
3	Semme
3	úluddina
3	Ta
3	ta`
3	Tad
3	tahïu
3	tapehz
3	Tauta
3	teeúa
3	teeúcham
3	Teeúu
3	Wahrda
3	Wahrds
3	Wahrtim
3	wairs
3	warr
3	Widdus
3	wiòòam
3	Wirúneeki
3	wiúsnotaï
3	wiúúus
3	Zilwekeem
2	3
2	6
2	8
2	9
2	10
2	12
2	13
2	18
2	§tahwehs
2	§taiga
2	§tipreem
2	Ahdu
2	aisneúúiúi
2	Akmiòu=Kohpu
2	Aúúini
2	Aúúura
2	atgree§iúees
2	atliks
2	Azzis
2	besdeewiga
2	Buhtu
2	buhtu
2	d§emde
2	darrijs
2	Deena
2	Deena^s
2	Dehls
2	Duúmibu
2	Dwehúeles
2	ee=ees
2	Eemantoúchanas
2	Eenaidneeze
2	eeúchu
2	Egiptes=Semmes
2	Eïjes
2	elkadeewigus
2	eúúi
2	gan
2	gannamu
2	Gattas
2	gau§chahm
2	ikweens
2	irraid
2	ispe§tihs
2	Jehkabam
2	Jeru§aleme
2	Jeru§alemei
2	Juhs
2	ka^
2	Kalni
2	Kalns
2	Kaººa
2	Kaººu
2	Kauna
2	Kauna^
2	kohpa^
2	KUngs
2	Kur
2	kuººa
2	lai
2	Lauka^
2	Ïaunums
2	Ïaunumu
2	Lauwa
2	ma§a
2	mahza
2	mannu
2	mans
