Vârdformu skaits:	332
Vârdlietojumu skaits:	575
	
	
23	un
13	no
13	tee
12	wiòòa
10	tu
9	irr
8	Deena^
8	eemantohs
7	Ee§awa
7	tas
7	tewi
7	to
6	buhs
6	ka`
6	kas
6	ne
6	teem
6	Un
5	buhtu
5	ka
5	neds
5	pahr
5	tohs
5	us
4	eúúi
4	KUNGS
4	pee
4	ta
3	§tarp
3	Behdu
3	es
3	isdeldehts
3	Jehkaba
3	Kalnu
3	Nams
3	Pagaòeem
3	prett
3	úakka
3	ta`
3	tawu
3	weenu
3	wiòòo
3	zaur
2	Aiswe§tee
2	ar
2	arri
2	Beedri
2	Bet
2	d§ers
2	d§ihwo
2	darrijs
2	Deenu
2	dehï
2	Eedoma
2	eekúch
2	itt
2	Jo
2	Ka`
2	Kad
2	Kalneem
2	Kalnus
2	ko
2	KUNGA
2	Lauku
2	nahkuúchi
2	par
2	Ta
2	tai^
2	tawa
2	tawas
2	tew
2	tewis
2	Tu
2	uhs
2	Wahrtim
2	weena
2	weens
2	Zianas
1	1
1	3
1	7
1	10
1	17
1	18
1	§tahweji
1	§tahweúi
1	ahra
1	Aisd§ihtus
1	ak
1	Akmiòa=Kalnu
1	appakúch
1	apúegs
1	apúlehptas
1	Ar
1	arrid§an
1	atgree§iúees
1	atkaï
1	Atlikkuúchus
1	atliks
1	atlizzinajúchi
1	Atmakúaúchana
1	aug§to^s
1	Bailibas
1	bailoúees
1	Behgïus
1	Behrneem
1	Behrnu
1	Benjamins
1	bes
1	bija
1	biji
1	bijuúchi
1	Bohja^
1	Bohja^=Eeúchanas
1	Brahïa
1	Brahïam
1	d§ehruúchi
1	D§ihwokïo^s
1	d§irdejúchi
1	darrihs
1	darrihts
1	darrijuúchi
1	darritu
1	Deena
1	Deena`
1	Deenas
1	Deenas=Widdus
1	Deews
1	Derribas
1	Draudúi
1	ee=eeúi
1	eedegs
1	Eedomiteºu
1	eegahje
1	Eeleija^s
1	Eepreezinaúchanu
1	Eeúchanas
1	Eewainoúchanu
1	Eewra&ima
1	ehd
1	Ehrglis
1	eúmu
1	eúúam
1	eúúeet
1	gallejas
1	Galwu
1	gan
1	Gileadu
1	Gre§niba
1	Gudrus
1	ikweens
1	ir
1	is§teepúi
1	isd§ihs
1	isdeldeht
1	ismekletas
1	isnihzinaúchu
1	iswaizatas
1	J§ra&e&ïa
1	J§rae#ïa
1	Jah§epa
1	jeb
1	Jehkabam
1	Jepúchu
1	jepúchu
1	Jeru§alemes
1	Jeru§alemi
1	jo
1	Jsglahbúchana
1	Jtt
1	Juhda
1	juhs
1	Juhtim
1	kad
1	kahdas
1	kahdu
1	Kananiteºeem
1	Kaººa^
1	Kaººa=Spehka
1	Kas
1	Kauns
1	klaht
1	kri§titu
1	KUNGAM
1	KUngs
1	labbad
1	Labklahúchanas
1	Ïau§chu
1	Ïaunumu
1	Leeúma
1	Leetas
1	Lepnibas
1	leppoht
1	Lig§du
1	lihd§
1	lihgúmotees
1	ïohti
1	ma§u
1	Mai§i
1	Maitaúchanas
1	manni
1	manno
1	mannu
1	Mantahm
1	Mantas
1	Mehs
1	meúlojahs
1	Mitteúchanas
1	muh§chigi
1	Muttes
1	Nakti^
1	Namma
1	Nammam
1	Neììi
1	Nelaimi
1	neweens
1	nizzinahts
1	no§agguúchi
1	nodohúi
1	nomettihs
1	nomettiúchu
1	norihs
1	notiks
1	Obadijum
1	Obadijus
1	pa
1	Pagaòi
1	pahrwarrehs
1	Païauúchanas
1	Papreekúchúluddinaúchana
1	parahdijs
1	paúchu
1	Pe§titaji
1	peederrehs
1	peederreja
1	peewihluúi
1	peewils
1	pehz
1	Pilsúahtus
1	Plaiúumeem
1	Plaukúchíinaúchanas
1	plihtehs
1	Poh§titaji
1	preekúch
1	Preeku
1	pretti
1	Puúúes
1	Puúúi
1	rahdihts
1	Red§
1	red§eht
1	Rohbe§chahm
1	Rohkas
1	Ruggajeem
1	runnajs
1	Sagïi
1	úakki
1	úakrahs
1	Samarijas
1	Úapraúchana
1	Úapraúchanu
1	úawa^
1	úawu
1	ÚChis
1	Semmes
1	Sewarada
1	Úirdi
1	Úirds
1	Úlawu
1	Úlepkawibu
1	úohdiht
1	Spehku
1	úuhtihts
1	Swaig§nehm
1	Úwehtibu
1	úwehtu
1	Úweúchi
1	Úweúchineeki
1	Úweúchineezibas
1	Ta`
1	ta`patt
1	tad
1	tadehï
1	tahm
1	tahs
1	Tai^
1	tam
1	tappe
1	taps
1	tapúi
1	tatúchu
1	Tawa
1	tawam
1	Tawi
1	tawi
1	tawo^s
1	Teeman
1	Teeúas
1	teeúcham
1	To
1	tohp
1	tur
1	turrenes
1	Ugguns
1	uhsred§eúi
1	usturrehs
1	uszeltohs
1	wairs
1	Wal§tiba
1	Warras=Darba
1	Warrennee
1	Warru
1	wedde
1	Weh§tneúis
1	Widdus
1	Wihna=Pïahweji
1	Wihna=Stihgas
1	Wili§teºus
1	wiòòam
1	wiòòeem
1	wiòòu
1	wiúúeem
1	Wiúúi
1	wiúúi
1	Zarwatai
1	Zeetuma^
1	Zeïïa
1	zelleetees
1	zelúees
1	zelúimees
1	zik
1	zilwezigu
