Vârdformu skaits:	315
Vârdlietojumu skaits:	575


29	un
13	no
13	tee
12	tu
12	wiòòa
9	irr
8	deena^
8	eemantohs
8	ka`
8	to
7	ee§awa
7	kas
7	tas
7	tewi
6	buhs
6	ne
6	ta
6	teem
5	buhtu
5	ka
5	kungs
5	neds
5	pahr
5	tohs
5	us
4	eúúi
4	pee
4	ta`
3	ar
3	behdu
3	es
3	isdeldehts
3	itt
3	jehkaba
3	jo
3	kad
3	kalnu
3	nams
3	pagaòeem
3	prett
3	úakka
3	§tarp
3	tai^
3	tawa
3	tawu
3	weenu
3	wiòòo
3	zaur
2	aiswe§tee
2	arri
2	beedri
2	bet
2	darrijs
2	deenu
2	dehï
2	d§ers
2	d§ihwo
2	eedoma
2	eekúch
2	jepúchu
2	kalneem
2	kalnus
2	ko
2	kunga
2	lauku
2	nahkuúchi
2	par
2	tawas
2	tawi
2	tew
2	tewis
2	uhs
2	wahrtim
2	weena
2	weens
2	wiúúi
2	zianas
1	ahra
1	aisd§ihtus
1	ak
1	akmiòa=kalnu
1	appakúch
1	apúegs
1	apúlehptas
1	arrid§an
1	atgree§iúees
1	atkaï
1	atlikkuúchus
1	atliks
1	atlizzinajúchi
1	atmakúaúchana
1	aug§to^s
1	bailibas
1	bailoúees
1	behgïus
1	behrneem
1	behrnu
1	benjamins
1	bes
1	bija
1	biji
1	bijuúchi
1	bohja^
1	bohja^=eeúchanas
1	brahïa
1	brahïam
1	darrihs
1	darrihts
1	darrijuúchi
1	darritu
1	deena
1	deena`
1	deenas
1	deenas=widdus
1	deews
1	derribas
1	draudúi
1	d§ehruúchi
1	d§ihwokïo^s
1	d§irdejúchi
1	ee=eeúi
1	eedegs
1	eedomiteºu
1	eegahje
1	eeleija^s
1	eepreezinaúchanu
1	eeúchanas
1	eewainoúchanu
1	eewra&ima
1	ehd
1	ehrglis
1	eúmu
1	eúúam
1	eúúeet
1	gallejas
1	galwu
1	gan
1	gileadu
1	gre§niba
1	gudrus
1	ikweens
1	ir
1	isdeldeht
1	isd§ihs
1	isglahbúchana
1	ismekletas
1	isnihzinaúchu
1	i§ra&e&ïa
1	i§rae#ïa
1	is§teepúi
1	iswaizatas
1	jah§epa
1	jeb
1	jehkabam
1	jeru§alemes
1	jeru§alemi
1	juhda
1	juhs
1	juhtim
1	kahdas
1	kahdu
1	kananiteºeem
1	kaººa^
1	kaººa=spehka
1	kauns
1	klaht
1	kri§titu
1	kungam
1	labbad
1	labklahúchanas
1	ïaunumu
1	ïau§chu
1	leeúma
1	leetas
1	lepnibas
1	leppoht
1	lig§du
1	lihd§
1	lihgúmotees
1	ïohti
1	mai§i
1	maitaúchanas
1	manni
1	manno
1	mannu
1	mantahm
1	mantas
1	ma§u
1	mehs
1	meúlojahs
1	mitteúchanas
1	muh§chigi
1	muttes
1	nakti^
1	namma
1	nammam
1	neììi
1	nelaimi
1	neweens
1	nizzinahts
1	nodohúi
1	nomettihs
1	nomettiúchu
1	norihs
1	no§agguúchi
1	notiks
1	obadijum
1	obadijus
1	pa
1	pagaòi
1	pahrwarrehs
1	païauúchanas
1	papreekúchúluddinaúchana
1	parahdijs
1	paúchu
1	peederrehs
1	peederreja
1	peewihluúi
1	peewils
1	pehz
1	pe§titaji
1	pilsúahtus
1	plaiúumeem
1	plaukúchíinaúchanas
1	plihtehs
1	poh§titaji
1	preekúch
1	preeku
1	pretti
1	puúúes
1	puúúi
1	rahdihts
1	red§
1	red§eht
1	rohbe§chahm
1	rohkas
1	ruggajeem
1	runnajs
1	sagïi
1	úakki
1	úakrahs
1	samarijas
1	úapraúchana
1	úapraúchanu
1	úawa^
1	úawu
1	úchis
1	semmes
1	sewarada
1	úirdi
1	úirds
1	úlawu
1	úlepkawibu
1	úohdiht
1	spehku
1	§tahweji
1	§tahweúi
1	úuhtihts
1	swaig§nehm
1	úwehtibu
1	úwehtu
1	úweúchi
1	úweúchineeki
1	úweúchineezibas
1	ta`patt
1	tad
1	tadehï
1	tahm
1	tahs
1	tam
1	tappe
1	taps
1	tapúi
1	tatúchu
1	tawam
1	tawo^s
1	teeman
1	teeúas
1	teeúcham
1	tohp
1	tur
1	turrenes
1	ugguns
1	uhsred§eúi
1	usturrehs
1	uszeltohs
1	wairs
1	wal§tiba
1	warras=darba
1	warrennee
1	warru
1	wedde
1	weh§tneúis
1	widdus
1	wihna=pïahweji
1	wihna=stihgas
1	wili§teºus
1	wiòòam
1	wiòòeem
1	wiòòu
1	wiúúeem
1	zarwatai
1	zeetuma^
1	zeïïa
1	zelleetees
1	zelúees
1	zelúimees
1	zik
1	zilwezigu
1	1
1	10
1	17
1	18
1	3
1	7
