Vârdformu skaits:	3490
Vârdlietojumu skaits:	14419
	
	
558	un
490	irr
376	to
318	tas
258	ne
241	bet
239	kas
187	ta
160	no
125	wiòòa
120	ar
118	úawu
114	us
113	ka`
101	ka
97	Kas
97	wiò§ch
92	tee
91	tahs
91	weens
90	teem
87	buhs
83	tohp
79	tu
77	pee
76	tad
74	Ta
74	tam
67	weena
66	par
66	wiòòu
60	Tas
57	tew
56	tohs
53	Úirds
52	Jo
51	tawu
49	kad
49	taps
48	es
45	darra
44	zaur
43	Un
41	weenu
40	preekúch
39	Weens
37	ko
37	Ne
36	pahr
36	wiòòas
35	KUNGA
35	Wihrs
35	Zeïïu
33	eekúch
32	nahk
32	úawas
31	Kad
30	neka`
30	tawa
29	kam
29	pehz
28	1
28	ta`
27	daud§
27	Gudribu
26	labbi
26	Úirdi
25	jo
25	Leetas
25	wiòòam
23	Luhpas
23	patt
23	prett
22	Mutti
21	gudrs
21	Ka
21	Mahza
21	tawas
21	To
21	Wiòòa
20	§tarp
20	Besdeewigo
20	Gudriba
20	Mutte
20	Zeïúch
19	§taiga
19	Es
19	eúmu
19	KUNGS
19	úawa
19	Zilweks
18	Behrns
18	Deewa
18	Dwehúeli
18	Pamahziúchanu
17	Besdeewigu
17	Dehls
17	eet
17	itt
17	mihle
17	Negantiba
17	Rohkas
17	Tad
17	wairak
16	Azzis
16	D§ihwibas
16	eúúi
16	Ìeíía
16	kahda
16	mannu
16	Manta
16	Rohku
16	Tuwaku
16	Zilweka
15	arrid§an
15	dohd
15	Ìeííi
15	lai
15	Muttes
15	úarga
15	úawa^
15	Sinnaúchanu
15	Taiúna
15	warr
15	Weena
15	wiúúu
14	Dwehúele
14	Eebr
14	KUNGAM
14	KUNGU
14	kur
14	mans
14	mekle
14	Nabbags
14	neds
14	paúarga
14	Úapraúchanu
14	úew
14	Taiúnajs
14	Taiúno
14	tur
14	Wall
14	Wallodu
13	Azzim
13	Ìeííis
13	ir
13	kahdu
13	Íehniòa
13	Ïauna
13	Namma
13	pats
13	úawahm
13	Wahrdi
12	arri
12	atkaï
12	Bet
12	darriht
12	kahds
12	labba
12	Laika^
12	Ïaunu
12	man
12	mannas
12	Mehle
12	Pahrmahziúchanu
12	paleek
12	úakka
12	Taiúnibu
12	Tee
12	Zeïïi
11	bes
11	Besdeewigajs
11	dabbu
11	Gohds
11	ja
11	jeb
11	Ka`
11	klauúa
11	labbu
11	Ïaudis
11	manna
11	parei§i
11	patihk
11	runna
11	úaweem
11	Úeewa
11	Úeewas
11	Semmes
11	Teeúu
11	tomehr
11	Wihra
10	Bauúlibu
10	Behrni
10	eenihd
10	Gudribas
10	Gudrs
10	labs
10	Nahwes
10	neneeka
10	newaid
10	paúchu
10	Salamans
10	Úirdi^
10	Taiúniba
10	turr
10	Wahrdus
9	§inna
9	§tahw
9	Behrneem
9	buht
9	D§ihwiba
9	Ìeííibu
9	jepúchu
9	Jtt
9	Íildu
9	labbaks
9	Labbumu
9	Ïaudim
9	Leezineeks
9	manni
9	Mans
9	Nabbagu
9	nizzina
9	padarra
9	palihd§
9	paúcha
9	Prahtu
9	Úapraúchana
9	Úliòíis
9	taws
9	tohpi
9	Waigu
9	Zaur
9	Zilweku
8	5
8	At§ihúchanu
8	atrohd
8	Augïeem
8	Auúi
8	Awots
8	Besdeewiga
8	D§ihwibu
8	Darbu
8	dehï
8	Dohmas
8	Dwehúelei
8	Gudru
8	juhs
8	Kaunu
8	Kur
8	Lauwa
8	Mai§es
8	mann
8	mannus
8	Namma^
8	Nammu
8	noh§t
8	Padohmu
8	pahrmahza
8	pirms
8	Prahts
8	preezajahs
8	Ta`
8	tahïu
8	tai
8	Taiúnee
8	Taiúnibas
8	turrahs
8	Uhdens
8	Wahrds
8	wehl
8	wehra^
8	zeïï
8	Zeïïeem
7	2
7	6
7	§teid§ahs
7	§tiprs
7	atraddihs
7	baggats
7	Bauúlus
7	bih§tahs
7	Bihjaúchana
7	Dahwanas
7	Darbs
7	dohma
7	eenih§t
7	gann
7	Ìeííiba
7	Ìeííim
7	Ìeííu
7	Gohdu
7	jums
7	Kahjas
7	Kam
7	Íehniò§ch
7	Labbaki
7	Leetu
7	Luhpahm
7	Mai§i
7	mannis
7	Meeru
7	Mehditajs
7	Nabbageem
7	Nams
7	Netaiúnibu
7	Padohms
7	paliks
7	Taiúnu
7	tawi
7	Tehwa
7	Tehwu
7	tewi
7	tewim
7	turretees
7	walda
7	warri
7	weenas
7	Wihru
7	Wiò§ch
7	wiòòo
7	wiúúas
7	wiúúi
7	Zeïïus
7	Zilwekeem
6	10
6	11
6	ahra
6	apbehdina
6	Baggatibu
6	Besdeewigee
6	d§en
6	Deews
6	Dehlu
6	Duúmibu
6	Dwehúeles
6	Eekúch
6	ees
6	ehd
6	Gaiúchums
6	gan
6	gudra
6	leela
6	Leetus
6	leez
6	Mahtes
6	Mahti
6	mahza
6	maííeniht
6	Mantu
6	Mellus
6	nahks
6	nahkúees
6	nei
6	pa§tahw
6	Pahr
6	pahrwehrtita
6	païaujahs
6	pazeïï
6	peederr
6	Rahmo
6	Runna
6	úargatees
6	úargi
6	Schehla§tibu
6	Selts
6	Tahs
6	Tam
6	tatúchu
6	tawahm
6	tawai
6	teiz
6	tik
6	Truhkums
6	usees
6	Wahrdeem
6	Wahrdu
6	weenumehr
6	Wiòòas
6	Zerriba
6	Zilwekam
5	15
5	§trahda
5	Ahr§tes=Sahle
5	alla§chiò
5	at§tahj
5	aug§ti
5	Bahr§iba
5	Bahrúchanas
5	Balúi
5	Behdas
5	Behdu
5	Behrnu
5	Besdeewigeem
5	Besdeewigs
5	bija
5	Brahlis
5	d§ennahs
5	d§ihwoht
5	dabbuht
5	dahrgu
5	darrijs
5	dohs
5	Draugs
5	drohúchi
5	Duúmiba
5	eepreezina
5	ehdihs
5	Gals
5	Galwu
5	gluhne
5	Gohda^
5	Grehkeem
5	Grehki
5	Grehku
5	grib
5	Gudro
5	jauna
5	Kahju
5	kamehr
5	Íehniòeem
5	Íehniòu
5	kluúúina
5	krittihs
5	Kuºúch
5	Labbu
5	Lai
5	leek
5	Leeta
5	Leetahm
5	Mahte
5	Mai§e
5	MAns
5	mums
5	nahkahs
5	nepateeús
5	nomirs
5	pa
5	pa§tahwehs
5	Pahrmahziúchana
5	patti
5	peeklahjahs
5	Pilsúahts
5	Prahtiga
5	Preekúcha^
5	red§i
5	Rihk§te
5	runnaht
5	úaprattigs
5	úawam
5	úawus
5	Schehla§tiba
5	Úeewu
5	Semmi
5	Úlawa
5	Úudrabs
5	Úudrabu
5	tahds
5	tahm
5	taiúns
5	tapehz
5	tawa^
5	Teeúas
5	teeúcham
5	Tehwam
5	turrehts
5	Uhdeni
5	Walditaju
5	Walloda
5	Wallodas
5	ween
5	Wihnu
5	wiús
5	wiúúa^
5	wiúúahm
5	wiúúai
5	Zeïïa
5	zik
5	Zitta
4	4
4	9
4	13
4	17
4	ahtri
4	ap§kai§tahs
4	apúlepjahs
4	apúmeij
4	atkahpees
4	atmett
4	aug§ta
4	Baggatiba
4	Baggats
4	Barribu
4	Bauúli
4	Beedris
4	Bihjaúchanu
4	biju
4	bohja^
4	Bohja^=Eeúchanu
4	Buhúchanu
4	d§ihwohs
4	dahrgs
4	Daud§
4	Deena^
4	Deenas
4	Deenu
4	Draugu
4	drih§
4	Durwim
4	Eelahm
4	Eeúahkums
4	Eij
4	Elle
4	Elles
4	Eúúi
4	etc
4	Galdu
4	Galwa^
4	Ìeííam
4	Ìeííibas
4	grehko
4	Gudree
4	Gudreem
4	isglahbts
4	isplukúchíe
4	Ja
4	Kahjahm
4	Kalps
4	Kalpu
4	KAs
4	klahjahs
4	Ko
4	Kohks
4	Krohnis
4	Labba
4	labbaki
4	Laid
4	laid
4	Ïau§chu
4	Ïaunumu
4	leelijahs
4	leelu
4	Lepniba
4	lihgúmojahs
4	ïohti
4	Lukte
4	Mahziba
4	Mahzibas
4	makúa
4	Meddu
4	Mehditaju
4	mehs
4	mihliga
4	muh§cham
4	nahz
4	Nelaimi
4	òem
4	Nenojehga
4	No
4	pa§tahwigu
4	Padohmeem
4	pahrwehrtitu
4	Pamahza
4	pamahza
4	pamett
4	Pateeúibu
4	pee=ehdihs
4	peepeúchi
4	Pehrles
4	pehzgalla^
4	Pilsúahtu
4	prohti
4	Putnis
4	Rihk§ti
4	Rohka^
4	Rohkahm
4	runnahs
4	úakki
4	úakrahj
4	Salamaòa
4	úawa^s
4	úawai
4	úawo
4	úchurp
4	Seltu
4	Semme
4	úezzen
4	Sinnaúchana
4	Úirdis
4	Úlakka
4	Úlawu
4	Úliòía
4	Úliòíi
4	úuhta
4	Úwars
4	úwehtigs
4	Úwehtiúchana
4	Taiúneem
4	Taiúns
4	Tapehz
4	tawam
4	taweem
4	tawus
4	Teem
4	Teeúa
4	Tehws
4	tewis
4	tihrs
4	tinnahs
4	Tu
4	Ugguns
4	Us
4	Wahrtim
4	wairojahs
4	wairs
4	weena^
4	Weenam
4	Weenu
4	Wihna
4	Wihram
4	Wiltiba
4	wiltigu
4	wiúúa
4	Wiúúi
4	zits
3	3
3	14
3	16
3	20
3	22
3	25
3	§innama
3	§taigaht
3	§tipra
3	§tipri
3	§tipru
3	A§oti^
3	agri
3	aismir§t
3	aizina
3	ak
3	Akmins
3	ap§chehlojahs
3	apbehdinahts
3	apklahj
3	Aúúini
3	Aúúinim
3	At§ihúchanas
3	at§tahjahs
3	atkahpj
3	atkahpt
3	atpakkaï
3	atraúúi
3	Augïi
3	Augïus
3	Auúim
3	Azz
3	Azzi^s
3	Bahr§ibu
3	Bahrúchana
3	Bedre^
3	Behdahm
3	Besdeewibu
3	Besdeewigam
3	besdeewigs
3	Bihjaúchanas
3	Bruòòahm
3	D§ehreenu
3	d§ihtees
3	d§iïïa
3	d§ird
3	Da§ch
3	dabbuhs
3	Darbeem
3	Dehla
3	derr
3	Draugeem
3	Draugi
3	ee=eet
3	eegribbetees
3	eekahro
3	eekrittihs
3	Eenaidneeks
3	eij
3	eúúohts
3	eúúu
3	Gaddi
3	Gaidiúchana
3	Ìeíío
3	Gohda=Krehúlis
3	gre§na
3	gree§chahs
3	Gudra
3	gudram
3	gudreem
3	gudri
3	gudru
3	gudrus
3	gull
3	ikkatra
3	ilgi
3	isdohd
3	isúalzis
3	jauku
3	Jepúchu
3	Jr
3	Jsbailes
3	Kaklu
3	Kaulus
3	Kauns
3	klahúees
3	Klauúajs
3	klauúajt
3	klauúiht
3	Krahúchnums
3	kriht
3	KUNgs
3	Kungu
3	kuººa
3	kuºúch
3	labbaka
3	Labbaks
3	labpraht
3	Lah§ti
3	ïauna
3	Ïaunadarritajeem
3	ïaunu
3	Ïaunuma^
3	Ïaunums
3	leed§ahs
3	leekahs
3	Leeleem=Kungeem
3	Lepnibu
3	lihd§
3	Lihgúmiba
3	likt
3	lohkahs
3	Luhgúchana
3	manneem
3	Mantas
3	Meddus
3	Mehli
3	Meitas
3	mekleht
3	Melkulis
3	Mihle§tiba
3	mihleht
3	Nabbad§iba
3	Nabbagam
3	Nabbagus
